method,slice_axis,slice,n,cluster_entropy,reconstruction_mse_median,timing_abs_error_median_ns,energy_proxy_area_median,pid_inner_high_charge_fraction
compact_waveform_transformer,late_tail_morphology,compact,2928,1.3702366403427146,0.08085500023177158,4.825016361353202,21227.5,0.01878415300546448
gradient_boosted_trees,late_tail_morphology,compact,2928,0.7639335967098106,593073.3676517569,2.3677047499759913,21227.5,0.01878415300546448
mlp,late_tail_morphology,compact,2928,0.7660931680673297,595491.8044510408,2.905101332706619,21227.5,0.01878415300546448
ridge,late_tail_morphology,compact,2928,0.7624883194345449,599392.9940131193,2.781611247621915,21227.5,0.01878415300546448
shape_time_gate_transformer_new,late_tail_morphology,compact,2928,1.3704041937699794,0.0914264388826399,4.20744626378918,21227.5,0.01878415300546448
traditional_median_template_cfd_timewalk_shape,late_tail_morphology,compact,2928,0.4990774034698563,4.670878216780309,0.7316561245094473,21227.5,0.01878415300546448
1d_cnn,late_tail_morphology,diffuse_tail,519,0.17898676763229165,1.7320212658617338,2.638876883402691,35791.0,0.0
compact_waveform_transformer,late_tail_morphology,diffuse_tail,519,0.10311387969814435,0.8536189011103559,4.055885406761304,35791.0,0.0
gradient_boosted_trees,late_tail_morphology,diffuse_tail,519,0.8724009656663894,2421614.0873400634,1.7526689292201496,35791.0,0.0
mlp,late_tail_morphology,diffuse_tail,519,0.8748383569822831,2431154.4848003136,2.3333763692758573,35791.0,0.0
ridge,late_tail_morphology,diffuse_tail,519,0.8649332140228181,2428610.197673715,1.9709527591943128,35791.0,0.0
shape_time_gate_transformer_new,late_tail_morphology,diffuse_tail,519,0.11485332034415348,1.848352840330807,2.314774981393084,35791.0,0.0
traditional_median_template_cfd_timewalk_shape,late_tail_morphology,diffuse_tail,519,0.1985299602033911,3.594150745746739,0.7327923981874385,35791.0,0.0
1d_cnn,late_tail_morphology,late_derivative_bump,343,0.9596027432052929,0.25705220011718843,4.001102301906039,31911.0,0.03206997084548105
compact_waveform_transformer,late_tail_morphology,late_derivative_bump,343,1.6652079280165197,0.24726868741058858,4.564877380117013,31911.0,0.03206997084548105
gradient_boosted_trees,late_tail_morphology,late_derivative_bump,343,1.4741308490455731,793529.1050578154,2.018466738269962,31911.0,0.03206997084548105
mlp,late_tail_morphology,late_derivative_bump,343,1.4741308490455731,767564.1545292137,2.529123899097949,31911.0,0.03206997084548105
ridge,late_tail_morphology,late_derivative_bump,343,1.4741308490455731,783296.6353992112,2.127053707021923,31911.0,0.03206997084548105
shape_time_gate_transformer_new,late_tail_morphology,late_derivative_bump,343,1.6652377588197278,0.6406587738847123,2.910495883706668,31911.0,0.03206997084548105
traditional_median_template_cfd_timewalk_shape,late_tail_morphology,late_derivative_bump,343,1.0079130671144845,4.070774572058743,0.7995448145133066,31911.0,0.03206997084548105
1d_cnn,late_tail_morphology,late_rising_tail,1136,0.655206746305265,0.9833924159536993,3.011434262408031,14343.5,0.0017605633802816902
compact_waveform_transformer,late_tail_morphology,late_rising_tail,1136,0.7860127614267762,2.8956958153161314,4.064524463744574,14343.5,0.0017605633802816902
gradient_boosted_trees,late_tail_morphology,late_rising_tail,1136,0.9392073942474367,290354.4137390077,2.7825293048297155,14343.5,0.0017605633802816902
mlp,late_tail_morphology,late_rising_tail,1136,0.9278841965353422,290829.51581135025,2.752082509670366,14343.5,0.0017605633802816902
ridge,late_tail_morphology,late_rising_tail,1136,0.9772133449261744,284205.6713840717,2.2237497569450184,14343.5,0.0017605633802816902
shape_time_gate_transformer_new,late_tail_morphology,late_rising_tail,1136,0.7978671017920304,3.513971560976506,3.417832945299394,14343.5,0.0017605633802816902
traditional_median_template_cfd_timewalk_shape,late_tail_morphology,late_rising_tail,1136,0.6055662065650681,4.268104893272794,0.7419985548822474,14343.5,0.0017605633802816902
1d_cnn,pedestal_drift_bin,high,1505,1.4308195324356459,0.365068803074832,4.289774458892456,18312.0,0.045182724252491695
compact_waveform_transformer,pedestal_drift_bin,high,1505,1.8981344032325254,0.7698612779799783,4.686056895860684,18312.0,0.045182724252491695
gradient_boosted_trees,pedestal_drift_bin,high,1505,1.3857325009735575,1122625.6718116086,2.463504684381199,18312.0,0.045182724252491695
mlp,pedestal_drift_bin,high,1505,1.3887448701416631,1121987.8782789398,2.827263541499601,18312.0,0.045182724252491695
ridge,pedestal_drift_bin,high,1505,1.3761573227722024,1127115.083935729,2.716327591013709,18312.0,0.045182724252491695
shape_time_gate_transformer_new,pedestal_drift_bin,high,1505,1.8963389773758665,0.6832967794198707,5.202909967884342,18312.0,0.045182724252491695
traditional_median_template_cfd_timewalk_shape,pedestal_drift_bin,high,1505,1.4315067942561883,6.65495087261518,0.7297664575720875,18312.0,0.045182724252491695
1d_cnn,pedestal_drift_bin,low,1660,0.8093629405512572,0.20769711009107425,3.1517161686766713,22672.5,0.0
compact_waveform_transformer,pedestal_drift_bin,low,1660,1.4665245498294703,0.19927516886765795,4.490033594071416,22672.5,0.0
