method,atom,matched_controls,n_cells,n_exposed_weighted,n_control_weighted,delta_abs_frac,delta_abs_frac_ci95,delta_catastrophic_rate,delta_catastrophic_rate_ci95
strong_huber_atoms,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.06694770885201473,"[-0.08213695099397401, -0.045308397802448726]",-0.05410137154087236,"[-0.06260735014464162, -0.042278647371196854]"
strong_huber_atoms,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,0.632581571378717,"[0.5538929940678861, 0.7079076901091731]",0.4602823829825153,"[0.4159474562028842, 0.5126779687976496]"
dropout_injected_integral,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,1.384865978652866,"[1.2868865680494799, 1.4962014734720828]",0.6107934130599599,"[0.5824344389696137, 0.6450936716991262]"
dropout_injected_integral,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.062267794291567424,"[-0.07849663372854543, -0.041601239568614196]",-0.04446229942615984,"[-0.05989491996382198, -0.029661147470575754]"
dropout_injected_integral,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,0.6028428413054071,"[0.4870491933568534, 0.6964645018026123]",0.29346398583122923,"[0.25462469926207004, 0.32765723502342076]"
ridge_waveform_atoms,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,0.15743532582331354,"[0.1474778288290575, 0.16392537878706337]",0.26344540489685775,"[0.2455552954490998, 0.2758848970755567]"
ridge_waveform_atoms,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.011070241212621255,"[-0.012999535418766951, -0.009382592448698218]",-0.00900086123172923,"[-0.014012347799530887, -0.004902533389810298]"
ridge_waveform_atoms,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,0.20947899813911963,"[0.19424990067316206, 0.22379785517961204]",0.419584069619054,"[0.37401794059963156, 0.46652167587245746]"
hgb_waveform_atoms,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,0.04360707307541236,"[0.036297401490628316, 0.05105318620019825]",0.02990529794412469,"[0.020822890356733, 0.039518277728791296]"
hgb_waveform_atoms,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.0015745435122478013,"[-0.0027074366904728205, -0.0003669967054491526]",-0.002341762183486308,"[-0.003183780370336732, -0.001514555725675003]"
hgb_waveform_atoms,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,0.0456259965047123,"[0.04029532723892197, 0.049462096082065775]",0.04110506419935113,"[0.0325318023614925, 0.04772758971943596]"
mlp_waveform_atoms,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,0.07360471012263996,"[0.07003919947073256, 0.0759771754825333]",0.08923166133060724,"[0.08152533065908657, 0.09518151113745062]"
mlp_waveform_atoms,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.008250261702842912,"[-0.0099049649066338, -0.005888992026977345]",-0.018467651428948125,"[-0.02229722965062671, -0.012785452563529842]"
mlp_waveform_atoms,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,0.09704602494941686,"[0.09322916102700442, 0.10084239457720261]",0.1320140877458256,"[0.12061737463811537, 0.14509812938812974]"
cnn_1d_waveform,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,0.9527441283779591,"[0.8769155115885903, 1.0474419978403506]",0.3293447684270461,"[0.2889675121281225, 0.39352959397647397]"
cnn_1d_waveform,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.1234164507618119,"[-0.15274463731888815, -0.07697966736361805]",-0.060203558852199565,"[-0.07353489028304815, -0.044183120114849206]"
cnn_1d_waveform,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,0.4068896037848158,"[0.34900258021053493, 0.4788156733108484]",0.1286039173370744,"[0.11051419828877909, 0.1578584899247335]"
wave_atom_net,atom_baseline_excursion,run+stave+amp_bin+peak_bin+is_saturated,177,12467,49389,0.07730491910677427,"[0.07004548979508776, 0.08384298173858644]",0.12168927206440937,"[0.10818153345259075, 0.1317614067997641]"
wave_atom_net,atom_delayed_peak,run+stave+amp_bin+peak_bin+is_saturated,117,9834,29982,-0.0029303123871298434,"[-0.004813466644732583, -0.0007344523046895146]",-0.017594854084538543,"[-0.021516962918677697, -0.012703048993836364]"
wave_atom_net,atom_dropout,run+stave+amp_bin+peak_bin+is_saturated,129,8417,35696,0.11428323963149027,"[0.11073917969203574, 0.11762495525342984]",0.22195002458298166,"[0.2092481389485195, 0.23188312194098534]"
