n_pair_residuals,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,run,method,policy,pair_scope,n_accepted_events,acceptance
2130,3.0750181579589855,13.740997297198039,0.160093896713615,63,hgb,train95_b2_atom_abstention,all_six_with_b2,355,0.9726027397260274
1065,1.8828851483154208,5.948689827830345,0.06009389671361502,63,hgb,train95_b2_atom_abstention,downstream_only,355,0.9726027397260274
360,3.3880612643432624,18.284093148377725,0.17222222222222222,65,hgb,train95_b2_atom_abstention,all_six_with_b2,60,0.9523809523809523
180,2.062092145996099,2.44950814736273,0.044444444444444446,65,hgb,train95_b2_atom_abstention,downstream_only,60,0.9523809523809523
414,4.077772908935547,18.97188593051268,0.21014492753623187,58,mlp,train95_b2_atom_abstention,all_six_with_b2,69,0.9583333333333334
207,2.12831390380859,3.367168966929762,0.06280193236714976,58,mlp,train95_b2_atom_abstention,downstream_only,69,0.9583333333333334
4392,3.134936172485352,10.285832351570832,0.13570127504553733,59,mlp,train95_b2_atom_abstention,all_six_with_b2,732,0.9773030707610146
2196,2.0007885116577153,3.950494366109854,0.061930783242258654,59,mlp,train95_b2_atom_abstention,downstream_only,732,0.9773030707610146
4758,2.754839027404788,8.3364428234372,0.07335014712063892,60,mlp,train95_b2_atom_abstention,all_six_with_b2,793,0.9887780548628429
2379,1.9435362268066387,5.26437970601552,0.0487599831862127,60,mlp,train95_b2_atom_abstention,downstream_only,793,0.9887780548628429
5532,3.080673405761722,7.611198706175854,0.10285610990600144,61,mlp,train95_b2_atom_abstention,all_six_with_b2,922,0.9967567567567568
2766,2.175811126708984,6.207688859642328,0.0730296456977585,61,mlp,train95_b2_atom_abstention,downstream_only,922,0.9967567567567568
4734,2.8694117889404316,7.734949417308392,0.08280523869877482,62,mlp,train95_b2_atom_abstention,all_six_with_b2,789,0.9887218045112782
2367,2.013621673583982,2.731441144163272,0.037177862272919304,62,mlp,train95_b2_atom_abstention,downstream_only,789,0.9887218045112782
2130,3.2821521319580103,13.887816319845296,0.16338028169014085,63,mlp,train95_b2_atom_abstention,all_six_with_b2,355,0.9726027397260274
1065,2.1175462176513653,6.149554963577555,0.05727699530516432,63,mlp,train95_b2_atom_abstention,downstream_only,355,0.9726027397260274
360,3.7461508178710963,18.34358296014575,0.16944444444444445,65,mlp,train95_b2_atom_abstention,all_six_with_b2,60,0.9523809523809523
180,2.088053346557613,2.563356393834669,0.044444444444444446,65,mlp,train95_b2_atom_abstention,downstream_only,60,0.9523809523809523
414,3.708520812988281,18.81582206694761,0.17391304347826086,58,cnn1d,train95_b2_atom_abstention,all_six_with_b2,69,0.9583333333333334
207,1.8816433306884748,2.30394420039623,0.014492753623188406,58,cnn1d,train95_b2_atom_abstention,downstream_only,69,0.9583333333333334
4392,2.9784742736816403,10.322808963278872,0.11224954462659381,59,cnn1d,train95_b2_atom_abstention,all_six_with_b2,732,0.9773030707610146
2196,1.8154422210693348,4.100456640818862,0.022313296903460837,59,cnn1d,train95_b2_atom_abstention,downstream_only,732,0.9773030707610146
4758,2.6959704589843745,8.468751068921966,0.05086170659941152,60,cnn1d,train95_b2_atom_abstention,all_six_with_b2,793,0.9887780548628429
2379,1.9124201965331977,5.5719327893776445,0.02437999159310635,60,cnn1d,train95_b2_atom_abstention,downstream_only,793,0.9887780548628429
5532,3.1030834197998045,7.760432049019851,0.08477946493130875,61,cnn1d,train95_b2_atom_abstention,all_six_with_b2,922,0.9967567567567568
2766,2.1886449951171856,6.396130127938415,0.04772234273318872,61,cnn1d,train95_b2_atom_abstention,downstream_only,922,0.9967567567567568
4734,2.7670590704345708,7.6046809382130585,0.06696239966201943,62,cnn1d,train95_b2_atom_abstention,all_six_with_b2,789,0.9887218045112782
2367,1.866555480957031,2.2619980945843183,0.01351922264469793,62,cnn1d,train95_b2_atom_abstention,downstream_only,789,0.9887218045112782
2130,3.039254200134277,13.924557974371979,0.14460093896713616,63,cnn1d,train95_b2_atom_abstention,all_six_with_b2,355,0.9726027397260274
1065,1.7341002490234374,6.19338633074473,0.03380281690140845,63,cnn1d,train95_b2_atom_abstention,downstream_only,355,0.9726027397260274
360,3.5036476434326156,18.31619641797336,0.15555555555555556,65,cnn1d,train95_b2_atom_abstention,all_six_with_b2,60,0.9523809523809523
180,2.0571298541259826,2.353019832861181,0.011111111111111112,65,cnn1d,train95_b2_atom_abstention,downstream_only,60,0.9523809523809523
414,3.753520431518549,18.86563011041109,0.17149758454106281,58,gated_mixer,train95_b2_atom_abstention,all_six_with_b2,69,0.9583333333333334
207,1.853308029174801,2.4239858763787785,0.01932367149758454,58,gated_mixer,train95_b2_atom_abstention,downstream_only,69,0.9583333333333334
4392,2.9855307849121107,10.301586764230489,0.11543715846994536,59,gated_mixer,train95_b2_atom_abstention,all_six_with_b2,732,0.9773030707610146
2196,1.8398097991943374,3.9742688491296567,0.025045537340619307,59,gated_mixer,train95_b2_atom_abstention,downstream_only,732,0.9773030707610146
4758,2.6888596954345676,8.498503600206803,0.05485498108448928,60,gated_mixer,train95_b2_atom_abstention,all_six_with_b2,793,0.9887780548628429
2379,1.9133520913696305,5.686798277866306,0.026902059688944935,60,gated_mixer,train95_b2_atom_abstention,downstream_only,793,0.9887780548628429
5532,3.0982319799804694,7.720838494195057,0.09309472161966739,61,gated_mixer,train95_b2_atom_abstention,all_six_with_b2,922,0.9967567567567568
2766,2.1627864562988255,6.374429238699084,0.05929139551699204,61,gated_mixer,train95_b2_atom_abstention,downstream_only,922,0.9967567567567568
4734,2.7784668350219723,7.606268263889983,0.0737220109843684,62,gated_mixer,train95_b2_atom_abstention,all_six_with_b2,789,0.9887218045112782
2367,1.8693212509155277,2.299281461356599,0.020278833967046894,62,gated_mixer,train95_b2_atom_abstention,downstream_only,789,0.9887218045112782
2130,3.1021845056152353,13.942646823888186,0.14835680751173708,63,gated_mixer,train95_b2_atom_abstention,all_six_with_b2,355,0.9726027397260274
1065,1.7214934133911135,6.25883437093275,0.030985915492957747,63,gated_mixer,train95_b2_atom_abstention,downstream_only,355,0.9726027397260274
360,3.4843821337890617,18.355637230416207,0.15833333333333333,65,gated_mixer,train95_b2_atom_abstention,all_six_with_b2,60,0.9523809523809523
180,2.0454440307617188,2.4046540710701323,0.011111111111111112,65,gated_mixer,train95_b2_atom_abstention,downstream_only,60,0.9523809523809523
