stave,amplitude_atom,shape_atom,winner_method,traditional_method,n_pulses,n_runs,winner_sigma68_ns,traditional_sigma68_ns,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,winner_full_rms_ns,traditional_full_rms_ns,winner_tail_frac_abs_gt5ns,traditional_tail_frac_abs_gt5ns,winner_median_bias_ns,decision
B4,4700_6800,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,10,5,13.215433174345575,13.215433174345575,0.0,0.0,0.0,14.202985919130398,14.202985919130398,0.6,0.6,0.4498599279504596,diagnostic_only
B4,6800_10000,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.1900686731566,diagnostic_only
B6,1000_1500,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,55,6,1.657426106017906,1.657426106017906,0.0,0.0,0.0,1.496862136368553,1.496862136368553,0.0,0.0,-1.2521499505226856,diagnostic_only
B6,1000_1500,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,90,7,0.06016251937749317,0.06016251937749317,0.0,0.0,0.0,1.5796221261564056,1.5796221261564056,0.011111111111111112,0.011111111111111112,-0.7830851925843056,accept
B6,1000_1500,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,43,7,1.2920177738626248,1.2920177738626248,0.0,0.0,0.0,1.5545427991650917,1.5545427991650917,0.0,0.0,-0.772341448677544,diagnostic_only
B6,1500_2200,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,340,7,1.4925257001764718,1.4925257001764718,0.0,0.0,0.0,1.6423963445366456,1.6423963445366456,0.008823529411764706,0.008823529411764706,-1.080290052829259,diagnostic_only
B6,1500_2200,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,419,7,0.03674042404003264,0.03674042404003264,0.0,0.0,0.0,1.9483222046169515,1.9483222046169515,0.016706443914081145,0.016706443914081145,-0.8671406857243085,accept
B6,1500_2200,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,345,7,1.4806822277106666,1.4806822277106666,0.0,0.0,0.0,1.554237307059082,1.554237307059082,0.005797101449275362,0.005797101449275362,-0.8332544891927824,accept
B6,2200_3200,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,838,7,1.2568916040214295,1.2568916040214295,0.0,0.0,0.0,1.452440915530466,1.452440915530466,0.008353221957040573,0.008353221957040573,-1.1105621890247974,diagnostic_only
B6,2200_3200,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,645,7,0.017354033017694115,0.017354033017694115,0.0,0.0,0.0,1.4794060222679133,1.4794060222679133,0.010852713178294573,0.010852713178294573,-0.8685788794992604,accept
B6,2200_3200,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,746,7,1.2467037059366575,1.2467037059366575,0.0,0.0,0.0,1.5423059415746636,1.5423059415746636,0.006702412868632708,0.006702412868632708,-0.8653723692564483,accept
B6,3200_4700,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,31,5,1.1801107487116347,1.1801107487116347,0.0,0.0,0.0,1.2465243897582103,1.2465243897582103,0.0,0.0,-1.0996012268581126,diagnostic_only
B6,3200_4700,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,75,7,0.02170608400626267,0.02170608400626267,0.0,0.0,0.0,4.2342267173784744,4.2342267173784744,0.14666666666666667,0.14666666666666667,-0.8589421198041123,diagnostic_only
B6,3200_4700,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,186,6,1.1792469272823565,1.1792469272823565,0.0,0.0,0.0,2.1846856936262276,2.1846856936262276,0.03225806451612903,0.03225806451612903,-1.1086636146711122,diagnostic_only
B6,4700_6800,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,3,2,0.5129717327598468,0.5129717327598468,0.0,0.0,0.0,0.7023332150921113,0.7023332150921113,0.0,0.0,-0.8313011592613293,diagnostic_only
B6,4700_6800,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,3,3,6.094995641220346,6.094995641220346,0.0,0.0,0.0,8.342450564400346,8.342450564400346,0.3333333333333333,0.3333333333333333,3.4216554518659237,diagnostic_only
B6,6800_10000,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0267913660324695,diagnostic_only
B8,1000_1500,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,21,6,1.4477105908722168,1.4477105908722168,0.0,0.0,0.0,1.613942842575219,1.613942842575219,0.0,0.0,-1.0940921052765802,diagnostic_only
B8,1000_1500,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,39,7,0.12423169540851242,0.12423169540851242,0.0,0.0,0.0,6.8312316276549,6.8312316276549,0.07692307692307693,0.07692307692307693,-1.1080036299285325,diagnostic_only
B8,1000_1500,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,34,6,1.2953434786543796,1.2953434786543796,0.0,0.0,0.0,3.3124274787085817,3.3124274787085817,0.058823529411764705,0.058823529411764705,-1.7387405144804617,diagnostic_only
B8,1500_2200,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,66,7,1.2705611704274566,1.2705611704274566,0.0,0.0,0.0,1.4014951755372362,1.4014951755372362,0.0,0.0,-1.1584457800072911,diagnostic_only
B8,1500_2200,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,145,7,0.07050627194176606,0.07050627194176606,0.0,0.0,0.0,2.763051152015409,2.763051152015409,0.027586206896551724,0.027586206896551724,-1.2517242557187203,diagnostic_only
B8,1500_2200,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,92,7,1.4565230601141472,1.4565230601141472,0.0,0.0,0.0,1.9938909374144507,1.9938909374144507,0.010869565217391304,0.010869565217391304,-0.4472526156577601,accept
B8,2200_3200,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,412,7,1.2432427241731634,1.2432427241731634,0.0,0.0,0.0,1.5707304095959422,1.5707304095959422,0.009708737864077669,0.009708737864077669,-0.9690692187732957,accept
B8,2200_3200,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,433,7,0.04440924205394725,0.04440924205394725,0.0,0.0,0.0,1.0588829601214216,1.0588829601214216,0.006928406466512702,0.006928406466512702,-1.2331872363288028,diagnostic_only
B8,2200_3200,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,428,7,1.127153418099894,1.127153418099894,0.0,0.0,0.0,1.4936873290985675,1.4936873290985675,0.007009345794392523,0.007009345794392523,-0.9631225014186171,accept
B8,3200_4700,high_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,157,7,0.9991296533262536,0.9991296533262536,0.0,0.0,0.0,1.2485663430965062,1.2485663430965062,0.006369426751592357,0.006369426751592357,-0.9566951642760131,accept
B8,3200_4700,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,472,7,0.027144688845848752,0.027144688845848752,0.0,0.0,0.0,3.4449955421166525,3.4449955421166525,0.02754237288135593,0.02754237288135593,-1.2053557150113967,diagnostic_only
B8,3200_4700,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,1034,7,1.2326165079731806,1.2326165079731806,0.0,0.0,0.0,1.634669683850435,1.634669683850435,0.013539651837524178,0.013539651837524178,-1.2029510509911745,diagnostic_only
B8,4700_6800,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,165,7,0.10381091900148076,0.10381091900148076,0.0,0.0,0.0,1.4603753837618003,1.4603753837618003,0.01818181818181818,0.01818181818181818,-1.1541683448864006,diagnostic_only
B8,4700_6800,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,310,6,1.4165408680839884,1.4165408680839884,0.0,0.0,0.0,1.6147229292343233,1.6147229292343233,0.012903225806451613,0.012903225806451613,-3.6583866352974326,diagnostic_only
B8,6800_10000,low_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,4,4,1.5761255329527333,1.5761255329527333,0.0,0.0,0.0,2.607258989181033,2.607258989181033,0.25,0.25,-1.0765704376170007,diagnostic_only
B8,6800_10000,mid_template_corr,run64_analytic_amp_only,run64_analytic_amp_only,8,4,0.7138801909337151,0.7138801909337151,0.0,0.0,0.0,1.8916409093427733,1.8916409093427733,0.125,0.125,-6.081206069338435,diagnostic_only
