alpha,fold,sigma68_ns,heldout_run,model,candidate,n_features
0.1,-1,1.5144269046281364,57,S03 analytic timewalk,amp_only,6.0
1.0,0,1.7649475432396549,57,S03 analytic timewalk,amp_only,6.0
1.0,1,1.4217401651989419,57,S03 analytic timewalk,amp_only,6.0
1.0,2,1.4345722096448787,57,S03 analytic timewalk,amp_only,6.0
1.0,-1,1.5404199726944918,57,S03 analytic timewalk,amp_only,6.0
10.0,0,1.7855565979368881,57,S03 analytic timewalk,amp_only,6.0
10.0,1,1.4235321737324103,57,S03 analytic timewalk,amp_only,6.0
10.0,2,1.4506597843995968,57,S03 analytic timewalk,amp_only,6.0
10.0,-1,1.5532495186896318,57,S03 analytic timewalk,amp_only,6.0
100.0,0,1.7505070132735974,57,S03 analytic timewalk,amp_only,6.0
100.0,1,1.395046837792358,57,S03 analytic timewalk,amp_only,6.0
100.0,2,1.4244974536134385,57,S03 analytic timewalk,amp_only,6.0
100.0,-1,1.5233504348931313,57,S03 analytic timewalk,amp_only,6.0
0.0,0,1.7539988257008976,57,S03 analytic timewalk,amp_rise_shape,14.0
0.0,1,1.4268674356095743,57,S03 analytic timewalk,amp_rise_shape,14.0
0.0,2,1.4433615260543615,57,S03 analytic timewalk,amp_rise_shape,14.0
0.0,-1,1.5414092624549445,57,S03 analytic timewalk,amp_rise_shape,14.0
0.01,0,1.7541652606304567,57,S03 analytic timewalk,amp_rise_shape,14.0
0.01,1,1.4258639754841567,57,S03 analytic timewalk,amp_rise_shape,14.0
0.01,2,1.444900032866315,57,S03 analytic timewalk,amp_rise_shape,14.0
0.01,-1,1.5416430896603093,57,S03 analytic timewalk,amp_rise_shape,14.0
0.1,0,1.7547127062518886,57,S03 analytic timewalk,amp_rise_shape,14.0
0.1,1,1.4279789406481616,57,S03 analytic timewalk,amp_rise_shape,14.0
0.1,2,1.4498708317077678,57,S03 analytic timewalk,amp_rise_shape,14.0
0.1,-1,1.5441874928692727,57,S03 analytic timewalk,amp_rise_shape,14.0
1.0,0,1.778211910525321,57,S03 analytic timewalk,amp_rise_shape,14.0
1.0,1,1.4385363665044384,57,S03 analytic timewalk,amp_rise_shape,14.0
1.0,2,1.470974405903407,57,S03 analytic timewalk,amp_rise_shape,14.0
1.0,-1,1.5625742276443886,57,S03 analytic timewalk,amp_rise_shape,14.0
10.0,0,1.7917367277899947,57,S03 analytic timewalk,amp_rise_shape,14.0
10.0,1,1.448563128373242,57,S03 analytic timewalk,amp_rise_shape,14.0
10.0,2,1.4887964329386132,57,S03 analytic timewalk,amp_rise_shape,14.0
10.0,-1,1.5763654297006167,57,S03 analytic timewalk,amp_rise_shape,14.0
100.0,0,1.7734734117412285,57,S03 analytic timewalk,amp_rise_shape,14.0
