method,sigma68_ns,ci_low,ci_high,delta_vs_cfd20_ns,delta_ci_low,delta_ci_high,n_events,n_pair_residuals,full_rms_ns,heldout_run,train_runs,timing_train_rows,timing_eval_rows,unsup_train_rows,uses_amplitude_bin_feature,delta_vs_p01e_cfd20_ns
S02 global template,2.294800987551996,2.057090004239136,2.557090004239136,,-1.4169056372216697,-0.5334081279486225,64,192,3.794656966660186,57,,,,,,-0.9699559485880633
S02 ML ridge,1.8977791921961489,1.6426068703178185,2.181411480550128,,-1.8692890900602779,-0.7504993488157135,64,192,2.5371658303993425,57,,,,,,-1.3669777439439106
S03 analytic timewalk,1.4027916766318924,1.3301430259481146,1.5307207897287198,,-2.208346106749216,-1.3687087401781943,64,192,2.086697112379187,57,,,,,,-1.861965259508167
P01e shuffled-target control,2.112919571678787,1.8207618834126298,2.3833796595633356,-1.1518373644612723,-1.6831936927248226,-0.607814661475839,64,192,2.7193811253423514,57,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,58,59,60,61,62,63,64,65",15678.0,192.0,164662.0,False,
P01e CFD20,3.1468037098479296,2.971962481205643,3.3239030678546135,0.0,0.0,0.0,210,630,6.883883817243844,64,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240.0,630.0,162998.0,False,
P01e hand-shape ridge,2.0043403324651705,1.8288368919044753,2.12486026429683,-1.142463377382759,-1.4091335885238967,-0.8894801935188473,210,630,5.702641479244249,64,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240.0,630.0,162998.0,False,
P01e AE latent ridge,1.9992482417988775,1.8385654560936555,2.1378113413267728,-1.147555468049052,-1.417613487634587,-0.9064265574155156,210,630,5.768383683687943,64,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240.0,630.0,162998.0,False,
S02 global template,2.789438243191037,2.540070597082021,2.7900705970820256,,-0.603230130936044,-0.20029065788051517,210,630,4.203157401469376,64,,,,,,-0.3573654666568924
S02 ML ridge,1.9822637747080765,1.8569491268412468,2.103049060533744,,-1.4046976233401476,-0.9419075855053032,210,630,5.807831402259591,64,,,,,,-1.164539935139853
S03 analytic timewalk,1.5518758948657156,1.4769517607427405,1.691105219762224,,-1.7995187075791528,-1.3590703175628527,210,630,2.4761349330613007,64,,,,,,-1.594927814982214
P01e shuffled-target control,2.1260776752233506,1.978757571396053,2.2776260467216396,-1.020726034624579,-1.2741582077671894,-0.7734844860615104,210,630,5.8015468915545965,64,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,65",15240.0,630.0,162998.0,False,
P01e CFD20,2.9933860619640313,2.6666166347637734,3.388696400009375,0.0,0.0,0.0,66,198,4.11882377956662,65,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672.0,198.0,164451.0,False,
P01e hand-shape ridge,1.9578198898410795,1.726718593117596,2.189159240640698,-1.0355661721229519,-1.6305398317161,-0.6338804171671671,66,198,2.282621162657016,65,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672.0,198.0,164451.0,False,
P01e AE latent ridge,1.8992144702672986,1.6022474359250072,2.0971695456784376,-1.0941715916967327,-1.6648118354524024,-0.6511377251155621,66,198,2.3056402232167343,65,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672.0,198.0,164451.0,False,
S02 global template,2.5814973797705587,2.3314973797705605,3.0700533790686046,,-0.6817276508363822,0.02570136179193945,66,198,3.9862676891119047,65,,,,,,-0.41188868219347263
S02 ML ridge,1.8291421987409964,1.551302984637268,2.0892060010409867,,-1.6939059774245744,-0.6931306917006634,66,198,2.197158996203658,65,,,,,,-1.164243863223035
S03 analytic timewalk,1.5195848119957098,1.3776144099684837,1.6359661845895552,,-1.9116446137224912,-1.1347126698525887,66,198,2.0483625019362264,65,,,,,,-1.4738012499683215
P01e shuffled-target control,1.915936197695733,1.75716139976013,2.278908025172712,-1.0774498642682984,-1.590523391061593,-0.557844906265152,66,198,2.2887357825816017,65,"31,32,33,34,35,36,37,39,40,41,42,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",15672.0,198.0,164451.0,False,
