method,bin_low,bin_high,n,mean_score,observed_overlap_rate,abs_gap
gradient_boosted_trees,0.9,1.0,191,0.9552418945261504,0.900523560209424,0.05471833431672635
mlp,0.0,0.1,146,0.059519210768385455,0.1095890410958904,0.05006983032750495
mlp,0.1,0.2,142,0.1450735040742715,0.2605633802816901,0.11548987620741863
mlp,0.2,0.30000000000000004,83,0.25143124632261915,0.26506024096385544,0.013628994641236292
mlp,0.30000000000000004,0.4,75,0.34366688461458506,0.4266666666666667,0.08299978205208164
mlp,0.4,0.5,64,0.4479526255390659,0.515625,0.0676723744609341
mlp,0.5,0.6000000000000001,45,0.5431505699746934,0.6222222222222222,0.07907165224752888
mlp,0.6000000000000001,0.7000000000000001,57,0.6522553027492998,0.7017543859649122,0.04949908321561247
mlp,0.7000000000000001,0.8,65,0.7513176225312409,0.7846153846153846,0.0332977620841437
mlp,0.8,0.9,69,0.8520509014156056,0.8695652173913043,0.017514315975698747
mlp,0.9,1.0,134,0.9559075604509449,0.9029850746268657,0.05292248582407921
ridge,0.0,0.1,1,0.0792337172529166,0.0,0.0792337172529166
ridge,0.1,0.2,23,0.16647550503798525,0.043478260869565216,0.12299724416842003
ridge,0.2,0.30000000000000004,86,0.25815293750305374,0.12790697674418605,0.13024596075886768
ridge,0.30000000000000004,0.4,154,0.3541417791345786,0.16883116883116883,0.18531061030340978
ridge,0.4,0.5,211,0.4512187342289281,0.4218009478672986,0.029417786361629505
ridge,0.5,0.6000000000000001,225,0.5503776136405969,0.6844444444444444,0.13406683080384751
ridge,0.6000000000000001,0.7000000000000001,138,0.6422042719889876,0.8768115942028986,0.234607322213911
ridge,0.7000000000000001,0.8,41,0.7322173431024065,0.9024390243902439,0.17022168128783743
ridge,0.8,0.9,1,0.8079119924100719,1.0,0.19208800758992806
saturation_residual_fusion_new,0.0,0.1,210,0.04781794259898472,0.13333333333333333,0.0855153907343486
saturation_residual_fusion_new,0.1,0.2,126,0.14580793439909137,0.2619047619047619,0.11609682750567055
saturation_residual_fusion_new,0.2,0.30000000000000004,71,0.24744333869126237,0.3380281690140845,0.09058483032282214
saturation_residual_fusion_new,0.30000000000000004,0.4,47,0.34353082432143534,0.5106382978723404,0.16710747355090505
saturation_residual_fusion_new,0.4,0.5,45,0.45748337898410346,0.6222222222222222,0.16473884323811877
saturation_residual_fusion_new,0.5,0.6000000000000001,49,0.5420970682080145,0.6530612244897959,0.11096415628178136
saturation_residual_fusion_new,0.6000000000000001,0.7000000000000001,39,0.6452306114386334,0.7692307692307693,0.12400015779213591
saturation_residual_fusion_new,0.7000000000000001,0.8,37,0.7453016257759442,0.6756756756756757,0.06962595010026851
saturation_residual_fusion_new,0.8,0.9,69,0.8524233360663701,0.6231884057971014,0.22923493026926867
saturation_residual_fusion_new,0.9,1.0,187,0.9657804592631599,0.9251336898395722,0.04064676942358769
tiny_sequence_transformer,0.0,0.1,85,0.07494639955899295,0.1411764705882353,0.06623007102924235
tiny_sequence_transformer,0.1,0.2,215,0.14781557685414026,0.2558139534883721,0.10799837663423184
tiny_sequence_transformer,0.2,0.30000000000000004,104,0.24172253949710956,0.40384615384615385,0.1621236143490443
tiny_sequence_transformer,0.30000000000000004,0.4,55,0.3420421513644132,0.4727272727272727,0.13068512136285954
tiny_sequence_transformer,0.4,0.5,58,0.45281178170237046,0.5172413793103449,0.0644295976079744
tiny_sequence_transformer,0.5,0.6000000000000001,68,0.5477586756734287,0.5882352941176471,0.04047661844421835
tiny_sequence_transformer,0.6000000000000001,0.7000000000000001,49,0.6566920037172279,0.7142857142857143,0.05759371056848639
tiny_sequence_transformer,0.7000000000000001,0.8,66,0.7549683469714541,0.7575757575757576,0.002607410604303473
tiny_sequence_transformer,0.8,0.9,103,0.8489661471357624,0.7378640776699029,0.11110206946585943
tiny_sequence_transformer,0.9,1.0,77,0.943415277964109,0.961038961038961,0.01762368307485207
