method,heldout_run,detection_ap,detection_auc,time_bias_ns,time_sigma68_ns,late_tail_rate_abs_gt_15ns,pileup_miss_rate,false_split_rate,energy_fractional_bias,energy_fractional_sigma68,n_events,n_positive
gradient_boosted_trees,58,0.8877004412364596,0.8782283057851239,-1.088681221688379,6.736605115649833,0.06923076923076923,0.26136363636363635,0.2159090909090909,0.006920873560992046,0.05641280029696519,176,88
gradient_boosted_trees,60,0.7742244514142175,0.7478047520661157,1.335589853395156,7.812853587052519,0.12307692307692308,0.26136363636363635,0.3522727272727273,-0.01271384484346087,0.058957025608842945,176,88
gradient_boosted_trees,62,0.8343918864087325,0.8013946280991736,-0.07515253889342155,7.405204138433907,0.08620689655172414,0.3409090909090909,0.14772727272727273,0.01371933228744161,0.059492298703248916,176,88
gradient_boosted_trees,64,0.8593823832868097,0.8631198347107437,-0.5173933730014957,7.205860446688083,0.13934426229508196,0.3068181818181818,0.14772727272727273,-0.0021087714886570096,0.0824752842833943,176,88
gradient_boosted_trees,65,0.8909873275354498,0.8845557851239669,0.2731948606928647,7.270699249142648,0.07692307692307693,0.26136363636363635,0.13636363636363635,0.0007223993660076045,0.07928416352034526,176,88
mlp,58,0.9088588271323996,0.9001807851239669,-3.6277200035838497,10.50363287546295,0.2,0.20454545454545456,0.17045454545454544,-0.016905794548862076,0.08977508364086041,176,88
mlp,60,0.7676101178132795,0.753099173553719,-1.517922243156491,10.293676158132344,0.21311475409836064,0.3068181818181818,0.3181818181818182,-0.0008766323721645449,0.0891718377745267,176,88
mlp,62,0.8458853188672922,0.8167613636363635,-2.9054184148847995,11.081333294343024,0.16964285714285715,0.36363636363636365,0.14772727272727273,0.04911947947694176,0.1171672905829744,176,88
mlp,64,0.8663676010719642,0.8620867768595042,-4.076716069253554,9.637073981706433,0.1896551724137931,0.3409090909090909,0.09090909090909091,-0.017469875070038568,0.1230645151372867,176,88
mlp,65,0.8522130808130033,0.856404958677686,-2.1928010083691962,9.130406197286666,0.14545454545454545,0.375,0.06818181818181818,-0.03361304423191043,0.09536709177777838,176,88
ridge,58,0.8888651272762094,0.8915289256198347,-2.1232736924684126,8.998735739306463,0.1267605633802817,0.19318181818181818,0.20454545454545456,0.01573112573490404,0.05564567486025551,176,88
ridge,60,0.7337638741753583,0.7317923553719008,1.0504982474525626,8.886055664370424,0.175,0.3181818181818182,0.3522727272727273,0.0009904616625247644,0.07568194763116276,176,88
ridge,62,0.8099180533321906,0.8008780991735537,-1.4142704631759262,9.498425347163854,0.1557377049180328,0.3068181818181818,0.19318181818181818,0.011696016358363271,0.06767702694959186,176,88
ridge,64,0.8402107648299556,0.8509814049586777,-0.548138978353081,9.59002755727219,0.12295081967213115,0.3068181818181818,0.17045454545454544,0.0037230607510217407,0.07338439836587671,176,88
