geometry,method,n,bias_median_frac,res68_abs_frac,depth_order_violation_rate,res68_ci95,depth_violation_ci95
dead_layer_cm_0p1,traditional_depth_charge_lookup,332852,-0.012487529154486844,0.021719797267772005,0.0,"[0.019789047375218766, 0.022530258594288363]","[0.0, 0.0]"
dead_layer_cm_0p1,ml_monotonic_hgb,332852,-0.004261609013420065,0.025933337204066306,0.0,"[0.024117835314035885, 0.029676156986318765]","[0.0, 0.0]"
dead_layer_cm_0p2,pstar_depth_only,332852,-0.007266594481265321,0.27054295430051223,0.0,[],[]
dead_layer_cm_0p2,traditional_depth_charge_lookup,332852,-0.012718202900825315,0.0222619524105251,0.0,"[0.02023456084657544, 0.023111356220033796]","[0.0, 0.0]"
dead_layer_cm_0p2,ml_monotonic_hgb,332852,-0.0044198803348162955,0.02648223997846879,0.0,"[0.02461627024531576, 0.03023563581663372]","[0.0, 0.0]"
pstar_density_g_cm3_1,pstar_depth_only,332852,-0.007161352282699289,0.2605079124446742,0.0,[],[]
pstar_density_g_cm3_1,traditional_depth_charge_lookup,332852,-0.012202025153203556,0.021077882313608305,0.0,"[0.01925257865072882, 0.021830210095258325]","[0.0, 0.0]"
pstar_density_g_cm3_1,ml_monotonic_hgb,332852,-0.0036978855841319227,0.02582125324857997,0.0,"[0.024168509703168216, 0.028967757459493638]","[0.0, 0.0]"
pstar_density_g_cm3_1p032,pstar_depth_only,332852,-0.007159071767599513,0.2614611446862335,0.0,[],[]
pstar_density_g_cm3_1p032,traditional_depth_charge_lookup,332852,-0.012252491228007263,0.021189225434905763,0.0,"[0.019347728214226454, 0.021953897607786085]","[0.0, 0.0]"
pstar_density_g_cm3_1p032,ml_monotonic_hgb,332852,-0.003627111923328293,0.02509052165633047,0.0,"[0.023586118589741658, 0.028716723752495753]","[0.0, 0.0]"
pstar_density_g_cm3_1p06,pstar_depth_only,332852,-0.007166256219814196,0.2618883610996337,0.0,[],[]
pstar_density_g_cm3_1p06,traditional_depth_charge_lookup,332852,-0.012273619868634513,0.02123815912164752,0.0,"[0.019388520173581614, 0.022007417944201822]","[0.0, 0.0]"
pstar_density_g_cm3_1p06,ml_monotonic_hgb,332852,-0.004194831980036695,0.025121539631509364,0.0,"[0.023557036914702994, 0.028345639351160048]","[0.0, 0.0]"
pstar_range_scale_0p97,pstar_depth_only,332852,-0.007167116974251316,0.2619485393982404,0.0,[],[]
pstar_range_scale_0p97,traditional_depth_charge_lookup,332852,-0.012276852536663451,0.021244615317517403,0.0,"[0.019394220770970607, 0.022014065453179035]","[0.0, 0.0]"
pstar_range_scale_0p97,ml_monotonic_hgb,332852,-0.00379446945507798,0.024976371175150437,0.0,"[0.02365368087167648, 0.028590518921674805]","[0.0, 0.0]"
pstar_range_scale_1,pstar_depth_only,332852,-0.007159071767599513,0.2614611446862335,0.0,[],[]
pstar_range_scale_1,traditional_depth_charge_lookup,332852,-0.012252491228007263,0.021189225434905763,0.0,"[0.019347728214226454, 0.021953897607786085]","[0.0, 0.0]"
pstar_range_scale_1,ml_monotonic_hgb,332852,-0.0028809048869913767,0.024669499475017048,0.0,"[0.023128607099587285, 0.02783394273506194]","[0.0, 0.0]"
pstar_range_scale_1p03,pstar_depth_only,332852,-0.007162940456745575,0.2605706658042539,0.0,[],[]
pstar_range_scale_1p03,traditional_depth_charge_lookup,332852,-0.012204891924017108,0.021085307511782576,0.0,"[0.01925871826742355, 0.02183744689483936]","[0.0, 0.0]"
pstar_range_scale_1p03,ml_monotonic_hgb,332852,-0.003567042286719604,0.024950398102047057,0.0,"[0.02358419930771327, 0.02855664458063301]","[0.0, 0.0]"
corner_lofir_lodea_lopst,pstar_depth_only,332852,-0.008094549312385691,0.309694417163535,0.0,[],[]
corner_lofir_lodea_lopst,traditional_depth_charge_lookup,332852,-0.01480510532307841,0.027339763090188172,0.0,"[0.02439388980709512, 0.02862954825519]","[0.0, 0.0]"
corner_lofir_lodea_lopst,ml_monotonic_hgb,332852,-0.005227617202134828,0.03083789725026939,0.0,"[0.028685391056693026, 0.034374931104680956]","[0.0, 0.0]"
corner_lofir_lodea_hipst,pstar_depth_only,332852,-0.008092982264537725,0.3096449098407282,0.0,[],[]
corner_lofir_lodea_hipst,traditional_depth_charge_lookup,332852,-0.014802478873710199,0.027333343878966458,0.0,"[0.024388301245872025, 0.028622049647994113]","[0.0, 0.0]"
corner_lofir_lodea_hipst,ml_monotonic_hgb,332852,-0.005226439293405801,0.030830835840895323,0.0,"[0.028679873469748405, 0.034366430981946854]","[0.0, 0.0]"
corner_lofir_hidea_lopst,pstar_depth_only,332852,-0.008258698676627572,0.31996290115362513,0.0,[],[]
corner_lofir_hidea_lopst,traditional_depth_charge_lookup,332852,-0.0153725106348305,0.02877029809629374,0.0,"[0.025617939935403542, 0.030309696669619107]","[0.0, 0.0]"
corner_lofir_hidea_lopst,ml_monotonic_hgb,332852,-0.005605214261419023,0.03222012616130544,0.0,"[0.029957446942355335, 0.03610392005738131]","[0.0, 0.0]"
corner_lofir_hidea_hipst,pstar_depth_only,332852,-0.008260107651487537,0.31991594989348127,0.0,[],[]
corner_lofir_hidea_hipst,traditional_depth_charge_lookup,332852,-0.015369903676787047,0.02876353190144335,0.0,"[0.025612230350365237, 0.030301074563542797]","[0.0, 0.0]"
corner_lofir_hidea_hipst,ml_monotonic_hgb,332852,-0.005603969407115215,0.032214354108623264,0.0,"[0.02995218019741766, 0.03609735375726897]","[0.0, 0.0]"
corner_hifir_lodea_lopst,pstar_depth_only,332852,-0.006529512343202171,0.22776294809572173,0.0,[],[]
corner_hifir_lodea_lopst,traditional_depth_charge_lookup,332852,-0.010561892479222647,0.01748095347476711,0.0,"[0.01620475727966278, 0.017964206176550854]","[0.0, 0.0]"
corner_hifir_lodea_lopst,ml_monotonic_hgb,332852,-0.0034998810912835604,0.02119952764579303,0.0,"[0.02007296372881178, 0.02463264490827087]","[0.0, 0.0]"
corner_hifir_lodea_hipst,pstar_depth_only,332852,-0.006528616168974257,0.22773454924737216,0.0,[],[]
corner_hifir_lodea_hipst,traditional_depth_charge_lookup,332852,-0.010560520886645842,0.01747805849949458,0.0,"[0.016202382850513404, 0.01796114746538856]","[0.0, 0.0]"
corner_hifir_lodea_hipst,ml_monotonic_hgb,332852,-0.0034992330516743528,0.02119590597556443,0.0,"[0.02007026544450891, 0.024629847201852146]","[0.0, 0.0]"
corner_hifir_hidea_lopst,pstar_depth_only,332852,-0.006660667744388237,0.23577026143337715,0.0,[],[]
corner_hifir_hidea_lopst,traditional_depth_charge_lookup,332852,-0.010954658908024432,0.01832352474099649,0.0,"[0.01691888378734472, 0.01885033906594647]","[0.0, 0.0]"
corner_hifir_hidea_lopst,ml_monotonic_hgb,332852,-0.0037036967682837012,0.02200247434741549,0.0,"[0.020818535392191955, 0.0253787037365785]","[0.0, 0.0]"
corner_hifir_hidea_hipst,pstar_depth_only,332852,-0.006658313545926816,0.23573892605908828,0.0,[],[]
corner_hifir_hidea_hipst,traditional_depth_charge_lookup,332852,-0.010953020119042586,0.01832043297695402,0.0,"[0.016916409269979366, 0.01884724712290451]","[0.0, 0.0]"
corner_hifir_hidea_hipst,ml_monotonic_hgb,332852,-0.0037032610622981274,0.021999149737636628,0.0,"[0.02081604568888182, 0.025376374249861857]","[0.0, 0.0]"
