rep,traditional_res68,ml_res68,ml_minus_traditional_res68,traditional_depth_violation_rate,ml_depth_violation_rate
185,0.020752990701357606,0.026876542108230445,0.006123551406872839,0.0,0.0
186,0.02075630965872166,0.026700336820417083,0.005944027161695422,0.0,0.0
187,0.020346929574793088,0.026526909539179116,0.006179979964386028,0.0,0.0
188,0.020154567698088034,0.024191046377102357,0.0040364786790143235,0.0,0.0
189,0.020182403329453227,0.02467122726479935,0.004488823935346123,0.0,0.0
190,0.02103670753047923,0.02601413954825331,0.004977432017774078,0.0,0.0
191,0.021309649964015277,0.02675341970772221,0.005443769743706934,0.0,0.0
192,0.02066541692088982,0.02362107616045036,0.0029556592395605374,0.0,0.0
193,0.02034578949581006,0.026477333796311894,0.006131544300501834,0.0,0.0
194,0.019576015732756562,0.0239096443653858,0.004333628632629236,0.0,0.0
195,0.02038805019150749,0.024671415275210953,0.004283365083703462,0.0,0.0
196,0.02114364154746562,0.027685241709749085,0.006541600162283466,0.0,0.0
197,0.020192112309890733,0.026531856059002126,0.006339743749111393,0.0,0.0
198,0.02007920177491736,0.024486724064920497,0.004407522290003137,0.0,0.0
199,0.020883219786311663,0.02783791217879999,0.0069546923924883285,0.0,0.0
200,0.02149019458821565,0.029002160544475474,0.007511965956259824,0.0,0.0
201,0.020060991575375095,0.025912323355159195,0.0058513317797841,0.0,0.0
202,0.02073601054382067,0.02646486722600261,0.005728856682181937,0.0,0.0
203,0.02109802490474067,0.027343385489220384,0.006245360584479713,0.0,0.0
204,0.02103043259878315,0.026599920429888523,0.0055694878311053735,0.0,0.0
205,0.021016779264040046,0.027543513107816858,0.006526733843776812,0.0,0.0
206,0.02003930458061624,0.024405638720777487,0.004366334140161247,0.0,0.0
207,0.020211463549249593,0.025562525069343332,0.00535106152009374,0.0,0.0
208,0.021264830303066924,0.027973968476498235,0.006709138173431311,0.0,0.0
209,0.02136403684440292,0.02824056454174961,0.006876527697346691,0.0,0.0
210,0.021542572792927147,0.025072596283260033,0.0035300234903328856,0.0,0.0
211,0.021121641408581582,0.02818698815724268,0.0070653467486610985,0.0,0.0
212,0.019671476319960392,0.02497819146034306,0.005306715140382667,0.0,0.0
213,0.021097798397644606,0.025263423920600762,0.004165625522956157,0.0,0.0
214,0.021604353701111384,0.026192595486121736,0.004588241785010352,0.0,0.0
215,0.021837743800961297,0.02811687753816137,0.0062791337372000745,0.0,0.0
216,0.020834166465692913,0.025723198406498404,0.004889031940805491,0.0,0.0
217,0.01992919299772434,0.024451094492295114,0.004521901494570775,0.0,0.0
218,0.020465475320243245,0.0265410762390273,0.006075600918784056,0.0,0.0
219,0.020938934093699006,0.025193875306687277,0.004254941212988271,0.0,0.0
220,0.019918308989267722,0.02504195145173815,0.005123642462470428,0.0,0.0
221,0.020093335013249815,0.025552549221758064,0.005459214208508249,0.0,0.0
222,0.01893307005489507,0.02332763426824122,0.00439456421334615,0.0,0.0
223,0.020876143666976137,0.028351955155910356,0.007475811488934218,0.0,0.0
224,0.019931962031540074,0.024017435597316873,0.0040854735657768,0.0,0.0
225,0.020582474215132106,0.026588769307509332,0.006006295092377226,0.0,0.0
226,0.020637562749020764,0.02596626648739255,0.005328703738371788,0.0,0.0
227,0.02047951947141443,0.024050566487960452,0.0035710470165460223,0.0,0.0
228,0.01994625062180348,0.0240039692708492,0.004057718649045722,0.0,0.0
229,0.021959271134174414,0.028891032532348298,0.006931761398173884,0.0,0.0
230,0.021360049276265208,0.025977534901545255,0.0046174856252800475,0.0,0.0
231,0.020492313821242975,0.026704972205798386,0.006212658384555411,0.0,0.0
232,0.01988813810860909,0.023653309273466528,0.003765171164857438,0.0,0.0
233,0.02139082117063152,0.02842121542207084,0.00703039425143932,0.0,0.0
234,0.021282255884822365,0.027838410808666267,0.006556154923843902,0.0,0.0
235,0.020890802296413605,0.027002824420513282,0.006112022124099677,0.0,0.0
236,0.020360001474687285,0.025615181286880426,0.005255179812193141,0.0,0.0
237,0.020527719421400067,0.025216860897955058,0.004689141476554991,0.0,0.0
238,0.01997445724773804,0.02556386316836803,0.005589405920629991,0.0,0.0
239,0.02058296959499854,0.025235927005547144,0.004652957410548605,0.0,0.0
240,0.020267482712156254,0.025072513833264063,0.004805031121107809,0.0,0.0
241,0.01954056385624738,0.02491919687016069,0.005378633013913312,0.0,0.0
242,0.02073497845169323,0.025464711722173645,0.004729733270480416,0.0,0.0
243,0.02040978992051274,0.02453358491784764,0.004123794997334899,0.0,0.0
244,0.02084298117353714,0.02561301375975639,0.004770032586219251,0.0,0.0
245,0.02047401282825072,0.02517183184454939,0.00469781901629867,0.0,0.0
246,0.02083660218595362,0.025703130024823394,0.004866527838869775,0.0,0.0
247,0.020341109575462778,0.02499730014985394,0.004656190574391161,0.0,0.0
248,0.02177086569731537,0.02793440036248175,0.006163534665166382,0.0,0.0
249,0.02044001302001087,0.02531700999995596,0.004876996979945088,0.0,0.0
250,0.022509813333461224,0.02977285315630319,0.007263039822841967,0.0,0.0
251,0.020865210867537617,0.027150453306754474,0.006285242439216857,0.0,0.0
252,0.021666680330704697,0.028348895320856972,0.006682214990152275,0.0,0.0
253,0.021419843311357156,0.02580517754698102,0.004385334235623865,0.0,0.0
254,0.020180757302985613,0.024931019578494754,0.004750262275509141,0.0,0.0
255,0.019811293289682484,0.024914224464026937,0.005102931174344454,0.0,0.0
256,0.0203673245686841,0.026470216848518354,0.006102892279834255,0.0,0.0
257,0.02090439827904585,0.025529657085142706,0.004625258806096856,0.0,0.0
258,0.02167127682156455,0.029620621989302848,0.007949345167738299,0.0,0.0
259,0.021077515847550795,0.026953363813113463,0.005875847965562668,0.0,0.0
260,0.02042989066645245,0.026891835063165052,0.006461944396712601,0.0,0.0
261,0.02156460168153653,0.02634874873785428,0.004784147056317748,0.0,0.0
262,0.020788176802136016,0.025385351763336932,0.0045971749612009165,0.0,0.0
263,0.020211950753211007,0.026432241340405557,0.00622029058719455,0.0,0.0
264,0.02003141172130502,0.02580792712772539,0.005776515406420369,0.0,0.0
265,0.020621288478076937,0.02639344457411068,0.005772156096033744,0.0,0.0
266,0.02036367628761012,0.025604074962808372,0.005240398675198252,0.0,0.0
267,0.020728951140034202,0.026209977289624934,0.005481026149590732,0.0,0.0
268,0.019762137997075754,0.02494756005614207,0.005185422059066316,0.0,0.0
269,0.02194795844704109,0.029493607487324644,0.007545649040283552,0.0,0.0
270,0.021311764747672154,0.025847352552164807,0.004535587804492654,0.0,0.0
271,0.020610256939879633,0.025091046563206806,0.0044807896233271735,0.0,0.0
272,0.020840166147898288,0.02604878647940634,0.005208620331508051,0.0,0.0
273,0.019650356889310296,0.023783368004027333,0.004133011114717037,0.0,0.0
274,0.021131397948906946,0.027023085425856092,0.0058916874769491465,0.0,0.0
275,0.021125294973088158,0.026042473957701984,0.004917178984613826,0.0,0.0
276,0.01990251538030654,0.024299967176394405,0.004397451796087866,0.0,0.0
277,0.02093887556990309,0.025957084365608434,0.005018208795705345,0.0,0.0
278,0.020264962321977695,0.025598673873682122,0.005333711551704427,0.0,0.0
279,0.019924159899895284,0.025621890019617444,0.005697730119722161,0.0,0.0
280,0.02032407651153606,0.02663133989225145,0.00630726338071539,0.0,0.0
281,0.020393155765205423,0.026317627664557704,0.005924471899352281,0.0,0.0
282,0.021980911793432093,0.02936462368223399,0.007383711888801898,0.0,0.0
283,0.019356495938515367,0.024650028420135403,0.005293532481620036,0.0,0.0
284,0.019841648640794837,0.024387702773584232,0.004546054132789395,0.0,0.0
285,0.020624065195042115,0.025365823920069436,0.004741758725027322,0.0,0.0
286,0.020756925543509993,0.025910343787386318,0.005153418243876325,0.0,0.0
287,0.020408518837522,0.02493595517861217,0.004527436341090169,0.0,0.0
288,0.02038244868700077,0.025059022475162656,0.004676573788161886,0.0,0.0
289,0.02053731934010709,0.026344148039142933,0.005806828699035843,0.0,0.0
290,0.019523860245161968,0.023524303093917648,0.00400044284875568,0.0,0.0
291,0.02009559692485576,0.025300519937810084,0.005204923012954322,0.0,0.0
292,0.019789454186677505,0.02544124558498504,0.005651791398307536,0.0,0.0
293,0.021525541183106314,0.027618776147953522,0.0060932349648472085,0.0,0.0
294,0.020063787660200307,0.025783562804083945,0.0057197751438836375,0.0,0.0
295,0.02022290996929769,0.026086296598982935,0.005863386629685243,0.0,0.0
296,0.021281097384351605,0.027597442197032977,0.006316344812681372,0.0,0.0
297,0.020714021798040754,0.023872728083636684,0.0031587062855959296,0.0,0.0
298,0.02068405080172159,0.02460303960940154,0.003918988807679949,0.0,0.0
299,0.021594243149285288,0.028153330605024438,0.0065590874557391494,0.0,0.0
