feature,coefficient,method,base_method,drift_order,train_pulses,heldout_pulses,heldout_run,selector,stratum_train_runs,heldout_stratum
B8_inv_amp,-2.0100417412775315,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_peak_sample,-0.1156830377484655,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_area_over_amp,0.41957829011696585,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_template_sse,0.30133738321091896,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_current_nA_z_p1,0.0,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_trigger_entry_density_z_p1,0.005423882955654977,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_entries_per_eventno_z_p1,0.00542388293897816,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_selected_multiplicity_per_event_z_p1,-0.007022543098438214,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B4_downstream_allhit_fraction_z_p1,-0.0026073407115340037,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_current_nA_z_p1,0.0,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_trigger_entry_density_z_p1,-0.0069970183516158075,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_entries_per_eventno_z_p1,-0.006997018356958072,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_selected_multiplicity_per_event_z_p1,0.021319992418913088,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B6_downstream_allhit_fraction_z_p1,0.013812121904861094,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_current_nA_z_p1,0.0,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_trigger_entry_density_z_p1,-0.0057092519179238145,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_entries_per_eventno_z_p1,-0.005709251917044885,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_selected_multiplicity_per_event_z_p1,0.029331511144878402,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
B8_downstream_allhit_fraction_z_p1,0.021441712545984662,s02e_binned_timewalk_drift1,s02b_template,1,3597,219,58,median_first4,59 63 65,low_rate
intercept,0.0,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_intercept,-4.060063062750849,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp,-12.57027783210809,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp2,7.906826670324143,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_inv_amp,-0.8773675274044821,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_peak_sample,1.061303913294586,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_area_over_amp,1.321307168748869,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_template_sse,0.1970447340690531,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_intercept,-1.366430483422831,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp,5.608276482708375,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp2,-13.765259115042648,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_inv_amp,-2.0248188714434905,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_peak_sample,-0.32308995438497984,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_area_over_amp,-0.5597464013256693,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_template_sse,0.016956265162742953,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_intercept,5.426493480782939,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp,-48.44863122844178,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp2,10.43797284719909,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_inv_amp,-2.0864255650329944,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_peak_sample,-0.1141068411983662,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_area_over_amp,0.42773140905463203,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_template_sse,0.3027278811227686,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_current_nA_z_p1,0.0,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_trigger_entry_density_z_p1,-0.40957045346955007,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_entries_per_eventno_z_p1,-0.40957045823611954,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_selected_multiplicity_per_event_z_p1,-1.8895802534407957,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_downstream_allhit_fraction_z_p1,-1.8653896236366443,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_current_nA_z_p1,0.0,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_trigger_entry_density_z_p1,-0.14266877138636413,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_entries_per_eventno_z_p1,-0.14266877178518136,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_selected_multiplicity_per_event_z_p1,-0.6199722372868247,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_downstream_allhit_fraction_z_p1,-0.6171966878868327,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_current_nA_z_p1,0.0,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_trigger_entry_density_z_p1,0.5490785329030015,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_entries_per_eventno_z_p1,0.5490785383979393,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_selected_multiplicity_per_event_z_p1,2.539562819922106,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_downstream_allhit_fraction_z_p1,2.506193392435066,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_current_nA_z_p2,0.0,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_trigger_entry_density_z_p2,-2.892338300340624,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_entries_per_eventno_z_p2,-2.892338302681454,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_selected_multiplicity_per_event_z_p2,-4.07296976156627,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B4_downstream_allhit_fraction_z_p2,-3.297316556348961,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_current_nA_z_p2,0.0,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_trigger_entry_density_z_p2,-0.9702341754818843,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_entries_per_eventno_z_p2,-0.970234176393257,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_selected_multiplicity_per_event_z_p2,-1.3839820471689102,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B6_downstream_allhit_fraction_z_p2,-1.1129120348642536,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_current_nA_z_p2,0.0,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_trigger_entry_density_z_p2,3.8646639695228546,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_entries_per_eventno_z_p2,3.8646639730075436,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_selected_multiplicity_per_event_z_p2,5.431779012393668,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
B8_downstream_allhit_fraction_z_p2,4.4079783208684,s02e_binned_timewalk_drift2,s02b_template,2,3597,219,58,median_first4,59 63 65,low_rate
intercept,0.0,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B4_intercept,15.784593765714638,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp,-68.44104305704782,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp2,42.75761517349773,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B4_inv_amp,1.9694518408451727,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B4_peak_sample,0.5855508154948902,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B4_area_over_amp,-1.546617947058589,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B4_template_sse,-0.6537013753253887,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B6_intercept,-8.69582563054978,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp,16.759869391773048,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp2,-12.795929882288464,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B6_inv_amp,-0.9987715089142896,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B6_peak_sample,0.20800421401075184,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B6_area_over_amp,-0.4198108517174867,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B6_template_sse,-0.10630640356282595,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B8_intercept,-7.088768341989652,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp,17.17883047497837,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp2,-17.95383960231494,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B8_inv_amp,-1.4045372295996301,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B8_peak_sample,0.8490827466436373,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B8_area_over_amp,1.9599040587964098,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
B8_template_sse,0.3993924358128715,s02e_global_timewalk_drift0,template_phase,0,3597,219,58,median_first4,59 63 65,low_rate
intercept,0.0,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_intercept,15.814543547408988,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp,-68.33394107635483,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp2,42.70653127626615,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_inv_amp,1.9839796920660207,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_peak_sample,0.6013292736351443,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_area_over_amp,-1.5334158671341032,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_template_sse,-0.6491563079162938,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_intercept,-8.653277927789718,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp,16.708789363287234,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp2,-12.677849480272219,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_inv_amp,-0.9763979894747861,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_peak_sample,0.21702964698335256,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_area_over_amp,-0.4248862346188288,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_template_sse,-0.10651169819808269,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_intercept,-7.161265824911089,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp,17.494759076060397,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp2,-18.076360441232715,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_inv_amp,-1.3940513173202975,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_peak_sample,0.8559379232397097,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_area_over_amp,1.9639680038573153,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_template_sse,0.4017103917966997,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_current_nA_z_p1,0.0,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_trigger_entry_density_z_p1,-0.000766944380042107,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_entries_per_eventno_z_p1,-0.000766944398828253,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_selected_multiplicity_per_event_z_p1,0.025220794017967504,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B4_downstream_allhit_fraction_z_p1,0.021015716743746943,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_current_nA_z_p1,0.0,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_trigger_entry_density_z_p1,-0.007490868076490798,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_entries_per_eventno_z_p1,-0.007490868083551469,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_selected_multiplicity_per_event_z_p1,0.023006344152146058,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B6_downstream_allhit_fraction_z_p1,0.014941970238564282,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_current_nA_z_p1,0.0,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_trigger_entry_density_z_p1,0.0029721458065217216,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_entries_per_eventno_z_p1,0.00297214580836232,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_selected_multiplicity_per_event_z_p1,0.012576362480474685,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
B8_downstream_allhit_fraction_z_p1,0.01256859377965457,s02e_global_timewalk_drift1,template_phase,1,3597,219,58,median_first4,59 63 65,low_rate
intercept,0.0,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_intercept,4.530372387446026,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp,-73.39854722744086,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_log_amp2,44.936161937524204,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_inv_amp,1.8985427761433085,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_peak_sample,0.6011759612665645,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_area_over_amp,-1.5325626505567567,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_template_sse,-0.6484859425925003,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_intercept,-2.494092319489658,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp,19.53201530272189,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_log_amp2,-13.932635146731075,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_inv_amp,-0.9321826618091757,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_peak_sample,0.2169895282579004,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_area_over_amp,-0.4244276184262037,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_template_sse,-0.1063812266226648,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_intercept,-2.036280293056132,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp,19.661258548583707,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_log_amp2,-19.056818489842936,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_inv_amp,-1.3653531602730162,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_peak_sample,0.8553457317052177,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_area_over_amp,1.9609047977034044,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_template_sse,0.40118796833332687,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_current_nA_z_p1,0.0,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_trigger_entry_density_z_p1,0.46100444786634875,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_entries_per_eventno_z_p1,0.4610044532589466,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_selected_multiplicity_per_event_z_p1,2.1209678770505485,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_downstream_allhit_fraction_z_p1,2.094611666958032,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_current_nA_z_p1,0.0,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_trigger_entry_density_z_p1,-0.25757764521091375,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_entries_per_eventno_z_p1,-0.2575776459320835,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_selected_multiplicity_per_event_z_p1,-1.1423835324905198,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B6_downstream_allhit_fraction_z_p1,-1.1339628650592581,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_current_nA_z_p1,0.0,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_trigger_entry_density_z_p1,-0.20468930397540674,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_entries_per_eventno_z_p1,-0.20468930603793997,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_selected_multiplicity_per_event_z_p1,-0.9364248313919121,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B8_downstream_allhit_fraction_z_p1,-0.925505987453309,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
B4_current_nA_z_p2,0.0,s02e_global_timewalk_drift2,template_phase,2,3597,219,58,median_first4,59 63 65,low_rate
