alpha,fold,sigma68_ns,n_pair_residuals,heldout_run,selector,stratum_train_runs,heldout_stratum
0.1,0,2.2404299144596935,2289,65,median_first4,58 59 63,low_rate
0.1,1,1.8457355932877806,1110,65,median_first4,58 59 63,low_rate
0.1,2,2.1078976805770977,219,65,median_first4,58 59 63,low_rate
0.1,-1,2.064687729441524,0,65,median_first4,58 59 63,low_rate
1.0,0,2.238841525778633,2289,65,median_first4,58 59 63,low_rate
1.0,1,1.846014567493576,1110,65,median_first4,58 59 63,low_rate
1.0,2,2.0754935504787584,219,65,median_first4,58 59 63,low_rate
1.0,-1,2.0534498812503226,0,65,median_first4,58 59 63,low_rate
10.0,0,2.111439067393439,2289,65,median_first4,58 59 63,low_rate
10.0,1,1.8383043676517197,1110,65,median_first4,58 59 63,low_rate
10.0,2,1.9841553399154017,219,65,median_first4,58 59 63,low_rate
10.0,-1,1.977966258320187,0,65,median_first4,58 59 63,low_rate
100.0,0,1.834889489263415,2289,65,median_first4,58 59 63,low_rate
100.0,1,1.7728568654796828,1110,65,median_first4,58 59 63,low_rate
100.0,2,1.8442842093699572,219,65,median_first4,58 59 63,low_rate
100.0,-1,1.8173435213710183,0,65,median_first4,58 59 63,low_rate
0.01,0,2.1403122586085215,2700,58,dynamic_range,59 63 65,low_rate
0.01,1,2.7118281204174863,1323,58,dynamic_range,59 63 65,low_rate
0.01,2,3.0272441363393336,270,58,dynamic_range,59 63 65,low_rate
0.01,-1,2.6264615051217803,0,58,dynamic_range,59 63 65,low_rate
0.1,0,2.1391469166200996,2700,58,dynamic_range,59 63 65,low_rate
0.1,1,2.5486142398170095,1323,58,dynamic_range,59 63 65,low_rate
0.1,2,2.91814603430771,270,58,dynamic_range,59 63 65,low_rate
0.1,-1,2.5353023969149397,0,58,dynamic_range,59 63 65,low_rate
1.0,0,2.1151207114455888,2700,58,dynamic_range,59 63 65,low_rate
1.0,1,2.289642563217973,1323,58,dynamic_range,59 63 65,low_rate
1.0,2,2.611196300919953,270,58,dynamic_range,59 63 65,low_rate
1.0,-1,2.3386531918611717,0,58,dynamic_range,59 63 65,low_rate
10.0,0,2.125497108304777,2700,58,dynamic_range,59 63 65,low_rate
10.0,1,2.238607973233753,1323,58,dynamic_range,59 63 65,low_rate
10.0,2,2.4781910811148844,270,58,dynamic_range,59 63 65,low_rate
10.0,-1,2.280765387551138,0,58,dynamic_range,59 63 65,low_rate
100.0,0,2.0835429070131473,2700,58,dynamic_range,59 63 65,low_rate
100.0,1,2.200643196726316,1323,58,dynamic_range,59 63 65,low_rate
100.0,2,2.549903857004288,270,58,dynamic_range,59 63 65,low_rate
100.0,-1,2.278029986914584,0,58,dynamic_range,59 63 65,low_rate
0.01,0,2.50769407209338,3225,59,dynamic_range,60 61 62,mid_rate
0.01,1,2.3522430773283824,2865,59,dynamic_range,60 61 62,mid_rate
0.01,2,2.2806168899058954,2823,59,dynamic_range,60 61 62,mid_rate
0.01,-1,2.3801846797758857,0,59,dynamic_range,60 61 62,mid_rate
0.1,0,2.4981738174279418,3225,59,dynamic_range,60 61 62,mid_rate
0.1,1,2.328992968486351,2865,59,dynamic_range,60 61 62,mid_rate
0.1,2,2.2704066633724262,2823,59,dynamic_range,60 61 62,mid_rate
0.1,-1,2.3658578164289064,0,59,dynamic_range,60 61 62,mid_rate
1.0,0,2.4339720538438967,3225,59,dynamic_range,60 61 62,mid_rate
1.0,1,2.294360397223099,2865,59,dynamic_range,60 61 62,mid_rate
1.0,2,2.253362658783071,2823,59,dynamic_range,60 61 62,mid_rate
1.0,-1,2.3272317032833554,0,59,dynamic_range,60 61 62,mid_rate
10.0,0,2.3885738781197166,3225,59,dynamic_range,60 61 62,mid_rate
10.0,1,2.2994330407124313,2865,59,dynamic_range,60 61 62,mid_rate
10.0,2,2.256137180769401,2823,59,dynamic_range,60 61 62,mid_rate
10.0,-1,2.314714699867183,0,59,dynamic_range,60 61 62,mid_rate
100.0,0,2.3545260637146437,3225,59,dynamic_range,60 61 62,mid_rate
100.0,1,2.2701497248588396,2865,59,dynamic_range,60 61 62,mid_rate
100.0,2,2.2342104009251416,2823,59,dynamic_range,60 61 62,mid_rate
100.0,-1,2.2862953964995416,0,59,dynamic_range,60 61 62,mid_rate
0.01,0,2.508190354517115,3225,60,dynamic_range,59 61 62,high_rate
0.01,1,2.4628360494708215,2823,60,dynamic_range,59 61 62,high_rate
0.01,2,2.1889705198472726,2700,60,dynamic_range,59 61 62,high_rate
0.01,-1,2.386665641278403,0,60,dynamic_range,59 61 62,high_rate
0.1,0,2.4406868878311276,3225,60,dynamic_range,59 61 62,high_rate
0.1,1,2.4059383903826745,2823,60,dynamic_range,59 61 62,high_rate
0.1,2,2.1286038899105133,2700,60,dynamic_range,59 61 62,high_rate
0.1,-1,2.3250763893747717,0,60,dynamic_range,59 61 62,high_rate
1.0,0,2.3070181568484878,3225,60,dynamic_range,59 61 62,high_rate
1.0,1,2.256346938739165,2823,60,dynamic_range,59 61 62,high_rate
1.0,2,2.1152432043107976,2700,60,dynamic_range,59 61 62,high_rate
1.0,-1,2.2262027666328166,0,60,dynamic_range,59 61 62,high_rate
10.0,0,2.248193768669604,3225,60,dynamic_range,59 61 62,high_rate
10.0,1,2.160215355497333,2823,60,dynamic_range,59 61 62,high_rate
10.0,2,2.124596985497272,2700,60,dynamic_range,59 61 62,high_rate
10.0,-1,2.177668703221403,0,60,dynamic_range,59 61 62,high_rate
100.0,0,2.218527949594774,3225,60,dynamic_range,59 61 62,high_rate
100.0,1,2.126249086573314,2823,60,dynamic_range,59 61 62,high_rate
100.0,2,2.11531893249873,2700,60,dynamic_range,59 61 62,high_rate
100.0,-1,2.153365322888939,0,60,dynamic_range,59 61 62,high_rate
0.01,0,2.552327139177649,2865,61,dynamic_range,59 60 62,high_rate
0.01,1,2.4121313101418864,2823,61,dynamic_range,59 60 62,high_rate
0.01,2,2.36262640145991,2700,61,dynamic_range,59 60 62,high_rate
0.01,-1,2.4423616169264815,0,61,dynamic_range,59 60 62,high_rate
0.1,0,2.4386732522731123,2865,61,dynamic_range,59 60 62,high_rate
0.1,1,2.386134476825571,2823,61,dynamic_range,59 60 62,high_rate
0.1,2,2.3468212058609477,2700,61,dynamic_range,59 60 62,high_rate
0.1,-1,2.390542978319877,0,61,dynamic_range,59 60 62,high_rate
1.0,0,2.3013999008350825,2865,61,dynamic_range,59 60 62,high_rate
1.0,1,2.262412310660627,2823,61,dynamic_range,59 60 62,high_rate
1.0,2,2.3108730592298463,2700,61,dynamic_range,59 60 62,high_rate
1.0,-1,2.2915617569085183,0,61,dynamic_range,59 60 62,high_rate
10.0,0,2.2480511995998618,2865,61,dynamic_range,59 60 62,high_rate
10.0,1,2.2534474203628836,2823,61,dynamic_range,59 60 62,high_rate
10.0,2,2.2681441546555554,2700,61,dynamic_range,59 60 62,high_rate
10.0,-1,2.2565475915394337,0,61,dynamic_range,59 60 62,high_rate
100.0,0,2.2130576532035215,2865,61,dynamic_range,59 60 62,high_rate
100.0,1,2.2337238751729207,2823,61,dynamic_range,59 60 62,high_rate
100.0,2,2.231810063798724,2700,61,dynamic_range,59 60 62,high_rate
100.0,-1,2.226197197391722,0,61,dynamic_range,59 60 62,high_rate
0.01,0,2.514315700749441,3225,62,dynamic_range,59 60 61,mid_rate
0.01,1,2.490270771669706,2865,62,dynamic_range,59 60 61,mid_rate
0.01,2,2.1990539040277457,2700,62,dynamic_range,59 60 61,mid_rate
0.01,-1,2.401213458815631,0,62,dynamic_range,59 60 61,mid_rate
0.1,0,2.4408750502094914,3225,62,dynamic_range,59 60 61,mid_rate
0.1,1,2.4179588732102326,2865,62,dynamic_range,59 60 61,mid_rate
