n,pred_mean_ns,target_mean_ns,heldout_run,selector,stratum_train_runs,heldout_stratum
345,1.5087268999845342,1.376858876902089,62,median_first4,59 60 61,mid_rate
346,2.3090647981732513,2.4104204640312403,62,median_first4,59 60 61,mid_rate
346,2.7794267483971034,2.437417739796242,62,median_first4,59 60 61,mid_rate
346,3.8342789258949557,3.1247014836810307,62,median_first4,59 60 61,mid_rate
159,-4.673624466854708,-4.790622218243799,63,median_first4,58 59 65,low_rate
158,-4.174156841466915,-4.529893543609865,63,median_first4,58 59 65,low_rate
159,-0.5647937535050187,-1.1427102345063045,63,median_first4,58 59 65,low_rate
158,1.6108218201182718,1.1041533216776844,63,median_first4,58 59 65,low_rate
159,2.1746813832112353,2.637214877614993,63,median_first4,58 59 65,low_rate
158,2.4832602969999282,2.709465690734054,63,median_first4,58 59 65,low_rate
159,3.1614085908828047,4.007887235067843,63,median_first4,58 59 65,low_rate
29,-4.616196997920938,-4.990365192750956,65,median_first4,58 59 63,low_rate
28,-4.092927924151165,-4.606255346861556,65,median_first4,58 59 63,low_rate
28,-0.02585287415976582,-0.545737736669425,65,median_first4,58 59 63,low_rate
28,1.9874798052524756,2.269101946220498,65,median_first4,58 59 63,low_rate
28,2.4440585868485742,2.5557860492723066,65,median_first4,58 59 63,low_rate
28,2.794520321547453,2.9428443358834686,65,median_first4,58 59 63,low_rate
29,4.098373227952984,2.464823850003779,65,median_first4,58 59 63,low_rate
39,-5.0247552628122225,-3.2874110486152426,58,dynamic_range,59 63 65,low_rate
38,-2.9404297801765074,-5.500520511731781,58,dynamic_range,59 63 65,low_rate
39,-0.24258727809192338,-0.0978166612856649,58,dynamic_range,59 63 65,low_rate
38,1.5457596749730846,1.124814703604151,58,dynamic_range,59 63 65,low_rate
39,2.2820328462368296,2.7768144124991614,58,dynamic_range,59 63 65,low_rate
38,3.548414511120611,2.696725281655089,58,dynamic_range,59 63 65,low_rate
39,5.995573145882134,2.244343041144223,58,dynamic_range,59 63 65,low_rate
386,-4.701708580566567,-4.447947092555552,59,dynamic_range,60 61 62,mid_rate
386,-3.9043495674757884,-3.843328217824437,59,dynamic_range,60 61 62,mid_rate
385,-0.47276756662687,-1.4557998375104864,59,dynamic_range,60 61 62,mid_rate
386,1.4408228627111543,1.3421949720455082,59,dynamic_range,60 61 62,mid_rate
385,1.9381858884497105,2.3458180758433094,59,dynamic_range,60 61 62,mid_rate
386,2.311380897510875,2.3533711793389043,59,dynamic_range,60 61 62,mid_rate
386,3.2495039640878116,3.707996667394186,59,dynamic_range,60 61 62,mid_rate
410,-4.725791386196263,-4.49204686165345,60,dynamic_range,59 61 62,high_rate
409,-3.8346140521175527,-3.760685403253264,60,dynamic_range,59 61 62,high_rate
409,-0.4100725617954713,-1.6408983247646989,60,dynamic_range,59 61 62,high_rate
409,1.4020313921854297,1.122469332442813,60,dynamic_range,59 61 62,high_rate
409,1.7703934306810136,1.8906374114660494,60,dynamic_range,59 61 62,high_rate
409,2.1492786080027577,2.423159218495436,60,dynamic_range,59 61 62,high_rate
410,3.5253761044043546,4.45744921808269,60,dynamic_range,59 61 62,high_rate
461,-4.774812055366071,-3.392202947960029,61,dynamic_range,59 60 62,high_rate
461,-3.7780326110031397,-3.68625222310257,61,dynamic_range,59 60 62,high_rate
460,-0.49983660671064334,-2.4861123501505804,61,dynamic_range,59 60 62,high_rate
461,1.3868775054622426,1.1075143809939358,61,dynamic_range,59 60 62,high_rate
460,1.8522955537441061,1.738890409419901,61,dynamic_range,59 60 62,high_rate
461,2.340169505607617,2.492903844744405,61,dynamic_range,59 60 62,high_rate
461,3.6998381500977313,4.2236380141661565,61,dynamic_range,59 60 62,high_rate
404,-4.697623689919823,-4.172922320836333,62,dynamic_range,59 60 61,mid_rate
403,-3.9281861940810545,-3.9422511815605374,62,dynamic_range,59 60 61,mid_rate
403,-0.4839008572682424,-1.5797328918086404,62,dynamic_range,59 60 61,mid_rate
403,1.5337788154643135,1.5836680503853844,62,dynamic_range,59 60 61,mid_rate
403,1.9114565102458698,1.8743816618991263,62,dynamic_range,59 60 61,mid_rate
403,2.315895204379295,2.6068963944143606,62,dynamic_range,59 60 61,mid_rate
404,3.468246147257446,3.6313042529356734,62,dynamic_range,59 60 61,mid_rate
189,-4.672757663599723,-3.44906385240878,63,dynamic_range,58 59 65,low_rate
189,-3.902803466002466,-4.463544288801832,63,dynamic_range,58 59 65,low_rate
189,-0.41412825565984673,-1.9303868853730277,63,dynamic_range,58 59 65,low_rate
189,1.5411290295550957,1.252588027845821,63,dynamic_range,58 59 65,low_rate
189,1.9066808282806702,1.6362350571460917,63,dynamic_range,58 59 65,low_rate
189,2.305362429613202,2.6645444683149946,63,dynamic_range,58 59 65,low_rate
189,3.2721322743512142,4.289627473276736,63,dynamic_range,58 59 65,low_rate
39,-5.01844326575518,-3.0216962306813273,65,dynamic_range,58 59 63,low_rate
38,-3.661552284520994,-3.7667893870837674,65,dynamic_range,58 59 63,low_rate
39,-0.48093504173992857,-2.0700266905781493,65,dynamic_range,58 59 63,low_rate
38,1.4002114385356288,1.7048111769500292,65,dynamic_range,58 59 63,low_rate
39,2.0075543140419816,1.6654114910841291,65,dynamic_range,58 59 63,low_rate
38,2.5570553910144627,2.888550046321469,65,dynamic_range,58 59 63,low_rate
39,4.767607613477698,2.6209337436334534,65,dynamic_range,58 59 63,low_rate
