method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,selector,stratum_train_runs,heldout_stratum
cfd10,2.0,heldout,270,-2.120910331031185,3.1437919036322777,13.633592270762309,0.08888888888888889,208.32415840917105,2.148270944650127,58,dynamic_range,59 63 65,low_rate
cfd20,2.0,train,4293,-2.186203243591052,3.226661948255877,8.415610179178096,0.057069648264616815,288.8247641471796,11.307564881254766,58,dynamic_range,59 63 65,low_rate
cfd20,2.0,heldout,270,-2.294109028982575,3.067842979809417,6.514333312268265,0.05555555555555555,241.7824916394587,2.187059834159138,58,dynamic_range,59 63 65,low_rate
cfd30,2.0,train,4293,-2.1212078583898233,3.316589698931642,8.54678450398211,0.07803400885161892,285.46838113218354,8.695008201689543,58,dynamic_range,59 63 65,low_rate
cfd30,2.0,heldout,270,-1.970720755876556,3.1373370966157625,6.785460525757561,0.10740740740740741,191.898128249095,1.6937027857461258,58,dynamic_range,59 63 65,low_rate
cfd40,2.0,train,4293,-1.9596305510925163,3.4980408169203745,8.80144576377931,0.11390635918937805,267.50287230138326,5.442923870428416,58,dynamic_range,59 63 65,low_rate
cfd40,2.0,heldout,270,-1.8361253710692846,3.348055370058612,6.958390520165262,0.12962962962962962,4.240471187670801,1.379372985784216,58,dynamic_range,59 63 65,low_rate
cfd50,2.0,train,4293,-1.815421468339757,3.687569056194655,9.064191719973861,0.14954577218728163,146.9286170502021,4.4051979417891935,58,dynamic_range,59 63 65,low_rate
cfd50,2.0,heldout,270,-1.633504288239184,3.4714127813260003,6.026337135954195,0.17777777777777778,219.35571696503894,1.721013571324634,58,dynamic_range,59 63 65,low_rate
template_phase,2.0,train,4293,-4.332063034072213,2.643004060497635,3.783660106468341,0.10319124155602143,1.3490869075397105,58.84323682155938,58,dynamic_range,59 63 65,low_rate
template_phase,2.0,heldout,270,-4.332063034072213,2.619976603959163,4.405459657414482,0.08888888888888889,2.4974710396449034,6.251794700552552,58,dynamic_range,59 63 65,low_rate
of_1_9,2.0,train,4293,-3.4958489748947628,4.38673111228251,75.75817806435514,0.2625203820172374,1.119695579327474,3.913555188116768,58,dynamic_range,59 63 65,low_rate
of_1_9,2.0,heldout,270,-3.346880288163412,5.122489629424436,184.1297119109632,0.34814814814814815,93.01222804490169,1.404419142188283,58,dynamic_range,59 63 65,low_rate
of_2_10,2.0,train,4293,-3.6977788139915972,4.252419165092344,67.27687635952178,0.2611227579781039,1.9314286718729283,4.5678512298447025,58,dynamic_range,59 63 65,low_rate
of_2_10,2.0,heldout,270,-3.704412588004054,5.530361616799972,164.6053401333325,0.35185185185185186,1.8564674768189788,1.3693645846193911,58,dynamic_range,59 63 65,low_rate
of_3_11,2.0,train,4293,-4.128241956942631,4.002585336541333,59.37054183492356,0.2557651991614256,1.2021629111726342,6.025722627523913,58,dynamic_range,59 63 65,low_rate
of_3_11,2.0,heldout,270,-4.283218554894262,5.0830425129727805,131.47978921764312,0.32222222222222224,1.0124596420101013,1.3426323029280411,58,dynamic_range,59 63 65,low_rate
of_4_12,2.0,train,4293,-4.407939064915233,4.184853473332772,50.385161409988974,0.27905893314698343,7.554011601997047,5.802365085001256,58,dynamic_range,59 63 65,low_rate
of_4_12,2.0,heldout,270,-4.208710845247538,5.352559033051011,100.5445612675454,0.3296296296296296,6.203972226107686,1.3391780117785441,58,dynamic_range,59 63 65,low_rate
le500,2.0,train,8148,-1.0151567273953148,4.111492800916798,7.138818805198617,0.20900834560628376,215.4935986191677,1.5209997299537932,59,dynamic_range,60 61 62,mid_rate
le500,2.0,heldout,2472,-0.9317805472911438,4.51325043471363,7.667399828088897,0.2580906148867314,196.27513709215285,1.0185008422086463,59,dynamic_range,60 61 62,mid_rate
cfd10,2.0,train,8913,-2.0301721680186375,3.1404551708914874,7.885428589975677,0.07113205430270392,312.278141524893,34.632700264512195,59,dynamic_range,60 61 62,mid_rate
cfd10,2.0,heldout,2700,-2.1122063987281514,3.2607206801241215,8.856401277617472,0.07592592592592592,289.3514685439419,11.586715459280056,59,dynamic_range,60 61 62,mid_rate
cfd20,2.0,train,8913,-2.043383512544807,3.0675529336846328,7.96421962883212,0.05991248737798721,278.7354267732338,18.36358437124235,59,dynamic_range,60 61 62,mid_rate
cfd20,2.0,heldout,2700,-2.281562431315841,3.1652612211163844,9.31981276656477,0.06222222222222222,299.16388047215605,7.088792809412183,59,dynamic_range,60 61 62,mid_rate
cfd30,2.0,train,8913,-1.9109276399210486,3.172343645079331,8.167640768222755,0.07775159878828677,237.0994726749706,13.789738655687662,59,dynamic_range,60 61 62,mid_rate
cfd30,2.0,heldout,2700,-2.208155325710159,3.274683639248173,9.458511895567598,0.08518518518518518,311.1025073918107,5.092904080241241,59,dynamic_range,60 61 62,mid_rate
cfd40,2.0,train,8913,-1.72291931795165,3.3288844102803594,8.241912853694414,0.10613710310782004,216.28811439812435,7.441325286625418,59,dynamic_range,60 61 62,mid_rate
cfd40,2.0,heldout,2700,-2.1056282852749213,3.4748421733780193,9.579076768917922,0.11814814814814815,281.240548267091,3.79942649174077,59,dynamic_range,60 61 62,mid_rate
cfd50,2.0,train,8913,-1.5089920762090046,3.5042136634744487,8.519581203098406,0.13721530348928532,171.68214127221984,6.635069625793799,59,dynamic_range,60 61 62,mid_rate
cfd50,2.0,heldout,2700,-1.9099128205308737,3.6942864519694316,9.444440469003082,0.14962962962962964,181.08538745087927,2.8817818953837877,59,dynamic_range,60 61 62,mid_rate
template_phase,2.0,train,8913,-3.849487411157419,2.73807179852178,4.379267310718619,0.0834735779198923,0.6310169440542618,166.5594866738607,59,dynamic_range,60 61 62,mid_rate
template_phase,2.0,heldout,2700,-3.849487411157419,2.98807179852178,4.264454711447589,0.07962962962962963,0.6236449196878897,51.118879498686766,59,dynamic_range,60 61 62,mid_rate
of_1_9,2.0,train,8913,-3.2130751860468507,4.3159367179489845,144.46371117582115,0.25793784359923705,1.2623019245520626,7.100188928935198,59,dynamic_range,60 61 62,mid_rate
of_1_9,2.0,heldout,2700,-3.3021534042108875,4.418491324048841,73.21307826757678,0.2544444444444444,1.0746885842397367,2.7513924741050846,59,dynamic_range,60 61 62,mid_rate
of_2_10,2.0,train,8913,-3.43779379123324,4.280664362908348,125.57366576444242,0.26074273533041625,105.5701594757565,8.363580822523176,59,dynamic_range,60 61 62,mid_rate
of_2_10,2.0,heldout,2700,-3.6052806866233027,4.260203562984503,63.81772684032203,0.25037037037037035,1.0284202101335576,3.5237757586277056,59,dynamic_range,60 61 62,mid_rate
of_3_11,2.0,train,8913,-3.7091392046919154,4.161906750710665,100.61026341605458,0.25603051722203524,1.498728539864597,5.923366950606589,59,dynamic_range,60 61 62,mid_rate
of_3_11,2.0,heldout,2700,-3.909361999788416,4.054320484152476,53.920429822341305,0.24481481481481482,1.2353109658461126,3.6512331645079286,59,dynamic_range,60 61 62,mid_rate
of_4_12,2.0,train,8913,-3.9782460928645875,4.131691579226183,77.36726539118861,0.2650061707618086,5.2855892655364745,7.243687133718249,59,dynamic_range,60 61 62,mid_rate
of_4_12,2.0,heldout,2700,-4.399492213382224,4.004815530319768,44.72360152272165,0.2562962962962963,1.1934451408540503,4.600838927850481,59,dynamic_range,60 61 62,mid_rate
le500,2.0,train,8022,-0.8994993590838156,4.236314295699463,7.0388746830782765,0.22388431812515583,207.32239141291402,1.5677391237392009,60,dynamic_range,59 61 62,high_rate
le500,2.0,heldout,2598,-1.3580602523572054,4.083696705704884,7.908790716889504,0.20708237105465743,256.2847033572492,1.2761969417829002,60,dynamic_range,59 61 62,high_rate
cfd10,2.0,train,8748,-2.036724429282863,3.1655609689748423,8.072752110689985,0.0723593964334705,258.1119034225005,34.49229715253766,60,dynamic_range,59 61 62,high_rate
cfd10,2.0,heldout,2865,-2.0868405119596574,3.176111666600735,8.27077803832594,0.07504363001745201,267.0257162838831,12.010790444286576,60,dynamic_range,59 61 62,high_rate
cfd20,2.0,train,8748,-2.0830399958959944,3.0787711415822554,8.310078404234362,0.05818472793781436,248.9739903615166,17.672718804084855,60,dynamic_range,59 61 62,high_rate
cfd20,2.0,heldout,2865,-2.0955452976704017,3.1423372474798326,8.271018334530508,0.06352530541012216,273.084764182635,7.83906820205693,60,dynamic_range,59 61 62,high_rate
cfd30,2.0,train,8748,-1.945939558826682,3.1818414602045526,8.529423355446143,0.07818930041152264,305.6997464491856,12.460381199649525,60,dynamic_range,59 61 62,high_rate
cfd30,2.0,heldout,2865,-2.0487929930605446,3.2713437147419735,8.355470594459254,0.08411867364746946,278.58903415373163,5.567032075643429,60,dynamic_range,59 61 62,high_rate
cfd40,2.0,train,8748,-1.7593030407422638,3.3523609273374495,8.59995045863645,0.1081390032007316,225.00208106604217,7.541324305280934,60,dynamic_range,59 61 62,high_rate
cfd40,2.0,heldout,2865,-1.9351422619886023,3.420429571904373,8.490969075329064,0.1137870855148342,229.75177384013864,3.3687733021154234,60,dynamic_range,59 61 62,high_rate
cfd50,2.0,train,8748,-1.5583144475040207,3.5486189663203564,8.741627545230026,0.1391175125743027,179.74230839804196,6.925365374610276,60,dynamic_range,59 61 62,high_rate
cfd50,2.0,heldout,2865,-1.7010324342826593,3.5692411049473374,8.751150894544429,0.1518324607329843,221.23390855802666,3.3949709313738015,60,dynamic_range,59 61 62,high_rate
template_phase,2.0,train,8748,-3.885944255999,2.644979497149027,4.117089158651108,0.08436213991769548,1.4995544615531111,117.576926740892,60,dynamic_range,59 61 62,high_rate
template_phase,2.0,heldout,2865,-3.885944255999,2.644979497149034,4.143694400066728,0.08795811518324607,268.9203653141496,68.29567413958598,60,dynamic_range,59 61 62,high_rate
of_1_9,2.0,train,8748,-3.0934606136206284,4.17709518122313,134.0048276254024,0.24417009602194786,23.40071603176204,6.714949605199905,60,dynamic_range,59 61 62,high_rate
of_1_9,2.0,heldout,2865,-3.4949433804844006,4.541545051244674,133.3379862783763,0.28307155322862126,1.3307702879528396,2.2709735196063634,60,dynamic_range,59 61 62,high_rate
of_2_10,2.0,train,8748,-3.284710012897463,4.131698392918691,116.388708594572,0.24371284865112025,5.209039555962057,7.028919456503829,60,dynamic_range,59 61 62,high_rate
of_2_10,2.0,heldout,2865,-3.7443197623491358,4.495775174453924,118.99760745866121,0.28097731239092494,3.528098117559414,3.1701024994955755,60,dynamic_range,59 61 62,high_rate
of_3_11,2.0,train,8748,-3.572155503781076,3.9502320056701166,91.64767246903521,0.23388203017832648,2.7919838366940186,6.274765836007315,60,dynamic_range,59 61 62,high_rate
of_3_11,2.0,heldout,2865,-3.9900888004056654,4.232713884477115,103.30776081041229,0.2729493891797557,1.3216369056804753,2.0593937420292994,60,dynamic_range,59 61 62,high_rate
of_4_12,2.0,train,8748,-3.828318671227688,3.955518300873313,67.89704234783288,0.24691358024691357,5.959415123296402,5.084704886062592,60,dynamic_range,59 61 62,high_rate
of_4_12,2.0,heldout,2865,-4.276159059456361,4.487768754038574,87.26325932465674,0.2917975567190227,4.213237826744382,3.5399907581163625,60,dynamic_range,59 61 62,high_rate
le500,2.0,train,7662,-1.1074545111186502,4.339339768696181,7.303126677441237,0.2328373792743409,253.0138883147526,1.1442821365595475,61,dynamic_range,59 60 62,high_rate
le500,2.0,heldout,2958,-0.756174581155932,3.857772011903431,7.160934253639394,0.18120351588911426,227.8990637575425,1.581250866212965,61,dynamic_range,59 60 62,high_rate
cfd10,2.0,train,8388,-2.1039352455029707,3.2172127189020414,8.103151249518234,0.07200762994754412,297.6808310314177,33.32346672674757,61,dynamic_range,59 60 62,high_rate
cfd10,2.0,heldout,3225,-1.9302110237690044,3.0401804906018897,8.170940148398671,0.06976744186046512,235.1517706041028,12.973353730728494,61,dynamic_range,59 60 62,high_rate
cfd20,2.0,train,8388,-2.185973204067757,3.1580863861899595,8.386387607498344,0.06044349070100143,271.93576351102445,19.78364745548649,61,dynamic_range,59 60 62,high_rate
cfd20,2.0,heldout,3225,-1.849650335374747,2.9116645799520784,8.071631343508555,0.053953488372093024,287.9567795024778,6.3500713296670845,61,dynamic_range,59 60 62,high_rate
cfd30,2.0,train,8388,-2.090658350702249,3.2780672065565586,8.590331852828013,0.08214115402956605,271.21674697581284,13.317035171061454,61,dynamic_range,59 60 62,high_rate
cfd30,2.0,heldout,3225,-1.7401971553591729,2.984789990408569,8.209058329557084,0.07255813953488371,264.96194959500133,4.622317585044851,61,dynamic_range,59 60 62,high_rate
cfd40,2.0,train,8388,-1.9635327892252175,3.4586452426888163,8.679226020438856,0.11552217453505007,291.6811852595498,8.860137026865864,61,dynamic_range,59 60 62,high_rate
cfd40,2.0,heldout,3225,-1.5044499289697413,3.1208156972362375,8.284909116248613,0.09085271317829458,233.21479595824542,2.8959214174592214,61,dynamic_range,59 60 62,high_rate
cfd50,2.0,train,8388,-1.7695384687517368,3.6475979605461792,8.822972987318737,0.15152598950882212,207.2203651779048,7.78016999295787,61,dynamic_range,59 60 62,high_rate
cfd50,2.0,heldout,3225,-1.2750653136570733,3.251581548428567,8.525705762836424,0.11596899224806202,120.36994281519087,3.616039431556885,61,dynamic_range,59 60 62,high_rate
template_phase,2.0,train,8388,-4.0810493664083936,2.8470471493377936,4.104602295787596,0.09310920362422509,1.2751528834261034,170.49101280918845,61,dynamic_range,59 60 62,high_rate
template_phase,2.0,heldout,3225,-3.0810493664083936,2.6535696154713904,4.10723947700401,0.06449612403100775,1.3628298376232912,58.10317932625099,61,dynamic_range,59 60 62,high_rate
of_1_9,2.0,train,8388,-3.4759940894141366,4.339977167468132,143.21084069980375,0.2602527420123987,1.120843151311732,7.062904683780314,61,dynamic_range,59 60 62,high_rate
of_1_9,2.0,heldout,3225,-2.9911620988779006,3.9462904210217307,99.24044686174983,0.2337984496124031,3.725009515961883,3.450592212223872,61,dynamic_range,59 60 62,high_rate
of_2_10,2.0,train,8388,-3.678491536053027,4.271244876517894,124.59340234881732,0.25774916547448734,1.1833202221949701,8.20715147627074,61,dynamic_range,59 60 62,high_rate
of_2_10,2.0,heldout,3225,-3.1030430791869748,3.9920915421831547,83.32980250742057,0.2412403100775194,3.190242587175902,2.53714472942793,61,dynamic_range,59 60 62,high_rate
of_3_11,2.0,train,8388,-4.019390014784115,4.161354044567878,98.66943792742985,0.26013352408202195,1.4635744324972346,6.514055597407861,61,dynamic_range,59 60 62,high_rate
of_3_11,2.0,heldout,3225,-3.336506080161726,3.9979342567131333,69.99869281943346,0.23627906976744187,2.8328476885369236,2.903048047216299,61,dynamic_range,59 60 62,high_rate
of_4_12,2.0,train,8388,-4.275915977916213,4.1523398610383815,74.99778482688103,0.2690748688602766,5.852099840744856,7.887661835794642,61,dynamic_range,59 60 62,high_rate
of_4_12,2.0,heldout,3225,-3.4159940613260105,4.001355247093741,57.20119786626643,0.25705426356589145,3.4479783380765694,1.9110227966137694,61,dynamic_range,59 60 62,high_rate
le500,2.0,train,8028,-0.9831291830443227,4.143580054812349,7.570973300693828,0.21188340807174888,223.26507621157938,1.4083817635003055,62,dynamic_range,59 60 61,mid_rate
le500,2.0,heldout,2592,-1.0354906685942975,4.387499509297249,6.22351437640735,0.24074074074074073,302.3872159405069,0.9485254538110096,62,dynamic_range,59 60 61,mid_rate
cfd10,2.0,train,8790,-2.0301906596922272,3.153419183546055,8.41965025958968,0.07542662116040956,282.4387060629666,35.0837762084458,62,dynamic_range,59 60 61,mid_rate
cfd10,2.0,heldout,2823,-2.1068641041854406,3.215525719136355,7.113258433243857,0.06553312079348211,281.3801335212813,11.689166744471184,62,dynamic_range,59 60 61,mid_rate
cfd20,2.0,train,8790,-2.072209937273982,3.056042367332535,8.53847504439882,0.05893060295790671,310.21372235168286,18.46518588257003,62,dynamic_range,59 60 61,mid_rate
cfd20,2.0,heldout,2823,-2.191374836463467,3.172867395289056,7.509626729504587,0.05880269217144881,282.3319528355896,7.200470394098488,62,dynamic_range,59 60 61,mid_rate
cfd30,2.0,train,8790,-1.9619786911933765,3.177796382440013,8.660105100642898,0.07940841865756541,307.6318471997708,12.403970896960185,62,dynamic_range,59 60 61,mid_rate
cfd30,2.0,heldout,2823,-2.0280084656937767,3.290642593143915,7.92191817507525,0.08005667729365923,319.7160845096076,5.142828153006144,62,dynamic_range,59 60 61,mid_rate
cfd40,2.0,train,8790,-1.762575002955547,3.3524280185971085,8.771493563033115,0.1080773606370876,254.86953223135595,7.238629384808204,62,dynamic_range,59 60 61,mid_rate
cfd40,2.0,heldout,2823,-1.9153012477718363,3.443597676021898,7.924219914072361,0.11370882040382571,216.21634786174621,3.9884268754464265,62,dynamic_range,59 60 61,mid_rate
cfd50,2.0,train,8790,-1.5556446315547987,3.5146768124407215,8.894917911066155,0.14072810011376563,241.96010312217666,6.334715642483634,62,dynamic_range,59 60 61,mid_rate
cfd50,2.0,heldout,2823,-1.7052829445703352,3.6631474125928114,8.259432007687845,0.14665249734325186,139.76645456015302,3.3485819292882817,62,dynamic_range,59 60 61,mid_rate
template_phase,2.0,train,8790,-4.09461012238058,2.620633114745022,4.28188968688175,0.10705346985210466,0.6873405007856785,198.46835079088385,62,dynamic_range,59 60 61,mid_rate
template_phase,2.0,heldout,2823,-4.09461012238058,2.870633114745022,4.258511056357096,0.09705986539142757,0.8613283979579762,63.42070864160736,62,dynamic_range,59 60 61,mid_rate
of_1_9,2.0,train,8790,-3.319952833006994,4.333157291470011,103.69842312841818,0.26154721274175197,1.1904139877121294,7.529857248853842,62,dynamic_range,59 60 61,mid_rate
of_1_9,2.0,heldout,2823,-3.328920749579268,4.392832097437059,192.7609137662198,0.255047821466525,1.259771128609737,2.2925681400355264,62,dynamic_range,59 60 61,mid_rate
of_2_10,2.0,train,8790,-3.522002982735472,4.270431028137333,90.54559784356466,0.2609783845278726,122.07109201007944,9.784922256325851,62,dynamic_range,59 60 61,mid_rate
of_2_10,2.0,heldout,2823,-3.574445595768047,4.359987965551664,167.4555063887161,0.25540205455189513,1.195141766097418,2.931004820867015,62,dynamic_range,59 60 61,mid_rate
of_3_11,2.0,train,8790,-3.8338245821188046,4.149195044855883,77.78826125177149,0.2597269624573379,1.5656045852407885,7.341438586149213,62,dynamic_range,59 60 61,mid_rate
of_3_11,2.0,heldout,2823,-3.913336034077666,4.150522203501051,126.51415757768007,0.2507970244420829,1.21422735452124,1.941304868988561,62,dynamic_range,59 60 61,mid_rate
of_4_12,2.0,train,8790,-4.100616900380874,4.224492545521895,64.77676791897719,0.2737201365187713,5.889531377411818,7.645893060008354,62,dynamic_range,59 60 61,mid_rate
of_4_12,2.0,heldout,2823,-4.2191506924066005,4.026862994755183,87.50316555039107,0.2561105207226355,199.02528251260517,3.497976110645389,62,dynamic_range,59 60 61,mid_rate
le500,2.0,train,2907,-1.0535343079169088,4.484109446780443,7.262123551464087,0.2504299965600275,258.1336333026522,0.8619221205937245,63,dynamic_range,58 59 65,low_rate
le500,2.0,heldout,1191,-0.7728474730894987,4.663210716113203,7.2813702280073445,0.2795969773299748,441.4041601069275,1.3020690495509255,63,dynamic_range,58 59 65,low_rate
cfd10,2.0,train,3240,-2.121851623701275,3.244952337839422,9.04102149490841,0.07685185185185185,305.1608121239598,14.08317892100667,63,dynamic_range,58 59 65,low_rate
cfd10,2.0,heldout,1323,-2.0249849478156037,3.2062923356007818,6.9818340226564235,0.08314436885865457,244.79001312396738,6.275809758450682,63,dynamic_range,58 59 65,low_rate
cfd20,2.0,train,3240,-2.282027435567631,3.1454336147839355,8.759391004293036,0.06080246913580247,231.38385641116608,9.007790291642472,63,dynamic_range,58 59 65,low_rate
cfd20,2.0,heldout,1323,-1.9198005873636141,3.3731708105746914,7.109395472572888,0.06349206349206349,299.2548134271671,4.44391048765614,63,dynamic_range,58 59 65,low_rate
cfd30,2.0,train,3240,-2.1834390332119504,3.2501426077212945,8.916395419033151,0.08364197530864198,234.45330972969032,6.2486316641169966,63,dynamic_range,58 59 65,low_rate
cfd30,2.0,heldout,1323,-1.8065942734010267,3.4140527795416884,7.189806318204364,0.07709750566893424,315.8360706715043,3.821523318208943,63,dynamic_range,58 59 65,low_rate
cfd40,2.0,train,3240,-2.0396333369293522,3.447095729879938,9.037346491664897,0.11574074074074074,241.49838397805678,4.216628797444127,63,dynamic_range,58 59 65,low_rate
cfd40,2.0,heldout,1323,-1.792913271874042,3.585172943499833,7.821709050873132,0.10506424792139078,224.2966089061426,1.6822090865119292,63,dynamic_range,58 59 65,low_rate
cfd50,2.0,train,3240,-1.8805394617891835,3.657459834054682,8.866532961506856,0.14629629629629629,169.07112980304393,4.188396068454076,63,dynamic_range,58 59 65,low_rate
cfd50,2.0,heldout,1323,-1.5517443262215806,3.749707567537939,9.019366854406105,0.15117157974300832,2.071861243386376,2.239095776173455,63,dynamic_range,58 59 65,low_rate
template_phase,2.0,train,3240,-3.664752306024269,2.207729558242189,3.7188480290416805,0.06512345679012346,1.3420916676786991,48.04985711538058,63,dynamic_range,58 59 65,low_rate
template_phase,2.0,heldout,1323,-3.664752306024269,2.2077295582421925,3.2551808424156103,0.06953892668178382,0.15841060172242943,17.173532791790862,63,dynamic_range,58 59 65,low_rate
of_1_9,2.0,train,3240,-2.904719330675153,4.0743719234838185,96.66398072674967,0.24537037037037038,2.821182121090864,2.6609560526636296,63,dynamic_range,58 59 65,low_rate
of_1_9,2.0,heldout,1323,-2.909329525964651,4.139644593187462,51.52958908144344,0.25170068027210885,1.4171795363067998,2.147580244342858,63,dynamic_range,58 59 65,low_rate
of_2_10,2.0,train,3240,-3.0222024040257836,3.977543484297194,85.54178016619039,0.24135802469135803,2.1571260499892406,2.922349521365846,63,dynamic_range,58 59 65,low_rate
of_2_10,2.0,heldout,1323,-3.06096432570871,4.036805264777465,46.004315091484784,0.24640967498110355,1.7149665954722872,1.712434524262757,63,dynamic_range,58 59 65,low_rate
of_3_11,2.0,train,3240,-3.3673600862334823,3.7381654856866406,73.73833580900211,0.2271604938271605,2.4633343987309604,2.941659410358291,63,dynamic_range,58 59 65,low_rate
of_3_11,2.0,heldout,1323,-3.4562368315214123,3.839551332482798,41.35154124313435,0.23960695389266817,1.4532895428135881,2.2984686385301747,63,dynamic_range,58 59 65,low_rate
of_4_12,2.0,train,3240,-3.643343315159889,3.9356157252896553,61.74287813927311,0.25,3.236729050806518,2.076076569291232,63,dynamic_range,58 59 65,low_rate
of_4_12,2.0,heldout,1323,-3.8120449476703584,3.9295798842298306,36.8480490512846,0.2705971277399849,2.9523055963440146,2.4687031412757343,63,dynamic_range,58 59 65,low_rate
le500,2.0,train,3885,-0.9519306655798587,4.534027885820404,7.396031289066674,0.2617760617760618,284.6918446552558,1.0545538356652924,65,dynamic_range,58 59 63,low_rate
le500,2.0,heldout,213,-1.7708976057055494,4.331028703720003,4.312793129347474,0.2300469483568075,2.0908311577772354,0.8138988189251644,65,dynamic_range,58 59 63,low_rate
cfd10,2.0,train,4293,-2.0961981170691786,3.2413332280551828,8.724012110070703,0.07919869555089681,337.68220447368066,18.00011412990799,65,dynamic_range,58 59 63,low_rate
cfd10,2.0,heldout,270,-2.281407828011485,3.0903681150635887,3.136175044891866,0.07407407407407407,170.83296868484663,2.6650215032846516,65,dynamic_range,58 59 63,low_rate
cfd20,2.0,train,4293,-2.184165837890056,3.2319527030948176,8.537452904915211,0.05776846028418355,300.48497625997754,11.472117150991973,65,dynamic_range,58 59 63,low_rate
cfd20,2.0,heldout,270,-2.307276519929575,2.958561537573531,3.08286328132459,0.05925925925925926,194.4584399064768,1.7077184947041666,65,dynamic_range,58 59 63,low_rate
cfd30,2.0,train,4293,-2.083756068252823,3.3195752897323607,8.6663933961312,0.08176100628930817,261.22668513404415,7.474521712150452,65,dynamic_range,58 59 63,low_rate
cfd30,2.0,heldout,270,-2.176232139342126,3.0281630104058412,3.6455740989471885,0.04814814814814815,193.0818743306497,2.072685947825209,65,dynamic_range,58 59 63,low_rate
cfd40,2.0,train,4293,-1.9596305510925163,3.5030415314969394,8.923397943373722,0.11693454460750058,270.304568653368,4.7230442521975675,65,dynamic_range,58 59 63,low_rate
cfd40,2.0,heldout,270,-1.9396076853108575,3.111648236251121,3.748208868090743,0.08518518518518518,10.489909695200119,2.4770989099463705,65,dynamic_range,58 59 63,low_rate
cfd50,2.0,train,4293,-1.7965115273956158,3.7027948574201455,9.137487178781114,0.15280689494525973,157.07266779113323,4.017023305284514,65,dynamic_range,58 59 63,low_rate
cfd50,2.0,heldout,270,-1.7140853629029031,3.2111038362297077,3.8847639989205236,0.10740740740740741,135.74256379882013,1.771697358956707,65,dynamic_range,58 59 63,low_rate
template_phase,2.0,train,4293,-4.3832523645756964,2.685479852539455,3.9440734540918907,0.10319124155602143,1.316534537135254,59.41485526142914,65,dynamic_range,58 59 63,low_rate
template_phase,2.0,heldout,270,-4.3832523645757036,2.6793335227910653,2.5637534248893896,0.044444444444444446,2.2023228727463375,6.52772689652408,65,dynamic_range,58 59 63,low_rate
of_1_9,2.0,train,4293,-3.494890517528084,4.38076405090494,80.9187828415893,0.26368506871651526,1.1005332450259067,4.524270028698739,65,dynamic_range,58 59 63,low_rate
of_1_9,2.0,heldout,270,-3.17073527607473,4.811760805188204,142.59161044253764,0.34074074074074073,2.0852160319871293,1.572330385441232,65,dynamic_range,58 59 63,low_rate
of_2_10,2.0,train,4293,-3.679317674633232,4.257448342580519,71.76905167514153,0.26019100861868155,1.632872326626858,4.641888428180372,65,dynamic_range,58 59 63,low_rate
of_2_10,2.0,heldout,270,-3.4054585934783255,5.117727892324181,127.45807689079905,0.3296296296296296,1.8237392309209566,1.586775623403888,65,dynamic_range,58 59 63,low_rate
of_3_11,2.0,train,4293,-4.095081835618892,4.0654737952725,60.593047768212706,0.25925925925925924,1.2964535180999168,5.911556327615595,65,dynamic_range,58 59 63,low_rate
of_3_11,2.0,heldout,270,-4.248441631732634,4.49028686771056,119.67103772871276,0.2962962962962963,1.4492550223895844,1.6478246162735424,65,dynamic_range,58 59 63,low_rate
of_4_12,2.0,train,4293,-4.369735970672274,4.256145493406376,49.45678049947675,0.2802236198462614,24.788959437915764,5.258708192046473,65,dynamic_range,58 59 63,low_rate
of_4_12,2.0,heldout,270,-4.395070818674984,6.0699940065650795,108.12808649030855,0.3037037037037037,2.123093918184092,1.4036252859766993,65,dynamic_range,58 59 63,low_rate
