method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,selector,stratum_train_runs,heldout_stratum
of_3_11,2.0,train,7134,-3.803401403548108,3.4531047583375267,3.880260267508556,0.17185309784132324,1.405116068228277,9.10579215668586,61,median_first4,59 60 62,high_rate
of_3_11,2.0,heldout,2799,-3.0743008549350677,3.278364377526093,3.916644890177183,0.14397999285459093,2.6719187283040338,2.77561110095254,61,median_first4,59 60 62,high_rate
of_4_12,2.0,train,7134,-3.8138399583606137,3.389364753709399,4.01402029860925,0.16694701429772918,149.427212731029,9.264375774292198,61,median_first4,59 60 62,high_rate
of_4_12,2.0,heldout,2799,-3.0565804440888016,3.1649104175458627,4.057056490082899,0.15183994283672742,3.377565449181383,2.2061612300937723,61,median_first4,59 60 62,high_rate
le500,2.0,train,7512,-1.3155944870790641,4.06068941340133,7.243511838702693,0.1998136315228967,243.08400150872058,1.1442199809066338,62,median_first4,59 60 61,mid_rate
le500,2.0,heldout,2421,-1.3906365523437643,4.314709746997533,5.756105031642925,0.22800495662949194,277.63810889835133,1.142886334708105,62,median_first4,59 60 61,mid_rate
cfd10,2.0,train,7512,-2.68577457578791,3.19852465584454,7.032070054593761,0.043397231096911605,274.17453355757533,14.259079030287346,62,median_first4,59 60 61,mid_rate
cfd10,2.0,heldout,2421,-2.7391924388887148,3.303227614599568,4.851278348496022,0.04543577034283354,250.76102393038272,5.801284084345282,62,median_first4,59 60 61,mid_rate
cfd20,2.0,train,7512,-2.734314887334282,3.0863632957854987,6.5953899513559175,0.05577742279020234,287.8437138944616,10.804737069348912,62,median_first4,59 60 61,mid_rate
cfd20,2.0,heldout,2421,-2.9104041865078614,3.2316856378650773,4.955452322869143,0.06319702602230483,305.59152938302867,5.227346682931456,62,median_first4,59 60 61,mid_rate
cfd30,2.0,train,7512,-2.6246880342591155,3.1830873885898665,6.572582940317547,0.08679446219382321,306.3397409930199,9.995294829977425,62,median_first4,59 60 61,mid_rate
cfd30,2.0,heldout,2421,-2.862418604651161,3.35878504539669,5.481087556832388,0.10037174721189591,250.47995750237828,5.283522464465839,62,median_first4,59 60 61,mid_rate
cfd40,2.0,train,7512,-2.386162424645992,3.3570480332447974,6.640021349268507,0.11182108626198083,223.01778331972375,6.7096369543643135,62,median_first4,59 60 61,mid_rate
cfd40,2.0,heldout,2421,-2.58512634886781,3.510109172175021,5.618441829995417,0.1235026848409748,1.0718838687111991,3.1251784038723915,62,median_first4,59 60 61,mid_rate
cfd50,2.0,train,7512,-2.0802512162439974,3.542644369010697,7.134168244646509,0.14084132055378062,224.4539501785934,4.83265104113996,62,median_first4,59 60 61,mid_rate
cfd50,2.0,heldout,2421,-2.2720999799593287,3.735544732889161,6.011024448075302,0.15530772408095828,1.3022918955347944,2.833706422970556,62,median_first4,59 60 61,mid_rate
template_phase,2.0,train,7512,-3.6001533211639583,2.8000766605819756,3.293937844094964,0.07055378061767838,1.2123516339490312,94.23032576873386,62,median_first4,59 60 61,mid_rate
template_phase,2.0,heldout,2421,-3.855827307145553,2.922239667591189,3.357586792010429,0.0875671210243701,3.4176025625085065,53.570554464120924,62,median_first4,59 60 61,mid_rate
of_1_9,2.0,train,7512,-3.232811326783228,3.38597613811907,3.8346366334696294,0.15774760383386582,188.67326225185965,10.723320778020817,62,median_first4,59 60 61,mid_rate
of_1_9,2.0,heldout,2421,-3.3354503659106527,3.389756496984363,3.8023306386355475,0.1536555142503098,145.28221540931955,3.9552864592458263,62,median_first4,59 60 61,mid_rate
of_2_10,2.0,train,7512,-3.3669826282925577,3.4444327765866767,3.8811039191144796,0.1646698615548456,146.29667408475032,9.72731135936498,62,median_first4,59 60 61,mid_rate
of_2_10,2.0,heldout,2421,-3.502063161703603,3.442787040071786,3.8470771727330817,0.16191656340355226,151.99614022176922,3.7534442360314255,62,median_first4,59 60 61,mid_rate
of_3_11,2.0,train,7512,-3.500150080204037,3.4350738143781023,3.8833294396884668,0.1645367412140575,8.337802935879653,9.521195408906541,62,median_first4,59 60 61,mid_rate
of_3_11,2.0,heldout,2421,-3.709230274745792,3.4182950007323356,3.9136149914010185,0.16522098306484923,1.429389831678997,3.6143117745791327,62,median_first4,59 60 61,mid_rate
of_4_12,2.0,train,7512,-3.548529801123358,3.3769006453503176,3.999353033280622,0.16679978700745474,135.9217147731823,8.037225487927124,62,median_first4,59 60 61,mid_rate
of_4_12,2.0,heldout,2421,-3.7819090793541577,3.3943716934749357,4.114806909665524,0.164394878149525,204.82863084805672,3.1282344232714316,62,median_first4,59 60 61,mid_rate
le500,2.0,train,2706,-1.4116814653717142,4.391262545330149,6.537820403090459,0.2320768662232077,3.3517017140482523,0.7851832829696984,63,median_first4,58 59 65,low_rate
le500,2.0,heldout,1110,-1.319753876392566,4.583909700007694,7.374415951535576,0.26216216216216215,322.83848147147853,1.37443984902839,63,median_first4,58 59 65,low_rate
cfd10,2.0,train,2706,-2.8330612593919966,3.3053974211955235,7.527562888522665,0.04878048780487805,259.1037489541432,5.332270223167912,63,median_first4,58 59 65,low_rate
cfd10,2.0,heldout,1110,-2.809220206458404,3.3315524587883734,6.640219649259828,0.05225225225225225,242.46233867324588,2.8154112432401996,63,median_first4,58 59 65,low_rate
cfd20,2.0,train,2706,-3.1177592229072957,3.1842889765152464,5.558805010722262,0.07280118255728012,292.45950412259657,7.0033652842356275,63,median_first4,58 59 65,low_rate
cfd20,2.0,heldout,1110,-3.0056042907040226,3.4035141628299086,6.5830265869175175,0.07207207207207207,316.9725770697338,4.393756259298289,63,median_first4,58 59 65,low_rate
cfd30,2.0,train,2706,-2.93172139092961,3.2667275706648233,5.56346254009933,0.09866962305986696,266.7035283471863,5.3544270974650425,63,median_first4,58 59 65,low_rate
cfd30,2.0,heldout,1110,-2.8414114112722952,3.4846886834183652,6.581527673468596,0.0963963963963964,0.8946339864481381,2.796414992466682,63,median_first4,58 59 65,low_rate
cfd40,2.0,train,2706,-2.7680957797130574,3.442076439729193,5.760005201848396,0.12269031781226904,243.2876535409643,3.9026896103185527,63,median_first4,58 59 65,low_rate
cfd40,2.0,heldout,1110,-2.567911305517743,3.5834597127172714,6.691306540627018,0.12882882882882882,1.153238683877,1.5903990723707762,63,median_first4,58 59 65,low_rate
cfd50,2.0,train,2706,-2.465556553975576,3.6787157923375204,6.701545236483586,0.14781966001478197,1.3916968366786222,2.8765790129856623,63,median_first4,58 59 65,low_rate
cfd50,2.0,heldout,1110,-2.1782285032212236,3.759772549262583,8.221552387263516,0.15855855855855855,1.4482049102748815,1.2916521541321138,63,median_first4,58 59 65,low_rate
template_phase,2.0,train,2706,-3.5479916875348323,2.549851086013647,3.087754346060281,0.07649667405764966,0.4309560585985424,63.238286497540734,63,median_first4,58 59 65,low_rate
template_phase,2.0,heldout,1110,-3.5479916875348394,2.54985108601365,3.18723379185739,0.08108108108108109,2.7135405505496717,26.674628670223672,63,median_first4,58 59 65,low_rate
of_1_9,2.0,train,2706,-2.8533372393628866,3.1750285740329613,3.6532295493688407,0.14153732446415374,8.516972014844228,3.9871393738772056,63,median_first4,58 59 65,low_rate
of_1_9,2.0,heldout,1110,-2.8927727852670237,3.3240451328034863,3.7131255380188737,0.14954954954954955,138.0856537866081,2.4258809983574814,63,median_first4,58 59 65,low_rate
of_2_10,2.0,train,2706,-2.934860556116817,3.230106306864862,3.696025722769326,0.14449371766444938,5.562669242449528,4.580584944980846,63,median_first4,58 59 65,low_rate
of_2_10,2.0,heldout,1110,-2.988529130970292,3.351318456725675,3.743496904437138,0.15225225225225225,1.782726224609572,2.641875152800522,63,median_first4,58 59 65,low_rate
of_3_11,2.0,train,2706,-3.1664437047659,3.1709694301327778,3.6653417248031173,0.1319290465631929,5.155783858116786,4.880412832969984,63,median_first4,58 59 65,low_rate
of_3_11,2.0,heldout,1110,-3.2422474704055304,3.264724946426321,3.769488145160708,0.14864864864864866,175.71849261493688,3.55024216338743,63,median_first4,58 59 65,low_rate
of_4_12,2.0,train,2706,-3.1988204612453153,3.146235220037619,3.7552867803223076,0.13968957871396895,4.617766536425446,3.295329623527177,63,median_first4,58 59 65,low_rate
of_4_12,2.0,heldout,1110,-3.3141504363736516,3.272216394337162,3.9203794671778485,0.15945945945945947,4.28133595053436,3.21834748793352,63,median_first4,58 59 65,low_rate
le500,2.0,train,3618,-1.3262335598090704,4.449210054729117,6.911790624036138,0.24405749032614704,331.42946562524725,0.8790469931112452,65,median_first4,58 59 63,low_rate
le500,2.0,heldout,198,-2.0493670935837667,3.9726274193107756,4.010145019658937,0.20707070707070707,2.0979210883854167,0.8406468781894344,65,median_first4,58 59 63,low_rate
cfd10,2.0,train,3618,-2.784461731884093,3.317402192553492,7.447089054749168,0.05002763957987839,264.9824518365825,6.967268429252915,65,median_first4,58 59 63,low_rate
cfd10,2.0,heldout,198,-3.4451008565078567,3.0629045253402962,2.8649239922136607,0.03535353535353535,1.1495007250301263,1.5453931014483553,65,median_first4,58 59 63,low_rate
cfd20,2.0,train,3618,-3.0362365963009417,3.25082327560856,5.999460252194412,0.07048092868988391,306.45710851135215,9.911525920054114,65,median_first4,58 59 63,low_rate
cfd20,2.0,heldout,198,-3.53533965096263,2.9933861916712807,2.7426839288126446,0.06565656565656566,1.080252995353314,0.9151422810042005,65,median_first4,58 59 63,low_rate
cfd30,2.0,train,3618,-2.8716044084298886,3.330064307034684,6.001461952604215,0.09839690436705362,244.440891846564,7.657912208447431,65,median_first4,58 59 63,low_rate
cfd30,2.0,heldout,198,-3.303444011390951,2.988227268470215,2.7679334036667225,0.08080808080808081,1.2908880161954148,1.0905007353696827,65,median_first4,58 59 63,low_rate
cfd40,2.0,train,3618,-2.672959162260284,3.5123537374063107,6.171052384550879,0.12354892205638475,1.186356617637455,4.903730359565454,65,median_first4,58 59 63,low_rate
cfd40,2.0,heldout,198,-2.979142680863422,3.0263353811180798,2.923553927326153,0.09090909090909091,1.392925810942965,1.137858004022677,65,median_first4,58 59 63,low_rate
cfd50,2.0,train,3618,-2.3563383715173334,3.724411452374829,7.334761213068097,0.15063571033720288,1.3410377078536577,3.0388053928982828,65,median_first4,58 59 63,low_rate
cfd50,2.0,heldout,198,-2.938161358114286,3.273311768824813,3.1056200609006472,0.12626262626262627,1.5463930561857002,1.1306562062080958,65,median_first4,58 59 63,low_rate
template_phase,2.0,train,3618,-4.1750392911290035,2.8944235329296184,3.385666947129056,0.10392482034273079,0.668852188647103,64.03030030058405,65,median_first4,58 59 63,low_rate
template_phase,2.0,heldout,198,-4.1750392911290035,2.7013274202947386,2.575308813043759,0.050505050505050504,0.5354664853637231,4.154873146250967,65,median_first4,58 59 63,low_rate
of_1_9,2.0,train,3618,-3.410072701704749,3.5117930383175393,3.897174619128033,0.16500829187396351,191.4400137377301,6.764644998613591,65,median_first4,58 59 63,low_rate
