method,base_method,drift_order,mean_cv_sigma68_ns,folds,total_pair_residuals,heldout_run,selector,stratum_train_runs,heldout_stratum
s02e_binned_timewalk_drift1,s02b_template,1,153.73339594492492,3,8748,60,dynamic_range,59 61 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,1.8885976297426332,3,8748,60,dynamic_range,59 61 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,20.233705088499008,3,8748,60,dynamic_range,59 61 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,59.663016956262176,3,8748,60,dynamic_range,59 61 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,4.688759929410406,3,8388,61,dynamic_range,59 60 62,high_rate
s02e_binned_timewalk_drift2,s02b_template,2,50.326816569283174,3,8388,61,dynamic_range,59 60 62,high_rate
s02e_binned_timewalk_drift1,s02b_template,1,178.2129536778776,3,8388,61,dynamic_range,59 60 62,high_rate
s02e_global_timewalk_drift0,template_phase,0,1.8146233169453014,3,8388,61,dynamic_range,59 60 62,high_rate
s02e_global_timewalk_drift2,template_phase,2,29.059282619367735,3,8388,61,dynamic_range,59 60 62,high_rate
s02e_global_timewalk_drift1,template_phase,1,65.89573548825591,3,8388,61,dynamic_range,59 60 62,high_rate
s02e_binned_timewalk_drift0,s02b_template,0,4.690589233942345,3,8790,62,dynamic_range,59 60 61,mid_rate
s02e_binned_timewalk_drift2,s02b_template,2,54.335997708571405,3,8790,62,dynamic_range,59 60 61,mid_rate
s02e_binned_timewalk_drift1,s02b_template,1,188.74415685021643,3,8790,62,dynamic_range,59 60 61,mid_rate
s02e_global_timewalk_drift0,template_phase,0,1.9510073087145239,3,8790,62,dynamic_range,59 60 61,mid_rate
s02e_global_timewalk_drift2,template_phase,2,49.939843761232964,3,8790,62,dynamic_range,59 60 61,mid_rate
s02e_global_timewalk_drift1,template_phase,1,146.7367901280158,3,8790,62,dynamic_range,59 60 61,mid_rate
s02e_binned_timewalk_drift0,s02b_template,0,5.500484638269724,3,3240,63,dynamic_range,58 59 65,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,63.15218140014186,3,3240,63,dynamic_range,58 59 65,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,351.7612210438553,3,3240,63,dynamic_range,58 59 65,low_rate
s02e_global_timewalk_drift0,template_phase,0,1.6889244686525817,3,3240,63,dynamic_range,58 59 65,low_rate
s02e_global_timewalk_drift2,template_phase,2,13.93770269394607,3,3240,63,dynamic_range,58 59 65,low_rate
s02e_global_timewalk_drift1,template_phase,1,78.47475740124078,3,3240,63,dynamic_range,58 59 65,low_rate
s02e_binned_timewalk_drift0,s02b_template,0,5.01621457030986,3,4293,65,dynamic_range,58 59 63,low_rate
s02e_binned_timewalk_drift2,s02b_template,2,36.90648618767537,3,4293,65,dynamic_range,58 59 63,low_rate
s02e_binned_timewalk_drift1,s02b_template,1,248.4457300338006,3,4293,65,dynamic_range,58 59 63,low_rate
s02e_global_timewalk_drift0,template_phase,0,1.8095422391473086,3,4293,65,dynamic_range,58 59 63,low_rate
s02e_global_timewalk_drift2,template_phase,2,10.099824047139151,3,4293,65,dynamic_range,58 59 63,low_rate
s02e_global_timewalk_drift1,template_phase,1,57.66808499809293,3,4293,65,dynamic_range,58 59 63,low_rate
