method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,table,candidate,alpha,fold,n_features
cfd40,2.0,train,9171,-2.399654003059659,3.3904708813101894,6.463625794819696,0.11416421328099444,202.05905394486805,8.772069526774672,59,traditional_scan,,,,
cfd40,2.0,heldout,2289,-2.7572700495254807,3.4761891541563767,5.985010920877463,0.12538226299694188,227.1553113124355,3.550473793600686,59,traditional_scan,,,,
cfd50,2.0,train,9171,-2.0673398437499912,3.572692904779606,6.869224853426023,0.14338676262130629,147.61247982522556,6.144403925236909,59,traditional_scan,,,,
cfd50,2.0,heldout,2289,-2.4530877111147973,3.709660513235132,7.143729783930568,0.1511577107907383,1.3082159000971068,2.697500205344446,59,traditional_scan,,,,
template_phase,2.0,train,9171,-3.7226235857461845,2.742319268962799,3.3116585094044924,0.07360157016683022,1.370634788353223,116.69020208438104,59,traditional_scan,,,,
template_phase,2.0,heldout,2289,-3.7226235857461916,2.9923192689628024,3.3427809218901774,0.06771515945827872,1.1812981048876734,28.995141417794432,59,traditional_scan,,,,
of_1_9,2.0,train,9171,-3.1657442797958595,3.4205546409405363,3.8220059998780465,0.16061498200850508,148.16089624457084,10.890734349005491,59,traditional_scan,,,,
of_1_9,2.0,heldout,2289,-3.4275661926516037,3.472347310706959,3.8504896725036386,0.15727391874180865,1.1872934881021984,5.899385220091045,59,traditional_scan,,,,
of_2_10,2.0,train,9171,-3.3308846213303624,3.4817027168776793,3.873371528217916,0.1671573438011122,12.484870018350012,11.005742097150367,59,traditional_scan,,,,
of_2_10,2.0,heldout,2289,-3.6086402552341355,3.4813561567370908,3.872376959898597,0.16470074268239407,1.102621395699278,5.812639973097641,59,traditional_scan,,,,
of_3_11,2.0,train,9171,-3.4915529250534405,3.464329822512211,3.8890114982728083,0.1625776905462872,1.538190961736574,10.769334576937545,59,traditional_scan,,,,
of_3_11,2.0,heldout,2289,-3.7550467683029396,3.4186388613179988,3.8289956089066455,0.1620795107033639,188.64315528373953,5.018742694191916,59,traditional_scan,,,,
,,,2799,,2.1458915617171357,,,,,59,analytic_cv,amp_only,0.0,0.0,6.0
,,,2841,,1.3007275131757048,,,,,59,analytic_cv,amp_only,0.0,1.0,6.0
,,,3531,,1.3682426836911943,,,,,59,analytic_cv,amp_only,0.0,2.0,6.0
