method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
gradient_boosted_trees,pid_sideband,central,3718,-0.29753856679893165,3.842568190715549,5.550444590951446,0.20898332436793976,0.05728886498117267
lightweight_transformer,pid_sideband,central,3718,2.420234781653127,5.618307144926963,7.313168893004384,0.4448628294782141,0.1447014523937601
mlp,pid_sideband,central,3718,-0.34221565366888407,4.291623277233439,5.747617394736942,0.2444862829478214,0.07288864981172674
ridge,pid_sideband,central,3718,0.0526889181210235,4.270002628014136,5.800432661967554,0.250403442711135,0.0656266810112964
spectrogram_patch_transformer_new,pid_sideband,central,3718,-0.6882386743693125,5.522209087699698,7.297027971727134,0.36793975255513717,0.10570199031737493
traditional_fft_template_cfd_timewalk,pid_sideband,central,3718,0.37109260690483503,0.9682519004712706,0.9667856121120368,0.0,0.0
1d_cnn,pid_sideband,high_duplicate,891,1.9146554277483716,8.652495285775121,13.651582945337381,0.5791245791245792,0.26038159371492703
gradient_boosted_trees,pid_sideband,high_duplicate,891,-0.034658982412508976,4.456715383277861,6.335709700879032,0.29068462401795736,0.06172839506172839
lightweight_transformer,pid_sideband,high_duplicate,891,-5.199306805282532,6.253674904353706,8.211385489135335,0.5869809203142536,0.21212121212121213
mlp,pid_sideband,high_duplicate,891,-0.2466148239669259,4.860895746305781,6.262174627806889,0.30864197530864196,0.058361391694725026
ridge,pid_sideband,high_duplicate,891,-0.11274026263457415,5.060447986974556,6.410671144145627,0.31986531986531985,0.07407407407407407
spectrogram_patch_transformer_new,pid_sideband,high_duplicate,891,0.22917969946770356,10.163597869207567,12.304607557940598,0.6341189674523008,0.32323232323232326
traditional_fft_template_cfd_timewalk,pid_sideband,high_duplicate,891,0.30797173033993275,1.0804874012818289,1.0862323273154224,0.0,0.0
1d_cnn,pid_sideband,low_duplicate,857,-1.1650928287606348,5.432183186483408,6.482768797146887,0.32438739789964993,0.10968494749124855
gradient_boosted_trees,pid_sideband,low_duplicate,857,-0.43328168662406785,3.902386158513873,4.780974652149881,0.21703617269544925,0.030338389731621937
lightweight_transformer,pid_sideband,low_duplicate,857,1.9404290816786958,6.255131049667777,6.87999520423661,0.4690781796966161,0.12602100350058343
mlp,pid_sideband,low_duplicate,857,-0.6976334091665226,4.461029546457766,5.086367636217517,0.2637106184364061,0.047841306884480746
ridge,pid_sideband,low_duplicate,857,-0.2166137226069118,4.043666472540265,4.946105941539801,0.21236872812135357,0.038506417736289385
spectrogram_patch_transformer_new,pid_sideband,low_duplicate,857,-1.081741008723962,5.591086087271513,6.424170647149707,0.34655775962660446,0.10501750291715285
traditional_fft_template_cfd_timewalk,pid_sideband,low_duplicate,857,0.5835951068500396,0.9910657414427914,0.9391971672492032,0.0,0.0
1d_cnn,pileup_separation_bin,close,1690,-1.7169211190076163,5.677746923776613,6.563211307447673,0.38284023668639056,0.09053254437869822
gradient_boosted_trees,pileup_separation_bin,close,1690,-0.5264850162665798,3.7655638225841797,4.778409799653123,0.20414201183431951,0.020710059171597635
lightweight_transformer,pileup_separation_bin,close,1690,1.0272100126318926,6.136184073275865,6.991794960800607,0.4284023668639053,0.11242603550295859
mlp,pileup_separation_bin,close,1690,-0.863904268068016,4.454040320794611,5.154180904264548,0.2408284023668639,0.03609467455621302
ridge,pileup_separation_bin,close,1690,-0.6314347837699863,4.373063145680334,5.141590324938095,0.24497041420118343,0.028994082840236687
spectrogram_patch_transformer_new,pileup_separation_bin,close,1690,-1.724372212101711,5.6811124782676465,6.462621891643009,0.38461538461538464,0.09053254437869822
traditional_fft_template_cfd_timewalk,pileup_separation_bin,close,1690,0.5474045979126789,1.0028825024149952,0.9652056766108149,0.0,0.0
1d_cnn,pileup_separation_bin,mid,1165,1.33274570784436,5.680574620483188,6.635518304060665,0.36909871244635195,0.11931330472103004
gradient_boosted_trees,pileup_separation_bin,mid,1165,-0.8493070526735647,3.8517160731492153,4.840216964011403,0.21716738197424892,0.02575107296137339
lightweight_transformer,pileup_separation_bin,mid,1165,-2.5945621772727403,6.871041779171507,7.564161556179974,0.5236051502145923,0.16995708154506436
mlp,pileup_separation_bin,mid,1165,-0.9362787929640994,4.342222196037245,5.14659048365477,0.2446351931330472,0.03862660944206009
ridge,pileup_separation_bin,mid,1165,-0.7001039815869099,4.39763630525329,5.1945898821110355,0.25836909871244634,0.03347639484978541
spectrogram_patch_transformer_new,pileup_separation_bin,mid,1165,1.564875984299368,5.936080054693906,6.890437928169247,0.41030042918454934,0.14163090128755365
traditional_fft_template_cfd_timewalk,pileup_separation_bin,mid,1165,0.6999614783468786,1.0014198488413082,0.9793621691174136,0.0,0.0
1d_cnn,pileup_separation_bin,none,2611,-0.24556338512699938,6.098061094968851,10.223189594145742,0.3937188816545385,0.16009191880505552
gradient_boosted_trees,pileup_separation_bin,none,2611,0.14150321204196814,4.120941345755502,6.308784615791797,0.23898889314438912,0.08770585982382229
lightweight_transformer,pileup_separation_bin,none,2611,2.9815677975438675,5.464172515421602,7.983099848537893,0.4768288012255841,0.1711987744159326
mlp,pileup_separation_bin,none,2611,0.16495334672444528,4.32732136138385,6.3345165660259335,0.27499042512447336,0.09881271543469936
ridge,pileup_separation_bin,none,2611,0.6849990116238303,4.011579830839584,6.352543810812708,0.261585599387208,0.09766373037150516
spectrogram_patch_transformer_new,pileup_separation_bin,none,2611,-0.8256918871789392,6.217053364743389,9.487088636502055,0.4220605132133282,0.17349674454232095
traditional_fft_template_cfd_timewalk,pileup_separation_bin,none,2611,0.27866395339188443,0.975432384607634,1.005075065661122,0.0,0.0
1d_cnn,pulse_shape_class,compact,1857,0.033423645808644764,7.108753931852897,10.418437726975283,0.46257404415724285,0.16047388260635434
gradient_boosted_trees,pulse_shape_class,compact,1857,-0.7442040469125857,4.285759628887657,5.6503911149433375,0.23963381798599892,0.04415724286483576
lightweight_transformer,pulse_shape_class,compact,1857,-0.3859040900222652,7.041048910650099,7.944807530736347,0.5094238018309101,0.14378029079159935
mlp,pulse_shape_class,compact,1857,-0.9702063435897799,4.722607651472513,5.88497501712282,0.2708669897684437,0.050080775444264945
ridge,pulse_shape_class,compact,1857,-0.09664694586668254,4.896891759005278,6.055137206007923,0.3091007000538503,0.05492730210016155
spectrogram_patch_transformer_new,pulse_shape_class,compact,1857,-1.053381998599141,7.333045944344785,9.493258950657896,0.49434571890145396,0.1943995691976306
traditional_fft_template_cfd_timewalk,pulse_shape_class,compact,1857,0.4029939557006692,1.0357287064463483,1.0576236964531918,0.0,0.0
1d_cnn,pulse_shape_class,late_tail,1789,-0.19038114332807687,6.490436497899162,9.006531330969283,0.3974287311347121,0.17551704863051984
gradient_boosted_trees,pulse_shape_class,late_tail,1789,0.45968289850757316,4.362432403481521,6.772225224678618,0.26327557294577975,0.10899944102850755
lightweight_transformer,pulse_shape_class,late_tail,1789,2.3290451440204833,6.427332545181943,8.66066269108751,0.4695360536612633,0.19452207937395194
mlp,pulse_shape_class,late_tail,1789,0.7408162433395553,4.341111215320728,6.656422619531955,0.276690888764673,0.12688652878703185
ridge,pulse_shape_class,late_tail,1789,0.31635390431245014,4.077967140601191,6.638236751502189,0.26830631637786473,0.11961989938513136
spectrogram_patch_transformer_new,pulse_shape_class,late_tail,1789,-0.18458028672582572,6.395373828857679,9.00161628380625,0.4136389044158748,0.1771939631078815
traditional_fft_template_cfd_timewalk,pulse_shape_class,late_tail,1789,0.32615907787302056,0.9968156793421127,0.990708122100633,0.0,0.0
1d_cnn,pulse_shape_class,nominal,1820,-1.0856472082976056,4.608505592492383,5.578898325138399,0.29395604395604397,0.05384615384615385
gradient_boosted_trees,pulse_shape_class,nominal,1820,-0.6433774208398627,3.4181732040508357,3.976080694543485,0.16813186813186815,0.00934065934065934
lightweight_transformer,pulse_shape_class,nominal,1820,1.8960277886843793,5.831108487378163,6.574709392184757,0.4357142857142857,0.12087912087912088
mlp,pulse_shape_class,nominal,1820,-0.9691467149051989,3.988167017468938,4.5316112927223005,0.22637362637362637,0.024175824175824177
ridge,pulse_shape_class,nominal,1820,-0.401414693288495,3.9969798357958206,4.43339277643153,0.189010989010989,0.014835164835164835
spectrogram_patch_transformer_new,pulse_shape_class,nominal,1820,-0.8257969617369358,4.881572052069867,5.4305497530848,0.3142857142857143,0.0510989010989011
traditional_fft_template_cfd_timewalk,pulse_shape_class,nominal,1820,0.5239607364017889,0.9232058235519527,0.904270091243559,0.0,0.0
1d_cnn,saturation_onset_bin,linear,3964,-0.1228893045344508,6.179337766697884,9.170206466590178,0.40010090817356203,0.14001009081735621
gradient_boosted_trees,saturation_onset_bin,linear,3964,-0.3557244297976707,4.1228098154931745,5.706936729777194,0.23107971745711403,0.057265388496468214
lightweight_transformer,saturation_onset_bin,linear,3964,1.2725387646543345,6.8600865556596915,8.177074784820276,0.47679112008072655,0.1601917255297679
mlp,saturation_onset_bin,linear,3964,-0.4429642192483434,4.468978964372447,5.840872603462515,0.2593340060544904,0.0718970736629667
ridge,saturation_onset_bin,linear,3964,-0.0998346474322025,4.37664398620736,5.874391206440371,0.2648839556004036,0.06609485368314834
spectrogram_patch_transformer_new,saturation_onset_bin,linear,3964,-0.538243665097248,6.359550091518729,8.696391160055368,0.4296165489404642,0.15489404641775983
traditional_fft_template_cfd_timewalk,saturation_onset_bin,linear,3964,0.4269076395824225,1.0007329783725663,1.0085222526321656,0.0,0.0
1d_cnn,saturation_onset_bin,near_saturation,1502,-1.0472850556551303,5.272640770673293,6.790342504556693,0.3455392809587217,0.10319573901464714
gradient_boosted_trees,saturation_onset_bin,near_saturation,1502,-0.1783177931298514,3.8068715396500776,5.220758035511207,0.20372836218375498,0.04460719041278296
lightweight_transformer,saturation_onset_bin,near_saturation,1502,1.8186355891111488,6.152839562522566,6.985970997506764,0.45872170439414117,0.13315579227696406
mlp,saturation_onset_bin,near_saturation,1502,-0.24063883195624047,4.245944548850461,5.44793597599244,0.25432756324900135,0.0525965379494008
ridge,saturation_onset_bin,near_saturation,1502,0.18739787787801632,4.205343075282844,5.517435551512375,0.23169107856191745,0.05392809587217044
spectrogram_patch_transformer_new,saturation_onset_bin,near_saturation,1502,-1.0963710273259988,5.445251645983385,6.676538764515663,0.35086551264980026,0.10452729693741677
traditional_fft_template_cfd_timewalk,saturation_onset_bin,near_saturation,1502,0.3653952494038297,0.9767196988708423,0.9402447745116894,0.0,0.0
1d_cnn,spectral_centroid_bin,high,1593,-0.890511751487395,7.55321860479566,9.73401501245424,0.4519774011299435,0.21155053358443188
gradient_boosted_trees,spectral_centroid_bin,high,1593,0.4752440348497373,4.433405099886717,6.537906679036852,0.2667922159447583,0.10608913998744507
lightweight_transformer,spectral_centroid_bin,high,1593,1.1002497255357468,6.984640514984827,8.650835804392537,0.4601381042059008,0.2015065913370998
