split,method,run,group,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_5pct,within_10pct
holdout_sample_i_analysis,ml_extra_trees,57,sample_i_analysis,13819,-0.00015937843625131475,0.0027361175071497577,0.07882320505141009,0.9543382299732253,0.9816918735074897
holdout_sample_i_analysis,shuffled_target_ml,44,sample_i_analysis,2037,-0.03861652762279414,0.5290805948811379,2.180469537791969,0.07854688267059401,0.140893470790378
holdout_sample_i_analysis,shuffled_target_ml,45,sample_i_analysis,24315,-0.0979442220610179,0.5307879544961759,2.049063682332036,0.0753033107135513,0.13423812461443554
holdout_sample_i_analysis,shuffled_target_ml,46,sample_i_analysis,686,-0.09075727147655885,0.5126258328928363,1.317510801104358,0.07871720116618076,0.15014577259475217
holdout_sample_i_analysis,shuffled_target_ml,47,sample_i_analysis,5275,-0.13286654137205164,0.5124820207543016,1.4022628623765194,0.07014218009478673,0.1347867298578199
holdout_sample_i_analysis,shuffled_target_ml,48,sample_i_analysis,13986,0.007906118906532662,0.5252898306068486,1.981547912636684,0.08737308737308737,0.15965965965965967
holdout_sample_i_analysis,shuffled_target_ml,49,sample_i_analysis,14795,-0.0021685398099814284,0.5285228468049238,2.109210078011113,0.08360932747549848,0.15484961135518757
holdout_sample_i_analysis,shuffled_target_ml,50,sample_i_analysis,35212,-0.455995738061753,0.5220102008141978,1.016550310584817,0.024537089628535725,0.04600704305350449
holdout_sample_i_analysis,shuffled_target_ml,51,sample_i_analysis,14738,-0.4328586128787836,0.5196966830341354,1.2660896184728714,0.03317953589360836,0.05930248337630615
holdout_sample_i_analysis,shuffled_target_ml,52,sample_i_analysis,7151,-0.4385295328042629,0.5188723432634726,1.2810055979983541,0.030485246818626764,0.05551671094951755
holdout_sample_i_analysis,shuffled_target_ml,53,sample_i_analysis,32194,-0.41895741730882563,0.485693283737066,1.0589450406413636,0.023265204696527302,0.04376591911536311
holdout_sample_i_analysis,shuffled_target_ml,54,sample_i_analysis,30439,-0.41847136726749706,0.4851162219834456,0.8529544490380253,0.022405466671047012,0.043792503038864616
holdout_sample_i_analysis,shuffled_target_ml,55,sample_i_analysis,17381,-0.42839868839125395,0.5120002806407944,1.256482744816007,0.03262182843334676,0.05943271388297566
holdout_sample_i_analysis,shuffled_target_ml,56,sample_i_analysis,40139,-0.4501057058040849,0.520213779785958,1.0394681537591743,0.02638331797005406,0.050075985948827825
holdout_sample_i_analysis,shuffled_target_ml,57,sample_i_analysis,13819,0.010360775259861715,0.5228186769361234,2.2479902545833306,0.09132354005354947,0.16470077429625876
