method,stratum,value,n_events,n_valid,energy_bias,energy_sigma68,saturated_energy_sigma68,saturation_knee_accuracy,saturation_knee_calibration_abs,pedestal_high_minus_low_bias,pid_auc,pid_calibration_ece,timing_residual_bias_ns,timing_residual_sigma68_ns,pileup_merge_rate,false_split_rate,coverage90,coverage90_abs_error
1d_cnn,stave,B4,233.0,120.0,0.050656322959799244,0.129077729810239,0.0,0.9914163090128756,0.008583690987124463,0.08325913024671622,0.9977777777777779,0.46051001739545827,-3.018521305603201,10.730067988135964,0.2845528455284553,0.2909090909090909,0.8166666666666667,0.08333333333333337
1d_cnn,stave,B6,208.0,98.0,0.008007895678459314,0.08390187983676232,0.014020769509136152,1.0,0.0,0.03484169232954499,,0.4384321772075218,-0.5373405564606282,7.795586798321098,0.37037037037037035,0.3,0.9693877551020408,0.06938775510204076
1d_cnn,stave,B8,204.0,118.0,0.0021265755625456315,0.07372744466703379,,1.0,0.0,0.007430271333943005,,0.4740785011752039,1.7195087364907646,8.806989013909433,0.15625,0.3425925925925926,0.9830508474576272,0.08305084745762714
1d_cnn,pid_proxy_class,inner_high_charge,29.0,26.0,-0.042317830490383936,0.07899604251491522,0.0798763028928375,0.8275862068965517,0.03448275862068967,0.08518755030136192,,0.08322014557038629,-11.313105916838936,4.734704441009296,0.07407407407407407,0.5,0.9615384615384616,0.06153846153846154
1d_cnn,pid_proxy_class,other,831.0,391.0,0.01424712849673033,0.10902974007688082,0.014020769509136152,1.0,0.0,0.03998762167673442,,0.4837608010566729,-0.5666673160333247,9.846256905293219,0.3349875930521092,0.28738317757009346,0.9002557544757033,0.0002557544757032515
analytic_clipped_template_sideband_traditional,pedestal_state,nominal,308.0,129.0,0.06071710680176676,0.096890701614613,0.014878295888782991,0.9902597402597403,0.009740259740259738,,0.5253863134657836,0.788961038961039,0.02632392833165298,6.058405500870919,0.43790849673202614,0.27741935483870966,0.9224806201550387,0.02248062015503871
analytic_clipped_template_sideband_traditional,pedestal_state,shifted,552.0,138.0,0.07527563315939115,0.12198553589526029,0.060787100542337005,0.9927536231884058,0.0036231884057971,,0.5793950850661626,0.6431159420289856,-2.866401920215238,7.498411618879594,0.6498194945848376,0.14909090909090908,0.855072463768116,0.04492753623188406
analytic_clipped_template_sideband_traditional,pileup_bin,clean,430.0,84.0,0.0949569298418877,0.14741079553666966,,1.0,0.0,0.04678972627353045,0.5549065420560747,0.6906976744186046,-3.503669877278295,6.467107952763935,,0.19534883720930232,0.75,0.15000000000000002
analytic_clipped_template_sideband_traditional,pileup_bin,pileup,430.0,183.0,0.0576133983510841,0.08584732239227828,0.06559800281200215,0.9837209302325581,0.002325581395348837,0.005131091991067288,0.5159911772814999,0.7,0.22401655566029355,8.112361311848922,0.5744186046511628,,0.9508196721311475,0.050819672131147464
analytic_clipped_template_sideband_traditional,clip_bin,hard_clip,2.0,2.0,0.20012668303911513,0.019591272785111122,0.019591272785111122,1.0,0.0,0.057621390544444456,,0.0,-10.51827850774523,0.4692619704669747,0.0,,1.0,0.09999999999999998
