consumer,method,variant,kind,primary_metric,primary_value,ci_low,ci_high,n_rows,rmse,roc_auc,average_precision,brier,ece
pileup,extra_trees,no_score,classification,roc_auc,0.8713053230129866,0.8491331294309032,0.8938621306823022,11460,,0.8713053230129866,0.36311857305166,0.15226473765464874,0.2367291239734092
pileup,extra_trees,score_residualized,classification,roc_auc,0.874368813026893,0.8530894793623326,0.8932288595804099,11460,,0.874368813026893,0.3917858053232128,0.15166027353352113,0.2404158441389903
pileup,extra_trees,shuffled_score_control,classification,roc_auc,0.8760863230809645,0.8562571658691986,0.8930136949004872,11460,,0.8760863230809645,0.4110322636705517,0.15131722945680995,0.2384123527662887
pileup,gradient_boosted_trees,score_residualized,classification,roc_auc,0.8916966930960734,0.8704342269350295,0.9116196685389693,11460,,0.8916966930960734,0.47094701391506677,0.06441651264909472,0.005578843716244968
pileup,gradient_boosted_trees,shuffled_score_control,classification,roc_auc,0.8919082701121567,0.8745075084744958,0.9086147332878134,11460,,0.8919082701121567,0.47948320204954,0.06403175590971641,0.007235579519115477
pileup,gradient_boosted_trees,plus_score,classification,roc_auc,0.8923919296199625,0.8740533683090174,0.911459564539901,11460,,0.8923919296199625,0.4684918002083193,0.06440423014917253,0.007281012643089127
pileup,gradient_boosted_trees,no_score,classification,roc_auc,0.892985967853616,0.8761289692439989,0.9098541886324291,11460,,0.892985967853616,0.4766705231639706,0.06402379457386703,0.00717253748609709
timing,extra_trees,shuffled_score_control,regression,sigma68,1.1520360444873803,1.1021930467103447,1.2016011053744466,11460,4.785388480119681,,,,
timing,extra_trees,plus_score,regression,sigma68,1.15221212641338,1.1124751833501858,1.1982271830123967,11460,4.798447203283911,,,,
timing,extra_trees,no_score,regression,sigma68,1.156081096505242,1.106643870135253,1.2016522076985559,11460,4.791171117387327,,,,
timing,extra_trees,score_residualized,regression,sigma68,1.15695782940215,1.1137590247619544,1.2075425333280905,11460,4.7822636392488365,,,,
timing,gradient_boosted_trees,shuffled_score_control,regression,sigma68,1.199165722183917,1.1529599664784074,1.267604687975798,11460,4.846055181797851,,,,
timing,gradient_boosted_trees,score_residualized,regression,sigma68,1.2092416696106056,1.1639886077199029,1.2910182240417376,11460,4.823835670823706,,,,
timing,gradient_boosted_trees,no_score,regression,sigma68,1.2092537526067895,1.1545755245651943,1.2831130192912492,11460,4.831246451907923,,,,
timing,gradient_boosted_trees,plus_score,regression,sigma68,1.213159616459169,1.15698006813988,1.3087670993588398,11460,4.853521180691838,,,,
timing,mlp,plus_score,regression,sigma68,1.2430456480596517,1.1862525656811853,1.309975940986312,11460,4.745842065996115,,,,
timing,mlp,score_residualized,regression,sigma68,1.2452726337636988,1.1859757869299437,1.3298439000339044,11460,4.694465453055367,,,,
timing,mlp,shuffled_score_control,regression,sigma68,1.262275581176864,1.199140654909078,1.3475138366175015,11460,4.7697463755430505,,,,
timing,mlp,no_score,regression,sigma68,1.2627744677076553,1.1875027965455072,1.326156275356884,11460,4.802212164698602,,,,
timing,score_gated_cnn,plus_score,regression,sigma68,1.3208264784290527,1.2726982153163888,1.3726933893089248,11460,4.924291690256979,,,,
timing,cnn1d,plus_score,regression,sigma68,1.3218567191137955,1.3021775250469911,1.3507881070258119,11460,4.966324893409322,,,,
timing,score_gated_cnn,no_score,regression,sigma68,1.349222642473253,1.3311261761085182,1.3699295172086163,11460,4.9346100719020844,,,,
timing,cnn1d,shuffled_score_control,regression,sigma68,1.3574601261002708,1.3179893578903954,1.4060057410142808,11460,4.986126896418475,,,,
timing,cnn1d,no_score,regression,sigma68,1.3682161066504082,1.291344420217313,1.4653070130838752,11460,4.978024081405162,,,,
timing,score_gated_cnn,shuffled_score_control,regression,sigma68,1.3701768913046148,1.318256245040928,1.4047802377785805,11460,4.94862397405104,,,,
timing,score_gated_cnn,score_residualized,regression,sigma68,1.3856492472183408,1.316614931812917,1.4545045437890125,11460,4.963981814527525,,,,
timing,cnn1d,score_residualized,regression,sigma68,1.4263841655420104,1.3133200613922056,1.6279463111215573,11460,5.016243165454397,,,,
timing,ridge,plus_score,regression,sigma68,1.5655972308020212,1.4695658158266731,1.659419804326176,11460,4.813287359356831,,,,
timing,ridge,score_residualized,regression,sigma68,1.5664220477330366,1.4776850234989232,1.6697494647017328,11460,4.813362705538982,,,,
timing,ridge,shuffled_score_control,regression,sigma68,1.5664471505275748,1.4871911168410317,1.6602340089574954,11460,4.812080939939173,,,,
timing,ridge,no_score,regression,sigma68,1.572072553649884,1.4654863649429548,1.6575381670893745,11460,4.811234586721147,,,,
timing,traditional,plus_score,regression,sigma68,3.591443945059212,3.360301113661573,3.8140604357975727,11460,5.781879397908554,,,,
timing,traditional,shuffled_score_control,regression,sigma68,3.6212283538711425,3.4100735151940986,3.82216412618902,11460,5.810913626911222,,,,
timing,traditional,no_score,regression,sigma68,3.6322721877677138,3.4118629786793657,3.8270786532623156,11460,5.810515955796604,,,,
timing,traditional,score_residualized,regression,sigma68,3.6410332253017588,3.426341034814068,3.8525755229678174,11460,5.807068572520273,,,,
