heldout_run,consumer,method,variant,train_rows,epochs,target_center,target_scale
60,timing,mlp,no_score,9036.0,,,
60,timing,mlp,plus_score,9036.0,,,
60,timing,mlp,score_residualized,9036.0,,,
60,timing,mlp,shuffled_score_control,9036.0,,,
60,timing,cnn1d,no_score,,5.0,1.044282514502072,3.661636623870305
60,timing,cnn1d,plus_score,,5.0,1.044282514502072,3.661636623870305
60,timing,cnn1d,score_residualized,,5.0,1.044282514502072,3.661636623870305
60,timing,cnn1d,shuffled_score_control,,5.0,1.044282514502072,3.661636623870305
60,timing,score_gated_cnn,no_score,,5.0,1.044282514502072,3.661636623870305
60,timing,score_gated_cnn,plus_score,,5.0,1.044282514502072,3.661636623870305
60,timing,score_gated_cnn,score_residualized,,5.0,1.044282514502072,3.661636623870305
60,timing,score_gated_cnn,shuffled_score_control,,5.0,1.044282514502072,3.661636623870305
60,charge,traditional,no_score,9036.0,,,
60,charge,traditional,plus_score,9036.0,,,
60,charge,traditional,score_residualized,9036.0,,,
60,charge,traditional,shuffled_score_control,9036.0,,,
60,charge,ridge,no_score,9036.0,,,
60,charge,ridge,plus_score,9036.0,,,
60,charge,ridge,score_residualized,9036.0,,,
60,charge,ridge,shuffled_score_control,9036.0,,,
60,charge,gradient_boosted_trees,no_score,9036.0,,,
60,charge,gradient_boosted_trees,plus_score,9036.0,,,
60,charge,gradient_boosted_trees,score_residualized,9036.0,,,
60,charge,gradient_boosted_trees,shuffled_score_control,9036.0,,,
60,charge,extra_trees,no_score,9036.0,,,
60,charge,extra_trees,plus_score,9036.0,,,
60,charge,extra_trees,score_residualized,9036.0,,,
60,charge,extra_trees,shuffled_score_control,9036.0,,,
60,pileup,traditional,no_score,9036.0,,,
60,pileup,traditional,plus_score,9036.0,,,
60,pileup,traditional,score_residualized,9036.0,,,
60,pileup,traditional,shuffled_score_control,9036.0,,,
60,pileup,ridge,no_score,9036.0,,,
60,pileup,ridge,plus_score,9036.0,,,
60,pileup,ridge,score_residualized,9036.0,,,
60,pileup,ridge,shuffled_score_control,9036.0,,,
60,pileup,gradient_boosted_trees,no_score,9036.0,,,
60,pileup,gradient_boosted_trees,plus_score,9036.0,,,
60,pileup,gradient_boosted_trees,score_residualized,9036.0,,,
60,pileup,gradient_boosted_trees,shuffled_score_control,9036.0,,,
60,pileup,extra_trees,no_score,9036.0,,,
60,pileup,extra_trees,plus_score,9036.0,,,
60,pileup,extra_trees,score_residualized,9036.0,,,
60,pileup,extra_trees,shuffled_score_control,9036.0,,,
60,pid,traditional,no_score,9036.0,,,
60,pid,traditional,plus_score,9036.0,,,
60,pid,traditional,score_residualized,9036.0,,,
60,pid,traditional,shuffled_score_control,9036.0,,,
60,pid,ridge,no_score,9036.0,,,
60,pid,ridge,plus_score,9036.0,,,
60,pid,ridge,score_residualized,9036.0,,,
60,pid,ridge,shuffled_score_control,9036.0,,,
60,pid,gradient_boosted_trees,no_score,9036.0,,,
60,pid,gradient_boosted_trees,plus_score,9036.0,,,
60,pid,gradient_boosted_trees,score_residualized,9036.0,,,
60,pid,gradient_boosted_trees,shuffled_score_control,9036.0,,,
60,pid,extra_trees,no_score,9036.0,,,
