heldout_family,method,shuffle_rep,value
sample_ii_analysis,ML residual masked-denoising AE-6,13,0.19926795968626965
sample_ii_analysis,ML residual masked-denoising AE-6,14,0.19213060036025986
sample_ii_analysis,ML residual masked-denoising AE-6,15,0.23954769404619125
sample_ii_analysis,ML residual masked-denoising AE-6,16,0.2032039400171066
sample_ii_analysis,ML residual masked-denoising AE-6,17,0.3087116165885466
sample_ii_analysis,ML residual masked-denoising AE-6,18,0.2218917327560903
sample_ii_analysis,ML residual masked-denoising AE-6,19,0.24333687210439242
sample_ii_analysis,ML residual masked-denoising AE-6,20,0.24698555461068528
sample_ii_analysis,ML residual masked-denoising AE-6,21,0.26098108416256377
sample_ii_analysis,ML residual masked-denoising AE-6,22,0.30501303222173237
sample_ii_analysis,ML residual masked-denoising AE-6,23,0.22135436550458903
sample_ii_analysis,ML residual masked-denoising AE-6,24,0.2338704284957341
sample_ii_analysis,ML residual masked-denoising AE-6,25,0.23508624806086226
sample_ii_analysis,ML residual masked-denoising AE-6,26,0.2662925126213629
sample_ii_analysis,ML residual masked-denoising AE-6,27,0.2457290664746738
sample_ii_analysis,ML residual masked-denoising AE-6,28,0.2249051146693477
sample_ii_analysis,ML residual masked-denoising AE-6,29,0.26896458247964056
sample_ii_analysis,ML residual masked-denoising AE-6,30,0.2512787298144987
sample_ii_analysis,ML residual masked-denoising AE-6,31,0.19838189624113003
sample_ii_analysis,ML residual masked-denoising AE-6,32,0.23624083828862058
sample_ii_analysis,ML residual masked-denoising AE-6,33,0.2749817034012347
sample_ii_analysis,ML residual masked-denoising AE-6,34,0.31131152161832537
sample_ii_analysis,ML residual masked-denoising AE-6,35,0.2966592207991983
sample_ii_analysis,ML residual masked-denoising AE-6,36,0.3056414553987422
sample_ii_analysis,ML residual masked-denoising AE-6,37,0.18395298846567207
sample_ii_analysis,ML residual masked-denoising AE-6,38,0.2522976740926449
sample_ii_analysis,ML residual masked-denoising AE-6,39,0.18958966915418815
sample_ii_calib,traditional residual hand+PCA-6,0,0.23186083289404322
sample_ii_calib,traditional residual hand+PCA-6,1,0.22749209277807064
sample_ii_calib,traditional residual hand+PCA-6,2,0.3294280442804428
sample_ii_calib,traditional residual hand+PCA-6,3,0.21421454928835004
sample_ii_calib,traditional residual hand+PCA-6,4,0.21079467580390088
sample_ii_calib,traditional residual hand+PCA-6,5,0.22415260938323667
sample_ii_calib,traditional residual hand+PCA-6,6,0.23662756984712702
sample_ii_calib,traditional residual hand+PCA-6,7,0.24945571955719556
sample_ii_calib,traditional residual hand+PCA-6,8,0.325938323668951
sample_ii_calib,traditional residual hand+PCA-6,9,0.23532156035846075
sample_ii_calib,traditional residual hand+PCA-6,10,0.2616196626251977
sample_ii_calib,traditional residual hand+PCA-6,11,0.19260938323668952
sample_ii_calib,traditional residual hand+PCA-6,12,0.27986557722720085
sample_ii_calib,traditional residual hand+PCA-6,13,0.31044016868740115
sample_ii_calib,traditional residual hand+PCA-6,14,0.2876726410121244
sample_ii_calib,traditional residual hand+PCA-6,15,0.2465023721665788
sample_ii_calib,traditional residual hand+PCA-6,16,0.26227991565629943
sample_ii_calib,traditional residual hand+PCA-6,17,0.24318002108592512
sample_ii_calib,traditional residual hand+PCA-6,18,0.27221929362150765
sample_ii_calib,traditional residual hand+PCA-6,19,0.26835661570901426
sample_ii_calib,traditional residual hand+PCA-6,20,0.2181747496046389
sample_ii_calib,traditional residual hand+PCA-6,21,0.2805521876647338
sample_ii_calib,traditional residual hand+PCA-6,22,0.26192672641012127
sample_ii_calib,traditional residual hand+PCA-6,23,0.27368344754876117
sample_ii_calib,traditional residual hand+PCA-6,24,0.2244254085397997
sample_ii_calib,traditional residual hand+PCA-6,25,0.2728479177648919
sample_ii_calib,traditional residual hand+PCA-6,26,0.2605284659989457
sample_ii_calib,traditional residual hand+PCA-6,27,0.23627306273062731
sample_ii_calib,traditional residual hand+PCA-6,28,0.27079599367422247
sample_ii_calib,traditional residual hand+PCA-6,29,0.24251581444385872
sample_ii_calib,traditional residual hand+PCA-6,30,0.26865181866104376
sample_ii_calib,traditional residual hand+PCA-6,31,0.3091565629942014
sample_ii_calib,traditional residual hand+PCA-6,32,0.2946599894570374
sample_ii_calib,traditional residual hand+PCA-6,33,0.38332366895097525
sample_ii_calib,traditional residual hand+PCA-6,34,0.18490247759620454
sample_ii_calib,traditional residual hand+PCA-6,35,0.2896929362150764
sample_ii_calib,traditional residual hand+PCA-6,36,0.2599301528729573
sample_ii_calib,traditional residual hand+PCA-6,37,0.26772140221402213
sample_ii_calib,traditional residual hand+PCA-6,38,0.16198998418555613
sample_ii_calib,traditional residual hand+PCA-6,39,0.2753795466526094
sample_ii_calib,ML residual masked-denoising AE-6,0,0.27231286241433844
sample_ii_calib,ML residual masked-denoising AE-6,1,0.22508434370057984
