run,run_group,current_nA,sample_ii,n_matched_events,b_any_events,a_selected_pulses,ab_any_given_b_successes,target_rate,b_multi_frac,b_downstream_frac,b2_share,mean_b_max_amp,log_current_nA,log_b_any_events,current_sample_interaction,target_logit,pred_rate_traditional,rate_residual_pp,rate_residual_shuffled_pp
54,sample_i_analysis,20.0,0,37379,29638,59,48,0.0016363575019400114,0.014607132347039782,0.024090694378837978,0.9942303799176733,6529.6201171875,2.995732273553991,10.296846340649244,0.0,-6.413644844908596,0.004518244415999802,-0.288188691405979,0.12448649858500065
55,sample_i_analysis,20.0,0,24387,16820,68,45,0.0027049521431543903,0.015500061508180589,0.028418549346016647,0.9936979785969084,6491.6708984375,2.995732273553991,9.730383384791782,0.0,-5.909962441698094,0.0027514359846817446,-0.004648384152735425,0.2919044296288401
56,sample_i_analysis,20.0,0,51798,38913,387,217,0.00558924808552192,0.016487123054944205,0.026983270372369132,0.9948089327474109,6796.49365234375,2.995732273553991,10.569109362031321,0.0,-5.181305585122771,0.0023957221045907105,0.31935259809312094,-0.09277516160250586
57,sample_i_analysis,20.0,0,31255,12925,1757,530,0.04104131208417144,0.02002879539273716,0.059961315280464215,0.9872340425531915,4395.779296875,2.995732273553991,9.46699606582284,0.0,-3.151268824447973,0.11029810091980434,-6.925678883563291,-6.925678883563291
58,sample_ii_analysis,20.0,1,34079,15890,171,69,0.004373544773771317,0.017224683822882128,0.04461925739458779,0.9919446192573946,4329.76953125,2.995732273553991,9.673508190212637,2.995732273553991,-5.4277983009438175,0.0033673228355072175,0.10062219382640995,0.10141704569273743
59,sample_ii_analysis,20.0,1,42303,13863,63,21,0.0015507789959607616,0.10850294305368413,0.34783235951814184,0.9785039313279954,3671.52197265625,2.995732273553991,9.537050831395442,2.995732273553991,-6.467445913563505,0.00247853061198582,-0.09277516160250586,-0.14512885673034978
60,sample_ii_analysis,20.0,1,36065,10139,77,20,0.0020216962524654833,0.11243587966172189,0.4204556662392741,0.973666042015978,3697.94140625,2.995732273553991,9.224243277145174,2.995732273553991,-6.201794648361898,0.001007525795538109,0.10141704569273743,0.21357056619672082
61,sample_ii_analysis,20.0,1,36509,11282,86,25,0.002260037224142515,0.12117560053685393,0.41092004963658924,0.9758907995036341,3657.761474609375,2.995732273553991,9.331052447138447,2.995732273553991,-6.090111400011346,0.0010151722382925087,0.12448649858500065,-95.06736613863981
62,sample_ii_analysis,20.0,1,37545,11902,61,18,0.0015542300260438546,0.1122652816620056,0.3719542933960679,0.9767266005713325,3599.321533203125,2.995732273553991,9.38454574816788,2.995732273553991,-6.465219576989127,0.0033003831180360307,-0.1746153091992176,-0.3807036282270417
63,sample_ii_analysis,20.0,1,36986,14756,228,80,0.0054550382869146844,0.0707294652030498,0.18975332068311196,0.985429655733261,3831.032958984375,2.995732273553991,9.59947282546345,2.995732273553991,-5.205745669698985,0.003319332624947476,0.21357056619672082,1.8780970440942995
65,sample_ii_analysis,20.0,1,38329,11875,208,60,0.005094307847760189,0.021289363145399046,0.07890526315789474,0.9885473684210526,3368.10546875,2.995732273553991,9.382274835883651,2.995732273553991,-5.274524142774693,0.0077940511244427805,-0.2699743276682592,2.8487400313034854
