heldout_run,method,epochs,final_loss,train_rows,log_prediction_clip
45,hybrid_support_gate_cnn,4,0.4507649540901184,3000,"[7.3059642171859736, 11.827435417175293]"
47,cnn1d_waveform,4,0.4718814492225647,3000,"[7.283585977554321, 11.863099040985107]"
47,hybrid_support_gate_cnn,4,0.43835821747779846,3000,"[7.283585977554321, 11.863099040985107]"
48,cnn1d_waveform,4,0.4417308270931244,3000,"[7.324364771842957, 11.865574254989625]"
48,hybrid_support_gate_cnn,4,0.447908490896225,3000,"[7.324364771842957, 11.865574254989625]"
49,cnn1d_waveform,4,0.4663774371147156,3000,"[7.340850467681884, 11.876279001235963]"
49,hybrid_support_gate_cnn,4,0.4424894154071808,3000,"[7.340850467681884, 11.876279001235963]"
50,cnn1d_waveform,4,0.4392535090446472,3000,"[7.379081063270569, 11.863099040985107]"
50,hybrid_support_gate_cnn,4,0.39875900745391846,3000,"[7.379081063270569, 11.863099040985107]"
51,cnn1d_waveform,4,0.4577862322330475,3000,"[7.3059642171859736, 11.853483486175538]"
51,hybrid_support_gate_cnn,4,0.39140447974205017,3000,"[7.3059642171859736, 11.853483486175538]"
52,cnn1d_waveform,4,0.4428980350494385,3000,"[7.3059642171859736, 11.827014045715332]"
52,hybrid_support_gate_cnn,4,0.49992939829826355,3000,"[7.3059642171859736, 11.827014045715332]"
53,cnn1d_waveform,4,0.46421775221824646,3000,"[7.367477841377259, 11.865574254989625]"
53,hybrid_support_gate_cnn,4,0.36824584007263184,3000,"[7.367477841377259, 11.865574254989625]"
54,cnn1d_waveform,4,0.514656126499176,3000,"[7.324364771842957, 11.861141443252563]"
54,hybrid_support_gate_cnn,4,0.41194579005241394,3000,"[7.324364771842957, 11.861141443252563]"
55,cnn1d_waveform,4,0.4397490918636322,3000,"[7.352730593681336, 11.839451365470888]"
55,hybrid_support_gate_cnn,4,0.4126555323600769,3000,"[7.352730593681336, 11.839451365470888]"
56,cnn1d_waveform,4,0.39611759781837463,3000,"[7.3059642171859736, 11.826103010177613]"
56,hybrid_support_gate_cnn,4,0.4471726715564728,3000,"[7.3059642171859736, 11.826103010177613]"
57,cnn1d_waveform,4,0.44745466113090515,3000,"[7.303123950958252, 11.832767362594605]"
57,hybrid_support_gate_cnn,4,0.4382527470588684,3000,"[7.303123950958252, 11.832767362594605]"
58,cnn1d_waveform,4,0.3723658621311188,3000,"[7.375075731277466, 11.827475271224976]"
58,hybrid_support_gate_cnn,4,0.4702868163585663,3000,"[7.375075731277466, 11.827475271224976]"
59,cnn1d_waveform,4,0.37159717082977295,3000,"[7.340758070945739, 11.832833695411685]"
59,hybrid_support_gate_cnn,4,0.44994035363197327,3000,"[7.340758070945739, 11.832833695411685]"
60,cnn1d_waveform,4,0.4157737195491791,3000,"[7.324351167678833, 11.865574254989625]"
60,hybrid_support_gate_cnn,4,0.45090311765670776,3000,"[7.324351167678833, 11.865574254989625]"
61,cnn1d_waveform,4,0.4214719831943512,3000,"[7.283532266616822, 11.852655563354492]"
61,hybrid_support_gate_cnn,4,0.4350925087928772,3000,"[7.283532266616822, 11.852655563354492]"
62,cnn1d_waveform,4,0.4413714110851288,3000,"[7.340758070945739, 11.827475271224976]"
62,hybrid_support_gate_cnn,4,0.4912640154361725,3000,"[7.340758070945739, 11.827475271224976]"
63,cnn1d_waveform,4,0.40993115305900574,3000,"[7.303123950958252, 11.876279001235963]"
63,hybrid_support_gate_cnn,4,0.3616383969783783,3000,"[7.303123950958252, 11.876279001235963]"
64,cnn1d_waveform,4,0.3996668756008148,3000,"[7.303158807754517, 11.827475271224976]"
64,hybrid_support_gate_cnn,4,0.4786001145839691,3000,"[7.303158807754517, 11.827475271224976]"
65,cnn1d_waveform,4,0.44620928168296814,3000,"[7.283585977554321, 11.852655563354492]"
65,hybrid_support_gate_cnn,4,0.4380089342594147,3000,"[7.283585977554321, 11.852655563354492]"
