category,stratum,n,runs,best_real_method,best_real_res68,shuffled_res68,knockoff_res68,best_minus_shuffled_res68,best_minus_knockoff_res68,median_target_charge,delta_res68_ci95,delta_full_rms_ci95,root_cause_call
topology_pattern,B2_multi_downstream,57,19,gradient_boosted_trees,0.5279807743584349,0.5318314370713865,0.5559886520675621,-0.003850662712951536,-0.02800787770912716,17787.0,"[-0.09742169741089268, 0.06679173025324814]","[-0.10596050867932662, 0.005656293007050026]",limited_support
downstream_coincidence,downstream_multi,57,19,gradient_boosted_trees,0.5279807743584349,0.5318314370713865,0.5559886520675621,-0.003850662712951536,-0.02800787770912716,17787.0,"[-0.09665531229171812, 0.06998594588470858]","[-0.10857867572558318, 0.005689548885218675]",limited_support
support_cell,A3_only|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|downstream_none,108,18,random_forest_waveform,0.48550860026290105,0.4524268108309759,0.4904808687952754,0.033081789431925135,-0.004972268532374369,15776.0,"[-0.09652170256303898, 0.09542738057150939]","[-0.06342195661000387, 0.045048212768422614]",limited_support
support_cell,A3_only|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|downstream_none,381,26,gradient_boosted_trees,0.5905947282800422,0.6190625607510568,0.6253189986548571,-0.028467832471014587,-0.03472427037481485,15060.0,"[-0.08777407547773981, 0.022311441533389775]","[-0.012762617917565531, 0.016432426011709078]",strong_support_control_parity
support_cell,A3_only|B2_only|7000_inf|any_B_amp_ge7000|broad_saturation_like|downstream_none,150,23,extra_trees_waveform,0.5086213294921038,0.527999357931044,0.5198745367760366,-0.01937802843894021,-0.011253207283932753,15078.5,"[-0.07037563982167669, 0.05025977843657652]","[-0.017096321209286978, 0.007004594067986617]",strong_support_control_parity
a_topology,A1_A3_pair,1342,31,cnn1d_waveform,0.4874747973759944,0.5032927288606402,0.5020271500682696,-0.01581793148464583,-0.014552352692275172,32295.5,"[-0.02070078851147262, -0.006934517942855925]","[-0.014029381490344836, -0.0067910345626800575]",strong_support_control_parity
support_cell,A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|downstream_none,300,22,hybrid_support_gate_cnn,0.494263769826587,0.5081729121430346,0.5069907502899117,-0.013909142316447631,-0.01272698046332471,32063.5,"[-0.02347667290099263, -0.006294966760891024]","[-0.017676685531996694, -0.0072678517009596814]",strong_support_control_parity
anomaly_stratum,dropout_like,401,26,extra_trees_waveform,0.5173464182814697,0.5312304692143153,0.5236222437899339,-0.013884050932845615,-0.006275825508464283,19801.0,"[-0.0347690295491435, 0.00846467676948901]","[-0.020977361822781294, 0.03283023930070545]",strong_support_control_parity
support_cell,A3_only|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|downstream_none,166,19,extra_trees_waveform,0.5328324405903847,0.5463195515145036,0.5354655430280788,-0.013487110924118917,-0.0026331024376941015,15604.0,"[-0.042677274709666826, 0.043792169572519815]","[-0.05767238600057603, 0.00895718894509558]",strong_support_control_parity
support_cell,A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|downstream_none,190,20,cnn1d_waveform,0.49808462152494487,0.5069006348305545,0.512546842075255,-0.008816013305609605,-0.014462220550310156,33338.0,"[-0.013539446481923359, 0.00352838489358898]","[-0.011822069725928376, 0.009577273995985253]",strong_support_control_parity
support_cell,A3_only|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|downstream_none,635,28,ridge_log_charge_support,0.5623431601410913,0.570629583428548,0.5635908632130809,-0.008286423287456657,-0.0012477030719896254,14823.0,"[-0.027824678170731452, 0.01531993064520253]","[-0.006403799394048446, 0.007328635530924406]",strong_support_control_parity
support_cell,A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|downstream_none,303,24,cnn1d_waveform,0.48354908445454886,0.4912849472072065,0.4908562343559526,-0.007735862752657641,-0.007307149901403742,32108.0,"[-0.022944935309506476, -0.00041666282946973887]","[-0.011715512972138247, -0.006580663704828131]",strong_support_control_parity
b2_amp_bin,5000_7000,953,30,hybrid_support_gate_cnn,0.5226944079984385,0.5288222063144251,0.5252442432629276,-0.006127798315986643,-0.002549835264489153,19556.0,"[-0.014576643885437918, 0.0037720082370555734]","[0.00953215542558465, 0.026192069554298578]",strong_support_control_parity
support_cell,A3_only|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|downstream_none,174,22,extra_trees_waveform,0.4558542279554443,0.4602699172647848,0.45355738488406494,-0.004415689309340498,0.0022968430713793397,15820.0,"[-0.030271615475743273, 0.027585903038642542]","[-0.0071590005018410206, 0.02192662222269598]",strong_support_control_parity
b2_amp_bin,3000_5000,1212,31,cnn1d_waveform,0.5109336495590251,0.5150674448874897,0.5193872579136716,-0.0041337953284645845,-0.00845360835464648,19186.0,"[-0.01121336207875224, 0.0034310787765456136]","[0.015465463325235598, 0.02855509022898744]",strong_support_control_parity
b2_amp_bin,2000_3000,474,28,random_forest_waveform,0.5117656906057299,0.5156672337238394,0.5156595779282821,-0.0039015431181095295,-0.0038938873225522475,19398.5,"[-0.020555324063331857, 0.02110934205824745]","[-0.0790180945153685, 0.016246928676990305]",strong_support_control_parity
saturation_stratum,all_B_amp_lt7000,3134,32,cnn1d_waveform,0.5145510358194612,0.5179433845773506,0.5184570778431109,-0.0033923487578894074,-0.0039060420236497473,19417.0,"[-0.00858259413900104, 0.0034135623974312977]","[0.016100779402603408, 0.027459725986269105]",strong_support_control_parity
anomaly_stratum,late_tail_high,1349,32,cnn1d_waveform,0.503626878921514,0.5069050520706645,0.514183631328592,-0.003278173149150465,-0.010556752407077985,19325.0,"[-0.009738869432050865, 0.006976991196575981]","[0.014522195171309232, 0.037378565651588716]",strong_support_control_parity
a_topology,A3_only,2564,32,random_forest_waveform,0.5489964525263584,0.5516560520306568,0.5557777213944253,-0.0026595995042983933,-0.006781268868066848,15329.0,"[-0.023278604224805766, 0.011014296254780431]","[-0.011107752109191142, 0.008343760299314409]",strong_support_control_parity
b2_amp_bin,1000_2000,496,26,cnn1d_waveform,0.5013697158055337,0.5037231289893361,0.5077842365816901,-0.002353413183802444,-0.0064145207761564516,19833.0,"[-0.022849562377262274, 0.01134721292235364]","[0.017178143395836842, 0.049439286499657654]",strong_support_control_parity
anomaly_stratum,broad_saturation_like,2271,32,extra_trees_waveform,0.5253501406886222,0.5276431798784201,0.5283979474061505,-0.002293039189797952,-0.0030478067175283563,19345.0,"[-0.00618128268790544, 0.003867410819046456]","[-0.017783722732017386, -0.002960003996405703]",strong_support_control_parity
topology_pattern,B2_only,3889,32,ridge_log_charge_support,0.5190836885539216,0.5211055433637393,0.5221810452051654,-0.002021854809817647,-0.0030973566512437767,19380.0,"[-0.004699366870679409, 0.003250881803058951]","[-0.007558435332561564, -0.0011219148835870992]",strong_support_control_parity
downstream_coincidence,downstream_none,3889,32,ridge_log_charge_support,0.5190836885539216,0.5211055433637393,0.5221810452051654,-0.002021854809817647,-0.0030973566512437767,19380.0,"[-0.004725597244135457, 0.0031320814769019347]","[-0.007597044511170725, -0.0009158113258653871]",strong_support_control_parity
saturation_stratum,any_B_amp_ge7000,921,28,gradient_boosted_trees,0.5319702365214322,0.5284167084702892,0.5344585837571789,0.0035535280511429512,-0.0024883472357467573,19176.0,"[-0.01115998903772011, 0.011281632836740094]","[-0.00558311791745342, 0.015399221574746755]",strong_support_control_parity
b2_amp_bin,7000_inf,920,28,gradient_boosted_trees,0.5322443322797974,0.5284536841695935,0.534530030780313,0.003790648110203909,-0.0022856985005156316,19167.5,"[-0.009512609019780599, 0.011442554334764642]","[-0.0059378043491071725, 0.015922712539807378]",strong_support_control_parity
