event_id,run,pair,stave_a,stave_b,residual_ns,abs_residual_ns,delta_lowering_adc,abs_delta_lowering_adc,max_lowering_adc,sum_lowering_adc,delta_lowering_frac,max_lowering_frac,delta_log_amp,min_log_amp,delta_peak_sample,mean_peak_sample,delta_area_over_amp,mean_area_over_amp,delta_positive_area_over_amp,mean_positive_area_over_amp,max_tail_area_frac,delta_tail_area_frac,max_width20_samples,delta_width20_samples,max_width50_samples,max_pretrigger_abs_adc,delta_pretrigger_abs_adc,max_pretrigger_ptp_adc,max_late_abs_adc,delta_late_abs_adc,most_negative_postpeak_adc,has_pretrigger_anomaly,has_late_anomaly,centered_residual_ns,tail_abs_gt_threshold
44:359:16340:359,44,B4-B8,B4,B8,-5.9734777147734945,5.9734777147734945,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013748406368669919,7.841492924460013,0.0,15.0,0.3417206765023879,4.741054722700438,0.3529362894596222,4.752749314963465,0.19114429141459646,-0.02664488973928733,6.0,1.0,5.0,9.0,0.5,13.0,2546.5,-3.5,0.0,False,True,-2.2024288698406664,False
44:359:16340:359,44,B6-B8,B6,B8,-1.2074145297315653,1.2074145297315653,0.0,0.0,0.0,0.0,0.0,0.0,-0.07814722032540278,7.764720544771477,0.0,15.0,0.03617504230234836,4.588281905600418,0.03390991256889375,4.5932361265181,0.19114429141459646,-0.009510322546585043,6.0,1.0,5.0,8.5,-3.5,13.0,2546.5,-191.5,0.0,False,True,-1.854831006728606,False
44:645:227:645,44,B4-B6,B4,B6,-4.718634016502534,4.718634016502534,0.0,0.0,0.0,0.0,0.0,0.0,0.09300514612910771,7.172424577124845,0.0,10.0,0.621117428212397,6.959560250204508,0.5849508588283729,6.978343324959502,0.5163699023549684,-0.02464709196035819,10.0,0.0,8.0,21.0,-19.0,28.0,965.0,135.0,0.0,False,True,-0.1511814205883546,False
44:645:227:645,44,B4-B8,B4,B8,-4.633776746604795,4.633776746604795,0.0,0.0,0.0,0.0,0.0,0.0,-0.6451608890025247,7.265429723253953,0.0,10.0,0.16479786339327607,7.187720032614068,0.14384627730946775,7.198895615718954,0.5537304979146285,-0.062007687520018284,10.0,0.0,8.0,11.0,-9.0,15.0,1908.0,-943.0,0.0,False,True,-0.8627279016719669,False
44:645:227:645,44,B6-B8,B6,B8,0.08485726989773923,0.08485726989773923,0.0,0.0,0.0,0.0,0.0,0.0,-0.7381660351316324,7.172424577124845,0.0,10.0,-0.45631956481912095,6.87716131850787,-0.4411045815189052,6.906420186304768,0.5537304979146285,-0.03736059555966009,10.0,0.0,7.0,21.0,10.0,28.0,1908.0,-1078.0,0.0,False,True,-0.5625592070993015,False
44:799:369:799,44,B4-B6,B4,B6,-6.50431463821991,6.50431463821991,0.0,0.0,0.0,0.0,0.0,0.0,0.0527346764733263,7.656573656912543,0.0,14.0,0.5288201350725164,5.441604295120833,0.5461057814621659,5.454505457563352,0.28408364532919367,-0.023445764285388304,7.0,1.0,6.0,9.5,-2.5,10.0,2228.0,114.5,0.0,False,True,-1.9368620423057301,False
44:799:369:799,44,B4-B8,B4,B8,-5.28519300329836,5.28519300329836,0.0,0.0,0.0,0.0,0.0,0.0,-0.41246908577520447,7.709308333385869,1.0,13.5,-0.01947583342133985,5.715752279367761,-0.025263992763201237,5.740190344676035,0.4778971286924189,-0.21725924764861354,7.0,0.0,6.0,7.0,3.0,8.0,3180.0,-952.0,0.0,False,True,-1.5141441583655322,False
44:799:369:799,44,B6-B8,B6,B8,1.2191216349215495,1.2191216349215495,0.0,0.0,0.0,0.0,0.0,0.0,-0.46520376224853077,7.656573656912543,1.0,13.5,-0.5482959684938562,5.451342211831504,-0.5713697742253672,5.467137453944952,0.4778971286924189,-0.19381348336322524,7.0,-1.0,6.0,9.5,5.5,10.0,3180.0,-1066.5,0.0,False,True,0.5717051579245087,False
45:10030:8933:10027,45,B4-B6,B4,B6,-4.74730212720975,4.74730212720975,0.0,0.0,0.0,0.0,0.0,0.0,-0.23707767806217195,7.847176428245146,0.0,13.0,-0.08815744960299288,5.721498079640206,-0.06954108556862693,5.733890777388419,0.47839803229601113,-0.07467260263665126,7.0,0.0,6.0,6.5,2.5,11.0,3167.0,-645.5,0.0,False,True,-0.17984953129557013,False
45:10030:8933:10027,45,B4-B8,B4,B8,-8.17997851019588,8.17997851019588,0.0,0.0,0.0,0.0,0.0,0.0,0.04048005572396729,7.806696372521179,-1.0,13.5,0.5898786382263319,5.3824800357255445,0.5541690945389588,5.422035687334626,0.40372542965935987,0.09104736698129717,7.0,1.0,6.0,6.5,0.5,11.0,2521.5,65.5,0.0,False,True,-4.408929665263052,False
45:10030:8933:10027,45,B6-B8,B6,B8,-3.4326763829861306,3.4326763829861306,0.0,0.0,0.0,0.0,0.0,0.0,0.27755773378613924,7.806696372521179,-1.0,13.5,0.6780360878293248,5.4265587605270404,0.6237101801075857,5.456806230118939,0.47839803229601113,0.16571996961794844,7.0,1.0,6.0,6.0,-2.0,8.0,3167.0,711.0,0.0,False,True,-4.080092859983171,False
45:10088:8986:10085,45,B4-B6,B4,B6,0.03569759863540156,0.03569759863540156,52.210000000000036,52.210000000000036,1345.5,2638.79,0.4647572960544022,1.2193022202084278,-0.4400203367398685,7.0071480228601715,1.0,3.5,-5.889369984863056,-2.6022112468072573,-1.2818207580737857,4.874258815828918,0.5593991325505131,-0.3381639832408695,7.0,-1.0,5.0,1714.0,-433.5,3033.0,1370.5,125.5,-1370.5,True,True,4.603150194549581,False
45:10088:8986:10085,45,B4-B8,B4,B8,0.8066734641914302,0.8066734641914302,-666.0825000000004,666.0825000000004,2011.5825000000004,3357.0825000000004,0.21073741699960324,1.2193022202084278,-0.5915019016286172,7.0071480228601715,1.0,3.5,-6.4699345947163485,-2.3119289418806113,-1.4989152884523973,4.982806081018223,0.576270445202484,-0.35503529589284044,9.0,-3.0,6.0,2041.5,-761.0,4036.0,1707.5,-337.0,-1707.5,True,True,4.577722309124258,False
45:10088:8986:10085,45,B6-B8,B6,B8,0.7709758655560286,0.7709758655560286,-718.2925000000005,718.2925000000005,2011.5825000000004,3304.8725000000004,-0.25401987905479895,1.0085648032088246,-0.15148156488874864,7.44716835960004,0.0,3.0,-0.5805646098532926,0.632756050550917,-0.2170945303786116,5.623716460055117,0.576270445202484,-0.01687131265197095,9.0,-2.0,6.0,2041.5,-327.5,4036.0,1707.5,-462.5,-1707.5,True,True,0.12355938855898785,False
45:10742:9590:10738,45,B4-B6,B4,B6,-4.015985361585905,4.015985361585905,0.0,0.0,0.0,0.0,0.0,0.0,0.057476033163646356,7.729075773265065,0.0,7.0,0.4051590451940914,7.509510215666353,0.40190661359447155,7.514044615928149,0.5642637944521331,-0.03319217355821824,10.0,0.0,8.0,16.5,-9.5,27.0,721.0,61.5,0.0,False,True,0.5514672343282747,False
45:10742:9590:10738,45,B4-B8,B4,B8,-3.7556927172359664,3.7556927172359664,0.0,0.0,0.0,0.0,0.0,0.0,-0.32237234954662775,7.786551806428712,0.0,7.0,-1.2024453204185148,8.313312398472656,-1.2013427333083193,8.315669289379544,0.6363022714232678,-0.10523065052935288,13.0,-3.0,8.0,7.0,1.0,11.0,1540.0,-819.0,0.0,False,True,0.015356127696861677,False
45:10742:9590:10738,45,B6-B8,B6,B8,0.2602926443499385,0.2602926443499385,0.0,0.0,0.0,0.0,0.0,0.0,-0.3798483827102741,7.729075773265065,0.0,7.0,-1.6076043656126062,8.11073287587561,-1.6032493469027909,8.114715982582307,0.6363022714232678,-0.07203847697113464,13.0,-3.0,8.0,16.5,10.5,27.0,1540.0,-880.5,0.0,False,True,-0.38712383264710226,False
45:11127:9949:11123,45,B4-B6,B4,B6,-3.4617692664521797,3.4617692664521797,0.0,0.0,0.0,0.0,0.0,0.0,-0.13843202862352477,7.573788167050511,0.0,6.0,0.7746646577965146,7.121277283026698,0.7703093454155381,7.1347630862230975,0.5065618591934381,0.013855321598954584,11.0,2.0,8.0,426.5,236.0,442.0,277.5,35.0,0.0,True,True,1.1056833294619999,False
45:11127:9949:11123,45,B4-B8,B4,B8,-2.6406713997049813,2.6406713997049813,0.0,0.0,0.0,0.0,0.0,0.0,-0.6971207806098736,7.573788167050511,1.0,5.5,-1.9514031839803554,8.484311203915134,-1.9418864637178856,8.490860990789809,0.7191523314941036,-0.21259047230066552,14.0,-3.0,10.0,426.5,96.0,442.0,1589.5,-1312.0,0.0,True,True,1.1303774452278468,False
45:11127:9949:11123,45,B6-B8,B6,B8,0.8210978667471984,0.8210978667471984,0.0,0.0,0.0,0.0,0.0,0.0,-0.5586887519863488,7.7122201956740355,1.0,5.5,-2.72606784177687,8.096978875016875,-2.7121958091334237,8.10570631808204,0.7191523314941036,-0.2264457938996201,14.0,-5.0,10.0,330.5,-140.0,336.0,1589.5,-1347.0,0.0,True,True,0.17368138975015768,False
45:11400:10205:11396,45,B4-B6,B4,B6,-7.0599586900393945,7.0599586900393945,0.0,0.0,0.0,0.0,0.0,0.0,0.009391700044792728,7.776744737738279,0.0,15.0,0.615649098357526,4.518858742591811,0.617897777059345,4.523968817205988,0.20230926193201612,-0.031084631729057732,6.0,1.0,5.0,9.0,1.5,13.0,2406.0,22.5,0.0,False,True,-2.492506094125215,False
45:11400:10205:11396,45,B4-B8,B4,B8,-6.5975835461959065,6.5975835461959065,0.0,0.0,0.0,0.0,0.0,0.0,0.0813245148504782,7.704811922932594,-1.0,15.5,0.5940412719328823,4.529662655804133,0.5394100411729923,4.563212685149165,0.1712246302029584,0.1712246302029584,6.0,1.0,5.0,29.0,-20.0,50.0,2406.0,188.0,0.0,False,True,-2.8265347012630784,False
45:11400:10205:11396,45,B6-B8,B6,B8,0.462375143843488,0.462375143843488,0.0,0.0,0.0,0.0,0.0,0.0,0.07193281480568547,7.704811922932594,-1.0,15.5,-0.02160782642464376,4.22183810662537,-0.07848773588635272,4.254263796619492,0.20230926193201612,0.20230926193201612,5.0,0.0,4.0,29.0,-21.5,50.0,2383.5,165.5,0.0,False,True,-0.18504133315355276,False
45:12507:11224:12503,45,B4-B6,B4,B6,-3.338684411037896,3.338684411037896,0.0,0.0,0.0,0.0,0.0,0.0,0.04881605782419385,7.516977224604321,0.0,9.0,0.4076677172191001,6.716891529991487,0.407149018701336,6.727513573550886,0.5188891668751564,-0.02999031062936136,10.0,0.0,7.0,14.0,3.0,24.0,952.0,62.0,0.0,False,True,1.2287681848762837,False
45:12507:11224:12503,45,B4-B8,B4,B8,-3.14419808413718,3.14419808413718,0.0,0.0,0.0,0.0,0.0,0.0,-0.4385722825510596,7.565793282428515,0.0,9.0,-0.668649820219545,7.25505029871081,-0.6592894647095386,7.260732815256324,0.5776916982128708,-0.08879284196707576,11.0,-1.0,8.0,14.0,11.0,24.0,1875.0,-923.0,0.0,False,True,0.6268507607956479,False
45:12507:11224:12503,45,B6-B8,B6,B8,0.19448632690071577,0.19448632690071577,0.0,0.0,0.0,0.0,0.0,0.0,-0.48738834037525347,7.516977224604321,0.0,9.0,-1.0763175374386451,7.051216440101259,-1.0664384834108747,7.057158305905656,0.5776916982128708,-0.0588025313377144,11.0,-1.0,8.0,11.0,8.0,14.0,1875.0,-985.0,0.0,False,True,-0.452930150096325,False
45:12815:11516:12811,45,B4-B6,B4,B6,-2.954523138833011,2.954523138833011,0.0,0.0,0.0,0.0,0.0,0.0,-0.34298915215694237,7.2813856635702825,-1.0,10.5,0.31332285384103375,6.9101429807929815,0.302886268903638,6.925691851774077,0.4987349163098482,0.10146871369146176,10.0,0.0,8.0,10.5,-5.5,14.0,1383.5,-429.5,0.0,False,True,1.6129294570811687,False
45:12815:11516:12811,45,B4-B8,B4,B8,0.39018598337008825,0.39018598337008825,0.0,0.0,0.0,0.0,0.0,0.0,-1.2330036005132206,7.2813856635702825,1.0,9.5,-0.38093882197556805,7.257273818701282,-0.37662629762565913,7.265448135038725,0.6256963694593213,-0.1269614531494731,10.0,0.0,10.0,8.0,-3.0,12.0,3520.0,-2566.0,0.0,False,True,4.161234828302916,False
45:12815:11516:12811,45,B6-B8,B6,B8,3.344709122203099,3.344709122203099,0.0,0.0,0.0,0.0,0.0,0.0,-0.8900144483562782,7.624374815727225,2.0,10.0,-0.6942616758166018,7.100612391780766,-0.6795125665292971,7.114005000586906,0.6256963694593213,-0.22843016684093487,10.0,0.0,10.0,10.5,2.5,14.0,3520.0,-2136.5,0.0,False,True,2.6972926452060584,False
45:13147:11830:13143,45,B4-B6,B4,B6,-3.3782372389790964,3.3782372389790964,0.0,0.0,0.0,0.0,0.0,0.0,-0.008271760411164841,7.594129575254653,0.0,17.0,0.140655743148818,1.54135684260338,0.19335373767506736,1.5756978478585126,0.0,0.0,2.0,0.0,2.0,8.0,-5.5,14.0,2002.0,-16.5,0.0,False,True,1.1892153569350832,False
45:13147:11830:13143,45,B4-B8,B4,B8,-2.520625603759015,2.520625603759015,0.0,0.0,0.0,0.0,0.0,0.0,0.5065558696966805,7.087573705557973,0.0,17.0,0.23710277437845795,1.49313332698856,0.20832789395357132,1.5682107697192607,0.0,0.0,2.0,0.0,2.0,16.0,-13.5,27.0,1985.5,789.5,0.0,False,True,1.250423241173813,False
45:13147:11830:13143,45,B6-B8,B6,B8,0.8576116352200813,0.8576116352200813,0.0,0.0,0.0,0.0,0.0,0.0,0.5148276301078454,7.087573705557973,0.0,17.0,0.09644703122963993,1.4228054554141512,0.014974156278503958,1.471533900881727,0.0,0.0,2.0,0.0,1.0,16.0,-8.0,27.0,2002.0,806.0,0.0,False,True,0.21019515822304058,False
45:13418:12083:13414,45,B4-B6,B4,B6,-3.243828005148309,3.243828005148309,0.0,0.0,0.0,0.0,0.0,0.0,-0.14297601315463737,7.9853141584524145,0.0,8.0,-0.3973679100182519,7.819320767541051,-0.39728875523652807,7.823197416950803,0.6224887776878357,-0.05633053386818809,12.0,-1.0,8.0,12.0,-7.5,14.0,1843.0,-467.5,0.0,False,True,1.3236245907658706,False
45:13418:12083:13414,45,B4-B8,B4,B8,-5.714321485532018,5.714321485532018,0.0,0.0,0.0,0.0,0.0,0.0,-0.2868732347924787,7.9853141584524145,0.0,8.0,-0.9301619095128029,8.085717767288326,-0.9280348200923809,8.088570449378729,0.6617357001972387,-0.09557745637759107,11.0,0.0,9.0,6.5,-2.0,9.0,3085.5,-1710.0,0.0,False,True,-1.94327264059919,False
45:13418:12083:13414,45,B6-B8,B6,B8,-2.470493480383709,2.470493480383709,0.0,0.0,0.0,0.0,0.0,0.0,-0.14389722163784135,8.128290171607052,0.0,8.0,-0.532793999494551,8.284401722297453,-0.5307460648558529,8.287214826996994,0.6617357001972387,-0.03924692250940298,12.0,1.0,9.0,12.0,5.5,14.0,3085.5,-1242.5,0.0,False,True,-3.11790995738075,False
45:14372:12969:14368,45,B4-B6,B4,B6,-8.436991414498962,8.436991414498962,0.0,0.0,0.0,0.0,0.0,0.0,0.7432519235962243,7.906547232368036,-2.0,7.0,1.4462011196841207,7.93054344856719,1.4440932557131925,7.933174114960503,0.6981216095862683,0.20366552660634907,13.0,3.0,13.0,10.0,-4.0,16.0,3136.0,2187.0,0.0,False,True,-3.8695388185847825,False
45:14372:12969:14368,45,B4-B8,B4,B8,-7.43678066019779,7.43678066019779,0.0,0.0,0.0,0.0,0.0,0.0,0.13280598455068926,8.51699317141357,-1.0,6.5,0.10202336014994628,8.602632328334277,0.10279977442974264,8.603820855602226,0.6981216095862683,0.03823156396689764,13.0,1.0,13.0,6.0,2.0,12.0,3136.0,136.0,0.0,False,True,-3.6657318152649623,False
45:14372:12969:14368,45,B6-B8,B6,B8,1.0002107543011718,1.0002107543011718,0.0,0.0,0.0,0.0,0.0,0.0,-0.610445939045535,7.906547232368036,1.0,7.5,-1.3441777595341744,7.879531768492217,-1.3412934812834498,7.88177422774563,0.6598900456193707,-0.16543396263945143,12.0,-2.0,11.0,10.0,6.0,16.0,3000.0,-2051.0,0.0,False,True,0.35279427730413104,False
45:14374:12970:14370,45,B4-B6,B4,B6,1.1967854984894295,1.1967854984894295,-390.0,390.0,2398.0,4406.0,-0.20586944219673042,1.7882177479492916,-0.055144138078990323,7.146772179452637,-1.0,5.5,-2.3828993923239246,-1.8983848192044679,-1.2684669533163033,6.10625869336422,0.40236175115207373,0.10365614212452645,10.0,-1.0,7.0,2423.0,-396.0,3338.0,2033.0,154.0,-2033.0,True,True,5.764238094403609,True
45:14374:12970:14370,45,B4-B8,B4,B8,-23.643617379208415,23.643617379208415,2008.0,2008.0,2008.0,2008.0,1.5823483057525611,1.5823483057525611,-1.0729579276567138,7.146772179452637,-1.0,5.5,-12.624379969911885,3.2223554695895125,-4.066830002149151,7.505440217780643,0.7078474006720695,-0.3054856495199958,13.0,-4.0,10.0,2027.0,2012.5,2525.0,2033.0,36.5,-2033.0,True,True,-19.872568534275587,True
45:14374:12970:14370,45,B6-B8,B6,B8,-24.840402877697844,24.840402877697844,2398.0,2398.0,2398.0,2398.0,1.7882177479492916,1.7882177479492916,-1.0178137895777235,7.201916317531627,0.0,6.0,-10.24148057758796,4.413805165751475,-2.7983630488328473,8.139673694438795,0.7078474006720695,-0.40914179164452225,13.0,-3.0,10.0,2423.0,2408.5,3338.0,1996.5,-117.5,-1879.0,True,True,-25.487819354694885,True
45:14605:13187:14601,45,B4-B6,B4,B6,-4.505362748926203,4.505362748926203,0.0,0.0,0.0,0.0,0.0,0.0,0.033564956572366356,7.640123172695364,0.0,13.0,0.3016805933085003,5.7900899359038895,0.29780082105663475,5.792960054587962,0.3888699505709903,-0.028869950570990288,8.0,1.0,7.0,18.0,-15.0,24.0,2016.0,46.0,0.0,False,True,0.06208984698797693,False
45:14605:13187:14601,45,B4-B8,B4,B8,-3.4228032489466074,3.4228032489466074,0.0,0.0,0.0,0.0,0.0,0.0,-0.576801396081918,7.67368812926773,1.0,12.5,-0.14604900212907435,6.013954733622677,-0.1489061536639218,6.016313541948239,0.5720779638484466,-0.21207796384844657,8.0,1.0,7.0,7.5,-4.5,14.0,3383.5,-1367.5,0.0,False,True,0.34824559598622074,False
45:14605:13187:14601,45,B6-B8,B6,B8,1.0825594999795953,1.0825594999795953,0.0,0.0,0.0,0.0,0.0,0.0,-0.6103663526542844,7.640123172695364,1.0,12.5,-0.4477295954375746,5.863114436968427,-0.44670697472055654,5.867413131419923,0.5720779638484466,-0.18320801327745628,7.0,0.0,7.0,18.0,10.5,24.0,3383.5,-1413.5,0.0,False,True,0.4351430229825546,False
45:15070:13619:15066,45,B4-B6,B4,B6,-1.7183862630700801,1.7183862630700801,345.52250000000004,345.52250000000004,674.5,1003.4775,0.25063968616842536,0.4071838213099909,-0.23781666978708582,7.413065722060018,0.0,4.0,-2.122019120345743,4.237586680607523,-0.5430092874169832,5.76109112122132,0.5265628081246303,-0.07640610278565191,8.0,0.0,6.0,1471.5,-144.0,2027.0,600.5,333.0,-600.5,True,True,2.8490663328440995,False
45:15070:13619:15066,45,B4-B8,B4,B8,-1.7581324316708944,1.7581324316708944,338.3649999999998,338.3649999999998,674.5,1010.6350000000002,0.2537675730215381,0.4071838213099909,-0.2795039260078882,7.413065722060018,-1.0,4.5,-2.877735978606882,4.615445109738093,-1.0444162609627536,6.011794607994205,0.4501567053389784,0.01854172908862911,9.0,-1.0,7.0,1422.0,-94.5,2027.0,600.5,436.5,-600.5,True,True,2.0129164132619337,False
45:15070:13619:15066,45,B6-B8,B6,B8,-0.03974616860081426,0.03974616860081426,-7.157500000000255,7.157500000000255,336.1350000000002,665.1125000000002,0.003127886853112688,0.15654413514156554,-0.04168725622080238,7.650882391847103,-1.0,4.5,-0.7557168582611391,5.676454669910964,-0.5014069735457705,6.283299251702697,0.5265628081246303,0.09494783187428102,9.0,-1.0,7.0,1471.5,49.5,1832.0,267.5,103.5,-267.5,True,True,-0.687162645597855,False
45:15962:14445:15958,45,B4-B6,B4,B6,-4.948805714397849,4.948805714397849,0.0,0.0,0.0,0.0,0.0,0.0,-0.11318185320924279,7.79667481406016,0.0,16.0,0.40908600388054683,3.719783545458452,0.421084766298375,3.740105365154329,0.0,0.0,5.0,1.0,4.0,12.5,8.5,21.0,2723.0,-291.5,0.0,False,True,-0.3813531184836698,False
45:15962:14445:15958,45,B4-B8,B4,B8,45.831593262045615,45.831593262045615,0.0,0.0,0.0,0.0,0.0,0.0,0.006185586732710746,7.790489227327449,0.0,16.0,-1.7181315531599344,4.783392323978692,-1.7135359885059187,4.807415742556476,0.0,0.0,9.0,-4.0,4.0,14.5,-2.0,23.0,2431.5,15.0,0.0,False,True,49.60264210697844,True
45:15962:14445:15958,45,B6-B8,B6,B8,50.780398976443465,50.780398976443465,0.0,0.0,0.0,0.0,0.0,0.0,0.11936743994195353,7.790489227327449,0.0,16.0,-2.127217557040481,4.578849322038419,-2.1346207548042937,4.596873359407288,0.0,0.0,9.0,-5.0,4.0,14.5,-10.5,23.0,2723.0,306.5,0.0,False,True,50.13298249944643,True
45:16117:14591:16113,45,B4-B6,B4,B6,-5.726009720189381,5.726009720189381,27.420000000000073,27.420000000000073,27.420000000000073,27.420000000000073,0.00922611036339168,0.00922611036339168,0.011672296945392624,7.985654526052705,-1.0,5.5,0.374726726038773,8.08046974599811,0.4173956644998702,8.107251023739297,0.6094274731944164,0.08326593539595073,11.0,1.0,8.0,1104.0,655.5,1176.0,578.0,17.5,0.0,True,True,-1.1585571242752017,False
45:16117:14591:16113,45,B4-B8,B4,B8,-6.709180799027976,6.709180799027976,27.420000000000073,27.420000000000073,27.420000000000073,27.420000000000073,0.00922611036339168,0.00922611036339168,-0.06020903122654886,7.997326822998097,-4.0,7.0,-0.5663186413389099,8.550992429686952,-0.5216877668525228,8.576792739415493,0.6094274731944164,0.33241643218495265,12.0,-1.0,9.0,1104.0,757.5,1176.0,891.5,-313.5,0.0,True,True,-2.938131954095148,False
