method,lowering_axis,n,tail_rate_abs_error_gt5ns,mean_tail_probability_gt5ns,tail_probability_brier,tail_probability_ece,tail_capture_at_95_acceptance,accepted_tail_rate_at_95_acceptance
control_shuffled_target_ridge,large,465,0.032258064516129,0.0058996797974589,0.031794837122035,0.0311329207836728,0.2666666666666666,0.0249433106575963
control_shuffled_target_ridge,medium,706,0.0169971671388102,0.0074341864966732,0.0167906561697493,0.0148278194423018,0.1666666666666666,0.0149253731343283
control_shuffled_target_ridge,none,9240,0.0227272727272727,0.0055161014798844,0.0223420023687615,0.0172111712473883,0.1333333333333333,0.0207336523125996
control_shuffled_target_ridge,small,1049,0.0266920877025738,0.0059627207548342,0.0262482140889198,0.0218755614829205,0.1071428571428571,0.0251004016064257
gated_waveform_tabular_cnn,large,465,0.032258064516129,0.0528208654933282,0.0343130295350463,0.0284059078558564,0.2,0.0272108843537414
gated_waveform_tabular_cnn,medium,706,0.0169971671388102,0.0087352745168311,0.0154388725482184,0.0098497186236689,0.5833333333333334,0.0074626865671641
gated_waveform_tabular_cnn,none,9240,0.0181818181818181,0.0070157330113124,0.016899482586505,0.0111660851705057,0.2619047619047619,0.0141262246525404
gated_waveform_tabular_cnn,small,1049,0.0266920877025738,0.0173539970806738,0.0263425845741263,0.0110196586784148,0.2142857142857142,0.0220883534136546
gradient_boosted_trees_conformal,large,465,0.0344086021505376,0.0079577206506494,0.0292139988630248,0.0264508814998888,0.5625,0.0158730158730158
gradient_boosted_trees_conformal,medium,706,0.0212464589235127,0.0086872618802338,0.0115595334801581,0.0125591970432789,0.6666666666666666,0.0074626865671641
gradient_boosted_trees_conformal,none,9240,0.0117965367965367,0.0037709907376063,0.0100385091257503,0.0080255460589304,0.4311926605504587,0.0070631123262702
gradient_boosted_trees_conformal,small,1049,0.0266920877025738,0.007600054407665,0.0197130469360959,0.0190920332949088,0.6071428571428571,0.0110441767068273
mlp_heteroskedastic,large,465,0.032258064516129,0.0173495963413072,0.0259720381687461,0.0163910174497518,0.6,0.0136054421768707
mlp_heteroskedastic,medium,706,0.0169971671388102,0.0073594638412693,0.0158130824924504,0.0097745507931259,0.5,0.008955223880597
mlp_heteroskedastic,none,9240,0.01504329004329,0.0053399866981907,0.013557141155731,0.0097033033450993,0.3597122302158273,0.0101389838231943
mlp_heteroskedastic,small,1049,0.0247855100095328,0.0160845161838857,0.024259480312977,0.0117606717298601,0.2692307692307692,0.0190763052208835
ridge_conformal,large,465,0.032258064516129,0.0164823423332754,0.0209698213488399,0.0157757222351695,0.7333333333333333,0.0090702947845804
ridge_conformal,medium,706,0.0155807365439093,0.0072433128842319,0.0136152929939979,0.0083374236596773,0.5454545454545454,0.0074626865671641
ridge_conformal,none,9240,0.0114718614718614,0.0010898841477496,0.0109382092976118,0.0103819773241118,0.3113207547169811,0.0083162451583504
ridge_conformal,small,1049,0.0247855100095328,0.0025123099881088,0.0232382542708134,0.022273200021424,0.2692307692307692,0.0190763052208835
traditional_stratified_robust_width,large,465,0.032258064516129,3.907205505153115e-62,0.032258064516129,0.032258064516129,0.0666666666666666,0.03125
traditional_stratified_robust_width,medium,706,0.0169971671388102,3.503411180466917e-56,0.0169971671388102,0.0169971671388102,0.0833333333333333,0.0164179104477611
traditional_stratified_robust_width,none,9240,0.0127705627705627,0.0049477328015635,0.0117338584595077,0.0099455615263313,0.2966101694915254,0.0094371802160318
traditional_stratified_robust_width,small,1049,0.0238322211630123,4.377367140121668e-07,0.0238322212635136,0.0238317834262983,0.08,0.0230460921843687
