scenario,feature_set,alpha,selection,fold,sigma68_ns,n_train
pooled,amp_poly_by_stave,0.1,,4,3.415888609102072,1842
pooled,amp_poly_by_stave,0.1,,mean,3.40702934414743,2460
pooled,amp_poly_by_stave,1.0,,1,3.7442435310548476,1830
pooled,amp_poly_by_stave,1.0,,2,3.444219162131221,1806
pooled,amp_poly_by_stave,1.0,,3,2.9890201919709773,1902
pooled,amp_poly_by_stave,1.0,,4,3.4150989814373665,1842
pooled,amp_poly_by_stave,1.0,,mean,3.398145466648603,2460
pooled,amp_poly_by_stave,10.0,,1,3.6758715934801827,1830
pooled,amp_poly_by_stave,10.0,,2,3.377810808156711,1806
pooled,amp_poly_by_stave,10.0,,3,2.9305739371312756,1902
pooled,amp_poly_by_stave,10.0,,4,3.3592721831390144,1842
pooled,amp_poly_by_stave,10.0,,mean,3.335882130476796,2460
pooled,amp_poly_by_stave,100.0,,1,3.5050240447685095,1830
pooled,amp_poly_by_stave,100.0,,2,2.98061106400821,1806
pooled,amp_poly_by_stave,100.0,,3,2.901218570878216,1902
pooled,amp_poly_by_stave,100.0,,4,3.223753834428175,1842
pooled,amp_poly_by_stave,100.0,,mean,3.1526518785207776,2460
pooled,amp_bin_by_stave,0.0,,1,3.2444862542252375,1830
pooled,amp_bin_by_stave,0.0,,2,2.6264676972696384,1806
pooled,amp_bin_by_stave,0.0,,3,2.5439645748660964,1902
pooled,amp_bin_by_stave,0.0,,4,2.322817828203145,1842
pooled,amp_bin_by_stave,0.0,,mean,2.684434088641029,2460
pooled,amp_bin_by_stave,0.01,,1,3.2445066126311164,1830
pooled,amp_bin_by_stave,0.01,,2,2.626433058086172,1806
pooled,amp_bin_by_stave,0.01,,3,2.543442017939241,1902
pooled,amp_bin_by_stave,0.01,,4,2.3228121079684265,1842
pooled,amp_bin_by_stave,0.01,,mean,2.684298449156239,2460
pooled,amp_bin_by_stave,0.1,,1,3.244689685257212,1830
pooled,amp_bin_by_stave,0.1,,2,2.6261214393556456,1806
pooled,amp_bin_by_stave,0.1,,3,2.5389029224965802,1902
pooled,amp_bin_by_stave,0.1,,4,2.3227606216068195,1842
pooled,amp_bin_by_stave,0.1,,mean,2.6831186671790643,2460
pooled,amp_bin_by_stave,1.0,,1,3.2465053734715528,1830
pooled,amp_bin_by_stave,1.0,,2,2.6230184110107526,1806
pooled,amp_bin_by_stave,1.0,,3,2.5258696165577863,1902
pooled,amp_bin_by_stave,1.0,,4,2.3210473689384465,1842
pooled,amp_bin_by_stave,1.0,,mean,2.6791101924946346,2460
pooled,amp_bin_by_stave,10.0,,1,3.2473508437120033,1830
pooled,amp_bin_by_stave,10.0,,2,2.617366814583531,1806
pooled,amp_bin_by_stave,10.0,,3,2.4898365910431304,1902
pooled,amp_bin_by_stave,10.0,,4,2.331847383815793,1842
pooled,amp_bin_by_stave,10.0,,mean,2.6716004082886147,2460
pooled,amp_bin_by_stave,100.0,,1,3.174501557451188,1830
pooled,amp_bin_by_stave,100.0,,2,2.5416540768415206,1806
pooled,amp_bin_by_stave,100.0,,3,2.462711504977334,1902
pooled,amp_bin_by_stave,100.0,,4,2.4153279068083195,1842
pooled,amp_bin_by_stave,100.0,,mean,2.6485487615195904,2460
