blind_id,run,eventno,evt,stave,traditional_label,ml_label,ml_confidence,adaptive_lowering_adc,amplitude_adc,peak_sample,traditional_margin
blind_031,56,320430,9226,B2,pre_trigger_contamination,pre_trigger_contamination,0.998500168710593,3762.5,1357.5,0,0.3000000000000007
blind_032,57,386309,5135,B2,post_trigger_undershoot,post_trigger_undershoot,0.9582228792997506,2046.0,1479.0,6,0.34999999999999964
blind_033,57,379442,15171,B2,pile_up,pile_up,0.990445403536251,379.21000000000004,3386.0,4,0.9271307189542473
blind_034,56,325625,14073,B2,electronics_baseline_drift,electronics_baseline_drift,0.8964746516708539,1234.4925000000003,3200.5,16,3.76254551210402
blind_035,56,355608,9337,B2,pile_up,electronics_baseline_drift,0.49124082138067665,9842.91,4406.0,7,0.3055060061349675
blind_036,56,350541,4592,B2,pile_up,pile_up,0.6475022358779163,352.52000000000044,5432.0,6,0.3064701602672044
blind_037,57,360682,14091,B2,electronics_baseline_drift,electronics_baseline_drift,0.9964563668272999,6655.1875,7887.5,8,1.1041804010841831
blind_038,56,346866,1174,B2,electronics_baseline_drift,electronics_baseline_drift,0.9956174540831672,6627.2525,9016.5,7,1.4197392270784706
blind_039,57,370185,6578,B2,post_trigger_undershoot,post_trigger_undershoot,0.3661188571417489,1366.5049999999992,3233.0,10,0.12194040500477277
blind_040,57,358943,12462,B2,electronics_baseline_drift,electronics_baseline_drift,0.9161234212154435,6654.425,7505.0,5,0.058070031788846066
blind_041,56,346179,539,B2,electronics_baseline_drift,electronics_baseline_drift,0.8845141024470465,6781.35,7910.0,7,0.15454338957537228
blind_042,57,358536,12078,B2,pre_trigger_contamination,pre_trigger_contamination,0.9468203556149927,1582.5,1161.5,3,0.3000000000000007
blind_043,57,362745,16012,B2,electronics_baseline_drift,electronics_baseline_drift,0.997453814971007,6632.9825,8234.5,8,1.321493195990092
blind_044,55,300646,7211,B2,post_trigger_undershoot,post_trigger_undershoot,0.9414763812140313,1159.125,3525.0,6,1.1985042453219021
blind_045,57,376606,12575,B2,pre_trigger_contamination,pre_trigger_contamination,0.998500168710593,3916.0,1325.0,0,0.3000000000000007
blind_046,57,361504,14859,B2,post_trigger_undershoot,post_trigger_undershoot,0.9115467831500232,2280.0,1480.0,6,0.6674999999999995
blind_047,57,370493,6862,B2,pre_trigger_contamination,pre_trigger_contamination,0.9614005627668595,2103.5,1145.5,3,0.3000000000000007
blind_048,57,385148,4062,B2,pre_trigger_contamination,pre_trigger_contamination,0.9658999963515835,3311.1549999999997,2323.0,3,0.45000000000000107
