method,amp_low,amp_high,n,sigma68_ns,mae_ns,bias_ns,rms_ns
analytic_timewalk,29384.366719648366,54131.75282998995,2552,0.4080707431214674,0.3850373985584701,-0.18410884834510158,0.6100110558771028
ridge,5.543982850165858,21058.786135772705,2552,1408.0753949185137,2515.0511573229487,815.4677326814964,10468.048482721231
ridge,21058.786135772705,23488.52464918474,2552,465.1187556167739,439.75157536488524,227.0154149609259,562.8974707697365
ridge,23488.52464918474,25788.50326685014,2552,523.3274596413324,436.3892553510406,101.73918830078594,560.9816908574824
ridge,25788.50326685014,29384.366719648366,2552,613.999244308602,495.7059176730778,-41.43813659326841,590.4057924450633
ridge,29384.366719648366,54131.75282998995,2552,705.0008199126559,920.9240046092038,-809.8192674084642,741.9962074995095
gradient_boosted_trees,5.543982850165858,21058.786135772705,2552,5.963849274488302,886.938846258309,218.98639451278163,6662.070680926775
gradient_boosted_trees,21058.786135772705,23488.52464918474,2552,0.022146419228231483,2.0547824909322743,-0.4015309268768341,16.480021707800375
gradient_boosted_trees,23488.52464918474,25788.50326685014,2552,0.023263699901680753,1.0425047366551807,-0.26980999391370325,11.429549650061544
gradient_boosted_trees,25788.50326685014,29384.366719648366,2552,0.02384546075258271,0.7835310803585329,0.022287538408333023,11.447374140976992
gradient_boosted_trees,29384.366719648366,54131.75282998995,2552,0.034241717080851275,0.891925879016864,0.22483030789740502,8.460217582270552
mlp,5.543982850165858,21058.786135772705,2552,2.8179303594725402,410.8171882722464,-391.0829460242711,10639.220165401463
mlp,21058.786135772705,23488.52464918474,2552,2.4381706828482477,10.766232964029218,10.766232964029218,2.332175026787531
mlp,23488.52464918474,25788.50326685014,2552,2.2962302454607837,11.668598329585771,11.668598329585771,2.2524708132230544
mlp,25788.50326685014,29384.366719648366,2552,1.096424691015521,12.677699421492528,12.677699421492528,1.6538742301563754
mlp,29384.366719648366,54131.75282998995,2552,0.45456818342208916,13.178989271405378,13.178989271405378,0.7713516837899826
1d_cnn,5.543982850165858,21058.786135772705,2552,3.776399872596734,438.1053584776567,-361.1770091234996,10639.533277635024
1d_cnn,21058.786135772705,23488.52464918474,2552,2.9951243015425533,41.07436541501598,41.07436541501598,2.9968452512225996
1d_cnn,23488.52464918474,25788.50326685014,2552,2.977575510865446,42.16790195356715,42.16790195356715,2.874307431188994
1d_cnn,25788.50326685014,29384.366719648366,2552,2.038481018007552,43.362891356432506,43.362891356432506,2.1691133532566633
1d_cnn,29384.366719648366,54131.75282998995,2552,0.9103233146667478,43.753896615858956,43.753896615858956,1.288805411585184
physics_residual_gate,5.543982850165858,21058.786135772705,2552,2.2724690147536153,416.770527884503,-384.96167780932564,10639.4059760534
physics_residual_gate,21058.786135772705,23488.52464918474,2552,2.2473819442885272,17.70989674370457,17.70989674370457,2.1730530971772626
physics_residual_gate,23488.52464918474,25788.50326685014,2552,2.2382002922194353,18.536854206775786,18.536854206775786,2.1056781447468045
physics_residual_gate,25788.50326685014,29384.366719648366,2552,0.49680693391736597,19.482456007941195,19.482456007941195,1.5336225601857243
physics_residual_gate,29384.366719648366,54131.75282998995,2552,0.35933567766126373,19.752506076679175,19.752506076679175,0.6140734661425222
