event_n,boundary_event_n,band_accuracy,flip_rate,boundary_band_accuracy,boundary_flip_rate,interval_band_coverage,boundary_interval_band_coverage,resolved_correct_rate,boundary_resolved_correct_rate,event_abstention_coverage,retained_boundary_flip_rate,score_abs68,method,run
10021,1887,0.9921165552340085,0.007883444765991454,0.9597244303126656,0.04027556968733437,0.9990020955992416,0.994700582935877,0.9720586767787646,0.8696343402225755,0.4035525396666999,0.031728045325779,0.06308201842392408,gradient_boosted_trees,62
11486,2952,0.9938185617273202,0.006181438272679807,0.9759485094850948,0.024051490514905183,0.9993905624238203,0.9976287262872628,0.9656973707121713,0.8699186991869918,0.0,,0.03693354710496878,gradient_boosted_trees,63
10030,2812,0.9935194416749751,0.006480558325024921,0.9775960170697012,0.02240398293029877,0.998604187437687,0.9950213371266002,0.9709870388833499,0.9004267425320057,0.7305084745762712,0.01807228915662651,0.031157141882629278,gradient_boosted_trees,64
9737,2774,0.9959946595460614,0.004005340453938633,0.9863013698630136,0.013698630136986356,0.9993837937763171,0.998197548666186,0.9792543904693437,0.9293439077144917,0.7799116771079387,0.010127531882970775,0.025074794221206818,gradient_boosted_trees,65
11977,4788,0.6483259580863321,0.3516740419136679,0.39786967418546365,0.6021303258145363,0.8899557485179929,0.7263993316624896,0.4829256074142106,0.3836675020885547,0.8179844702346164,0.6059166486719931,0.7054682638902466,mlp,58
10866,2023,0.9891404380636849,0.010859561936315099,0.9451309935739002,0.05486900642609982,0.9985275170255844,0.9925852694018784,0.9234308853303884,0.708353929807217,0.5710473035155531,0.03561791689152727,0.18136052577400585,mlp,59
9097,1663,0.9935143453885896,0.006485654611410374,0.9669272399278412,0.03307276007215876,0.9990106628558866,0.995189416716777,0.9663625371001429,0.8472639807576668,0.6488952401890733,0.02892307692307694,0.14566842168431754,mlp,60
9744,1842,0.9857348111658456,0.014265188834154396,0.9299674267100977,0.07003257328990231,0.9983579638752053,0.992399565689468,0.9430418719211823,0.744299674267101,0.5166256157635468,0.0625,0.15289131270868334,mlp,61
10021,1887,0.9921165552340085,0.007883444765991454,0.9597244303126656,0.04027556968733437,0.9997006286797725,0.9984101748807631,0.9665702025745934,0.8410174880763116,0.4035525396666999,0.03569405099150147,0.07278048987582439,mlp,62
11486,2952,0.9845028730628591,0.015497126937140893,0.9413956639566395,0.05860433604336046,0.9984328748041094,0.9939024390243902,0.9064948633118579,0.6646341463414634,0.5436183179522898,0.052457813646368256,0.09470501904495593,mlp,63
10030,2812,0.9663010967098704,0.03369890329012959,0.8822901849217639,0.11770981507823608,0.9856430707876371,0.9491465149359887,0.9442671984047857,0.8125889046941679,0.03280159521435693,0.050000000000000044,0.16906644724061395,mlp,64
9737,2774,0.9938379377631714,0.0061620622368285805,0.9787310742609949,0.021268925739005073,0.9996918968881585,0.9989185291997116,0.9592276881996508,0.8619322278298486,0.021156413679778167,0.09090909090909094,0.03239476863944333,mlp,65
11977,4788,0.5844535359438925,0.4155464640561075,0.60421888053467,0.39578111946533,1.0,1.0,0.0,0.0,0.9085747683059197,0.39480354879594426,3.720053697040318,cnn_1d,58
10866,2023,0.9688017669795693,0.031198233020430677,0.8447849728126545,0.15521502718734548,0.9991717283268913,0.995551161641127,0.7233572611816675,0.3791398912506179,0.6684152401987852,0.1457787100157315,0.5364307991391706,cnn_1d,59
9097,1663,0.95020336374629,0.04979663625371,0.7612748045700541,0.23872519542994586,0.9971419149170057,0.9849669272399278,0.6770363856216335,0.18580877931449188,0.6488952401890733,0.23507692307692307,0.5766571788385654,cnn_1d,60
9744,1842,0.9394499178981938,0.060550082101806235,0.7366992399565689,0.26330076004343106,0.9952791461412152,0.9755700325732899,0.6503489326765188,0.16558089033659065,0.4095853858784893,0.260056657223796,0.6174975952372392,cnn_1d,61
10021,1887,0.9421215447560124,0.0578784552439876,0.744568097509274,0.255431902490726,0.9969064963576489,0.9862215156332803,0.6751821175531384,0.1478537360890302,0.42879952100588764,0.2529118136439268,0.5127874944026644,cnn_1d,62
11486,2952,0.9466306808288351,0.05336931917116494,0.825880758807588,0.17411924119241196,0.9967786870973359,0.9884823848238482,0.6710778338847292,0.252710027100271,0.6059550757443845,0.16885886953430507,0.3695730324497326,cnn_1d,63
10030,2812,0.4345962113659023,0.5654037886340977,0.5124466571834992,0.48755334281650076,0.5697906281156531,0.5280938833570412,0.3999002991026919,0.5028449502133713,0.03280159521435693,0.25,5.0662020588239285,cnn_1d,64
9737,2774,0.9446441409058232,0.05535585909417684,0.8262436914203316,0.1737563085796684,0.9941460408750128,0.9812545061283345,0.6626270925336346,0.2595529920692141,0.021156413679778167,0.7272727272727273,0.35238512251961557,cnn_1d,65
11977,4788,0.5844535359438925,0.4155464640561075,0.60421888053467,0.39578111946533,1.0,1.0,0.0,0.0,0.9085747683059197,0.39480354879594426,3.638151438958237,wavegate_interval_net,58
10866,2023,0.9307933002024664,0.06920669979753358,0.6653484923381117,0.33465150766188834,0.9954905208908522,0.9767671774592189,0.6265415056138414,0.07661888284725656,0.6943677526228603,0.33126614987080105,0.5092823129011592,wavegate_interval_net,59
9097,1663,0.934264043091129,0.06573595690887102,0.6873120865904991,0.31268791340950086,0.9942838298340112,0.9711365003006615,0.651203693525338,0.13349368610944076,0.6915466637352974,0.30552070263488085,0.6156146509742748,wavegate_interval_net,60
9744,1842,0.9073275862068966,0.09267241379310343,0.5917480998914224,0.4082519001085776,0.9906609195402298,0.9560260586319218,0.7384031198686372,0.30998914223669927,0.5166256157635468,0.4076834862385321,0.7016408624262378,wavegate_interval_net,61
10021,1887,0.9452150483983635,0.054784951601636545,0.7339692633810281,0.2660307366189719,0.9898213751122642,0.949655537890832,0.7076140105777866,0.27397986221515636,0.4035525396666999,0.2538243626062323,0.40371846195528116,wavegate_interval_net,62
11486,2952,0.9227755528469441,0.07722444715305588,0.7459349593495935,0.25406504065040647,0.988768936096117,0.9586720867208672,0.7111265888908236,0.4325880758807588,0.5430959428869928,0.2476155539251651,0.3508013758672043,wavegate_interval_net,63
10030,2812,0.4345962113659023,0.5654037886340977,0.5124466571834992,0.48755334281650076,0.49700897308075775,0.5131578947368421,0.4244267198404786,0.5117354196301565,0.0,,5.115502891523349,wavegate_interval_net,64
9737,2774,0.9171202629146554,0.08287973708534457,0.720620043258832,0.279379956741168,0.9916812159802814,0.9733237202595529,0.7307178802505905,0.2999279019466474,0.021156413679778167,0.2727272727272727,0.24559245008611005,wavegate_interval_net,65
11977,4788,0.4886866494113718,0.5113133505886283,0.39598997493734334,0.6040100250626567,1.0,1.0,0.0002504800868330968,0.0,0.927611254905235,0.6051964512040557,0.8137376839004151,shuffled_target_gbt,58
10866,2023,0.8099576661144855,0.1900423338855145,0.4607019278299555,0.5392980721700444,0.999907969814099,1.0,0.003221056506534143,0.0,0.6599484630958955,0.5482686253934943,1.6761546604794615,shuffled_target_gbt,59
9097,1663,0.7976255908541278,0.20237440914587224,0.4095009019843656,0.5904990980156344,0.9998900736506541,1.0,0.0026382323843025172,0.0,0.5562273276904474,0.5937307928703135,1.536668776980807,shuffled_target_gbt,60
9744,1842,0.7941297208538588,0.2058702791461412,0.40933767643865365,0.5906623235613464,0.9973316912972086,0.993485342019544,0.08425697865353038,0.0005428881650380022,0.5510057471264368,0.5973003374578179,1.5509548015446732,shuffled_target_gbt,61
10021,1887,0.8003193294082427,0.19968067059175731,0.40964493905670374,0.5903550609432963,0.990619698632871,0.9878113407525172,0.0008981139606825666,0.0021197668256491787,0.42879952100588764,0.5990016638935108,1.5040852529575124,shuffled_target_gbt,62
11486,2952,0.7397701549712694,0.2602298450287306,0.5169376693766937,0.4830623306233063,0.9763189970398747,0.997289972899729,0.0008706251088281386,0.0027100271002710027,0.037611004701375586,0.5,1.1121206579373109,shuffled_target_gbt,63
10030,2812,0.734297108673978,0.265702891326022,0.4875533428165007,0.5124466571834994,0.8240279162512463,0.5778805120910384,0.4935194416749751,0.37802275960170695,0.7900299102691924,0.5171396977515665,1.027209158724405,shuffled_target_gbt,64
9737,2774,0.7543391188251002,0.24566088117489981,0.46611391492429705,0.533886085075703,0.8392728766560542,0.5702956020187455,0.47119235904282636,0.32840663302090844,0.8171921536407518,0.5389442598744925,0.9408962906069349,shuffled_target_gbt,65
