claim_id,chapter,section,claim_text,current_value,unit,stat_unc,syst_unc,total_unc,ci_low,ci_high,ci_level,ci_method,bootstrap_unit,n_events,n_runs,n_data,n_mc,numerator,denominator,p_value,effect_size,baseline_value,baseline_unc,delta_vs_baseline,delta_ci_low,delta_ci_high,truth_type,status,allowed_status_validated,source_report,source_script,source_data,source_config,source_manifest,figure_ids,table_ids,source_commit,link_validated,ci_status,blocked_by,supersedes,notes
CL-017,PID,8,Legacy truth-MC HGB p/d ROC AUC (row-index split),0.9859658513538254,dimensionless,,,,,,,,,,,,296972,,,,,,,,,,mc_truth_only,GATED,NO,,scripts/mv1_mv2_truth_pid_energy.py,reports/mv1_mv2_truth_pid_energy_1782220258/mv1_mv2_truth_summary.json,,,FIG-PID-001,TAB-PID-001,3539ae3aad222284bd7be100802a2651c0e064de,YES,NOT_EVALUATED_LEGACY_ROW_INDEX_SPLIT,BLK-MV1-001,,"Fixed legacy output from truth-labelled MC on 296972 proton/deuteron tracks. The producer splits by row-index parity rather than event groups, creating event-group leakage risk when an event contributes multiple tracks. It records no uncertainty or confidence interval and does not bind a reproducible manifest or estimator versions; HGB random_state is implicit. The current ccb_mc_validation MV1 module uses a group-disjoint event_id split and explicit random_state, but the 400369-track source has not been rerun through that corrected path. This is no beam-data PID performance result."
CL-018,PID,8,Legacy truth-MC HGB p/d purity at nominal 90% efficiency (row-index split),0.9644090769970706,dimensionless,,,,,,,,,,,,296972,,,,,,,,,,mc_truth_only,GATED,NO,,scripts/mv1_mv2_truth_pid_energy.py,reports/mv1_mv2_truth_pid_energy_1782220258/mv1_mv2_truth_summary.json,,,FIG-PID-001,TAB-PID-001,3539ae3aad222284bd7be100802a2651c0e064de,YES,NOT_EVALUATED_LEGACY_ROW_INDEX_SPLIT,BLK-MV1-001,,"Fixed legacy output from truth-labelled MC on 296972 proton/deuteron tracks. The producer splits by row-index parity rather than event groups, creating event-group leakage risk when an event contributes multiple tracks. It records no uncertainty or confidence interval and does not bind a reproducible manifest or estimator versions; HGB random_state is implicit. The current ccb_mc_validation MV1 module uses a group-disjoint event_id split and explicit random_state, but the 400369-track source has not been rerun through that corrected path. This is no beam-data PID performance result."
CL-019,PID,8,Legacy MV3 v3 exact B8 fraction in thresholded MC,0.22293614019335908,fraction,,,,,,,fixed_exact_summary_count_fraction,,,,,249484,55619,249484,,,,,,,,legacy_thresholded_mc_summary,GATED,NO,reports/mv3_stopping_v3_1782679272/REPORT.md,,reports/mv3_stopping_v3_1782679272/mv3_summary.json,,,FIG-PID-005,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_FIXED_EXACT_COUNTS_SYSTEMATICS_UNEVALUATED,BLK-MV3-LEGACY-001,,"The tracked summary records exact B8 counts 55619/249484 and fraction 0.22293614019335908. This fixed legacy thresholded-MC output is reproducible from tracked bytes, but no accepted sampling, geometry, gain, selection-transfer, or detector-systematics model exists; it is not a production stopping-profile closure."
CL-020,PID,8,Legacy MV3 v3 exact B8 fraction in selected data,0.02298651974767315,fraction,,,,,,,fixed_exact_summary_count_fraction,,,,306745,,7051,306745,,,,,,,,legacy_selected_data_summary,GATED,NO,reports/mv3_stopping_v3_1782679272/REPORT.md,,reports/mv3_stopping_v3_1782679272/mv3_summary.json,,,FIG-PID-005,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_FIXED_EXACT_COUNTS_SYSTEMATICS_UNEVALUATED,BLK-MV3-LEGACY-001,,"The tracked summary records exact B8 counts 7051/306745 and fraction 0.02298651974767315. This fixed selected-data output is reproducible from tracked bytes, but no accepted trigger/selection-transfer, geometry, gain, or detector-systematics model exists; it is not a production stopping-profile closure."
CL-021,PID,8,Legacy MV3 v3 exact Pearson profile chi2/ndf diagnostic,68269.40598948313,dimensionless,,,,,,,pearson_chi2_from_data_counts_vs_mc_fraction_expected_counts,,,,306745,249484,,,,,,,,,,legacy_data_mc_profile_diagnostic,FLAWED,NO,reports/mv3_stopping_v3_1782679272/REPORT.md,,reports/mv3_stopping_v3_1782679272/mv3_summary.json,,,FIG-PID-005,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_FIXED_PEARSON_CHI2_SYSTEMATICS_UNEVALUATED,BLK-MV3-LEGACY-001,legacy integer 68269 entry,"The tracked summary records Pearson chi2 204808.2179684494 with 3 degrees of freedom, giving chi2/ndf 68269.40598948313 from exact data counts and MC-fraction expected counts. The calculation is reproducible but remains a flawed legacy diagnostic, not a calibrated goodness-of-fit, because geometry, trigger and selection transfer, gain response, covariance, p-value interpretation, and detector/model systematics are unresolved."
CL-022,Anomaly,9,Early-peak anomaly fraction in truth-labelled MC,0.003232254011764034,fraction,,,,0.002877452112691542,0.003630645177388446,0.95,Wilson_score,,220000,1,,87555,283,87555,,,,,,,,mc_truth_only,TRUTH_LEVEL_MC_ONLY,YES,reports/mv6_representation_1782678362/REPORT.md,scripts/mv6_representation_study.py,reports/mv6_representation_1782678362/mv6_representation_summary.json,,,FIG-AN-001,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,CI_AVAILABLE_SOURCE_COUNTS_WILSON,AUD-ANOM-001,,"This row is the total early-peak morphology rate, not a C12-specific rate. Source counts are 283/87555; low_area=0. C12 accounts for 156/283 of early-peak tracks (0.551236749116608; Wilson 95% [0.492988594115321,0.608112551162733]); the C12 early-peak rate is 156/7302 (0.0213640098603122; Wilson 95% [0.0182905205833696,0.0249408389528223]). The related data anomaly near 4% is not identified as C12; matched data/MC closure and independent data species evidence remain required."
CL-023,ML,6,MV6 synthetic-waveform PCA cumulative explained variance at 3 components,0.7254602133437841,fraction,,,,,,,,,220000,1,,87555,,,,,,,,,,synthetic_waveform_mc,TRUTH_LEVEL_MC_ONLY,YES,reports/mv6_representation_1782678362/REPORT.md,scripts/mv6_representation_study.py,reports/mv6_representation_1782678362/mv6_representation_summary.json,,,FIG-AN-001,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_FIXED_OUTPUT_SCIENTIFIC_UNCERTAINTY_NOT_EVALUATED,,0.89,"Source-backed fixed synthetic-waveform MC output from pedestal-subtracted, peak-normalized waveforms; not beam-data PCA and not an uncertainty claim; supersedes 0.89. The tracked producer fits ten PCA components to 87,555 charged B-arm MC tracks with seed 42. Data/MC transfer and detector-response systematics remain unvalidated under AUD-ANOM-001."
CL-024,ML,6,MV6 synthetic-waveform PCA cumulative explained variance at 8 components,0.821883926913117,fraction,,,,,,,,,220000,1,,87555,,,,,,,,,,synthetic_waveform_mc,TRUTH_LEVEL_MC_ONLY,YES,reports/mv6_representation_1782678362/REPORT.md,scripts/mv6_representation_study.py,reports/mv6_representation_1782678362/mv6_representation_summary.json,,,FIG-AN-001,,3c5ff5cf587c8ca9cefda20cb220ba29effd2170,YES,NOT_APPLICABLE_FIXED_OUTPUT_SCIENTIFIC_UNCERTAINTY_NOT_EVALUATED,,0.997,"Source-backed fixed synthetic-waveform MC output from pedestal-subtracted, peak-normalized waveforms; not beam-data PCA and not an uncertainty claim; supersedes 0.997. The tracked producer fits ten PCA components to 87,555 charged B-arm MC tracks with seed 42. Data/MC transfer and detector-response systematics remain unvalidated under AUD-ANOM-001."
CL-025,Pedestal,11,Forced-trigger pedestal truth unavailable,,,,,,,,,,,,,,,,,,,,,,,,data_availability,BLOCKED,NO,docs/SYSTEMATIC_UNCERTAINTIES.md,,,,,,,779740b15c66842144fd191e304a28d7eb31bad5,YES,NOT_APPLICABLE_WITH_REASON,BLK-PED-001,,"The current dataset contains no forced-trigger zero-signal events. A fixed baseline is therefore not an independently measured pedestal truth value; no pedestal-truth number or uncertainty is authorized until an immutable forced-trigger sample, selection, run inventory, and estimator are validated."
CL-026,Systematics,11,Systematic uncertainty propagation incomplete,,,,,,,,,,,,,,,,,,,,,,,,uncertainty_budget_incomplete,BLOCKED,NO,docs/SYSTEMATIC_UNCERTAINTIES.md,,,,,,,779740b15c66842144fd191e304a28d7eb31bad5,YES,NOT_APPLICABLE_WITH_REASON,BLK-SYST-001,,"The source document inventories component estimates and a simple quadrature summary, but it does not provide a claim-specific nuisance model, covariance treatment, hash-bound inputs, reproducible propagation code, coverage study, or validated end-to-end uncertainty. Its numerical entries are not blanket authorization for downstream physics claims and include stale statements tracked elsewhere."
CL-027,DAQ,3,S00 pulse-table saturation field is diagnostic-only while ADC worlds unresolved,,,,,,,,,,,,,,,,,,,,,,,,contract_definition,BLOCKED,NO,docs/contracts/ADC_SATURATION_WORLD_REGISTRY.md,src/ccb_mc_validation/daq/s00_saturation_field.py,,,,,,,YES,CI_AVAILABLE_CONTRACT_ONLY,BLK-DAQ-1073-001;1014,,"Machine contract ccb-s00-saturation-field/1: legacy >=16383 map is World-A diagnostic only with authorising=false and hardware_censoring_claim=false. Physical saturation/censoring authority fails closed via adc_saturation_registry (#1073). Does not resolve hardware identity, native bit depth, or transfer function. Producer integration gap remains open."
CL-028,DAQ,2,HRD waveform digitizer hardware identity and 100 MS/s aperture,,,,,,,,,,,,,,,,,,,,,,,,contract_definition,BLOCKED,NO,docs/contracts/ADR-DAQ-HARDWARE-SAMPLING-1014.md,,,,,,,YES,NOT_APPLICABLE_CONTRACT_ONLY,BLK-DAQ-1014-001,,ADR status BLOCKED: do not invent V1742 @ 100 MS/s or choose V1724 vs V1742 without crate/firmware/unpacker evidence. Official CAEN catalogue separates 12-bit DRS4 V1742 from 14-bit 100-MS/s V1724 family. Authorising timing/MC sampling claims remain blocked until source-bound digitizer contract lands.,
CL-029,Energy,9,Held-out single-stave deposited-energy reconstruction sigma68 (optical MC),0.08868460991999053,fraction,,,,,,,heldout_run_block,,400,2,,1000,,,,,,,,,,mc_model_dependent_optical,GATED,YES,reports/paper_a09_heldout_edep_reconstruction/result.json,scripts/single_stave/paper_a09_heldout_edep_reconstruction.py,/projects/hep/fs10/shared/nnbar/billy/ccb_calib_grid/*.root,,reports/paper_a09_heldout_edep_reconstruction/manifest.json,FIG-ENE-011,TAB-ENE-002,,YES,NOT_EVALUATED_OPTICAL_SIPM_NUISANCE,BLK-A07-A08-001,,"PAPER-A09 / #1297. Estimand r=(E_reco-E_dep)/E_dep vs Geant4 edep_scint_MeV. Train runs deuteron_70+proton_100+proton_140 (n=600); held-out deuteron_110+proton_60 (n=400). Pooled linear PE response frozen before evaluation: median bias +10.1%, sigma68 8.9%, RMS 17.8%, tail fraction 15% at |r|>0.20. Five grid ROOT files SHA-256-bound. MODEL-DEPENDENT OPTICAL MC only; not beam-data calibration; no 92 or 246 ADC/MeV heuristic. Optical/SiPM nuisance envelope NOT_EVALUATED pending PAPER-A07/A08."
CL-030,Energy,7,DATA Sample-I proper downstream-sum ΔE-E Pearson r,-0.04189769358155508,dimensionless,,,,-0.05069481094299934,-0.02975248203059928,0.68,run_block_bootstrap_percentile,run,147274,14,147274,,,,,,,,,,,data_amplitude_proxy,DONE_DATA_ONLY,YES,reports/paper_956_deltaE_E_20260814T090700Z/REPORT.md,scripts/single_stave/paper_956_deltaE_E_publication.py,reports/1780917628.449525.085b2dc0__s01b_s00_selected_table_manifest/s00_selected_b_pulses.csv.gz,,reports/paper_956_deltaE_E_20260814T090700Z/manifest.json,FIG-07,TAB-DE-001,,YES,CI_AVAILABLE_RUN_BOOTSTRAP,#956,,Issue #956 / PAPER-A05. ΔE=A(B2); E=A(B4)+A(B6)+A(B8). Composite key. 51.8% B2 saturation. Not calibrated energy.
CL-031,Energy,7,DATA Sample-II proper downstream-sum ΔE-E Pearson r,-0.06971735061043272,dimensionless,,,,-0.09144985422191175,-0.029467362776921902,0.68,run_block_bootstrap_percentile,run,69174,7,69174,,,,,,,,,,,data_amplitude_proxy,DONE_DATA_ONLY,YES,reports/paper_956_deltaE_E_20260814T090700Z/REPORT.md,scripts/single_stave/paper_956_deltaE_E_publication.py,reports/1780917628.449525.085b2dc0__s01b_s00_selected_table_manifest/s00_selected_b_pulses.csv.gz,,reports/paper_956_deltaE_E_20260814T090700Z/manifest.json,FIG-07,TAB-DE-001,,YES,CI_AVAILABLE_RUN_BOOTSTRAP,#956,,Issue #956. 7.6% B2 saturation.
CL-032,Energy,7,Composite-key B2-B4 two-channel diagnostic Pearson r,0.15058402387831674,dimensionless,,,,0.12311586075177447,0.17783998259351153,0.68,run_block_bootstrap_percentile,run,25423,21,25423,,,,,,,,,,,data_amplitude_proxy,DONE_DATA_ONLY,YES,reports/paper_956_deltaE_E_20260814T090700Z/REPORT.md,scripts/single_stave/paper_956_deltaE_E_publication.py,reports/1780917628.449525.085b2dc0__s01b_s00_selected_table_manifest/s00_selected_b_pulses.csv.gz,,reports/paper_956_deltaE_E_20260814T090700Z/manifest.json,FIG-B2B4,,,YES,CI_AVAILABLE_RUN_BOOTSTRAP,P-031 legacy 0.221,,NOT ΔE–E. Supersedes eventno-only join for production use.
CL-033,Energy,7,MC Sample-II four-readout ΔE-E weighted Pearson r,-0.46457492080712415,dimensionless,,,,,,,,,203459,,203459,,,,,,,,,,,mc_truth_proxy,GATED,YES,reports/paper_956_deltaE_E_20260814T090700Z/REPORT.md,scripts/single_stave/paper_956_deltaE_E_publication.py,reports/paper_956_deltaE_E_20260812T103800Z/result.json,,reports/paper_956_deltaE_E_20260814T090700Z/manifest.json,FIG-08,,,YES,NOT_APPLICABLE_WEIGHTED_POINT_ESTIMATE,MC_TRIGGER_PROXY,,MC_TRIGGER_PROXY. Σw=357482; ESS=102463. Not hardware trigger validated.
