stave,amp_bin,amp_low_adc,amp_high_adc,n_train,source,heldout_run,template_kind
B4,1,1500.0,2200.0,5172,stave_amp_bin,34,external_other_runs
B4,2,2200.0,3200.0,13800,stave_amp_bin,34,external_other_runs
B4,3,3200.0,4700.0,10657,stave_amp_bin,34,external_other_runs
B4,4,4700.0,6800.0,2723,stave_amp_bin,34,external_other_runs
B4,5,6800.0,10000.0,191,stave_amp_bin,34,external_other_runs
B4,6,10000.0,15000.0,0,stave_fallback,34,external_other_runs
B4,7,15000.0,25000.0,0,stave_fallback,34,external_other_runs
B4,8,25000.0,1000000000.0,0,stave_fallback,34,external_other_runs
B6,0,1000.0,1500.0,1865,stave_amp_bin,34,external_other_runs
B6,1,1500.0,2200.0,3173,stave_amp_bin,34,external_other_runs
B6,2,2200.0,3200.0,6870,stave_amp_bin,34,external_other_runs
B6,3,3200.0,4700.0,5147,stave_amp_bin,34,external_other_runs
B6,4,4700.0,6800.0,631,stave_amp_bin,34,external_other_runs
B6,5,6800.0,10000.0,15,stave_fallback,34,external_other_runs
B6,6,10000.0,15000.0,0,stave_fallback,34,external_other_runs
B6,7,15000.0,25000.0,0,stave_fallback,34,external_other_runs
B6,8,25000.0,1000000000.0,0,stave_fallback,34,external_other_runs
B8,0,1000.0,1500.0,799,stave_amp_bin,34,external_other_runs
B8,1,1500.0,2200.0,864,stave_amp_bin,34,external_other_runs
B8,2,2200.0,3200.0,2264,stave_amp_bin,34,external_other_runs
B8,3,3200.0,4700.0,2543,stave_amp_bin,34,external_other_runs
B8,4,4700.0,6800.0,672,stave_amp_bin,34,external_other_runs
B8,5,6800.0,10000.0,21,stave_fallback,34,external_other_runs
B8,6,10000.0,15000.0,0,stave_fallback,34,external_other_runs
B8,7,15000.0,25000.0,0,stave_fallback,34,external_other_runs
B8,8,25000.0,1000000000.0,0,stave_fallback,34,external_other_runs
B2,0,1000.0,1500.0,113,stave_amp_bin,34,local_half_run
B2,1,1500.0,2200.0,176,stave_amp_bin,34,local_half_run
B2,2,2200.0,3200.0,353,stave_amp_bin,34,local_half_run
B2,3,3200.0,4700.0,971,stave_amp_bin,34,local_half_run
B2,4,4700.0,6800.0,6353,stave_amp_bin,34,local_half_run
B2,5,6800.0,10000.0,8726,stave_amp_bin,34,local_half_run
B2,6,10000.0,15000.0,0,stave_fallback,34,local_half_run
B2,7,15000.0,25000.0,0,stave_fallback,34,local_half_run
B2,8,25000.0,1000000000.0,0,stave_fallback,34,local_half_run
B4,0,1000.0,1500.0,38,stave_amp_bin,34,local_half_run
B4,1,1500.0,2200.0,31,stave_amp_bin,34,local_half_run
B4,2,2200.0,3200.0,71,stave_amp_bin,34,local_half_run
B4,3,3200.0,4700.0,59,stave_amp_bin,34,local_half_run
B4,4,4700.0,6800.0,10,stave_fallback,34,local_half_run
B4,5,6800.0,10000.0,2,stave_fallback,34,local_half_run
B4,6,10000.0,15000.0,0,stave_fallback,34,local_half_run
B4,7,15000.0,25000.0,0,stave_fallback,34,local_half_run
B4,8,25000.0,1000000000.0,0,stave_fallback,34,local_half_run
B6,0,1000.0,1500.0,14,stave_fallback,34,local_half_run
B6,1,1500.0,2200.0,23,stave_fallback,34,local_half_run
B6,2,2200.0,3200.0,34,stave_amp_bin,34,local_half_run
B6,3,3200.0,4700.0,45,stave_amp_bin,34,local_half_run
B6,4,4700.0,6800.0,6,stave_fallback,34,local_half_run
B6,5,6800.0,10000.0,0,stave_fallback,34,local_half_run
B6,6,10000.0,15000.0,0,stave_fallback,34,local_half_run
B6,7,15000.0,25000.0,0,stave_fallback,34,local_half_run
B6,8,25000.0,1000000000.0,0,stave_fallback,34,local_half_run
B8,0,1000.0,1500.0,8,stave_fallback,34,local_half_run
B8,1,1500.0,2200.0,8,stave_fallback,34,local_half_run
B8,2,2200.0,3200.0,12,stave_fallback,34,local_half_run
B8,3,3200.0,4700.0,17,stave_fallback,34,local_half_run
B8,4,4700.0,6800.0,0,stave_fallback,34,local_half_run
B8,5,6800.0,10000.0,0,stave_fallback,34,local_half_run
B8,6,10000.0,15000.0,0,stave_fallback,34,local_half_run
B8,7,15000.0,25000.0,0,stave_fallback,34,local_half_run
B8,8,25000.0,1000000000.0,0,stave_fallback,34,local_half_run
B2,0,1000.0,1500.0,26679,stave_amp_bin,35,external_other_runs
B2,1,1500.0,2200.0,31835,stave_amp_bin,35,external_other_runs
B2,2,2200.0,3200.0,56776,stave_amp_bin,35,external_other_runs
B2,3,3200.0,4700.0,96955,stave_amp_bin,35,external_other_runs
B2,4,4700.0,6800.0,156525,stave_amp_bin,35,external_other_runs
B2,5,6800.0,10000.0,199605,stave_amp_bin,35,external_other_runs
B2,6,10000.0,15000.0,20,stave_fallback,35,external_other_runs
B2,7,15000.0,25000.0,0,stave_fallback,35,external_other_runs
B2,8,25000.0,1000000000.0,0,stave_fallback,35,external_other_runs
B4,0,1000.0,1500.0,3190,stave_amp_bin,35,external_other_runs
B4,1,1500.0,2200.0,5177,stave_amp_bin,35,external_other_runs
B4,2,2200.0,3200.0,13796,stave_amp_bin,35,external_other_runs
B4,3,3200.0,4700.0,10652,stave_amp_bin,35,external_other_runs
B4,4,4700.0,6800.0,2709,stave_amp_bin,35,external_other_runs
B4,5,6800.0,10000.0,189,stave_amp_bin,35,external_other_runs
B4,6,10000.0,15000.0,0,stave_fallback,35,external_other_runs
B4,7,15000.0,25000.0,0,stave_fallback,35,external_other_runs
B4,8,25000.0,1000000000.0,0,stave_fallback,35,external_other_runs
B6,0,1000.0,1500.0,1872,stave_amp_bin,35,external_other_runs
B6,1,1500.0,2200.0,3200,stave_amp_bin,35,external_other_runs
B6,2,2200.0,3200.0,6876,stave_amp_bin,35,external_other_runs
B6,3,3200.0,4700.0,5183,stave_amp_bin,35,external_other_runs
B6,4,4700.0,6800.0,636,stave_amp_bin,35,external_other_runs
B6,5,6800.0,10000.0,15,stave_fallback,35,external_other_runs
B6,6,10000.0,15000.0,0,stave_fallback,35,external_other_runs
B6,7,15000.0,25000.0,0,stave_fallback,35,external_other_runs
B6,8,25000.0,1000000000.0,0,stave_fallback,35,external_other_runs
B8,0,1000.0,1500.0,795,stave_amp_bin,35,external_other_runs
B8,1,1500.0,2200.0,868,stave_amp_bin,35,external_other_runs
B8,2,2200.0,3200.0,2266,stave_amp_bin,35,external_other_runs
B8,3,3200.0,4700.0,2556,stave_amp_bin,35,external_other_runs
B8,4,4700.0,6800.0,675,stave_amp_bin,35,external_other_runs
B8,5,6800.0,10000.0,20,stave_fallback,35,external_other_runs
B8,6,10000.0,15000.0,0,stave_fallback,35,external_other_runs
B8,7,15000.0,25000.0,0,stave_fallback,35,external_other_runs
B8,8,25000.0,1000000000.0,0,stave_fallback,35,external_other_runs
B2,0,1000.0,1500.0,396,stave_amp_bin,35,local_half_run
B2,1,1500.0,2200.0,557,stave_amp_bin,35,local_half_run
B2,2,2200.0,3200.0,924,stave_amp_bin,35,local_half_run
B2,3,3200.0,4700.0,1627,stave_amp_bin,35,local_half_run
B2,4,4700.0,6800.0,1267,stave_amp_bin,35,local_half_run
B2,5,6800.0,10000.0,787,stave_amp_bin,35,local_half_run
B2,6,10000.0,15000.0,0,stave_fallback,35,local_half_run
B2,7,15000.0,25000.0,0,stave_fallback,35,local_half_run
B2,8,25000.0,1000000000.0,0,stave_fallback,35,local_half_run
B4,0,1000.0,1500.0,18,stave_fallback,35,local_half_run
B4,1,1500.0,2200.0,28,stave_fallback,35,local_half_run
B4,2,2200.0,3200.0,75,stave_amp_bin,35,local_half_run
B4,3,3200.0,4700.0,61,stave_amp_bin,35,local_half_run
B4,4,4700.0,6800.0,21,stave_fallback,35,local_half_run
B4,5,6800.0,10000.0,3,stave_fallback,35,local_half_run
B4,6,10000.0,15000.0,0,stave_fallback,35,local_half_run
B4,7,15000.0,25000.0,0,stave_fallback,35,local_half_run
B4,8,25000.0,1000000000.0,0,stave_fallback,35,local_half_run
B6,0,1000.0,1500.0,9,stave_fallback,35,local_half_run
B6,1,1500.0,2200.0,11,stave_fallback,35,local_half_run
B6,2,2200.0,3200.0,38,stave_amp_bin,35,local_half_run
B6,3,3200.0,4700.0,19,stave_fallback,35,local_half_run
B6,4,4700.0,6800.0,0,stave_fallback,35,local_half_run
B6,5,6800.0,10000.0,0,stave_fallback,35,local_half_run
B6,6,10000.0,15000.0,0,stave_fallback,35,local_half_run
B6,7,15000.0,25000.0,0,stave_fallback,35,local_half_run
B6,8,25000.0,1000000000.0,0,stave_fallback,35,local_half_run
B8,0,1000.0,1500.0,7,stave_fallback,35,local_half_run
B8,1,1500.0,2200.0,8,stave_fallback,35,local_half_run
B8,2,2200.0,3200.0,13,stave_fallback,35,local_half_run
B8,3,3200.0,4700.0,7,stave_fallback,35,local_half_run
B8,4,4700.0,6800.0,1,stave_fallback,35,local_half_run
B8,5,6800.0,10000.0,1,stave_fallback,35,local_half_run
B8,6,10000.0,15000.0,0,stave_fallback,35,local_half_run
B8,7,15000.0,25000.0,0,stave_fallback,35,local_half_run
B8,8,25000.0,1000000000.0,0,stave_fallback,35,local_half_run
B2,0,1000.0,1500.0,26851,stave_amp_bin,36,external_other_runs
B2,1,1500.0,2200.0,32078,stave_amp_bin,36,external_other_runs
B2,2,2200.0,3200.0,57218,stave_amp_bin,36,external_other_runs
B2,3,3200.0,4700.0,97723,stave_amp_bin,36,external_other_runs
B2,4,4700.0,6800.0,156848,stave_amp_bin,36,external_other_runs
B2,5,6800.0,10000.0,198841,stave_amp_bin,36,external_other_runs
B2,6,10000.0,15000.0,18,stave_fallback,36,external_other_runs
B2,7,15000.0,25000.0,0,stave_fallback,36,external_other_runs
B2,8,25000.0,1000000000.0,0,stave_fallback,36,external_other_runs
B4,0,1000.0,1500.0,3203,stave_amp_bin,36,external_other_runs
B4,1,1500.0,2200.0,5187,stave_amp_bin,36,external_other_runs
B4,2,2200.0,3200.0,13813,stave_amp_bin,36,external_other_runs
B4,3,3200.0,4700.0,10673,stave_amp_bin,36,external_other_runs
B4,4,4700.0,6800.0,2710,stave_amp_bin,36,external_other_runs
B4,5,6800.0,10000.0,190,stave_amp_bin,36,external_other_runs
B4,6,10000.0,15000.0,0,stave_fallback,36,external_other_runs
B4,7,15000.0,25000.0,0,stave_fallback,36,external_other_runs
B4,8,25000.0,1000000000.0,0,stave_fallback,36,external_other_runs
B6,0,1000.0,1500.0,1879,stave_amp_bin,36,external_other_runs
B6,1,1500.0,2200.0,3198,stave_amp_bin,36,external_other_runs
B6,2,2200.0,3200.0,6897,stave_amp_bin,36,external_other_runs
B6,3,3200.0,4700.0,5177,stave_amp_bin,36,external_other_runs
B6,4,4700.0,6800.0,636,stave_amp_bin,36,external_other_runs
B6,5,6800.0,10000.0,15,stave_fallback,36,external_other_runs
B6,6,10000.0,15000.0,0,stave_fallback,36,external_other_runs
B6,7,15000.0,25000.0,0,stave_fallback,36,external_other_runs
B6,8,25000.0,1000000000.0,0,stave_fallback,36,external_other_runs
B8,0,1000.0,1500.0,796,stave_amp_bin,36,external_other_runs
B8,1,1500.0,2200.0,868,stave_amp_bin,36,external_other_runs
B8,2,2200.0,3200.0,2279,stave_amp_bin,36,external_other_runs
B8,3,3200.0,4700.0,2553,stave_amp_bin,36,external_other_runs
B8,4,4700.0,6800.0,674,stave_amp_bin,36,external_other_runs
B8,5,6800.0,10000.0,21,stave_fallback,36,external_other_runs
B8,6,10000.0,15000.0,0,stave_fallback,36,external_other_runs
B8,7,15000.0,25000.0,0,stave_fallback,36,external_other_runs
B8,8,25000.0,1000000000.0,0,stave_fallback,36,external_other_runs
B2,0,1000.0,1500.0,326,stave_amp_bin,36,local_half_run
B2,1,1500.0,2200.0,381,stave_amp_bin,36,local_half_run
B2,2,2200.0,3200.0,663,stave_amp_bin,36,local_half_run
B2,3,3200.0,4700.0,1257,stave_amp_bin,36,local_half_run
B2,4,4700.0,6800.0,1144,stave_amp_bin,36,local_half_run
B2,5,6800.0,10000.0,1207,stave_amp_bin,36,local_half_run
B2,6,10000.0,15000.0,1,stave_fallback,36,local_half_run
B2,7,15000.0,25000.0,0,stave_fallback,36,local_half_run
B2,8,25000.0,1000000000.0,0,stave_fallback,36,local_half_run
B4,0,1000.0,1500.0,9,stave_fallback,36,local_half_run
B4,1,1500.0,2200.0,22,stave_fallback,36,local_half_run
B4,2,2200.0,3200.0,56,stave_amp_bin,36,local_half_run
B4,3,3200.0,4700.0,48,stave_amp_bin,36,local_half_run
