category,value,n,n_runs,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,shuffled_res68_abs_frac,topology_only_res68_abs_frac,real_minus_shuffled_res68,real_minus_topology_res68,support_call
peak_phase_bin,late_ge12,61,14,-0.025699396912158962,0.35211281116825455,0.5768096005347014,0.3442622950819672,0.5409836065573771,0.5011881157869554,0.33462261432035934,-0.1490753046187009,0.017490196847895212,weak_or_null
baseline_bin,quiet,1851,32,-0.01315461103850523,0.3523814163989564,0.6549855089405348,0.20043219881145327,0.49864937871420856,0.5199073566932079,0.35164903687603116,-0.16752594029425144,0.0007323795229252639,weak_or_null
q_template_bin,low,201,20,-0.0394148075359186,0.35306964919557476,0.4548185043878088,0.15920398009950248,0.472636815920398,0.48729067884686367,0.3600709826997694,-0.1342210296512889,-0.007001333504194629,weak_or_null
b2_amp_bin,3000_5000,1212,31,-0.00853394714065769,0.3531286525998088,0.5174578997137362,0.19554455445544555,0.5041254125412541,0.524969482158158,0.3496616530595596,-0.17184082955834917,0.003466999540249205,weak_or_null
topology_pattern,B2_only,3889,32,-0.013930859478029118,0.3539220085343369,0.579677396928813,0.19465158138338903,0.49472872203651325,0.5258612196996466,0.3521658585603773,-0.1719392111653097,0.0017561499739596198,weak_or_null
q_template_bin,high,127,19,-0.06558949489140477,0.3542525314595339,0.5133516399689558,0.1732283464566929,0.5118110236220472,0.5580451662280785,0.33389257265455524,-0.20379263476854464,0.02035995880497865,weak_or_null
q_template_bin,extreme,3680,32,-0.01315598650115568,0.3547296238996618,0.599771958509899,0.1983695652173913,0.4951086956521739,0.5282292760239288,0.35213763907789675,-0.173499652124267,0.0025919848217650365,weak_or_null
peak_phase_bin,rising_6_8,2871,32,-0.010280327989412988,0.3551157887160609,0.6239325214465926,0.19505398815743644,0.49007314524555906,0.5285632818350497,0.35420266851478843,-0.17344749311898883,0.0009131202012724882,weak_or_null
anomaly_stratum,late_tail_high,1349,32,-0.019601824255816466,0.35672543778022203,0.6141956834694251,0.19866567828020756,0.4877687175685693,0.5184811822678891,0.35581066695664293,-0.16175574448766705,0.000914770823579103,weak_or_null
baseline_bin,mild,514,28,-0.015528861492581768,0.358510120995428,0.521273067485873,0.17704280155642024,0.4688715953307393,0.5316495003808056,0.3590994838460618,-0.1731393793853776,-0.0005893628506337678,weak_or_null
support_cell,B2_only|7000_inf|any_B_amp_ge7000|broad_saturation_like|downstream_none,240,23,-0.01721323982773669,0.360136193545244,0.4994563859428081,0.19583333333333333,0.49166666666666664,0.5167529580550704,0.36701523741931075,-0.15661676450982637,-0.006879043874066737,weak_or_null
anomaly_stratum,dropout_like,401,26,-0.03524177917147054,0.36036836909640046,0.4589662510701047,0.1571072319201995,0.4688279301745636,0.52868097358095,0.36621190691264327,-0.16831260448454954,-0.005843537816242805,weak_or_null
b2_amp_bin,2000_3000,474,28,-0.024554925347847104,0.3625780304020193,0.7298135952475933,0.18354430379746836,0.48945147679324896,0.5153072240514054,0.3552563545387097,-0.15272919364938609,0.007321675863309618,weak_or_null
b2_amp_bin,7000_inf,920,28,-0.021352612334299303,0.36572194878559,0.5308704457973729,0.1891304347826087,0.47282608695652173,0.5429448139691774,0.3672258883930121,-0.17722286518358737,-0.0015039396074221223,weak_or_null
saturation_stratum,any_B_amp_ge7000,921,28,-0.021567142444168585,0.3672049563665127,0.5307221597574845,0.18892508143322476,0.4723127035830619,0.5428706546724527,0.36705736761405106,-0.17566569830593998,0.00014758875246162484,weak_or_null
baseline_bin,active,295,29,-0.0007828004452302194,0.37719073292216204,0.5076733176415928,0.2,0.4542372881355932,0.5357994764792945,0.3752431698482854,-0.15860874355713245,0.001947563073876668,weak_or_null
peak_phase_bin,central_9_11,78,22,-0.060879251055360475,0.37867741339324645,0.5113639173738447,0.20512820512820512,0.48717948717948717,0.5635359668749327,0.37727236170292633,-0.18485855348168623,0.0014050516903201249,weak_or_null
support_cell,B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|downstream_none,606,28,-0.019780841088765027,0.3793532574619145,0.5556408211652413,0.18976897689768976,0.4603960396039604,0.5574554407976271,0.36930981452625367,-0.1781021833357126,0.01004344293566084,weak_or_null
topology_pattern,B2_multi_downstream,57,19,-0.025699396912158962,0.41263715581957017,0.537118996721112,0.17543859649122806,0.38596491228070173,0.6110040678615205,0.40675784532599446,-0.19836691204195034,0.005879310493575707,weak_or_null
support_cell,B2_only|2000_3000|all_B_amp_lt7000|dropout_like|downstream_none,88,18,-0.03372257627745903,0.4188216497406762,0.4467847226679525,0.1590909090909091,0.4431818181818182,0.5287071163227238,0.41675860030890854,-0.10988546658204762,0.0020630494317676606,weak_or_null
