method,accept_fraction_target,accepted_fraction,abstained_fraction,risk_threshold,n_runs,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,within_10pct_ci95,within_25pct_ci95,shuffled_res68_abs_frac,topology_only_res68_abs_frac,real_minus_shuffled_res68,real_minus_topology_res68
ridge,0.5,0.5001233045622688,0.49987669543773117,0.36556357294574815,32,2028,-0.03752588317068866,0.3580856573086616,0.604488010567015,0.20611439842209073,0.47287968441814593,"[-0.06262012390466162, -0.009629933956346955]","[0.3451356112551046, 0.37529556275793435]","[0.4948117847924608, 0.7362009163575863]","[0.19090143953733646, 0.21995680456871256]","[0.4444204739776702, 0.4899687575516968]",0.5217082536442382,0.35029260540985896,-0.16362259633557663,0.007793051898802639
ridge,0.25,0.2500616522811344,0.7499383477188656,0.3457266092234047,32,1014,-0.024511702377396933,0.3699903233612787,0.6755351221047787,0.1992110453648915,0.45956607495069035,"[-0.0599761331118248, 0.0025333941662752813]","[0.35401019134378664, 0.39084881389917864]","[0.4960091219348673, 0.8962263140181312]","[0.16934131907197528, 0.2239967928770472]","[0.4306199806811802, 0.48541792483871105]",0.5246235753702038,0.366033487864409,-0.15463325200892508,0.003956835496869704
gradient_boosted_trees,1.0,1.0,0.0,0.9706973343060934,32,4055,-0.04631652697055652,0.36020281751752115,0.5705086870500705,0.19852034525277434,0.481134401972873,"[-0.06042482290790013, -0.028836815485474832]","[0.3486632161899365, 0.373060330237361]","[0.5122052221531355, 0.6533389576840655]","[0.18234313539484456, 0.21029177725909282]","[0.4632572413186766, 0.49616907149510986]",0.5264962100164489,0.35192469989017944,-0.16629339249892772,0.008278117627341708
gradient_boosted_trees,0.75,0.7499383477188656,0.2500616522811344,0.3121581707557856,32,3041,-0.04619150358299603,0.35142231433116006,0.5970782123056003,0.20618217691548832,0.48865504768168366,"[-0.06101599093599352, -0.02479699265937055]","[0.34332544545514376, 0.36927399363671737]","[0.5117011058553643, 0.7401414183660371]","[0.18493053387678413, 0.22021682451950325]","[0.4671034285085969, 0.5029814912186255]",0.5211423085347628,0.34692884561753523,-0.1697199942036028,0.004493468713624826
gradient_boosted_trees,0.5,0.5001233045622688,0.49987669543773117,0.27769138675427374,32,2028,-0.04903949682630422,0.35623654183927794,0.5468980044199906,0.20562130177514792,0.48422090729783035,"[-0.06855912509468466, -0.025543910467061465]","[0.3379947173742694, 0.3774554156181508]","[0.4764326714707463, 0.640696163965089]","[0.18430632336882335, 0.2255652980569693]","[0.45957869634340226, 0.5058610515021459]",0.5160009757610012,0.3475522115955736,-0.1597644339217233,0.008684330243704352
gradient_boosted_trees,0.25,0.2500616522811344,0.7499383477188656,0.25689125192274126,30,1014,-0.046895386595987854,0.3545749620931337,0.5779271429149292,0.1952662721893491,0.480276134122288,"[-0.06493026156025435, -0.0032793458077946254]","[0.342795277505913, 0.3726023322527385]","[0.455691811741791, 0.6957682480053365]","[0.17345394962337787, 0.21736847014925373]","[0.4516101439493312, 0.5029129561003176]",0.5188953380755854,0.3420364790276203,-0.1643203759824517,0.012538483065513417
mlp,1.0,1.0,0.0,1.488791074838207,32,4055,-0.042221048872579776,0.3850883125035192,0.6000777540887082,0.18397040690505548,0.4562268803945746,"[-0.05977035041519725, -0.02791747544806017]","[0.37220252720204977, 0.396834757461836]","[0.5394014150785312, 0.6683813389178738]","[0.16980162592042938, 0.19636061300172833]","[0.44049201161242274, 0.469948447658666]",0.5264962100164489,0.35192469989017944,-0.14140789751292965,0.03316361261333978
mlp,0.75,0.7499383477188656,0.2500616522811344,0.3845240763846104,32,3041,-0.031082208030185396,0.383712329714328,0.6225602048409824,0.19105557382439986,0.46136139427819794,"[-0.04932806055149095, -0.014704871326388019]","[0.3712581317387027, 0.39739995351316504]","[0.540950184095492, 0.728790644984949]","[0.1798288201271354, 0.2017953810715752]","[0.44059492204215206, 0.4821367354441432]",0.5206665010161798,0.3475459786106206,-0.13695417130185183,0.03616635110370742
mlp,0.5,0.5001233045622688,0.49987669543773117,0.34902127962856805,32,2028,-0.031148874880683936,0.37912092014045534,0.5807016267985248,0.1873767258382643,0.45710059171597633,"[-0.054286431920411084, -0.005658995018942072]","[0.3688516525903037, 0.39167752974901243]","[0.49332738303182083, 0.7208595472694408]","[0.16777123062676955, 0.205415822824385]","[0.42353149200068513, 0.4802323556174823]",0.5156668108166682,0.3437470075955643,-0.13654589067621287,0.03537391254489103
mlp,0.25,0.2500616522811344,0.7499383477188656,0.33258295063081006,31,1014,-0.02491269259102927,0.38560945010604203,0.542129649544473,0.1893491124260355,0.45069033530571995,"[-0.052238944010325264, 0.014785647915120631]","[0.3679522619963897, 0.41106860985238325]","[0.48655913046311877, 0.6309285060034333]","[0.16320963808742422, 0.2158790776152981]","[0.40483238045381914, 0.48527699622271736]",0.5118214980199912,0.33941134529194406,-0.1262120479139492,0.04619810481409797
1d_cnn,1.0,1.0,0.0,1.926842425095191,32,4055,-0.006973665081697532,0.36695478452767744,0.6450820893419349,0.1970406905055487,0.4942046855733662,"[-0.02649834015356478, 0.005437110269119307]","[0.3532900309394401, 0.38088276614037914]","[0.5817798667118492, 0.7371274758904088]","[0.18073275862068966, 0.21168720422994566]","[0.4750934653954292, 0.5101454494937184]",0.5264962100164489,0.35192469989017944,-0.15954142548877143,0.015030084637497998
1d_cnn,0.75,0.7499383477188656,0.2500616522811344,0.40918213044641794,32,3041,-0.005026942193677654,0.35582959378415296,0.6703743481647616,0.21177244327523842,0.5129891483064781,"[-0.02529522681521266, 0.009147034786421092]","[0.34368038965210174, 0.3759906950475984]","[0.5738076983803003, 0.7801173113379402]","[0.19436910867842766, 0.22577969435764922]","[0.4980969728346424, 0.5261967483759825]",0.5189859721388339,0.34367536993885467,-0.16315637835468094,0.012154223845298295
1d_cnn,0.5,0.5001233045622688,0.49987669543773117,0.3699408934468926,32,2028,-0.00480327944728901,0.3554508309307948,0.6825065701448253,0.20956607495069032,0.51232741617357,"[-0.026617272397501116, 0.012366133400929595]","[0.3410144146398802, 0.37979422425863424]","[0.5634126399272976, 0.8567713814026202]","[0.18888028731045492, 0.22527817745803358]","[0.4941081123381022, 0.5285279863552218]",0.5215912090073617,0.3457279178072636,-0.16614037807656684,0.00972291312353124
1d_cnn,0.25,0.2500616522811344,0.7499383477188656,0.3450421264375564,32,1014,-0.003765911910932794,0.35900990943580535,0.6773690788109427,0.19723865877712032,0.5059171597633136,"[-0.02721333771317024, 0.025391026980790064]","[0.34275993502655894, 0.383013728863967]","[0.5352746073100176, 0.941869112134283]","[0.1688971010781166, 0.22140022808579776]","[0.4835007416420113, 0.5229930400521651]",0.5208754014564181,0.3439845335428615,-0.16186549202061273,0.015025375892943837
support_gated_residual_cnn,1.0,1.0,0.0,1.86284203391539,32,4055,-0.004083483001584564,0.3638554199596054,0.6281301936015606,0.19482120838471023,0.5016029593094945,"[-0.022213618027371963, 0.022662699457492504]","[0.34956671951180207, 0.37854078483691533]","[0.5620949174468576, 0.7217360326954807]","[0.18432453018142964, 0.20587861364847995]","[0.4893386315631847, 0.5166715410473663]",0.5264962100164489,0.35192469989017944,-0.16264079005684345,0.01193072006942597
support_gated_residual_cnn,0.75,0.7499383477188656,0.2500616522811344,0.39711988843480345,32,3041,-0.0010989209222799703,0.3598688131952844,0.6389163440972132,0.20453798092732653,0.5120026307135811,"[-0.023846358913371866, 0.023984354540140754]","[0.34626877574427734, 0.37163306134585533]","[0.5446580227836987, 0.7730227346611133]","[0.18919633927116367, 0.21578704582937008]","[0.49688738980188296, 0.5235523275965945]",0.5164768062226595,0.3475459786106206,-0.15660799302737505,0.012322834584663822
support_gated_residual_cnn,0.5,0.5001233045622688,0.49987669543773117,0.36255953533652985,32,2028,-0.0027820290619726285,0.35930859434149764,0.6538249816653648,0.20611439842209073,0.5128205128205128,"[-0.029383440871792774, 0.029170331172580614]","[0.3422857235348361, 0.3809447331762065]","[0.5384403174071763, 0.8450206579589497]","[0.19093391748813435, 0.22054915635545558]","[0.4931339788872133, 0.5282607818834294]",0.51992881833886,0.3446933982747205,-0.1606202239973623,0.014615196066777136
support_gated_residual_cnn,0.25,0.2500616522811344,0.7499383477188656,0.3431569165594142,32,1014,0.009814329106874275,0.36868336184377043,0.5825124654867821,0.1913214990138067,0.5019723865877712,"[-0.023655059102794262, 0.04317452458615206]","[0.3453760959445971, 0.3865334640350577]","[0.5188763264886054, 0.7182979954727501]","[0.16645808738816903, 0.2175563602565062]","[0.47897604672958305, 0.523166957098996]",0.5149478079924084,0.3519433951585367,-0.14626444614863793,0.016739966685233754
topology_only_sentinel,1.0,1.0,0.0,1.6452732382712036,32,4055,-0.04266695032842228,0.35192469989017944,0.5597559944460273,0.19556103575832307,0.48532675709001233,"[-0.060661982757298116, -0.02437333012759288]","[0.3423113495040093, 0.3660584794130281]","[0.4948848730049872, 0.6538885093592953]","[0.18046774456475112, 0.2088820542811774]","[0.4692877798564494, 0.49945849650242563]",0.5264962100164489,0.35192469989017944,-0.17457151012626942,0.0
topology_only_sentinel,0.75,0.7499383477188656,0.2500616522811344,0.40008728501026225,32,3041,-0.045566863423994866,0.34685134737020146,0.5709921827617142,0.20190726734626768,0.48635317329825717,"[-0.0591920218159901, -0.027922628844118842]","[0.3369713876568221, 0.3607717754053895]","[0.49173817370412665, 0.6662844699227742]","[0.18904197723523816, 0.21453494197300316]","[0.4687592652093904, 0.4990830896320166]",0.5197395177585835,0.34685134737020146,-0.17288817038838206,0.0
topology_only_sentinel,0.5,0.5001233045622688,0.49987669543773117,0.3681506538074857,32,2028,-0.04898536437981023,0.3544916854865847,0.5993937776837686,0.1942800788954635,0.4723865877712032,"[-0.07227232361380792, -0.020651986218487642]","[0.3409838873488858, 0.3712183811913306]","[0.49309071693162093, 0.7344416341965762]","[0.1797375353852699, 0.2069428425509119]","[0.45153074061742793, 0.4917876781472684]",0.5233351288254503,0.3544916854865847,-0.16884344333886558,0.0
topology_only_sentinel,0.25,0.2500616522811344,0.7499383477188656,0.34640408955096436,31,1014,-0.03164531763945186,0.3506628641723664,0.5796596504948436,0.1992110453648915,0.4723865877712032,"[-0.05894521963746108, 0.004469606026422003]","[0.3341540461594278, 0.3788117720718277]","[0.4615851173012758, 0.7175315559756551]","[0.17114651169802217, 0.22220949841112334]","[0.4409330657206871, 0.5004395163189639]",0.5209792574880174,0.3506628641723664,-0.17031639331565102,0.0
shuffled_target_hgb,1.0,1.0,0.0,4.061852462565326,32,4055,-0.04241557489088122,0.5264962100164489,0.8365951909971022,0.13612823674475955,0.3533908754623921,"[-0.06088094919604993, -0.010576939230715357]","[0.5128765778031835, 0.5428719013187213]","[0.7419105088422195, 0.9744086417173635]","[0.1241190996249417, 0.14925820507342247]","[0.33656886499472954, 0.3721108726740189]",,,,
shuffled_target_hgb,0.75,0.7499383477188656,0.2500616522811344,0.5878204274575027,32,3041,-0.0516755266423403,0.5215409363355886,0.8417199381525706,0.13712594541269318,0.3535021374547846,"[-0.08462005486850738, -0.015739498778577474]","[0.4975320653084947, 0.5421498076206562]","[0.7216691896073488, 1.0006998473785855]","[0.12573933683726113, 0.15121029018931806]","[0.33351485783199675, 0.37595754180826535]",,,,
shuffled_target_hgb,0.5,0.5001233045622688,0.49987669543773117,0.5458066982192413,32,2028,-0.043758466061792164,0.5265045403496222,0.8494707635565728,0.1341222879684418,0.34911242603550297,"[-0.06985100249323883, -0.010313981498431376]","[0.5065583893800139, 0.5452408480605812]","[0.7216516184921171, 1.0188629759574857]","[0.11899422323236034, 0.14925234083207778]","[0.32871368908590703, 0.36861388318384697]",,,,
shuffled_target_hgb,0.25,0.2500616522811344,0.7499383477188656,0.5178134607967373,32,1014,-0.04542899502208392,0.5288434676527723,0.8189199413166124,0.13708086785009863,0.3520710059171598,"[-0.10141130081893367, 0.01998937314428633]","[0.49353532802347144, 0.5609840838806771]","[0.7020329525773339, 0.9620999428273488]","[0.11505346716249643, 0.1695278787190552]","[0.3278369073381861, 0.37865980681307354]",,,,
