event_id,run,pair,pair_code,stave_a,stave_b,residual_ns,max_pre_abs_adc,max_pre_ptp_adc,max_pre_rms_adc,max_abs_pre_slope_adc_per_sample,mean_pre_mean_adc,abs_delta_pre_mean_adc,abs_delta_pre_slope_adc_per_sample,max_pre_last_minus_first_adc,abs_delta_pre_last_minus_first_adc,min_amplitude_adc,max_peak_sample
58:394684:12945:5726,58,B4-B6,0,B4,B6,-2.87762876495172,1913.0,2631.0,1042.4105177424103,892.1,284.0,29.5,389.6000000000002,2631.0,1104.0,2211.0,5.0
58:394684:12945:5726,58,B4-B8,1,B4,B8,-1.2643629003610144,2305.0,2745.0,1117.088934463143,907.7,382.5,167.5,15.599999999999907,2745.0,114.0,2211.0,4.0
58:394684:12945:5726,58,B6-B8,2,B6,B8,1.613265864590705,2305.0,2745.0,1117.088934463143,907.7,367.75,197.0,405.2000000000001,2745.0,1218.0,2371.0,5.0
58:394786:13037:5828,58,B4-B6,0,B4,B6,-4.073411573683188,27.5,39.0,16.163229875244614,13.8,-2.125,3.75,11.3,39.0,33.0,1717.0,17.0
58:394786:13037:5828,58,B4-B8,1,B4,B8,-2.9902372083066098,5.5,7.0,3.2691742076555053,2.5,0.375,1.25,3.299999999999999,6.0,7.0,1275.5,17.0
58:394786:13037:5828,58,B6-B8,2,B6,B8,1.0831743653765784,27.5,39.0,16.163229875244614,13.8,-1.5,5.0,14.599999999999998,39.0,40.0,1275.5,17.0
58:394965:13201:6007,58,B4-B6,0,B4,B6,-6.945461301109518,22.5,38.0,14.095655359010449,12.5,-1.0,1.5,9.4,38.0,30.0,1581.5,8.0
58:394965:13201:6007,58,B4-B8,1,B4,B8,-3.502722770328745,7.0,9.0,3.766629793329841,3.1,0.5,1.5,4.999999999999999,8.0,14.0,1871.5,8.0
58:394965:13201:6007,58,B6-B8,2,B6,B8,3.4427385307807725,22.5,38.0,14.095655359010449,12.5,-0.25,3.0,14.4,38.0,44.0,1581.5,8.0
58:395467:13673:6509,58,B4-B6,0,B4,B6,-5.505513372472279,11.0,15.0,5.973901572674261,4.9,0.75,2.0,7.6,14.0,21.0,2711.5,10.0
58:395467:13673:6509,58,B4-B8,1,B4,B8,-3.627774499220344,14.5,20.0,7.428828979051813,6.100000000000001,-0.25,4.0,11.000000000000002,20.0,34.0,3101.0,10.0
58:395467:13673:6509,58,B6-B8,2,B6,B8,1.877738873251936,14.5,20.0,7.428828979051813,6.100000000000001,-1.25,2.0,3.400000000000002,20.0,13.0,2711.5,8.0
58:396978:15063:8018,58,B4-B6,0,B4,B6,-6.156549304218864,9.0,16.0,6.06217782649107,4.199999999999999,-0.625,0.25,8.299999999999999,16.0,27.0,3148.0,11.0
58:396978:15063:8018,58,B4-B8,1,B4,B8,-5.890542549418136,9.0,15.0,5.539629951540085,4.1,-0.875,0.25,4.500000000000001,11.0,15.0,2151.0,11.0
58:396978:15063:8018,58,B6-B8,2,B6,B8,0.2660067548007276,9.0,16.0,6.06217782649107,4.199999999999999,-0.75,0.5,3.799999999999998,16.0,12.0,2151.0,9.0
58:398418:42:9453,58,B4-B6,0,B4,B6,-2.7705218134850327,17.0,29.0,10.917302780449024,8.3,0.25,2.0,10.8,22.0,32.0,2453.5,8.0
58:398418:42:9453,58,B4-B8,1,B4,B8,-1.6699827025946092,9.0,16.0,6.34428877022476,5.6000000000000005,-0.125,1.25,8.100000000000001,16.0,26.0,2453.5,8.0
58:398418:42:9453,58,B6-B8,2,B6,B8,1.1005391108904234,17.0,29.0,10.917302780449024,8.3,0.875,0.75,2.7,22.0,6.0,2825.0,8.0
58:398580:196:9615,58,B4-B6,0,B4,B6,-5.403270190861306,18.5,24.0,9.256754290786809,7.7,-2.125,2.25,5.1,24.0,14.0,2625.0,11.0
58:398580:196:9615,58,B4-B8,1,B4,B8,-4.622115872612071,18.5,24.0,9.256754290786809,7.7,-1.875,2.75,5.1,24.0,14.0,2753.0,10.0
58:398580:196:9615,58,B6-B8,2,B6,B8,0.7811543182492358,7.0,10.0,3.9370039370059056,2.6,-0.75,0.5,0.0,10.0,0.0,2625.0,11.0
58:399270:859:10304,58,B4-B6,0,B4,B6,-6.033241751077867,35.5,46.0,18.93904696651867,15.899999999999997,3.5,5.5,16.199999999999996,46.0,46.0,2176.5,11.0
58:399270:859:10304,58,B4-B8,1,B4,B8,-8.18269541978573,35.5,46.0,18.93904696651867,15.899999999999997,2.375,7.75,20.099999999999994,46.0,58.0,1563.5,12.0
58:399270:859:10304,58,B6-B8,2,B6,B8,-2.149453668707864,10.5,15.0,5.612486080160912,4.199999999999998,-0.375,2.25,3.9,12.0,12.0,1563.5,12.0
58:399602:1163:10635,58,B4-B6,0,B4,B6,-3.844461397716884,7.0,9.0,3.6996621467371855,2.300000000000001,0.25,2.0,3.600000000000001,9.0,14.0,1827.0,11.0
58:399602:1163:10635,58,B4-B8,1,B4,B8,-4.863653647791779,9.0,13.0,5.2141634036535525,4.3,-1.0,0.5,3.0,12.0,7.0,2133.0,11.0
58:399602:1163:10635,58,B6-B8,2,B6,B8,-1.0191922500748944,9.0,13.0,5.2141634036535525,4.3,0.0,2.5,6.600000000000001,12.0,21.0,1827.0,11.0
58:399989:1517:11021,58,B4-B6,0,B4,B6,-5.296259001605392,18.5,23.0,9.027735042633894,6.999999999999999,2.375,2.25,4.3,21.0,10.0,1172.5,12.0
58:399989:1517:11021,58,B4-B8,1,B4,B8,-3.9284623691348335,18.5,23.0,9.027735042633894,6.999999999999999,1.625,3.75,12.9,21.0,36.0,1606.5,14.0
58:399989:1517:11021,58,B6-B8,2,B6,B8,1.367796632470558,12.5,22.0,8.166241485530538,5.899999999999999,0.5,1.5,8.599999999999998,15.0,26.0,1172.5,14.0
58:400792:2281:11821,58,B4-B6,0,B4,B6,-44.15371114590253,2091.0,2565.0,1008.375767013468,774.3000000000002,-202.125,404.25,778.5000000000002,2340.0,2350.0,1086.0,9.0
58:400792:2281:11821,58,B4-B8,1,B4,B8,-45.91310665653673,2091.0,2565.0,1008.375767013468,774.3000000000002,-202.0,404.5,774.0000000000002,2340.0,2340.0,1086.0,10.0
58:400792:2281:11821,58,B6-B8,2,B6,B8,-1.7593955106342063,6.0,12.0,5.522680508593631,4.199999999999998,0.125,0.25,4.499999999999998,10.0,10.0,2094.0,10.0
58:401022:2495:12051,58,B4-B6,0,B4,B6,-3.6883209039314906,1555.5,1900.0,768.4358707790781,631.6999999999999,228.375,148.75,393.69999999999993,1900.0,1148.0,1955.0,6.0
58:401022:2495:12051,58,B4-B8,1,B4,B8,-3.131161312173948,1555.5,1900.0,768.4358707790781,631.6999999999999,275.25,55.0,251.2,1900.0,691.0,2443.5,8.0
58:401022:2495:12051,58,B6-B8,2,B6,B8,0.5571595917575429,1100.0,1209.0,498.0468727941176,380.5,200.875,93.75,142.49999999999997,1209.0,457.0,1955.0,8.0
58:401083:2548:12110,58,B4-B6,0,B4,B6,-5.42386029722001,11.0,16.0,6.020797289396148,1.7999999999999985,-1.0,1.0,0.7999999999999988,3.0,2.0,2347.0,9.0
58:401083:2548:12110,58,B4-B8,1,B4,B8,-6.551433614880885,13.0,17.0,6.5717197140474575,3.2999999999999994,-1.375,1.75,2.3,6.0,5.0,1125.0,10.0
58:401083:2548:12110,58,B6-B8,2,B6,B8,-1.127573317660875,13.0,17.0,6.5717197140474575,3.2999999999999994,-1.875,0.75,1.5000000000000009,6.0,3.0,1125.0,10.0
58:401283:2737:12310,58,B4-B6,0,B4,B6,-4.224782311314058,25.0,38.0,14.49784466739798,12.9,1.375,5.25,23.9,38.0,72.0,2840.5,9.0
58:401283:2737:12310,58,B4-B8,1,B4,B8,-5.869472238009337,21.5,38.0,14.49784466739798,12.9,-1.375,0.25,8.699999999999998,38.0,29.0,2097.5,10.0
58:401283:2737:12310,58,B6-B8,2,B6,B8,-1.6446899266952784,25.0,34.0,12.98075498574717,11.0,1.25,5.5,15.2,34.0,43.0,2097.5,10.0
58:401498:2943:12525,58,B4-B6,0,B4,B6,-6.19890372272144,84.0,87.0,36.83323906473608,25.899999999999995,9.625,21.25,24.7,87.0,83.0,2425.0,7.0
58:401498:2943:12525,58,B4-B8,1,B4,B8,-5.556894202291339,84.0,87.0,36.83323906473608,25.899999999999995,10.125,20.25,25.899999999999995,87.0,87.0,2425.0,7.0
58:401498:2943:12525,58,B6-B8,2,B6,B8,0.6420095204301006,6.5,9.0,3.774917217635375,1.2000000000000006,-0.5,1.0,1.2000000000000013,4.0,4.0,2513.5,7.0
58:401532:2974:12559,58,B4-B6,0,B4,B6,-4.4922884349888506,7.0,13.0,4.815340071064556,1.900000000000001,0.5,0.5,3.400000000000001,6.0,11.0,2236.0,9.0
58:401532:2974:12559,58,B4-B8,1,B4,B8,-3.2272342149502435,14.5,16.0,6.609652033201143,3.899999999999999,1.75,3.0,5.8,13.0,18.0,2236.0,8.0
58:401532:2974:12559,58,B6-B8,2,B6,B8,1.265054220038607,14.5,16.0,6.609652033201143,3.899999999999999,2.0,2.5,2.3999999999999986,13.0,7.0,2436.0,9.0
58:401733:3159:12760,58,B4-B6,0,B4,B6,-3.1726455249861303,10.5,18.0,7.119515432949071,3.7000000000000006,1.0,1.5,5.6,11.0,16.0,2778.5,7.0
58:401733:3159:12760,58,B4-B8,1,B4,B8,-3.91431221312358,12.5,17.0,6.34428877022476,3.7000000000000006,-0.125,3.75,0.3000000000000011,13.0,2.0,2778.5,7.0
58:401733:3159:12760,58,B6-B8,2,B6,B8,-0.7416666881374496,12.5,18.0,7.119515432949071,3.3999999999999995,-0.875,2.25,5.299999999999999,13.0,18.0,3266.5,7.0
58:402308:3701:13332,58,B4-B6,0,B4,B6,-0.9612530694520772,942.0,1488.0,582.0592753319888,514.4000000000001,96.5,63.0,38.60000000000025,1488.0,116.0,1103.0,5.0
58:402308:3701:13332,58,B4-B8,1,B4,B8,-0.1605240321015912,947.5,1488.0,582.0592753319888,514.4000000000001,88.0,46.0,12.400000000000148,1488.0,37.0,1103.0,5.0
58:402308:3701:13332,58,B6-B8,2,B6,B8,0.8007290373504858,947.5,1451.0,575.4191950222029,502.0,119.5,17.0,26.200000000000102,1451.0,79.0,1239.5,5.0
58:402542:3915:13565,58,B4-B6,0,B4,B6,-6.289595592080119,4.0,7.0,2.5860201081971503,0.8999999999999995,-0.125,0.75,1.2999999999999996,3.0,5.0,1954.0,12.0
58:402542:3915:13565,58,B4-B8,1,B4,B8,-7.095867545888737,14.0,21.0,8.728545125048045,7.500000000000001,1.0,1.5,6.600000000000001,21.0,19.0,1954.0,12.0
58:402542:3915:13565,58,B6-B8,2,B6,B8,-0.8062719538086185,14.0,21.0,8.728545125048045,7.500000000000001,0.625,2.25,7.900000000000001,21.0,24.0,2143.5,12.0
58:402594:3966:13616,58,B4-B6,0,B4,B6,-4.67951536314375,24.0,32.0,12.98075498574717,10.8,1.625,4.75,13.3,31.0,39.0,2687.0,12.0
58:402594:3966:13616,58,B4-B8,1,B4,B8,-3.341505354940736,6.5,12.0,4.380353866983808,3.9,-0.25,1.0,6.4,12.0,20.0,2824.5,12.0
58:402594:3966:13616,58,B6-B8,2,B6,B8,1.338010008203014,24.0,32.0,12.98075498574717,10.8,2.125,3.75,6.899999999999999,31.0,19.0,2687.0,11.0
58:402626:3997:13647,58,B4-B6,0,B4,B6,-1.9249789606590504,1645.0,2268.0,899.9504153007542,776.2,278.875,100.75,122.50000000000011,2268.0,295.0,2007.0,5.0
58:402626:3997:13647,58,B4-B8,1,B4,B8,-1.7085471926161944,3714.5,4259.0,1741.2479720016904,1382.1999999999998,510.5,564.0,605.9999999999998,4259.0,1991.0,2007.0,5.0
58:402626:3997:13647,58,B6-B8,2,B6,B8,0.216431768042856,3714.5,4259.0,1741.2479720016904,1382.1999999999998,560.875,463.25,728.4999999999999,4259.0,2286.0,2394.0,5.0
58:402712:4076:13733,58,B4-B6,0,B4,B6,-5.522203661327239,30.5,56.0,24.159625411003372,20.700000000000003,2.75,3.0,26.4,56.0,76.0,2469.0,13.0
58:402712:4076:13733,58,B4-B8,1,B4,B8,-4.91698330374345,23.0,29.0,11.299889379989525,5.699999999999999,2.125,4.25,7.699999999999999,20.0,25.0,2469.0,13.0
58:402712:4076:13733,58,B6-B8,2,B6,B8,0.6052203575837893,30.5,56.0,24.159625411003372,20.700000000000003,0.625,1.25,18.700000000000003,56.0,51.0,2871.5,13.0
58:403406:4719:14427,58,B4-B6,0,B4,B6,-5.820116885175338,12.0,19.0,6.869315832017043,3.699999999999998,1.25,0.0,1.3999999999999968,8.0,1.0,1538.0,17.0
58:403406:4719:14427,58,B4-B8,1,B4,B8,-3.734846943905779,7.0,9.0,3.491060010942235,2.300000000000001,1.25,0.0,4.4,8.0,15.0,2016.5,17.0
58:403406:4719:14427,58,B6-B8,2,B6,B8,2.0852699412695586,12.0,19.0,6.869315832017043,3.699999999999998,1.25,0.0,5.799999999999997,8.0,16.0,1538.0,17.0
58:403541:4843:14562,58,B4-B6,0,B4,B6,-5.132630827484775,16.5,32.0,11.755317945508748,8.700000000000001,0.5,0.5,0.6000000000000014,25.0,5.0,1148.0,13.0
58:403541:4843:14562,58,B4-B8,1,B4,B8,-3.734020275302925,17.5,25.0,9.974968671630002,8.700000000000001,1.625,1.75,17.300000000000004,25.0,50.0,1148.0,13.0
58:403541:4843:14562,58,B6-B8,2,B6,B8,1.3986105521818502,17.5,32.0,11.755317945508748,8.600000000000003,1.375,2.25,16.700000000000003,25.0,45.0,2050.5,13.0
58:404100:5367:15118,58,B4-B6,0,B4,B6,-3.446907535264316,8.5,11.0,4.301162633521313,3.1,0.625,2.25,4.099999999999999,10.0,14.0,1543.5,16.0
58:404100:5367:15118,58,B4-B8,1,B4,B8,-3.720101171191644,9.5,12.0,4.710360920354193,3.700000000000001,0.625,2.25,2.700000000000002,11.0,7.0,2348.5,15.0
58:404100:5367:15118,58,B6-B8,2,B6,B8,-0.2731936359273277,9.5,12.0,4.710360920354193,3.700000000000001,1.75,0.0,6.800000000000001,11.0,21.0,1543.5,16.0
58:404147:5411:15165,58,B4-B6,0,B4,B6,-5.948255537387553,11.5,19.0,6.87386354243376,4.300000000000002,0.125,2.25,0.3000000000000007,12.0,3.0,2745.5,11.0
58:404147:5411:15165,58,B4-B8,1,B4,B8,-5.597185020586892,11.5,19.0,6.87386354243376,4.000000000000001,-0.875,0.25,2.5000000000000013,9.0,3.0,2745.5,10.0
58:404147:5411:15165,58,B6-B8,2,B6,B8,0.3510705168006609,10.5,16.0,5.889609494694874,4.300000000000002,0.25,2.0,2.800000000000002,12.0,6.0,2897.5,11.0
58:404180:5444:15198,58,B4-B6,0,B4,B6,-2.913253854612329,1872.5,2956.0,1169.5361259918395,1027.7999999999995,263.375,197.75,259.89999999999986,2956.0,660.0,1891.0,6.0
58:404180:5444:15198,58,B4-B8,1,B4,B8,-2.482900385388493,2969.5,3556.0,1442.4115874118593,1174.4999999999998,380.125,431.25,146.70000000000005,3556.0,600.0,1891.0,6.0
58:404180:5444:15198,58,B6-B8,2,B6,B8,0.4303534692238351,2969.5,3556.0,1442.4115874118593,1174.4999999999998,479.0,233.5,406.5999999999999,3556.0,1260.0,2532.5,4.0
58:404302:5557:15320,58,B4-B6,0,B4,B6,-4.722201604217908,35.5,45.0,17.790446874657196,14.800000000000002,-3.75,5.5,20.000000000000004,45.0,59.0,2099.5,9.0
58:404302:5557:15320,58,B4-B8,1,B4,B8,-2.857996824061594,9.5,15.0,6.264982043070834,5.2,-0.5,1.0,4.2,14.0,12.0,2336.5,11.0
58:404302:5557:15320,58,B6-B8,2,B6,B8,1.8642047801563135,35.5,45.0,17.790446874657196,14.800000000000002,-3.25,6.5,15.800000000000002,45.0,47.0,2099.5,11.0
58:404573:5824:15589,58,B4-B6,0,B4,B6,0.2905761691347095,251.0,391.0,152.18635779858852,133.5,13.625,28.25,130.9,391.0,379.0,1556.0,17.0
58:404573:5824:15589,58,B4-B8,1,B4,B8,-0.08587310949639,251.0,391.0,152.18635779858852,133.5,11.75,32.0,147.0,391.0,429.0,1556.0,17.0
58:404573:5824:15589,58,B6-B8,2,B6,B8,-0.3764492786310995,32.5,48.0,17.92170471802278,13.499999999999998,-2.375,3.75,16.099999999999998,38.0,50.0,1894.0,17.0
58:405501:6684:16516,58,B4-B6,0,B4,B6,-5.376077007534178,10.5,18.0,6.6473679001541655,2.299999999999999,0.25,1.0,2.0,6.0,11.0,2640.5,13.0
58:405501:6684:16516,58,B4-B8,1,B4,B8,-3.903162841585086,8.0,12.0,5.196152422706632,3.599999999999999,0.375,1.25,1.3000000000000005,8.0,2.0,2691.0,12.0
58:405501:6684:16516,58,B6-B8,2,B6,B8,1.472914165949092,10.5,18.0,6.6473679001541655,3.599999999999999,0.875,0.25,3.3000000000000003,8.0,13.0,2640.5,13.0
58:405830:6983:16845,58,B4-B6,0,B4,B6,-4.851205090199201,16.5,27.0,10.520812706250409,9.3,-0.25,3.0,17.000000000000004,27.0,48.0,2466.0,8.0
58:405830:6983:16845,58,B4-B8,1,B4,B8,-4.261463246464871,16.5,27.0,10.520812706250409,9.3,-0.25,3.0,1.0000000000000018,27.0,1.0,2466.0,7.0
58:405830:6983:16845,58,B6-B8,2,B6,B8,0.5897418437343305,16.5,26.0,9.883698700385398,8.299999999999999,-1.75,0.0,16.0,26.0,47.0,2878.5,8.0
58:405995:7135:17010,58,B4-B6,0,B4,B6,-4.452449273619074,522.5,538.0,228.77322286491489,163.69999999999996,93.0,67.5,86.39999999999996,536.0,280.0,1962.5,6.0
58:405995:7135:17010,58,B4-B8,1,B4,B8,-1.7526855215937012,1076.5,1080.0,466.6488910305048,322.30000000000007,197.5,141.5,158.6000000000001,1074.0,538.0,1962.5,6.0
58:405995:7135:17010,58,B6-B8,2,B6,B8,2.699763752025373,1076.5,1080.0,466.6488910305048,322.30000000000007,163.75,209.0,245.00000000000009,1074.0,818.0,1987.5,6.0
58:406327:7441:17342,58,B4-B6,0,B4,B6,-1.3148047299034893,1934.5,2980.0,1186.390613373184,1048.1,117.125,284.75,74.89999999999986,2980.0,149.0,1475.5,6.0
58:406327:7441:17342,58,B4-B8,1,B4,B8,0.0289093887477704,3207.0,5120.0,2108.5048612701844,1827.8,149.125,348.75,779.6999999999998,5120.0,2140.0,1475.5,6.0
58:406327:7441:17342,58,B6-B8,2,B6,B8,1.3437141186512598,3207.0,5120.0,2108.5048612701844,1827.8,291.5,64.0,854.5999999999997,5120.0,2289.0,2097.5,4.0
58:406604:7705:17619,58,B4-B6,0,B4,B6,-0.4598305970514502,31.0,36.0,14.309088021254183,10.6,3.875,5.25,12.9,36.0,44.0,2219.5,7.0
58:406604:7705:17619,58,B4-B8,1,B4,B8,0.8150436871592177,31.0,36.0,14.309088021254183,10.6,4.0,5.0,10.999999999999998,36.0,35.0,3112.5,9.0
58:406604:7705:17619,58,B6-B8,2,B6,B8,1.274874284210668,10.5,15.0,6.041522986797286,2.3,1.375,0.25,1.900000000000001,8.0,9.0,2219.5,9.0
58:406641:7736:17656,58,B4-B6,0,B4,B6,-4.140772837170189,177.0,187.0,78.20605794949647,51.7,21.0,41.5,48.4,175.0,164.0,1154.0,7.0
58:406641:7736:17656,58,B4-B8,1,B4,B8,-1.4346671669512077,177.0,187.0,78.20605794949647,51.7,31.625,20.25,23.7,175.0,81.0,1957.0,6.0
58:406641:7736:17656,58,B6-B8,2,B6,B8,2.7061056702189816,90.0,94.0,39.588508433635134,28.0,10.875,21.25,24.7,94.0,83.0,1154.0,7.0
58:406766:7856:17781,58,B4-B6,0,B4,B6,-4.777543638275503,29.5,32.0,13.1790553530972,9.3,-1.125,11.25,16.7,30.0,53.0,2171.5,12.0
58:406766:7856:17781,58,B4-B8,1,B4,B8,-4.894197891652652,23.5,30.0,11.532562594670797,9.6,4.25,0.5,17.0,30.0,53.0,2171.5,12.0
58:406766:7856:17781,58,B6-B8,2,B6,B8,-0.116654253377149,29.5,32.0,13.1790553530972,9.6,-1.375,10.75,0.3000000000000025,30.0,0.0,2925.5,12.0
58:407215:8277:18230,58,B4-B6,0,B4,B6,-4.5031185097995206,13.0,18.0,7.245688373094719,6.0,-1.5,1.0,5.199999999999999,17.0,11.0,2590.0,9.0
58:407215:8277:18230,58,B4-B8,1,B4,B8,-1.859841007448665,13.0,18.0,7.245688373094719,6.0,-1.875,0.25,3.899999999999999,17.0,10.0,2590.0,9.0
58:407215:8277:18230,58,B6-B8,2,B6,B8,2.6432775023508555,8.0,12.0,4.58257569495584,2.100000000000001,-1.375,0.75,1.3000000000000007,7.0,1.0,2610.0,9.0
58:407221:8283:18236,58,B4-B6,0,B4,B6,-4.884829662448524,9.0,17.0,8.0156097709407,6.4,0.25,0.5,6.000000000000001,16.0,13.0,2598.5,13.0
58:407221:8283:18236,58,B4-B8,1,B4,B8,-6.348844743247341,8.5,17.0,8.0156097709407,6.4,-0.25,0.5,7.000000000000002,16.0,18.0,2462.5,13.0
58:407221:8283:18236,58,B6-B8,2,B6,B8,-1.4640150807988164,9.0,16.0,6.34428877022476,0.600000000000001,0.0,1.0,1.0000000000000002,3.0,5.0,2462.5,13.0
58:408610:9560:19622,58,B4-B6,0,B4,B6,-4.158430862860371,15.0,24.0,10.307764064044152,8.600000000000001,0.125,2.75,7.1,23.0,11.0,2365.0,17.0
58:408610:9560:19622,58,B4-B8,1,B4,B8,-3.577933411672575,15.0,24.0,10.307764064044152,8.600000000000001,0.375,2.25,4.700000000000002,23.0,9.0,2365.0,17.0
58:408610:9560:19622,58,B6-B8,2,B6,B8,0.5804974511877958,13.0,21.0,8.642193008721803,3.9,-1.0,0.5,2.3999999999999977,14.0,2.0,2530.0,17.0
58:408871:9807:19882,58,B4-B6,0,B4,B6,-4.705455186304128,13.5,16.0,6.378675411086537,5.1,1.25,3.0,8.8,16.0,29.0,3033.5,10.0
58:408871:9807:19882,58,B4-B8,1,B4,B8,-6.409666666666666,18.5,35.0,17.014699527173555,13.800000000000002,1.125,3.25,8.700000000000003,35.0,19.0,3033.5,11.0
58:408871:9807:19882,58,B6-B8,2,B6,B8,-1.704211480362538,18.5,35.0,17.014699527173555,13.800000000000002,-0.375,0.25,17.500000000000004,35.0,48.0,3085.5,11.0
58:408897:9829:19908,58,B4-B6,0,B4,B6,-6.088111850992476,19.5,22.0,8.926785535678562,6.900000000000003,-1.5,5.5,9.200000000000005,22.0,31.0,1420.5,17.0
58:408897:9829:19908,58,B4-B8,1,B4,B8,-4.96521385583938,7.5,11.0,4.716990566028302,2.6,1.125,0.25,0.2999999999999998,11.0,2.0,2016.5,17.0
58:408897:9829:19908,58,B6-B8,2,B6,B8,1.122897995153096,19.5,22.0,8.926785535678562,6.900000000000003,-1.625,5.25,9.500000000000004,22.0,33.0,1420.5,17.0
58:409157:10061:20168,58,B4-B6,0,B4,B6,-4.516993842909137,21.0,29.0,10.779030568655047,8.899999999999999,3.0,0.5,15.2,29.0,48.0,3029.0,8.0
58:409157:10061:20168,58,B4-B8,1,B4,B8,-6.773679495221565,28.5,42.0,16.452583383772897,14.300000000000002,-0.5,6.5,20.6,42.0,61.0,2107.5,9.0
