axis,method,levels,best_level,best_sigma68_ns,worst_level,worst_sigma68_ns,sigma68_span_ns
energy_bin,traditional_cfd_crrc_lognormal_template,4,q2,0.8937254902023275,q1_low,1.108900603516563,0.21517511331423544
late_tail_morphology,compact_waveform_transformer,4,diffuse_tail,5.050746619946945,late_rising_tail,9.661065468081864,4.610318848134919
late_tail_morphology,1d_cnn,4,diffuse_tail,3.671961110425662,late_derivative_bump,6.627955464863316,2.955994354437654
late_tail_morphology,gradient_boosted_trees,4,late_derivative_bump,3.0472148368695535,late_rising_tail,5.368057120279595,2.320842283410041
late_tail_morphology,shape_gate_transformer_new,4,diffuse_tail,3.483343074715052,late_rising_tail,5.339005811440371,1.8556627367253191
late_tail_morphology,mlp,4,late_derivative_bump,3.745890857327433,late_rising_tail,5.468241184558911,1.722350327231478
late_tail_morphology,ridge,4,diffuse_tail,3.536071748653198,late_rising_tail,4.3884077720690335,0.8523360234158357
late_tail_morphology,traditional_cfd_crrc_lognormal_template,4,late_derivative_bump,0.9820152915287725,late_rising_tail,1.010303820387772,0.02828852885899935
pedestal_drift_bin,1d_cnn,3,mid,4.497168140229648,high,7.446911238520277,2.9497430982906296
pedestal_drift_bin,shape_gate_transformer_new,3,mid,4.433577657383994,high,5.991784226119886,1.5582065687358924
pedestal_drift_bin,gradient_boosted_trees,3,low,3.260602158883022,high,4.2061377409568035,0.9455355820737816
pedestal_drift_bin,compact_waveform_transformer,3,mid,6.439877155270478,high,6.963909379561292,0.5240322242908135
pedestal_drift_bin,mlp,3,low,3.9729708292257557,high,4.480518353776687,0.5075475245509313
pedestal_drift_bin,ridge,3,mid,4.005460081237009,high,4.318809727608284,0.3133496463712744
pedestal_drift_bin,traditional_cfd_crrc_lognormal_template,3,mid,0.9808361900305107,high,1.0393272230354609,0.05849103300495018
pid_sideband,1d_cnn,3,central,4.64199453836906,high_duplicate,10.053562489252396,5.411567950883336
pid_sideband,shape_gate_transformer_new,3,low_duplicate,4.144945975130217,high_duplicate,5.904033072537471,1.7590870974072539
pid_sideband,ridge,3,low_duplicate,3.4666551083353685,high_duplicate,4.4933240029282215,1.026668894592853
pid_sideband,gradient_boosted_trees,3,low_duplicate,3.535534766996186,high_duplicate,4.276344782270134,0.7408100152739481
pid_sideband,mlp,3,low_duplicate,3.954809300703159,high_duplicate,4.517075137744933,0.5622658370417741
pid_sideband,compact_waveform_transformer,3,high_duplicate,6.316590216352539,central,6.589290811222922,0.2727005948703827
pid_sideband,traditional_cfd_crrc_lognormal_template,3,central,0.9848540985354546,high_duplicate,1.0462840784615066,0.061429979926052036
pileup_separation_bin,compact_waveform_transformer,4,late,0.0,none,7.189667995543694,7.189667995543694
pileup_separation_bin,1d_cnn,4,late,0.0,mid,5.963273291690415,5.963273291690415
pileup_separation_bin,shape_gate_transformer_new,4,late,0.0,mid,5.704527191126962,5.704527191126962
pileup_separation_bin,mlp,4,late,0.0,none,4.395277144948676,4.395277144948676
pileup_separation_bin,ridge,4,late,0.0,mid,4.0514068751829395,4.0514068751829395
pileup_separation_bin,gradient_boosted_trees,4,late,0.0,none,4.004594155128583,4.004594155128583
pileup_separation_bin,traditional_cfd_crrc_lognormal_template,4,late,0.0,mid,1.0154381755047535,1.0154381755047535
pulse_shape_class,1d_cnn,3,nominal,4.142911353402051,compact,6.632634044234561,2.48972269083251
pulse_shape_class,compact_waveform_transformer,3,nominal,5.810355888700833,late_tail,7.268930042165223,1.4585741534643901
pulse_shape_class,gradient_boosted_trees,3,nominal,2.926367491421277,late_tail,4.3420803041094596,1.4157128126881826
pulse_shape_class,mlp,3,nominal,3.5540155944936846,late_tail,4.7159945393673945,1.16197894487371
pulse_shape_class,ridge,3,nominal,3.6029420376528924,compact,4.42380620007383,0.8208641624209378
pulse_shape_class,shape_gate_transformer_new,3,nominal,4.30411025352363,compact,5.0925734910876255,0.7884632375639953
pulse_shape_class,traditional_cfd_crrc_lognormal_template,3,nominal,0.9240661697719227,compact,1.0470447924615962,0.12297862268967352
saturation_onset_bin,compact_waveform_transformer,2,near_saturation,5.975223172992887,linear,7.075285117702156,1.1000619447092683
saturation_onset_bin,1d_cnn,2,near_saturation,4.700455198296277,linear,5.546751871169162,0.8462966728728851
