stress,method,n_events,time_sigma68_ns,leading_edge_time_sigma68_ns,secondary_pulse_delay_sigma68_ns,pileup_miss_rate,false_split_rate,energy_proxy_distortion_sigma68
synthetic_over_real_saturated_sum_gt_11000adc,template_residual_boosted_stack_new,26,5.187529105396582,4.436706829166498,7.324631986831303,0.038461538461538464,,0.051485059770091005
synthetic_over_real_saturated_sum_gt_11000adc,tiny_sequence_transformer,26,10.697615742314948,9.422085484398448,14.724009895324707,0.07692307692307693,,0.06857849457786935
synthetic_over_real_saturated_sum_gt_11000adc,two_pulse_template_likelihood_traditional,26,8.509744016505847,8.333294630019063,11.4,0.6153846153846154,,0.034994585528538985
synthetic_over_real_saturated_sum_gt_11000adc,wiener_tail_deconvolution_traditional,26,19.462744655749106,8.333294630019063,19.81939972986512,0.6153846153846154,,0.14274794133685795
shuffled_second_pulse_phase_negative_control,1d_cnn,294,8.5199136891136,6.147749564507028,14.543212890625,0.282312925170068,,0.08701959497233053
shuffled_second_pulse_phase_negative_control,causal_window_transformer_new,294,14.388151767975407,12.52955368810311,19.433001041412354,0.3673469387755102,,0.09081050349896144
shuffled_second_pulse_phase_negative_control,gradient_boosted_trees,294,6.9681267647886465,4.720263724882253,10.747963967125377,0.2653061224489796,,0.06363027976203853
shuffled_second_pulse_phase_negative_control,leading_edge_cfd_traditional,294,18.200431082266444,9.599892092820498,21.25,0.06462585034013606,,0.2620501830016693
shuffled_second_pulse_phase_negative_control,mlp,294,9.832914337930788,6.96586057634187,12.700930697841788,0.29931972789115646,,0.11224557554284412
shuffled_second_pulse_phase_negative_control,residual_tail_veto_traditional,294,9.205246895316778,6.791554893496025,15.000000000000004,0.6122448979591837,,0.0768962047139346
shuffled_second_pulse_phase_negative_control,ridge,294,8.568618924677512,6.833814325681447,12.69042184145733,0.2585034013605442,,0.07261725471714128
shuffled_second_pulse_phase_negative_control,template_residual_boosted_stack_new,294,6.8359314391135335,4.780839173769868,10.841771129060739,0.282312925170068,,0.05989823719156764
shuffled_second_pulse_phase_negative_control,tiny_sequence_transformer,294,13.532614087033092,11.021399389482996,23.709868335723876,0.3299319727891156,,0.10118961897390658
shuffled_second_pulse_phase_negative_control,two_pulse_template_likelihood_traditional,294,8.647711272594977,5.714348124736979,16.699999999999996,0.6428571428571429,,0.07059621712947739
shuffled_second_pulse_phase_negative_control,wiener_tail_deconvolution_traditional,294,16.86854540897466,6.679044917985263,26.080085722784858,0.5918367346938775,,0.1726714621904169
amplitude_only_sentinel_high_charge,1d_cnn,294,8.36608198068499,6.042729696218902,12.492452430725098,0.15306122448979592,,0.07479316199946737
amplitude_only_sentinel_high_charge,causal_window_transformer_new,294,12.921037818025058,12.586171587347327,15.119102478027342,0.23469387755102042,,0.08735851755692439
amplitude_only_sentinel_high_charge,gradient_boosted_trees,294,6.183242674069121,4.731244336740922,9.186814370997427,0.08503401360544217,,0.056997388173051736
amplitude_only_sentinel_high_charge,leading_edge_cfd_traditional,294,17.496058350542356,9.548448312879774,21.250000000000004,0.04421768707482993,,0.23617796087641066
amplitude_only_sentinel_high_charge,mlp,294,8.572882268546747,6.069985620076032,11.029863540452794,0.08843537414965986,,0.08773084186130352
amplitude_only_sentinel_high_charge,residual_tail_veto_traditional,294,8.965692631449148,6.0479971426138,17.5,0.5680272108843537,,0.07614329325052352
amplitude_only_sentinel_high_charge,ridge,294,8.685800566659058,7.371972625212875,12.826775107860504,0.05442176870748299,,0.0669124048130598
amplitude_only_sentinel_high_charge,template_residual_boosted_stack_new,294,5.767204508372394,4.7616127467054445,8.878538824155441,0.1054421768707483,,0.05575117637151972
amplitude_only_sentinel_high_charge,tiny_sequence_transformer,294,13.035554146849123,11.680476927726534,20.66461601257324,0.20748299319727892,,0.10519128826834931
amplitude_only_sentinel_high_charge,two_pulse_template_likelihood_traditional,294,7.769432916117492,5.409047618597512,15.000000000000004,0.5952380952380952,,0.07411262342413547
amplitude_only_sentinel_high_charge,wiener_tail_deconvolution_traditional,294,16.982647956709457,6.345093448751362,27.32322641058591,0.5578231292517006,,0.17039080470420503
