subset,method,n,amp_bias_median_frac,amp_res68_abs_frac,amp_full_rms_frac,amp_catastrophic_rate,charge_bias_median_frac,charge_res68_abs_frac,charge_full_rms_frac,charge_catastrophic_rate,time_abs68_samples,time_bias_median_samples,tail_bias_median_frac
stave_B6,rising_edge_huber,1112,-0.00013758664500927256,0.03348905176743867,0.18405911408593814,0.07553956834532374,0.00010283090422714896,0.02018285424779367,0.1700326870859542,0.09082733812949641,0.04319716578053852,-0.0019103600293899348,-0.03553664706514237
stave_B6,ml_inpaint_et,1112,-0.005782903639841316,0.02386192676562527,0.07067459666763837,0.019784172661870502,0.00021277950277703094,0.016002930897064147,0.07291574462977293,0.024280575539568347,0.08709676096165701,-0.023871403609143194,0.001046927674577952
stave_B6,ml_residual_hgb,1112,0.001600352783924168,0.02059570301150112,0.06177712802292454,0.018884892086330936,0.0007659787290900113,0.014787958900259522,0.07428389358188753,0.025179856115107913,0.03726029071338815,-0.010264635124298316,-8.416617965176232e-05
stave_B8,peak_calibrated,824,0.0030941520001178677,0.14263069756505042,0.20507004120789302,0.25,-0.0021481463611960046,0.11417004409755559,0.1998160607718085,0.18325242718446602,0.04857619913103953,-0.0005479452054792944,-0.02546766734679884
stave_B8,integral_calibrated,824,0.0340351719542092,0.35435660743024017,0.3750052934480273,0.4526699029126214,-0.0021481463611960046,0.11417004409755559,0.1998160607718085,0.18325242718446602,0.04857619913103953,-0.0005479452054792944,-0.02546766734679884
stave_B8,interpolation_calibrated,824,0.0030944350822427937,0.1426309845440357,0.20506990129485825,0.25,-0.007008757738952057,0.09264862531383072,0.15344819651429403,0.08131067961165049,0.04082424545173936,-0.00745967741935516,0.0
stave_B8,adaptive_template,824,-0.0350793640386911,0.3666875063330949,0.5250477975275805,0.5521844660194175,0.000881983123847413,0.3699073236872593,0.5033387472605386,0.5825242718446602,3.679971236315829,-0.27220670661197177,0.03847826770248264
stave_B8,rising_edge_huber,824,-0.0007169920282759327,0.029934918933651924,0.17596237690869868,0.0703883495145631,0.00026170983740140944,0.02178667311032977,0.160766812380585,0.08009708737864078,0.04857619913103953,-0.0005479452054792944,-0.02546766734679884
stave_B8,ml_inpaint_et,824,0.006113111662621669,0.022883927746770862,0.07790739598731657,0.025485436893203883,0.0034249555203432294,0.016301514983121417,0.06277747487165226,0.027912621359223302,0.05585441374895797,0.0003029153895655057,0.00010322645432976618
stave_B8,ml_residual_hgb,824,0.0019778329555632966,0.019524331890066946,0.07247053382972686,0.01820388349514563,0.0014616115467814602,0.015150013985407194,0.061224547460383215,0.021844660194174758,0.04082424545173936,-0.00745967741935516,-2.7755575615628914e-17
amp_1000_2000,peak_calibrated,1328,0.26083640821493953,0.39328872026422856,0.3499465961073406,0.661144578313253,0.1662517703485023,0.2519194291986496,0.36941872475106347,0.4683734939759036,0.03546048084033857,0.0,0.0
amp_1000_2000,integral_calibrated,1328,0.4556909001475953,0.6447893288897014,0.5895732706643471,0.8674698795180723,0.1662517703485023,0.2519194291986496,0.36941872475106347,0.4683734939759036,0.03546048084033857,0.0,0.0
amp_1000_2000,interpolation_calibrated,1328,0.26083707383565935,0.3932878870547607,0.3499468026730709,0.661144578313253,0.12382370203708021,0.19323948649263423,0.25801612712611444,0.2989457831325301,0.03325301204819198,-0.00131713028207181,0.0
amp_1000_2000,adaptive_template,1328,0.7162640742231258,1.0785061722075664,1.0354142203601293,0.8365963855421686,0.5852942943987989,0.8482345027125924,0.9201841692312701,0.8817771084337349,4.842003693705365,-0.07898726872824646,0.08095249864037801
amp_1000_2000,rising_edge_huber,1328,0.001691239898576999,0.034382062861473016,0.2358931170981591,0.09939759036144578,0.00443925526857364,0.024311342373750315,0.22591573308956303,0.12198795180722892,0.03546048084033857,0.0,0.0
amp_1000_2000,ml_inpaint_et,1328,0.005171388648579357,0.03234221745943455,0.1086811379302354,0.04894578313253012,0.004043371377787976,0.028113797845534184,0.09104164343864855,0.050451807228915665,0.13147702589142898,-0.01103180566508355,0.0009610363329729255
amp_1000_2000,ml_residual_hgb,1328,0.00262137363095337,0.02035352805696281,0.0980015505365205,0.03614457831325301,0.001972149276077624,0.013601180142013322,0.10976328889480351,0.04292168674698795,0.03325301204819198,-0.00131713028207181,0.0
amp_2000_3000,peak_calibrated,1324,0.047145374800612594,0.12874121229563218,0.16318586237183044,0.14274924471299094,0.029378523170025095,0.07975421718194312,0.14910908527242372,0.0891238670694864,0.031120783460282908,-0.002112640340352634,-0.055740244407293194
amp_2000_3000,integral_calibrated,1324,0.11541519210815997,0.27043965699851913,0.26639361941556144,0.4501510574018127,0.029378523170025095,0.07975421718194312,0.14910908527242372,0.0891238670694864,0.031120783460282908,-0.002112640340352634,-0.055740244407293194
amp_2000_3000,interpolation_calibrated,1324,0.04714522411505579,0.12874085857999631,0.16318598332466755,0.14274924471299094,0.017712014436124208,0.07255632036330127,0.13284853184323697,0.06646525679758308,0.026882679389933776,-0.005076504804334636,9.301142272857832e-05
amp_2000_3000,adaptive_template,1324,0.12824737905639014,0.27518230137102023,0.32697743479818253,0.452416918429003,0.14098450777060817,0.2875571103331663,0.3640086124300843,0.4161631419939577,3.3132183656375642,-0.15356947582742286,0.06724630011159449
amp_2000_3000,rising_edge_huber,1324,0.0016564739415637444,0.03209222079887282,0.16793043186829099,0.07250755287009064,0.0010125487846322503,0.01888652186451787,0.15044413598552092,0.0702416918429003,0.031120783460282908,-0.002112640340352634,-0.055740244407293194
amp_2000_3000,ml_inpaint_et,1324,-0.0016093213313940601,0.018259989053092313,0.07214189106967744,0.028700906344410877,-0.0005963298493784927,0.014372496268872527,0.06507800479510077,0.03323262839879154,0.06428326628204471,-0.010913676560129204,0.0009878998722391563
amp_2000_3000,ml_residual_hgb,1324,0.0007875056090717871,0.01817964081656931,0.06078888898888972,0.02416918429003021,0.0005520778583206593,0.012213653521419355,0.05542058405621641,0.02190332326283988,0.026882679389933776,-0.005076504804334636,9.301142272857832e-05
amp_3000_5000,peak_calibrated,1376,-0.004521914232892803,0.07740817618913595,0.11889227610796609,0.055232558139534885,-0.035362534311948426,0.07250772079035024,0.10893448037001888,0.055232558139534885,0.06534984934717075,-0.001683193112609338,-0.025970222714435942
amp_3000_5000,integral_calibrated,1376,-0.033441910613928594,0.18308078159955257,0.218529148805651,0.2819767441860465,-0.035362534311948426,0.07250772079035024,0.10893448037001888,0.055232558139534885,0.06534984934717075,-0.001683193112609338,-0.025970222714435942
amp_3000_5000,interpolation_calibrated,1376,-0.0045219529343227816,0.07740889270644404,0.11889229692568448,0.055232558139534885,-0.028839044364061973,0.0714681619349484,0.09524639200015803,0.023255813953488372,0.05532879818594073,-0.016686068072535143,0.00016802282962191661
amp_3000_5000,adaptive_template,1376,-0.13548341842921605,0.23203657031478264,0.2245491189280765,0.39026162790697677,-0.12807124784160528,0.23771222175711612,0.24127889599465258,0.43968023255813954,2.942376010161933,-0.16857428405705566,0.017353146564510424
amp_3000_5000,rising_edge_huber,1376,-0.000604629905932396,0.0311261960637111,0.12003707447832845,0.04505813953488372,-9.053096645645327e-05,0.02131521025924602,0.10183986194664298,0.04941860465116279,0.06534984934717075,-0.001683193112609338,-0.025970222714435942
amp_3000_5000,ml_inpaint_et,1376,-0.0014123928712707588,0.020177260331445356,0.04359063293590086,0.006540697674418605,-2.367418338010464e-05,0.013250952723326971,0.04459122591826147,0.007267441860465116,0.05927269810470382,-0.007810199994463307,0.0006376535566213204
amp_3000_5000,ml_residual_hgb,1376,0.0010975467863915973,0.019606782200012794,0.04585661937917258,0.002180232558139535,0.001262964079973966,0.017088695941284433,0.04630214150240819,0.007994186046511628,0.05532879818594073,-0.016686068072535143,0.00016802282962191661
amp_5000_7000,peak_calibrated,692,-0.12364412280922875,0.17427296579198862,0.17457365212510906,0.24566473988439305,-0.08476815893981543,0.12167570547515243,0.13885753817581636,0.08526011560693642,0.09933349974575575,-0.00929292929292913,0.000354262558984908
amp_5000_7000,integral_calibrated,692,-0.19022221886869695,0.29139835725390845,0.30113395061157155,0.4638728323699422,-0.08476815893981543,0.12167570547515243,0.13885753817581636,0.08526011560693642,0.09933349974575575,-0.00929292929292913,0.000354262558984908
amp_5000_7000,interpolation_calibrated,692,-0.12364419298202625,0.17427270699384267,0.1745735201434805,0.24566473988439305,-0.06138787319856299,0.0950086225574531,0.10889872147736222,0.023121387283236993,0.09304075870354853,-0.04449999999999932,0.0026059824653788533
amp_5000_7000,adaptive_template,692,-0.33510453554708186,0.4014700214027442,0.36494688135210984,0.8627167630057804,-0.2633105843065874,0.3154634341094189,0.2986741080678986,0.7485549132947977,2.4888132264371197,-0.2984427014016968,0.10493110083036294
amp_5000_7000,rising_edge_huber,692,-0.0026636529790478457,0.060299971595312106,0.13010565045839292,0.07369942196531792,-0.005820206784439003,0.028262753245539157,0.0999623560953248,0.03757225433526012,0.09933349974575575,-0.00929292929292913,0.000354262558984908
amp_5000_7000,ml_inpaint_et,692,-0.0018156138258266132,0.022936435717696907,0.06323696125849741,0.008670520231213872,0.0012160860747989824,0.01425678838350976,0.06009965183792993,0.011560693641618497,0.05369306793879811,-0.015278691156996427,0.00028177507642385136
amp_5000_7000,ml_residual_hgb,692,0.0014520363479062653,0.027592169557296833,0.059684325249096316,0.0072254335260115606,3.2224672419610764e-05,0.018345541146769003,0.05678330081238876,0.008670520231213872,0.09304075870354853,-0.04449999999999932,0.0026059824653789088
amp_ge7000,peak_calibrated,392,-0.165813679365782,0.19819332700426737,0.19011025573055876,0.30612244897959184,-0.10491460048905855,0.1215016316833679,0.13201302620643526,0.0663265306122449,0.10456698959300592,-0.006362595022388895,0.016478331764115332
amp_ge7000,integral_calibrated,392,-0.27562417889964697,0.3362490997552417,0.32901566590149334,0.8418367346938775,-0.10491460048905855,0.1215016316833679,0.13201302620643526,0.0663265306122449,0.10456698959300592,-0.006362595022388895,0.016478331764115332
amp_ge7000,interpolation_calibrated,392,-0.1658136065752345,0.1981925630862782,0.1901101067563014,0.30612244897959184,-0.08685105674001684,0.10031797128018703,0.11134400328406467,0.05612244897959184,0.089127322295485,-0.04570363607354344,0.003260590202059155
