method,feature_set,alpha,fold,sigma68_ns,n_estimators,max_depth,min_samples_leaf
traditional,amp_bin_by_stave,0.01,3,2.079358667606571,,,
traditional,amp_bin_by_stave,0.01,4,2.060424261863533,,,
traditional,amp_bin_by_stave,0.01,5,2.2821973603073453,,,
traditional,amp_bin_by_stave,0.01,-1,2.18631722706565,,,
traditional,amp_bin_by_stave,0.1,1,2.352536673975706,,,
traditional,amp_bin_by_stave,0.1,2,2.1572298279680004,,,
traditional,amp_bin_by_stave,0.1,3,2.079116231471026,,,
traditional,amp_bin_by_stave,0.1,4,2.060079604615185,,,
traditional,amp_bin_by_stave,0.1,5,2.281721562158759,,,
traditional,amp_bin_by_stave,0.1,-1,2.1861367800377356,,,
traditional,amp_bin_by_stave,1.0,1,2.3515422410719284,,,
traditional,amp_bin_by_stave,1.0,2,2.1582418461943846,,,
traditional,amp_bin_by_stave,1.0,3,2.0767039355843098,,,
traditional,amp_bin_by_stave,1.0,4,2.056651984735471,,,
traditional,amp_bin_by_stave,1.0,5,2.277453097777017,,,
traditional,amp_bin_by_stave,1.0,-1,2.184118621072622,,,
traditional,amp_bin_by_stave,10.0,1,2.3234986782616502,,,
traditional,amp_bin_by_stave,10.0,2,2.1506473339894963,,,
traditional,amp_bin_by_stave,10.0,3,2.0575603302499577,,,
traditional,amp_bin_by_stave,10.0,4,2.020732599212895,,,
traditional,amp_bin_by_stave,10.0,5,2.240688106017489,,,
traditional,amp_bin_by_stave,10.0,-1,2.1586254095462976,,,
traditional,amp_bin_by_stave,100.0,1,2.2338999866543197,,,
traditional,amp_bin_by_stave,100.0,2,2.077829399793565,,,
traditional,amp_bin_by_stave,100.0,3,2.00567330378873,,,
traditional,amp_bin_by_stave,100.0,4,1.8990726825252788,,,
traditional,amp_bin_by_stave,100.0,5,2.1640849592354003,,,
traditional,amp_bin_by_stave,100.0,-1,2.076112066399459,,,
traditional,amp_bin_by_stave,1000.0,1,1.7867077538195224,,,
traditional,amp_bin_by_stave,1000.0,2,1.6623665312874576,,,
traditional,amp_bin_by_stave,1000.0,3,1.716171664803524,,,
traditional,amp_bin_by_stave,1000.0,4,1.5805534461768784,,,
traditional,amp_bin_by_stave,1000.0,5,1.7130412523902434,,,
traditional,amp_bin_by_stave,1000.0,-1,1.6917681296955251,,,
ml,waveform_amp,,1,3.039598362269627,80.0,6.0,4.0
ml,waveform_amp,,2,2.9568625735695715,80.0,6.0,4.0
ml,waveform_amp,,3,3.0789817578481946,80.0,6.0,4.0
ml,waveform_amp,,4,3.1620900696912306,80.0,6.0,4.0
ml,waveform_amp,,5,3.169855403288258,80.0,6.0,4.0
ml,waveform_amp,,-1,3.0814776333333764,80.0,6.0,4.0
ml,waveform_amp,,1,3.071677607823258,80.0,6.0,8.0
ml,waveform_amp,,2,2.8923770397468638,80.0,6.0,8.0
ml,waveform_amp,,3,3.1256853874722887,80.0,6.0,8.0
ml,waveform_amp,,4,3.155907342293209,80.0,6.0,8.0
ml,waveform_amp,,5,3.2169884944503266,80.0,6.0,8.0
ml,waveform_amp,,-1,3.092527174357189,80.0,6.0,8.0
ml,waveform_amp,,1,2.977630418893641,80.0,10.0,4.0
ml,waveform_amp,,2,2.837043990743415,80.0,10.0,4.0
ml,waveform_amp,,3,3.1494149621126732,80.0,10.0,4.0
ml,waveform_amp,,4,3.1825291007403314,80.0,10.0,4.0
ml,waveform_amp,,5,3.304900066172343,80.0,10.0,4.0
ml,waveform_amp,,-1,3.090303707732481,80.0,10.0,4.0
ml,waveform_amp,,1,2.949038040121956,80.0,10.0,8.0
ml,waveform_amp,,2,2.856046157054214,80.0,10.0,8.0
ml,waveform_amp,,3,3.0262546648750512,80.0,10.0,8.0
ml,waveform_amp,,4,3.2472304172480966,80.0,10.0,8.0
ml,waveform_amp,,5,3.184459274878988,80.0,10.0,8.0
ml,waveform_amp,,-1,3.052605710835661,80.0,10.0,8.0
ml,waveform_amp_stave,,1,2.1794501934840333,80.0,6.0,4.0
ml,waveform_amp_stave,,2,2.178625877237152,80.0,6.0,4.0
ml,waveform_amp_stave,,3,2.300787933598507,80.0,6.0,4.0
ml,waveform_amp_stave,,4,2.055744902504309,80.0,6.0,4.0
ml,waveform_amp_stave,,5,2.062191489740674,80.0,6.0,4.0
ml,waveform_amp_stave,,-1,2.155360079312935,80.0,6.0,4.0
ml,waveform_amp_stave,,1,2.1996191149783013,80.0,6.0,8.0
ml,waveform_amp_stave,,2,2.2633752121319914,80.0,6.0,8.0
ml,waveform_amp_stave,,3,2.324151288759208,80.0,6.0,8.0
ml,waveform_amp_stave,,4,2.278525217406748,80.0,6.0,8.0
ml,waveform_amp_stave,,5,2.173860606579223,80.0,6.0,8.0
ml,waveform_amp_stave,,-1,2.2479062879710945,80.0,6.0,8.0
ml,waveform_amp_stave,,1,2.067558848171827,80.0,10.0,4.0
ml,waveform_amp_stave,,2,2.256155246426791,80.0,10.0,4.0
ml,waveform_amp_stave,,3,2.304883048766052,80.0,10.0,4.0
ml,waveform_amp_stave,,4,2.2468437818413123,80.0,10.0,4.0
ml,waveform_amp_stave,,5,2.1237370972620666,80.0,10.0,4.0
ml,waveform_amp_stave,,-1,2.19983560449361,80.0,10.0,4.0
ml,waveform_amp_stave,,1,2.129083405057194,80.0,10.0,8.0
ml,waveform_amp_stave,,2,2.4084371549600996,80.0,10.0,8.0
ml,waveform_amp_stave,,3,2.3577428754758913,80.0,10.0,8.0
ml,waveform_amp_stave,,4,2.2558566173415726,80.0,10.0,8.0
ml,waveform_amp_stave,,5,2.1095080321948902,80.0,10.0,8.0
ml,waveform_amp_stave,,-1,2.2521256170059294,80.0,10.0,8.0
