run,group,method,n_scored,candidate_rate,candidate_rate_ci_low,candidate_rate_ci_high,mean_recovered_delay_ns,mean_recovered_delay_ci_low_ns,mean_recovered_delay_ci_high_ns,mean_secondary_fraction,mean_secondary_fraction_ci_low,mean_secondary_fraction_ci_high,mean_total_area_proxy_adc,mean_total_area_proxy_ci_low_adc,mean_total_area_proxy_ci_high_adc,n_bootstrap
56,high_20nA,ml,160,0.375,0.30921875000000004,0.45,24.449830698788546,17.333881521537037,32.09294881193159,0.18592612397039204,0.1635313757351215,0.2128059800946169,14809331.63256547,9649378.617364218,19681743.3401634,300
57,high_20nA,ml,160,0.36875,0.29375,0.45625,27.040663753294716,20.690321176298887,34.77824247539671,0.18539227748708406,0.16462542057510404,0.20749959609413335,13062739.05285155,7983063.709896328,17987419.24201099,300
46,low_2nA,ml,97,0.27835051546391754,0.18556701030927836,0.36082474226804123,7.446821400525563,2.547974558687066,14.548206245249784,0.28742368287978426,0.21056808194173957,0.3646292027088757,13743214.459779492,9346663.75840415,18238949.495449025,300
47,low_2nA,ml,160,0.4875,0.40625,0.5657812499999998,32.95321312801842,25.089136833267304,39.71438972883659,0.11917867120434802,0.10020948907058641,0.14011831031962463,10954187.21930841,7029304.439940222,15580950.395471254,300
44,high_20nA,traditional,160,0.55625,0.4875,0.625,21.853932584269664,16.961838942307693,26.76629698948709,0.28324851265320805,0.24355221926886547,0.3249304719963491,3460.940855703315,3091.602508106199,3877.7408349240454,300
45,high_20nA,traditional,160,0.53125,0.45,0.6125,19.323529411764707,14.965470389805098,23.330641385767784,0.28257938007458944,0.23468785926676616,0.3364229974691172,3465.6527746818438,3058.9283264674546,3844.1980861843485,300
48,high_20nA,traditional,160,0.63125,0.55921875,0.69375,21.31188118811881,17.039453124999998,26.12256067961165,0.2994535477681915,0.25906863649361034,0.33865544709587314,3715.8930621040004,3359.048103620502,4048.5575556446265,300
49,high_20nA,traditional,160,0.58125,0.50296875,0.6657812499999998,21.0752688172043,16.96978021978022,25.33328173374613,0.29132781151683124,0.24810797145897787,0.33709279147790827,3623.359264518063,3230.1744908158157,3987.529867765858,300
50,high_20nA,traditional,160,0.59375,0.525,0.65625,16.657894736842106,13.474971363115694,20.628985371342832,0.29023549255713144,0.251365215625689,0.3276515132106878,3614.730727997824,3191.193827941023,3997.110472113335,300
51,high_20nA,traditional,160,0.58125,0.5,0.64375,19.00537634408602,15.60442546583851,23.45292364690721,0.28403054378919906,0.23646987735392866,0.318697011458613,3442.366741530093,3084.9417711903884,3827.3227371348107,300
52,high_20nA,traditional,160,0.5875,0.50625,0.6625,15.398936170212766,12.62749837942956,18.2,0.28741407718869877,0.24350130292091446,0.33431823227046137,3636.7781397702033,3294.830927080177,4037.5417575935126,300
53,high_20nA,traditional,160,0.56875,0.49046875,0.65,15.631868131868131,12.641458333333334,18.837825933756168,0.2974736861972704,0.25515503957837804,0.3424595677852333,3544.422072414774,3164.27197247729,3913.1727118425133,300
54,high_20nA,traditional,160,0.58125,0.49671875000000004,0.65,15.32258064516129,12.181589076246334,19.256542536369384,0.2743359613464255,0.2311397582407733,0.3080655996718917,3476.287057572858,3117.127702599813,3839.6950168764897,300
55,high_20nA,traditional,160,0.58125,0.49671875000000004,0.65625,16.4247311827957,13.163518092315561,19.9159079168281,0.2830773283000864,0.23603607220836795,0.3263911414087195,3399.5410812338177,3023.6290234738794,3769.911107582349,300
56,high_20nA,traditional,160,0.6375,0.55625,0.7032812499999999,18.333333333333332,15.145574095022624,21.834509853115588,0.31394935825154685,0.2726716355597808,0.35151486044034924,3763.8599618679955,3377.0127396695943,4127.337393105842,300
57,high_20nA,traditional,160,0.58125,0.50625,0.65,20.99462365591398,16.911590597117367,25.390850722311395,0.2923821611168447,0.24848811350562425,0.3338916161062477,3642.683654791153,3275.969110603929,4024.391431826928,300
46,low_2nA,traditional,97,0.6804123711340206,0.5979381443298969,0.7731958762886598,15.681818181818182,12.25375258799172,19.77775919732441,0.340985230676893,0.28668609399965916,0.39176689140597837,3636.029525199672,3203.460666947618,4041.5106048191965,300
47,low_2nA,traditional,160,0.5625,0.49375,0.6345312499999998,19.63888888888889,15.41875,24.30418607660455,0.3058284501655327,0.2612856898093892,0.3466827402986366,3373.0254126125396,3058.968811458551,3792.1463363560124,300
