run,eventno,stave,target_sample,target_adc,pre_mean,pre_median,pre_std,pre_slope,pre0,pre1,pre2,pre3,stave_code
65,649401,B8,9,-31.0,0.0,0.0,3.535533905029297,-7.0,4.0,-4.0,3.0,-3.0,3
56,309159,B8,8,7.5,2.75,0.0,15.610493659973145,-40.0,25.5,8.5,-8.5,-14.5,3
48,66724,B2,5,-20.5,-2.5,0.0,8.86002254486084,-23.0,6.5,3.5,-3.5,-16.5,0
45,4676,B4,8,36.0,0.0,0.0,5.147815227508545,-9.0,7.0,2.0,-7.0,-2.0,1
55,283023,B2,6,2.0,-2.75,0.0,5.356071472167969,-1.0,1.0,-12.0,0.0,0.0,0
45,5217,B4,8,-12.5,-0.25,0.0,6.832825183868408,-18.0,8.5,3.5,-3.5,-9.5,1
59,423191,B2,9,37.0,0.25,0.0,5.494315147399902,-15.0,8.0,2.0,-2.0,-7.0,0
44,658,B6,6,17.5,4.75,0.0,12.871965408325195,31.0,-5.5,-6.5,5.5,25.5,2
55,282686,B4,6,-15.0,-0.5,0.0,2.9580399990081787,-8.0,3.0,1.0,-1.0,-5.0,1
62,539480,B6,5,16.5,-3.5,0.0,9.027734756469727,-23.0,4.5,2.5,-2.5,-18.5,2
59,424485,B2,4,-8.0,0.0,0.0,3.8078866004943848,4.0,-2.0,-5.0,5.0,2.0,0
57,359670,B8,9,6.0,0.75,0.0,13.348689079284668,35.0,-16.0,-7.0,7.0,19.0,3
44,1962,B8,4,-23.0,-3.5,0.0,12.031208992004395,26.0,-23.0,-3.0,9.0,3.0,3
63,577210,B8,6,-13.5,0.5,0.0,6.964194297790527,-6.0,-2.5,10.5,2.5,-8.5,3
55,283728,B6,8,8.5,0.0,0.0,1.5,-3.0,1.5,1.5,-1.5,-1.5,2
61,502482,B2,9,-9.5,4.75,0.0,23.466732025146484,60.0,-20.5,-12.5,12.5,39.5,0
65,649528,B2,8,-15.0,-1.25,0.0,3.699662208557129,9.0,-7.0,-2.0,2.0,2.0,0
57,359291,B2,9,1.0,-0.5,0.0,2.872281312942505,-3.0,3.0,-5.0,0.0,0.0,0
44,2120,B8,5,32.5,2.5,0.0,5.958187580108643,15.0,-2.5,-1.5,1.5,12.5,3
58,389569,B8,5,-0.5,-3.25,0.0,7.98044490814209,-1.0,3.5,-2.5,-16.5,2.5,3
58,389276,B6,9,-13.0,0.0,0.0,6.964194297790527,-18.0,9.0,4.0,-4.0,-9.0,2
49,97865,B2,4,-7.5,1.25,0.0,10.473179817199707,-21.0,16.5,4.5,-11.5,-4.5,0
62,538120,B4,6,2.5,-2.0,0.0,7.2284159660339355,16.0,-13.5,-2.5,5.5,2.5,1
55,281498,B2,5,-30.5,-1.25,0.0,9.601431846618652,-19.0,3.5,10.5,-3.5,-15.5,0
65,649670,B8,7,22.5,-3.25,0.0,12.695963859558105,34.0,-23.5,-3.5,3.5,10.5,3
63,577325,B6,5,-8.5,2.75,0.0,12.376893997192383,-24.0,22.5,1.5,-11.5,-1.5,2
50,131874,B8,6,16.0,1.0,0.0,5.74456262588501,10.0,0.0,-6.0,0.0,10.0,3
53,206722,B4,6,-5.5,-1.75,0.0,8.257572174072266,-20.0,6.5,5.5,-5.5,-13.5,1
59,424652,B8,4,-24.5,-1.0,0.0,6.576473236083984,-14.0,3.5,6.5,-3.5,-10.5,3
56,306262,B2,5,-4.0,-0.25,0.0,4.14578104019165,4.0,-2.0,-6.0,5.0,2.0,0
63,576267,B6,8,-23.5,-3.75,0.0,7.462405681610107,-18.0,1.5,1.5,-1.5,-16.5,2
52,195757,B2,6,-16.5,-2.5,0.0,5.8736701011657715,-3.0,2.5,0.5,-12.5,-0.5,0
62,539044,B6,5,-19.0,-5.75,0.0,13.64505386352539,29.0,-29.0,6.0,0.0,0.0,2
48,66245,B4,9,3.0,2.25,0.0,5.117372512817383,-11.0,11.0,0.0,-2.0,0.0,1
44,2080,B6,4,-12.5,-2.5,0.0,5.8736701011657715,12.0,-12.5,2.5,0.5,-0.5,2
65,649057,B8,5,20.0,4.5,0.0,12.359207153320312,22.0,3.0,-7.0,-3.0,25.0,3
55,282007,B6,7,9.0,2.0,0.0,5.74456262588501,-14.0,11.0,-3.0,3.0,-3.0,2
58,390120,B4,8,30.5,-4.25,0.0,18.102140426635742,22.0,-31.5,9.5,14.5,-9.5,1
45,5001,B8,8,-17.0,1.0,0.0,2.4494898319244385,0.0,-1.0,1.0,5.0,-1.0,3
54,246551,B4,8,-0.5,0.5,0.0,1.2247449159622192,1.0,-0.5,-0.5,2.5,0.5,1
55,283136,B4,9,-38.5,-0.5,0.0,10.319883346557617,-25.0,11.5,7.5,-7.5,-13.5,1
65,650067,B4,7,45.5,-0.5,0.0,3.674234628677368,1.0,2.5,-2.5,-5.5,3.5,1
61,502488,B6,5,-6.5,-1.5,0.0,4.949747562408447,-8.0,-1.5,1.5,3.5,-9.5,2
49,97810,B2,7,10.0,1.25,0.0,4.96865177154541,4.0,-2.0,9.0,-4.0,2.0,0
61,501742,B2,4,79.5,14.25,0.0,38.212398529052734,-62.0,76.5,-14.5,-19.5,14.5,0
53,205927,B4,7,-12.0,0.75,0.0,1.9202864170074463,-1.0,0.0,0.0,4.0,-1.0,1
63,575703,B6,7,23.0,3.0,0.0,17.72004508972168,46.0,-17.0,-9.0,9.0,29.0,2
55,282078,B4,7,-23.0,-0.5,0.0,7.123903274536133,-20.0,9.0,1.0,-1.0,-11.0,1
55,284662,B4,8,-12.0,2.0,0.0,6.633249759674072,-8.0,12.0,-4.0,-4.0,4.0,1
48,66461,B2,4,7.5,0.25,0.0,6.495190620422363,-13.0,8.5,4.5,-7.5,-4.5,0
50,132602,B4,6,-13.5,-0.75,0.0,3.1124749183654785,-8.0,2.5,-1.5,1.5,-5.5,1
63,576283,B6,6,4.0,-0.5,0.0,2.1794495582580566,-2.0,2.0,-4.0,0.0,0.0,2
45,4724,B6,9,13.5,-0.75,0.0,2.2776083946228027,2.0,-0.5,-4.5,0.5,1.5,2
51,174544,B6,8,-9.0,0.75,0.0,2.586019992828369,-5.0,5.0,0.0,-2.0,0.0,2
48,66241,B4,6,-19.5,-0.25,0.0,7.4958319664001465,7.0,-10.5,9.5,3.5,-3.5,1
57,357956,B4,9,11.0,0.0,0.0,1.4142135381698608,-2.0,0.0,2.0,0.0,-2.0,1
46,53272,B8,7,-9.5,0.75,0.0,5.973901748657227,-16.0,9.5,2.5,-2.5,-6.5,3
58,389742,B6,6,9.5,2.0,0.0,3.7749171257019043,0.0,-0.5,0.5,8.5,-0.5,2
49,98885,B2,6,-14.5,0.0,0.0,2.5,3.0,-3.5,0.5,3.5,-0.5,0
60,466874,B4,7,21.5,1.25,0.0,7.949056625366211,22.0,-8.5,-1.5,1.5,13.5,1
48,65255,B4,9,15.0,0.0,0.0,5.522680282592773,-12.0,6.0,5.0,-5.0,-6.0,1
52,196532,B4,9,1.5,1.0,0.0,2.692582368850708,5.0,0.5,-1.5,-0.5,5.5,1
45,6592,B2,5,-8.0,0.5,0.0,5.722761631011963,2.0,-6.0,4.0,8.0,-4.0,0
54,245188,B8,7,-19.5,0.75,0.0,11.008519172668457,-23.0,14.5,8.5,-11.5,-8.5,3
55,282292,B4,4,-14.0,-1.0,0.0,4.41588020324707,-9.0,1.0,-1.0,4.0,-8.0,1
63,577333,B2,9,47.5,1.0,0.0,4.8218255043029785,13.0,-4.5,1.5,-1.5,8.5,0
46,52937,B8,8,5.5,-0.5,0.0,1.8708287477493286,1.0,-0.5,-3.5,1.5,0.5,3
51,174531,B6,5,4.0,-0.75,0.0,6.417748928070068,4.0,3.0,-10.0,-3.0,7.0,2
61,503197,B8,5,-9.0,-0.25,0.0,6.796138763427734,2.0,-8.0,7.0,6.0,-6.0,3
63,576487,B2,8,-19.5,-1.75,0.0,5.2618913650512695,14.0,-10.5,-0.5,0.5,3.5,0
49,97856,B2,8,-29.0,1.75,0.0,6.8693156242370605,-17.0,12.0,4.0,-4.0,-5.0,0
65,650077,B2,5,-14.5,2.25,0.0,6.832825183868408,-18.0,13.5,1.5,-1.5,-4.5,0
50,130865,B6,7,-3.5,1.5,0.0,3.535533905029297,1.0,-1.5,7.5,0.5,-0.5,2
57,359315,B4,9,1.5,0.75,0.0,3.1124749183654785,-8.0,5.5,1.5,-1.5,-2.5,1
47,54909,B2,5,6.0,-3.5,0.0,7.2629194259643555,18.0,-16.0,0.0,0.0,2.0,0
48,66735,B2,5,0.5,0.5,0.0,6.819090843200684,-17.0,9.5,4.5,-4.5,-7.5,0
51,177012,B6,5,-17.5,-0.75,0.0,4.4370598793029785,3.0,-1.5,4.5,-7.5,1.5,2
52,197258,B2,6,-14.5,-3.75,0.0,8.699856758117676,17.0,-18.5,1.5,3.5,-1.5,0
49,97969,B8,9,27.0,-0.25,0.0,3.191786289215088,-9.0,4.0,0.0,0.0,-5.0,3
44,1720,B6,9,-4.0,-1.5,0.0,6.020797252655029,-4.0,2.0,5.0,-11.0,-2.0,2
46,53901,B2,5,-8.5,-1.75,0.0,4.085033893585205,3.0,-1.5,-8.5,1.5,1.5,0
57,358652,B4,9,42.0,-0.5,0.0,3.8405728340148926,-10.0,4.0,2.0,-2.0,-6.0,1
45,6437,B2,6,0.0,-4.25,0.0,8.584142684936523,-20.0,1.0,2.0,-1.0,-19.0,0
57,357948,B6,9,-7.5,-0.75,0.0,3.1124749183654785,4.0,-5.5,1.5,2.5,-1.5,2
57,357882,B8,8,-9.0,-0.25,0.0,4.14578104019165,4.0,-6.0,2.0,5.0,-2.0,3
65,649402,B2,9,24.5,2.25,0.0,4.918078899383545,12.0,-1.5,-1.5,1.5,10.5,0
65,649577,B8,5,-13.0,-5.75,0.0,18.73999786376953,49.0,-36.0,-6.0,6.0,13.0,3
55,284693,B8,6,-5.0,0.25,0.0,3.269174098968506,-6.0,3.0,4.0,-3.0,-3.0,3
65,649858,B6,6,-19.5,2.25,0.0,8.073877334594727,-10.0,14.5,-4.5,-5.5,4.5,2
44,533,B4,5,-3.0,-0.5,0.0,1.658312439918518,4.0,-3.0,1.0,-1.0,1.0,1
48,66660,B8,8,-20.5,0.75,0.0,7.189402103424072,-13.0,11.5,1.5,-8.5,-1.5,3
61,502412,B8,5,13.5,2.5,0.0,6.964194297790527,7.0,-3.5,-3.5,13.5,3.5,3
50,130325,B4,6,-7.0,1.75,0.0,4.322904109954834,-10.0,9.0,1.0,-2.0,-1.0,1
60,465923,B8,7,24.0,0.25,0.0,1.9202864170074463,2.0,-1.0,3.0,-2.0,1.0,3
44,573,B8,6,63.0,0.5,0.0,20.621591567993164,50.0,-24.0,-15.0,15.0,26.0,3
54,246491,B8,8,25.5,1.75,0.0,3.3447721004486084,8.0,-0.5,-0.5,0.5,7.5,3
61,502981,B6,4,-31.5,-7.75,0.0,31.83060646057129,-76.0,22.5,21.5,-21.5,-53.5,2
57,358720,B4,9,-8.5,-0.5,0.0,10.319883346557617,25.0,-13.5,-7.5,7.5,11.5,1
63,577345,B2,5,1.0,0.25,0.0,3.832427501678467,2.0,3.0,-4.0,-3.0,5.0,0
50,133582,B8,4,9.5,0.0,0.0,1.1180340051651,-1.0,0.5,-1.5,1.5,-0.5,3
53,207509,B6,9,-11.5,2.0,0.0,4.387482166290283,11.0,-1.5,0.5,-0.5,9.5,2
62,538230,B2,5,20.0,1.75,0.0,13.442005157470703,28.0,-7.0,-14.0,7.0,21.0,0
49,98606,B4,4,4.0,1.25,0.0,2.1650636196136475,0.0,0.0,0.0,5.0,0.0,1
58,390255,B4,4,-11.0,1.25,0.0,5.214163303375244,-13.0,9.0,3.0,-3.0,-4.0,1
46,53655,B8,7,7.0,-0.25,0.0,1.299038052558899,0.0,1.0,-1.0,-2.0,1.0,3
59,423782,B2,6,3.5,0.0,0.0,2.0615527629852295,4.0,-1.5,-2.5,1.5,2.5,0
46,52686,B2,9,16.0,2.75,0.0,6.015604496002197,-14.0,13.0,1.0,-2.0,-1.0,0
49,96848,B4,7,17.0,0.25,0.0,1.0897247791290283,-1.0,0.0,2.0,0.0,-1.0,1
48,65927,B6,7,45.0,1.5,0.0,11.608186721801758,16.0,3.0,-13.0,-3.0,19.0,2
50,131015,B4,5,1.5,-0.5,0.0,1.8708287477493286,1.0,-0.5,1.5,-3.5,0.5,1
44,1507,B8,7,2.0,2.5,0.0,7.158910751342773,18.0,-4.0,-3.0,3.0,14.0,3
58,389175,B8,6,-6.0,-1.75,0.0,13.754544258117676,30.0,-20.0,-10.0,13.0,10.0,3
65,649582,B4,9,-154.5,-0.5,0.0,19.013153076171875,18.0,-26.5,24.5,8.5,-8.5,1
52,197839,B2,9,-6.0,-3.25,0.0,8.78564167022705,19.0,-18.0,-1.0,5.0,1.0,0
54,247053,B6,4,-2.0,-1.0,0.0,3.7416574954986572,-8.0,1.0,3.0,-1.0,-7.0,2
51,174317,B8,6,-20.0,1.5,0.0,12.459936141967773,-30.0,18.0,9.0,-9.0,-12.0,3
59,423310,B8,7,9.0,0.75,0.0,3.3447721004486084,5.0,1.0,-1.0,-3.0,6.0,3
47,54165,B2,6,20.5,0.25,0.0,6.179603576660156,4.0,-7.5,3.5,8.5,-3.5,0
44,187,B4,8,-39.0,1.5,0.0,8.381526947021484,-7.0,13.0,-7.0,-6.0,6.0,1
54,244998,B8,7,-19.5,-0.75,0.0,8.011710166931152,-22.0,9.5,2.5,-2.5,-12.5,3
49,97387,B6,4,2.5,-7.0,0.0,16.74066925048828,41.0,-34.5,-6.5,6.5,6.5,2
53,207872,B6,5,4.5,-3.25,0.0,20.07952880859375,54.0,-33.5,-7.5,7.5,20.5,2
53,205342,B6,4,-25.5,-0.5,0.0,8.03118896484375,-15.0,7.5,7.5,-9.5,-7.5,2
58,391088,B6,9,13.5,3.0,0.0,5.5,13.0,-0.5,0.5,-0.5,12.5,2
54,245902,B2,4,0.5,-0.5,0.0,5.244044303894043,13.0,-7.5,-3.5,3.5,5.5,0
51,177633,B2,8,47.0,2.0,0.0,10.793516159057617,30.0,-11.0,0.0,0.0,19.0,0
49,96729,B8,4,-3.5,2.0,0.0,5.024937629699707,-11.0,10.5,0.5,-2.5,-0.5,3
56,309021,B4,7,44.5,0.5,0.0,2.7386128902435303,3.0,1.5,-1.5,-2.5,4.5,1
61,503177,B2,9,10.5,-3.0,0.0,6.72681188583374,-17.0,2.5,0.5,-0.5,-14.5,0
56,309959,B6,7,-3.5,-3.25,0.0,7.361216068267822,13.0,-15.5,2.5,2.5,-2.5,2
59,424188,B8,6,-13.5,0.25,0.0,5.673402786254883,-9.0,8.5,0.5,-7.5,-0.5,3
63,577564,B8,8,15.0,2.25,0.0,5.117372512817383,13.0,-2.0,0.0,0.0,11.0,3
60,466397,B2,8,-24.0,2.5,0.0,10.161200523376465,-26.0,18.0,5.0,-5.0,-8.0,0
51,174358,B4,6,5.0,1.75,0.0,6.609652042388916,15.0,-3.0,-5.0,3.0,12.0,1
58,389299,B6,5,-2.5,-2.75,0.0,6.299801349639893,-16.0,2.5,-0.5,0.5,-13.5,2
65,649958,B6,4,0.5,1.25,0.0,5.214163303375244,-11.0,9.5,-4.5,1.5,-1.5,2
58,390233,B6,8,19.5,-0.25,0.0,5.2618913650512695,9.0,-2.5,2.5,-7.5,6.5,2
50,132255,B4,5,-13.0,0.0,0.0,5.656854152679443,-16.0,8.0,0.0,0.0,-8.0,1
58,390299,B4,6,-2.0,-1.0,0.0,5.4772257804870605,-14.0,5.0,3.0,-3.0,-9.0,1
54,246296,B6,6,3.5,1.25,0.0,3.269174098968506,5.0,1.5,-1.5,-1.5,6.5,2
53,207493,B6,9,7.5,2.5,0.0,8.455767631530762,-11.0,15.5,-4.5,-5.5,4.5,2
57,358008,B2,5,-7.5,0.0,0.0,3.640054941177368,-9.0,4.5,2.5,-2.5,-4.5,0
58,389156,B6,7,11.0,-0.25,0.0,1.785357117652893,3.0,-3.0,0.0,2.0,0.0,2
55,282641,B2,7,-20.0,0.25,0.0,3.960744857788086,-11.0,6.0,1.0,-1.0,-5.0,0
65,648716,B2,9,-23.0,-5.5,0.0,14.5,35.0,-29.0,-6.0,7.0,6.0,0
55,284446,B4,6,-18.0,0.75,0.0,9.601431846618652,-11.0,-1.0,15.0,1.0,-12.0,1
52,196260,B4,6,-5.0,2.75,0.0,7.395099639892578,-19.0,15.0,2.0,-2.0,-4.0,1
