run,method,family,n_target_rows,pedestal_mae_adc,pedestal_rmse_adc,pedestal_bias_adc,pedestal_q05_adc,pedestal_q95_adc,n_pair_rows,timing_sigma68_shift_ns,timing_full_rms_shift_ns,timing_tail_gt0p5_fraction,timing_tail_gt5_fraction,timing_shift_bias_ns,n_charge_rows,charge_bias_delta_adc,charge_abs_delta_adc
62,traditional_mean3,traditional,76356,284.09388478530394,761.7862624940301,1.08392291190393e-15,-1174.4166666666663,1017.4166666666663,15332,0.09063204086984779,1.3279683689383084,0.14472997651969738,0.0005870075658752935,0.024031223001834672,76356,-44.0506181570538,98.87598878935512
62,traditional_median3,traditional,76356,309.6358242967154,869.7759987827716,-44.0506181570538,-1446.0,945.0,15332,0.07000962313162092,1.3940488997311378,0.1232063657709366,0.0010435690060005217,0.022712650375579787,76356,0.0,108.77555136466027
62,ridge,ml,76356,190.4855267500765,460.51403664149143,-13.16384437625816,-578.9152567688034,462.3545646854484,15264,0.6689122012830335,1.9550236577193132,0.7063024109014675,0.0038653039832285117,-0.7380982073683066,76356,-30.88677378079564,191.66963354126125
62,target_masked_residual_cnn,new_architecture,76356,53.615836797476994,219.5085693505007,15.052555471385748,-83.26051308020556,115.02179290893196,15178,0.5277667196843027,2.316961772709721,0.34194228488601924,0.010739227829753591,0.09391799749464765,76356,-59.10317362843955,211.4838067844353
62,gradient_boosted_trees,ml,76356,53.61919947469923,192.00633990855553,-1.7588948369954884,-161.76802440165238,124.34052430340284,15187,0.24088383175571493,2.165838333973307,0.21070652531770592,0.019819582537696716,-0.04698674162159008,76356,-42.29172332005831,197.29699709318842
62,traditional_line3,traditional,76356,186.86024736260478,537.1572979230758,-40.940718788432136,-866.0833333333333,468.7142857142853,15164,0.19819079448217125,2.6604035770499053,0.19038512265892904,0.023410709575309944,0.0070504244382185825,76356,-3.1098993686216545,212.4415825369385
62,one_dimensional_cnn,ml,76356,88.86669398852631,292.3862349587185,-32.389584413186014,-317.5341926148419,94.23116801275728,15190,0.5111775638687032,2.1448709758117013,0.32659644502962476,0.025016458196181698,-0.05742213621266631,76356,-11.661033743867792,194.80503407254457
62,mlp,ml,76356,102.03808463436143,315.14185212428094,-10.083812984003497,-285.5423603651857,219.44601443946567,15172,0.497798571273135,2.387964018484515,0.3316635908252043,0.0311099393619826,-0.11159669093825453,76356,-33.96680517305029,196.5286438249187
62,traditional_run_stratified,traditional,76356,158.51323530879165,495.73818338064893,-11.549495907640596,-577.8750000000005,414.0,15085,0.23733165052910052,2.8827966296024674,0.23785217103082532,0.035067948293006294,0.11008617758127286,76356,-32.50112224941322,213.04306924456617
63,traditional_mean3,traditional,75268,264.60465713627747,790.2004801569612,2.900020306445007e-16,-911.866666666666,905.2166666666645,7264,0.09799492740580264,0.8823068871917683,0.14413546255506607,0.00027533039647577095,0.04674196030386183,75268,-37.281952489769886,92.65954987511292
63,traditional_median3,traditional,75268,286.913721634692,902.2402599718888,-37.281952489769886,-1180.6499999999996,757.0,7264,0.07391803666407412,0.9203233508460024,0.1193557268722467,0.0008259911894273128,0.024917799342922115,75268,0.0,100.33057873199766
63,ridge,ml,75268,186.46636765644294,521.2709658890262,-12.27896074202976,-508.97305114410796,391.70934094486836,7231,0.7171110733907157,2.886234427724569,0.7008712487899322,0.003595629926704467,-0.7597624943867847,75268,-25.002991747740115,185.00292492828717
63,target_masked_residual_cnn,new_architecture,75268,61.407596616242415,301.5982991167269,-5.608630772286974,-103.66122998081055,93.25021087761425,7201,0.49482424500818567,2.273969266840689,0.315511734481322,0.009998611303985558,0.082081677080059,75268,-31.67332171748291,188.18916204448854
63,one_dimensional_cnn,ml,75268,96.556372998175,393.14311116584963,-12.260863291039021,-213.59036313206116,120.79202708672564,7194,0.4269526983545049,2.324232984937375,0.2796775090353072,0.016958576591604116,-0.014225490917351313,75268,-25.021089198730877,163.3483287507549
63,gradient_boosted_trees,ml,75268,60.60120555824834,270.7181935120061,-1.8906687611274502,-160.3781157312133,118.09310220030467,7197,0.2553004148422475,2.3906818697499492,0.21078227039044045,0.020008336807002917,-0.0032565581215580996,75268,-35.39128372864245,179.68664933780636
63,traditional_line3,traditional,75268,184.9076341808446,623.0787123988624,-32.511381552142566,-767.2166666666664,427.7142857142853,7213,0.2103299121682407,2.935275976737547,0.18743934562595313,0.024261749618743934,0.013373995965111369,75268,-4.770570937627337,199.0303303497091
63,mlp,ml,75268,109.96223398163059,394.882138142583,-7.103793974099132,-269.6528668320157,199.13744670483013,7170,0.453324523230758,2.2879107887045813,0.28326359832635983,0.029288702928870293,-0.2459335189441697,75268,-30.178158515670756,179.34021294799473
63,traditional_run_stratified,traditional,75268,166.56474641724682,602.6053270262005,-2.112882348028709,-509.8833333333333,420.6178571428565,7164,0.2487632302237575,3.1886232689099883,0.23269123394751534,0.04243439419318816,0.22741529077361,75268,-35.16907014174117,204.57083070779464
65,traditional_mean3,traditional,52152,216.86481822365394,739.4983436947297,-7.324508642902091e-16,-398.74999999999983,602.1499999999988,1592,0.07548593679123303,0.45421525004098035,0.10175879396984924,0.0,0.04102247764324115,52152,-29.206665132689057,75.43410287876463
65,traditional_median3,traditional,52152,236.50134223040342,853.4865802414513,-29.206665132689064,-688.7999999999993,292.0,1592,0.06493484783411987,0.4366949089951081,0.0728643216080402,0.0,0.005419057715344277,52152,0.0,83.57010277649947
65,ridge,ml,52152,160.6097212294643,468.28361994260973,4.30962544635615,-251.54510756597256,290.42871108482814,1589,0.6298451053816576,4.822207415474326,0.6689741976085588,0.004405286343612335,-0.8747163552778358,52152,-33.51629057904521,158.73088388797635
