population,current_group,dynamic_topology,calibrated_pid_support,calibrated_energy_support,n,secondary_fraction,timing_tail_fraction,median_dynamic_amp_adc
selector_edge_atom,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q1,5612,0.0008909479686386316,0.7973984319315752,2622.5
selector_edge_atom,high_20nA,all_four,deuteron_like_high_residual,energy_q1,5588,0.00035790980672870435,0.17376521116678598,2397.0
selector_edge_atom,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,5408,0.0003698224852071006,0.0,2636.0
selector_edge_atom,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q2,5146,0.1700349786241741,0.0,3701.0
selector_edge_atom,high_20nA,B2_only,deuteron_like_high_residual,energy_q1,3864,0.0007763975155279503,0.0,1278.5
selector_edge_atom,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q2,3435,0.13799126637554585,0.9176128093158661,3315.0
selector_edge_atom,high_20nA,B2_only,proton_like_low_residual,energy_q1,3339,0.0005989817310572028,0.0,1831.0
selector_edge_atom,high_20nA,B2_only,deuteron_like_high_residual,energy_q2,2659,0.14779992478375328,0.0,4179.0
selector_edge_atom,high_20nA,B2_only,proton_like_low_residual,energy_q2,2372,0.11340640809443507,0.0,4446.5
selector_edge_atom,high_20nA,all_four,deuteron_like_high_residual,energy_q2,1791,0.0893355667225014,0.31211613623673923,3193.0
selector_edge_atom,high_20nA,B2_only,deuteron_like_high_residual,energy_q3,1621,0.04565083281924738,0.0,5784.0
selector_edge_atom,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q3,1144,0.04283216783216783,0.0,5438.5
selector_edge_atom,high_20nA,B2_only,deuteron_like_high_residual,energy_q4,685,0.04671532846715328,0.0,8063.0
selector_edge_atom,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q1,673,0.0014858841010401188,0.0,2911.0
selector_edge_atom,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q4,631,0.16323296354992076,0.0,8620.0
selector_edge_atom,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q2,529,0.17391304347826086,0.0,3976.0
selector_edge_atom,high_20nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q4,451,0.1286031042128603,0.0,8553.0
selector_edge_atom,low_2nA,B2_only,ambiguous_mid_residual,energy_q4,417,0.009592326139088728,0.0,8155.0
selector_edge_atom,high_20nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q3,370,0.08108108108108109,0.0,6478.5
selector_edge_atom,low_2nA,B2_only,ambiguous_mid_residual,energy_q3,330,0.03636363636363636,0.0,5816.0
selector_edge_atom,high_20nA,B4_only,ambiguous_mid_residual,energy_q1,299,0.0,0.0,1577.0
selector_edge_atom,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q3,293,0.06143344709897611,0.9385665529010239,5438.0
selector_edge_atom,low_2nA,B2_only,ambiguous_mid_residual,energy_q1,289,0.0,0.0,1630.0
selector_edge_atom,high_20nA,B6_only,deuteron_like_high_residual,energy_q1,250,0.0,0.0,1678.0
selector_edge_atom,high_20nA,all_four,deuteron_like_high_residual,energy_q3,215,0.018604651162790697,0.35348837209302325,5335.0
selector_edge_atom,low_2nA,B2_only,ambiguous_mid_residual,energy_q2,213,0.215962441314554,0.0,3958.0
selector_edge_atom,high_20nA,B8_only,deuteron_like_high_residual,energy_q1,205,0.0,0.0,1549.0
selector_edge_atom,high_20nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q4,184,0.08152173913043478,0.9293478260869565,8280.0
selector_edge_atom,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q4,157,0.12101910828025478,0.9235668789808917,8646.0
selector_edge_atom,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q1,114,0.0,0.7807017543859649,2790.5
selector_edge_atom,high_20nA,all_four,deuteron_like_high_residual,energy_q4,92,0.11956521739130435,0.5108695652173914,8671.5
selector_edge_atom,high_20nA,B4_only,deuteron_like_high_residual,energy_q1,77,0.0,0.0,1536.0
selector_edge_atom,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q2,72,0.09722222222222222,0.8194444444444444,3821.5
selector_edge_atom,high_20nA,downstream_ge2,deuteron_like_high_residual,energy_q1,64,0.0,0.8125,2050.0
selector_edge_atom,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q3,49,0.061224489795918366,0.7142857142857143,6378.0
selector_edge_atom,high_20nA,all_four,ambiguous_mid_residual,energy_q4,49,0.02040816326530612,0.42857142857142855,8212.0
selector_edge_atom,high_20nA,B6_only,deuteron_like_high_residual,energy_q2,45,0.17777777777777778,0.0,3517.0
selector_edge_atom,high_20nA,B4_only,ambiguous_mid_residual,energy_q2,44,0.11363636363636363,0.0,3442.0
selector_edge_atom,high_20nA,all_four,ambiguous_mid_residual,energy_q1,43,0.023255813953488372,0.27906976744186046,2571.0
selector_edge_atom,high_20nA,B8_only,deuteron_like_high_residual,energy_q2,21,0.14285714285714285,0.0,3111.0
selector_edge_atom,high_20nA,all_four,ambiguous_mid_residual,energy_q2,21,0.09523809523809523,0.23809523809523808,4313.0
selector_edge_atom,high_20nA,downstream_ge2,deuteron_like_high_residual,energy_q2,18,0.2222222222222222,0.8333333333333334,3187.0
selector_edge_atom,high_20nA,B4_only,deuteron_like_high_residual,energy_q2,16,0.0625,0.0,4013.5
selector_edge_atom,high_20nA,all_four,ambiguous_mid_residual,energy_q3,11,0.18181818181818182,0.0,6191.0
selector_edge_atom,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,11,0.0,0.0,2492.0
selector_edge_atom,high_20nA,all_downstream,deuteron_like_high_residual,energy_q1,10,0.0,0.1,1623.5
selector_edge_atom,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q1,9,0.0,1.0,2858.0
selector_edge_atom,high_20nA,B4_only,ambiguous_mid_residual,energy_q3,8,0.0,0.0,5106.5
selector_edge_atom,low_2nA,all_four,deuteron_like_high_residual,energy_q1,8,0.0,0.0,2559.5
selector_edge_atom,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q2,7,0.2857142857142857,0.0,4335.0
selector_edge_atom,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q2,6,0.0,0.0,3616.5
selector_edge_atom,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q1,4,0.0,0.0,3190.5
selector_edge_atom,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q3,4,0.0,0.0,5429.0
selector_edge_atom,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q4,4,0.25,0.0,7909.5
selector_edge_atom,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q2,3,0.3333333333333333,1.0,3876.0
selector_edge_atom,low_2nA,B4_only,ambiguous_mid_residual,energy_q1,3,0.0,0.0,1033.0
selector_edge_atom,low_2nA,B6_only,deuteron_like_high_residual,energy_q1,3,0.0,0.0,1348.0
selector_edge_atom,high_20nA,B4_only,deuteron_like_high_residual,energy_q3,2,0.5,0.0,4743.5
selector_edge_atom,high_20nA,B6_only,deuteron_like_high_residual,energy_q3,2,0.0,0.0,5131.5
selector_edge_atom,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q3,2,0.0,0.0,5788.0
selector_edge_atom,high_20nA,B8_only,deuteron_like_high_residual,energy_q3,1,0.0,0.0,4652.0
selector_edge_atom,high_20nA,all_downstream,deuteron_like_high_residual,energy_q2,1,0.0,0.0,3347.0
selector_edge_atom,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q3,1,0.0,1.0,4943.0
selector_edge_atom,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q4,1,0.0,1.0,9640.0
