primary_atom,current_group,dynamic_topology,calibrated_pid_support,calibrated_energy_support,n,secondary_fraction,timing_tail_fraction,charge_area_median,baseline_excursion_median,saturation_fraction,dropout_proxy_fraction
dynamic_only,high_20nA,all_downstream,deuteron_like_high_residual,energy_q1,5,0.0,0.0,-11658.0,618.0,1.0,1.0
dynamic_only,low_2nA,all_four,deuteron_like_high_residual,energy_q1,5,0.0,0.0,-18523.0,840.0,1.0,1.0
baseline_excursion,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q3,4,0.0,0.0,45763.5,1191.0,1.0,0.0
baseline_excursion,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q4,4,0.25,0.0,60282.0,1273.5,1.0,0.0
baseline_excursion,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q1,3,0.0,1.0,11606.0,1999.0,1.0,0.6666666666666666
baseline_excursion,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q2,3,0.3333333333333333,1.0,30640.0,478.0,1.0,0.0
baseline_excursion,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q1,3,0.0,0.0,8968.0,1731.0,1.0,1.0
baseline_excursion,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,3,0.0,0.0,17502.0,663.0,1.0,0.0
median_threshold_edge,high_20nA,B2_plus_ge2_downstream,ambiguous_mid_residual,energy_q1,3,0.0,1.0,-6772.0,1511.0,1.0,1.0
median_threshold_edge,high_20nA,all_downstream,deuteron_like_high_residual,energy_q1,3,0.0,0.3333333333333333,7721.0,59.0,1.0,0.3333333333333333
median_threshold_edge,high_20nA,downstream_ge2,deuteron_like_high_residual,energy_q1,3,0.0,1.0,6845.0,14.0,1.0,0.3333333333333333
baseline_excursion,high_20nA,B4_only,deuteron_like_high_residual,energy_q3,2,0.5,0.0,43175.5,1868.5,1.0,0.0
baseline_excursion,high_20nA,B6_only,deuteron_like_high_residual,energy_q3,2,0.0,0.0,45399.5,1435.5,1.0,0.0
baseline_excursion,high_20nA,all_downstream,deuteron_like_high_residual,energy_q1,2,0.0,0.0,9682.0,971.5,1.0,0.5
baseline_excursion,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q3,2,0.0,0.0,51972.0,785.5,1.0,0.0
baseline_excursion,low_2nA,all_four,deuteron_like_high_residual,energy_q1,2,0.0,0.0,-5669.0,2758.0,1.0,1.0
dynamic_only,low_2nA,B4_only,ambiguous_mid_residual,energy_q1,2,0.0,0.0,-15538.0,746.0,1.0,1.0
median_threshold_edge,high_20nA,all_four,ambiguous_mid_residual,energy_q1,2,0.0,0.0,-5515.0,2045.0,1.0,1.0
median_threshold_edge,low_2nA,B2_plus_one_downstream,deuteron_like_high_residual,energy_q1,2,0.0,0.0,6074.0,23.5,1.0,0.0
median_threshold_edge,low_2nA,B6_only,deuteron_like_high_residual,energy_q1,2,0.0,0.0,-7378.0,800.5,1.0,0.5
baseline_excursion,high_20nA,B8_only,deuteron_like_high_residual,energy_q3,1,0.0,0.0,44961.0,490.0,1.0,0.0
baseline_excursion,high_20nA,all_downstream,deuteron_like_high_residual,energy_q2,1,0.0,0.0,29991.0,272.0,1.0,0.0
baseline_excursion,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q3,1,0.0,1.0,47439.0,368.0,1.0,0.0
baseline_excursion,low_2nA,B2_plus_ge2_downstream,deuteron_like_high_residual,energy_q4,1,0.0,1.0,71546.0,371.0,1.0,0.0
dynamic_only,low_2nA,B2_plus_one_downstream,ambiguous_mid_residual,energy_q1,1,0.0,0.0,-32834.0,301.0,1.0,1.0
dynamic_only,low_2nA,B6_only,deuteron_like_high_residual,energy_q1,1,0.0,0.0,-10355.0,883.0,1.0,1.0
median_threshold_edge,low_2nA,B4_only,ambiguous_mid_residual,energy_q1,1,0.0,0.0,7114.0,72.0,1.0,0.0
median_threshold_edge,low_2nA,all_four,deuteron_like_high_residual,energy_q1,1,0.0,0.0,-9365.0,2725.0,1.0,1.0
