dropout_like_location,stave,amp_bin_label,peak_region,q_template_bin,saturation_proxy,lowering_proxy,p09_taxon_proxy,n_raw_pulses,n_candidates,candidate_fraction,median_notch_deficit_frac,median_q_template_score,median_pileup_score
trailing_sample,B2,1000_2000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,3698,3698,1.0,0.28947537589047023,1.5760109054151794,0.011403811423043524
trailing_sample,B2,2000_3000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,2661,2661,1.0,0.19219512195121952,0.5786659437510104,0.5488076019069981
leading_edge,B2,ge7000,central,q_low,amp_ge_7000,quiet_prepeak,saturation_edge,2626,2626,1.0,0.20033212355751157,0.11739937752082871,0.5501143200023398
trailing_sample,B2,3000_5000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,2550,2550,1.0,0.09858670182268434,0.2510588401771966,0.688168180063493
trailing_sample,B2,3000_5000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,2500,2500,1.0,0.13641453969997736,0.5692878553643983,0.46531128436890634
leading_edge,B2,3000_5000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,2202,2202,1.0,0.17602706774683402,0.574059802345614,0.4606167092001067
trailing_sample,B2,3000_5000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,2166,2166,1.0,0.11044797514157337,0.36668634498811337,0.6677619433897739
leading_edge,B4,3000_5000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,2039,2039,1.0,0.18649237472766886,0.5473778802681598,0.4495199159690083
leading_edge,B6,3000_5000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,1815,1815,1.0,0.17714285714285713,0.10023419822004603,0.6700830749091911
leading_edge,B4,3000_5000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,1727,1727,1.0,0.1884393063583815,0.19379660836741797,0.6931454394680603
trailing_sample,B2,1000_2000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,1554,1554,1.0,0.14629235020225,0.807294889782583,0.548017291965717
leading_edge,B2,ge7000,early,q_mid,amp_ge_7000,quiet_prepeak,saturation_edge,1541,1541,1.0,1.6243692237908942,0.3689677382626619,0.6291958556347006
leading_edge,B6,3000_5000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,1370,1370,1.0,0.18327521837775634,0.16355619872967708,0.6652080391401576
leading_edge,B2,ge7000,central,q_high,amp_ge_7000,quiet_prepeak,saturation_edge,1317,1317,1.0,0.93072790072918,0.5648436975509576,0.6307415634970306
trailing_sample,B2,5000_7000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,1308,1308,1.0,0.13087518915741259,0.3647160776360191,0.5965614609449421
trailing_sample,B2,ge7000,central,q_low,amp_ge_7000,quiet_prepeak,saturation_edge,1308,1308,1.0,0.13683765656140306,0.09244098510108834,0.5306249758805777
leading_edge,B4,3000_5000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,1222,1222,1.0,0.1705167836901455,0.2127817380792201,0.6666971897710624
leading_edge,B2,5000_7000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,1177,1177,1.0,0.2297360320865591,0.2549559931336945,0.4749970908204587
leading_edge,B8,3000_5000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,1157,1157,1.0,0.18246384297520662,0.10296171003032399,0.6759782209152911
leading_edge,B2,3000_5000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,1151,1151,1.0,0.25162362180939435,0.28083736690115446,0.4996019641851095
leading_edge,B2,5000_7000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,1110,1110,1.0,0.20425191920173869,0.18053707545308484,0.6147456906786253
leading_edge,B6,3000_5000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,889,889,1.0,0.1842870999030068,0.555242418040729,0.4637652022446127
trailing_sample,B2,ge7000,early,q_high,amp_ge_7000,quiet_prepeak,saturation_edge,821,821,1.0,0.9101912369886226,0.5515938537334594,0.8073334125728446
leading_edge,B6,3000_5000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,795,795,1.0,0.1928553267226036,0.18537495177283994,0.682734312779736
trailing_sample,B2,5000_7000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,700,700,1.0,0.17099881009089207,0.5519275965933353,0.5103795617208793
leading_edge,B4,2000_3000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,616,616,1.0,0.15692926582125455,0.48966784139202085,0.45190812333899855
leading_edge,B2,3000_5000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,592,592,1.0,0.1523422204745234,0.30326378169261786,0.3895889895370278
trailing_sample,B4,3000_5000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,588,588,1.0,0.09608558667621031,0.2974040783513918,0.6991510020311037
leading_edge,B2,3000_5000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,574,574,1.0,0.2608535406319384,0.5090235237777769,0.21954049452485097
leading_edge,B4,5000_7000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,565,565,1.0,0.23563902107409926,0.10127255873002504,0.6232650517931524
leading_edge,B2,5000_7000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,551,551,1.0,0.16412183228075786,0.23490933364949482,0.386691465671725
leading_edge,B2,5000_7000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,549,549,1.0,0.23021516298827224,0.49477244035944706,0.3900763292655439
leading_edge,B2,1000_2000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,547,547,1.0,0.3038012571086501,0.6688463769680822,0.3160388808598409
leading_edge,B2,3000_5000,central,q_mid,amp_lt_7000,negative_prepeak,ordinary,532,532,1.0,0.1803805564707333,0.2330138790285897,0.5236975306095244
trailing_sample,B4,1000_2000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,499,499,1.0,0.13001293661060803,0.7526367440798658,0.5927205140017047
leading_edge,B4,1000_2000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,491,491,1.0,0.2799107142857143,0.35649833484186166,0.5025719731239469
trailing_sample,B4,2000_3000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,484,484,1.0,0.14803316329978145,0.5172024448888112,0.6028505262866404
leading_edge,B2,2000_3000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,477,477,1.0,0.25379133930202813,0.3083204089844978,0.4758325467370942
leading_edge,B2,2000_3000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,468,468,1.0,0.09260978417039997,0.11766207300272435,0.6067010446370924
leading_edge,B2,2000_3000,central,q_mid,amp_lt_7000,negative_prepeak,ordinary,432,432,1.0,0.1950106499513145,0.24401239326342702,0.5115119196370316
leading_edge,B2,1000_2000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,419,419,1.0,0.32525252525252524,0.2747189545324322,0.502766845224151
leading_edge,B8,3000_5000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,413,413,1.0,0.18706452590124203,0.5511513729094651,0.45446316734029246
trailing_sample,B2,ge7000,early,q_mid,amp_ge_7000,negative_prepeak,saturation_edge,408,408,1.0,0.1087844885215527,0.3187707041777791,0.5636457131157787
leading_edge,B2,1000_2000,central,q_high,amp_lt_7000,negative_prepeak,ordinary,406,406,1.0,0.2741890726414775,0.6182943010533788,0.3353784559959395
leading_edge,B2,2000_3000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,406,406,1.0,0.0978056282751471,0.15223912976017429,0.6164976366392145
leading_edge,B4,2000_3000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,396,396,1.0,0.10641206828456354,0.18470008646555425,0.6560877486597475
leading_edge,B8,3000_5000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,396,396,1.0,0.1904631073698702,0.15360251605185704,0.6702794433339184
trailing_sample,B4,1000_2000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,377,377,1.0,0.20956937799043063,1.3092121739131468,0.3428027747492622
leading_edge,B6,2000_3000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,369,369,1.0,0.10498732037193576,0.18269282294556297,0.63281033291387
leading_edge,B8,3000_5000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,366,366,1.0,0.19598586044505462,0.2157530545385194,0.693145001106659
trailing_sample,B2,2000_3000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,364,364,1.0,0.31247442105122897,1.3701032179315158,0.0
trailing_sample,B4,3000_5000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,363,363,1.0,0.11014012354979659,0.3805169117458643,0.6880397501655968
leading_edge,B2,ge7000,late,q_mid,amp_ge_7000,quiet_prepeak,saturation_edge,353,353,1.0,0.1382712800947244,0.23700372665216116,0.3797772907046002
leading_edge,B2,2000_3000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,348,348,1.0,0.17332340440356744,0.48587732596048716,0.4510828665069281
leading_edge,B4,5000_7000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,341,341,1.0,0.23706935733115173,0.1747085484645873,0.6411208220723912
leading_edge,B6,2000_3000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,274,274,1.0,0.16113065002678373,0.4673486018448673,0.4634924151886294
leading_edge,B2,2000_3000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,261,261,1.0,0.2956081081081081,0.5029693306690075,0.2685302879841112
leading_edge,B6,1000_2000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,255,255,1.0,0.22487277353689566,0.3467293034530378,0.48409927825594956
leading_edge,B2,2000_3000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,251,251,1.0,0.09880692320618384,0.15096039632997832,0.6304468139302248
leading_edge,B4,3000_5000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,241,241,1.0,0.14650491045638359,0.39186216340160557,0.5860828175241402
trailing_sample,B6,2000_3000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,232,232,1.0,0.1424915249093967,0.5379401975728885,0.6081817587769147
leading_edge,B2,1000_2000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,224,224,1.0,0.0981006205384525,0.3927316938197627,0.5772519468259651
leading_edge,B2,ge7000,early,q_mid,amp_ge_7000,negative_prepeak,saturation_edge,214,214,1.0,0.22102603586494557,0.17263525836064353,0.49115273787903474
trailing_sample,B2,ge7000,early,q_high,amp_ge_7000,negative_prepeak,saturation_edge,196,196,1.0,1.775355688593132,0.4942556318736412,0.7001449649286944
leading_edge,B4,5000_7000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,195,195,1.0,0.2299360341151386,0.235532262704611,0.5885883934465163
leading_edge,B4,5000_7000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,190,190,1.0,0.23588677625996515,0.4662125734172645,0.38011300439901624
leading_edge,B2,5000_7000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,187,187,1.0,2.358332656211912,0.5861705973269814,0.34685489305572464
trailing_sample,B6,1000_2000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,185,185,1.0,0.12333447215579091,0.7770527387076251,0.5694997362457597
leading_edge,B2,3000_5000,central,q_low,amp_lt_7000,negative_prepeak,ordinary,184,184,1.0,0.19256442457606257,0.10869235612406085,0.6139972139762643
trailing_sample,B4,3000_5000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,183,183,1.0,0.1058459534277805,0.48557175410124154,0.6124067019681434
leading_edge,B2,5000_7000,central,q_high,amp_lt_7000,negative_prepeak,ordinary,177,177,1.0,2.2186768149882905,0.7382310593119041,0.4862076166290241
leading_edge,B8,5000_7000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,173,173,1.0,0.2403838334553143,0.1027451601521168,0.6251645593625093
trailing_sample,B6,3000_5000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,173,173,1.0,0.09785705437879351,0.291448026478501,0.6954044320932191
leading_edge,B2,5000_7000,central,q_mid,amp_lt_7000,negative_prepeak,ordinary,166,166,1.0,0.16879159161464674,0.22865694657622765,0.4838807753060554
trailing_sample,B4,5000_7000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,161,161,1.0,0.09459973378969386,0.293733047888893,0.6412146360990976
trailing_sample,B2,3000_5000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,158,158,1.0,0.08313106528005043,0.11472714306978543,0.6274969881569376
leading_edge,B2,ge7000,late,q_high,amp_ge_7000,quiet_prepeak,saturation_edge,155,155,1.0,0.25384034248300175,0.4813834003364068,0.3748459635038824
trailing_sample,B2,3000_5000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,145,145,1.0,1.8499271491015057,1.2092216502886497,0.4145437631830139
trailing_sample,B6,1000_2000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,144,144,1.0,0.18669372662811498,1.3328950318620068,0.45617460332161375
trailing_sample,B6,3000_5000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,144,144,1.0,0.10936584642535058,0.38737007660798617,0.6888033137362862
leading_edge,B4,5000_7000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,136,136,1.0,0.23640694965223885,0.3711029153798877,0.486782249183483
trailing_sample,B2,3000_5000,early,q_high,amp_lt_7000,quiet_prepeak,ordinary,132,132,1.0,0.1419164948352724,0.5049331324173171,0.26430433681651144
leading_edge,B2,3000_5000,early,q_low,amp_lt_7000,negative_prepeak,ordinary,130,130,1.0,0.25975520772870386,0.11145646630793132,0.6422362606700374
leading_edge,B6,5000_7000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,130,130,1.0,0.23747351688292634,0.08576763870949174,0.6275259518863233
leading_edge,B2,ge7000,central,q_high,amp_ge_7000,negative_prepeak,saturation_edge,124,124,1.0,1.8130000721581438,0.5292008430240078,0.5858576796864038
trailing_sample,B8,2000_3000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,124,124,1.0,0.15272095793600537,0.5776903018445532,0.6118713823028787
leading_edge,B4,2000_3000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,115,115,1.0,0.1056896551724138,0.1828351086244196,0.6635624564239312
trailing_sample,B2,2000_3000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,113,113,1.0,0.0994656093776935,0.36875677206235197,0.6169776527739225
leading_edge,B2,3000_5000,central,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,107,107,1.0,1.8658779576587796,1.2459635464068637,0.3259507829977628
leading_edge,B2,1000_2000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,106,106,1.0,0.48841013908559394,1.2022281085706883,0.2545512739600789
trailing_sample,B8,1000_2000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,104,104,1.0,0.15183026300209357,0.7621663637653981,0.5929832911207524
leading_edge,B2,3000_5000,central,q_high,amp_lt_7000,quiet_prepeak,ordinary,100,100,1.0,0.2031865755031144,0.42813165799426883,0.6543505123910109
trailing_sample,B2,5000_7000,early,q_high,amp_lt_7000,quiet_prepeak,ordinary,99,99,1.0,0.9917123090227732,0.5945506957329646,0.37320888741834324
leading_edge,B6,3000_5000,early,q_low,amp_lt_7000,quiet_prepeak,ordinary,98,98,1.0,0.1973278145897958,0.12512490274809698,0.7031205626882844
leading_edge,B2,5000_7000,central,q_high,amp_lt_7000,quiet_prepeak,ordinary,95,95,1.0,0.996329467038614,0.7223026172482214,0.6372806739832384
leading_edge,B2,1000_2000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,94,94,1.0,0.0949217707161984,0.38726543592353535,0.5848775678199172
trailing_sample,B4,2000_3000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,93,93,1.0,0.08948467966573816,0.3509544033075571,0.691655149665668
leading_edge,B2,2000_3000,late,q_high,amp_lt_7000,negative_prepeak,ordinary,92,92,1.0,0.3167888051168545,0.6801469686619248,0.37635551917866444
leading_edge,B2,5000_7000,early,q_low,amp_lt_7000,negative_prepeak,ordinary,92,92,1.0,0.2800543915026469,0.11327455673833561,0.604363105152318
leading_edge,B2,ge7000,early,q_low,amp_ge_7000,negative_prepeak,saturation_edge,92,92,1.0,0.21724890353960302,0.11111054316178262,0.527835943936983
trailing_sample,B8,3000_5000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,92,92,1.0,0.09625644913382077,0.3224524961058869,0.6984257379492576
leading_edge,B2,3000_5000,central,q_high,amp_lt_7000,negative_prepeak,ordinary,87,87,1.0,0.4069581444948014,0.6533948957704839,0.3361817098262862
leading_edge,B2,3000_5000,late,q_high,amp_lt_7000,negative_prepeak,ordinary,85,85,1.0,0.29073295985060693,0.6294591946438546,0.3463953579682767
trailing_sample,B8,3000_5000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,85,85,1.0,0.11540258526709235,0.3916482166463072,0.684139947878338
leading_edge,B2,3000_5000,early,q_high,amp_lt_7000,quiet_prepeak,ordinary,84,84,1.0,0.23121584346279278,0.45614542426198396,0.23250197680353768
leading_edge,B8,1000_2000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,81,81,1.0,0.2786377708978328,0.40029939434815986,0.49105056102900935
trailing_sample,B8,1000_2000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,81,81,1.0,0.1800860479409957,1.3548374406212975,0.35226571943898866
leading_edge,B2,2000_3000,central,q_high,amp_lt_7000,negative_prepeak,ordinary,79,79,1.0,0.26801944620587614,0.46642638427837424,0.3644192713049045
leading_edge,B8,2000_3000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,76,76,1.0,0.16030111667175506,0.5035761766432967,0.46775674359097286
leading_edge,B6,2000_3000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,74,74,1.0,0.10525587376264342,0.21469866217642913,0.6370435938728599
leading_edge,B8,2000_3000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,72,72,1.0,0.11265989970919511,0.1479234049391463,0.657730435287826
leading_edge,B8,3000_5000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,72,72,1.0,0.1880280427465027,0.39082380167250186,0.6002917769116642
trailing_sample,B2,ge7000,central,q_mid,amp_ge_7000,quiet_prepeak,saturation_edge,72,72,1.0,0.1455965113971608,0.2214483362314184,0.5260082685738933
leading_edge,B4,1000_2000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,71,71,1.0,0.10298241141983176,0.5586947499510644,0.3858906254321602
leading_edge,B2,1000_2000,late,q_high,amp_lt_7000,negative_prepeak,ordinary,69,69,1.0,0.3936617029400535,0.8024681895629908,0.36540723062540104
leading_edge,B2,2000_3000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,67,67,1.0,0.16364253010005086,0.30722446729598274,0.3536050874834222
trailing_sample,B8,3000_5000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,65,65,1.0,0.11007137192704203,0.4684417491524999,0.6474170648901526
trailing_sample,B6,3000_5000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,61,61,1.0,0.10280826339573919,0.48922441823501944,0.6076111429218306
leading_edge,B2,5000_7000,early,q_high,amp_lt_7000,quiet_prepeak,ordinary,58,58,1.0,2.60327778902964,0.6457495181550609,0.3659040385126644
leading_edge,B6,5000_7000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,57,57,1.0,0.23971682050362936,0.17028237678386937,0.6383093766381052
leading_edge,B4,2000_3000,central,q_mid,amp_lt_7000,negative_prepeak,ordinary,56,56,1.0,0.1010020742364615,0.3276217294896445,0.4973313793907604
leading_edge,B2,5000_7000,central,q_low,amp_lt_7000,negative_prepeak,ordinary,52,52,1.0,0.20082939415902412,0.11032497703304495,0.5503652252778791
leading_edge,B6,5000_7000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,52,52,1.0,0.24571515014546985,0.48446103763756,0.38314462916419667
leading_edge,B8,5000_7000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,49,49,1.0,0.24444001196768725,0.14303167414365336,0.5963911052011968
leading_edge,B6,3000_5000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,47,47,1.0,0.12617632491332342,0.393506646150993,0.5475708988631425
leading_edge,B8,5000_7000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,47,47,1.0,0.23366967604885822,0.20713028028869596,0.6321195209259073
trailing_sample,B2,1000_2000,central,q_high,amp_lt_7000,negative_prepeak,ordinary,44,44,1.0,0.15777966076695848,0.6444753186779462,0.2629682357876253
leading_edge,B4,3000_5000,early,q_low,amp_lt_7000,quiet_prepeak,ordinary,41,41,1.0,0.1820885279652293,0.12766491376767414,0.7136732090874987
leading_edge,B6,5000_7000,central,q_mid,amp_lt_7000,quiet_prepeak,ordinary,41,41,1.0,0.2373634870010631,0.15585227796303472,0.5995546062661589
leading_edge,B8,5000_7000,late,q_high,amp_lt_7000,quiet_prepeak,ordinary,41,41,1.0,0.22738995108937304,0.4613217903583317,0.3752414949150891
trailing_sample,B2,3000_5000,central,q_mid,amp_lt_7000,negative_prepeak,ordinary,40,40,1.0,0.14234889767363235,0.27071290413444404,0.3939621417315613
trailing_sample,B4,5000_7000,early,q_mid,amp_lt_7000,negative_prepeak,ordinary,40,40,1.0,0.11903604243787319,0.36918290876605936,0.6161175848238967
leading_edge,B2,1000_2000,central,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,39,39,1.0,0.632929104477612,1.207005423963921,0.23911845730027548
leading_edge,B2,1000_2000,late,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,39,39,1.0,0.6938053097345133,1.344696524431509,0.31359997605657863
leading_edge,B2,ge7000,early,q_high,amp_ge_7000,negative_prepeak,saturation_edge,38,38,1.0,1.8947942789584455,0.46703973672024074,0.5946602571665351
trailing_sample,B2,2000_3000,central,q_mid,amp_lt_7000,negative_prepeak,ordinary,38,38,1.0,0.13613980516724133,0.26782776549616916,0.4372744853393389
trailing_sample,B2,5000_7000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,35,35,1.0,0.10772889417360286,0.06596054326266428,0.5733971060787861
leading_edge,B2,2000_3000,central,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,34,34,1.0,2.7874431283312218,1.7949238046645446,0.29237113656997715
leading_edge,B2,1000_2000,central,q_high,amp_lt_7000,quiet_prepeak,ordinary,33,33,1.0,0.09982332155477032,0.4222633248740775,0.608640173581644
leading_edge,B2,ge7000,central,q_mid,amp_ge_7000,negative_prepeak,saturation_edge,33,33,1.0,0.14910465862880787,0.19225608245579354,0.4797216649751699
leading_edge,B2,ge7000,early,q_high,amp_ge_7000,quiet_prepeak,saturation_edge,33,33,1.0,1.7559601213697442,0.4683520603730567,0.6459903889332248
trailing_sample,B8,5000_7000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,32,32,1.0,0.0929413165528887,0.31992710877546515,0.6488113401804526
leading_edge,B4,3000_5000,late,q_low,amp_lt_7000,quiet_prepeak,ordinary,31,31,1.0,0.08422056252979501,0.10050410059061883,0.45574463836568607
leading_edge,B4,ge7000,early,q_low,amp_ge_7000,quiet_prepeak,saturation_edge,31,31,1.0,0.24527142369409355,0.06015269168697848,0.5868768709191361
leading_edge,B8,5000_7000,late,q_mid,amp_lt_7000,quiet_prepeak,ordinary,31,31,1.0,0.23470354233756394,0.36083804992218904,0.4933142766841272
leading_edge,B4,1000_2000,central,q_high,amp_lt_7000,negative_prepeak,ordinary,30,30,1.0,0.2969921249894719,0.5377686974403328,0.3660261592388836
leading_edge,B4,2000_3000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,29,29,1.0,0.09810254339927331,0.12520988531836125,0.6365093921350888
trailing_sample,B6,5000_7000,early,q_mid,amp_lt_7000,quiet_prepeak,ordinary,29,29,1.0,0.11885620317924356,0.3088385777915843,0.6421468149421556
leading_edge,B2,3000_5000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,28,28,1.0,4.084263458736425,1.148813145516711,0.27135473849125324
leading_edge,B8,2000_3000,central,q_low,amp_lt_7000,quiet_prepeak,ordinary,28,28,1.0,0.0905783046509103,0.12505624148099997,0.6432789664517289
leading_edge,B4,2000_3000,central,q_high,amp_lt_7000,negative_prepeak,ordinary,27,27,1.0,0.10583153347732181,0.5006678138555944,0.38449524189144735
leading_edge,B2,1000_2000,central,q_mid,amp_lt_7000,negative_prepeak,ordinary,26,26,1.0,0.12525091411131611,0.3875116457771858,0.45928464933962354
leading_edge,B4,2000_3000,early,q_high,amp_lt_7000,negative_prepeak,ordinary,26,26,1.0,0.09383644795839977,0.51339511902546,0.4175805125121902
leading_edge,B4,5000_7000,early,q_low,amp_lt_7000,quiet_prepeak,ordinary,26,26,1.0,0.20669077041847975,0.129534149922001,0.6821836685694643
trailing_sample,B2,ge7000,late,q_mid,amp_ge_7000,quiet_prepeak,saturation_edge,25,25,1.0,0.13707767111332753,0.28037549808365975,0.39082276084631856
leading_edge,B2,3000_5000,late,q_mid,amp_lt_7000,negative_prepeak,ordinary,24,24,1.0,0.17110830870975335,0.34514719007953243,0.3898956603104412
leading_edge,B2,2000_3000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,21,21,1.0,0.6855314960629921,1.2263007273731186,0.22854224897871422
leading_edge,B4,1000_2000,early,q_extreme,amp_lt_7000,negative_prepeak,qtemplate_outlier,21,21,1.0,0.1046831955922865,1.170342616442926,0.34267654751525717
