base_method,shuffle_mode,scope,stratum,count,mean,std,min,max,p95
ML residual masked-denoising AE-4,within_topology,heldout_run,65,10,0.2325838125774125,0.005181382670722248,0.2243303805832872,0.24177576643859194,0.241088824347091
ML residual masked-denoising AE-4,within_topology,overall,,10,0.2560466431260039,0.005080351674902437,0.24660626807773828,0.26241270231604535,0.2619253918648747
ML residual masked-denoising AE-4,within_topology,topology,pair,10,0.2304275833549571,0.005713757630189014,0.2222865493007795,0.2413151619036977,0.23907712899880965
ML residual masked-denoising AE-4,within_topology,topology,quad,10,0.25627998491579224,0.014713798482028013,0.23386811530376916,0.28491121805509456,0.27965616543057004
ML residual masked-denoising AE-4,within_topology,topology,single,10,0.3081230896543792,0.005959406619652004,0.2970463559621421,0.31657145394083325,0.31653767832676527
ML residual masked-denoising AE-4,within_topology,topology,triple,10,0.2429647732653637,0.00988797152095842,0.23078752485213347,0.2615405813189906,0.2597158853189191
traditional residual PCA+hand,global,heldout_run,42,10,0.23501516014760354,0.02660413957432159,0.18669166084308542,0.27353179164371594,0.26624965676111617
traditional residual PCA+hand,global,heldout_run,57,10,0.23548541834182077,0.027143764077168665,0.172849124452783,0.2630518292682927,0.2623928856204771
traditional residual PCA+hand,global,heldout_run,64,10,0.2590855106001912,0.032483838834477245,0.18684889468160737,0.289203843506325,0.28671245343121843
traditional residual PCA+hand,global,heldout_run,65,10,0.2652536982914181,0.029553015887713745,0.19729439989522501,0.30192434681085834,0.30151786997709445
traditional residual PCA+hand,global,overall,,10,0.2501949501912785,0.022388941800142607,0.19745291211022142,0.2727442518908375,0.2727190671883732
traditional residual PCA+hand,global,topology,pair,10,0.22630026822650184,0.02425464957400529,0.1774496654458841,0.2729757509999361,0.2600923870343502
traditional residual PCA+hand,global,topology,quad,10,0.25287646427446875,0.03422387583381516,0.21526257478277888,0.30353577340073357,0.29609841062660097
traditional residual PCA+hand,global,topology,single,10,0.23307087358638334,0.040456283767392354,0.14876630090303003,0.29096117308390573,0.285788988111989
traditional residual PCA+hand,global,topology,triple,10,0.23449230315076125,0.03089650309510415,0.18720878716986897,0.278317775290313,0.27365981955985397
traditional residual PCA+hand,within_run,heldout_run,42,10,0.2849084286162854,0.012601108148151744,0.26825021329637255,0.30421463658914694,0.3014658696641987
traditional residual PCA+hand,within_run,heldout_run,57,10,0.26728808965424816,0.009807402371756408,0.25490280755829536,0.29114633029572057,0.2823774412579291
traditional residual PCA+hand,within_run,heldout_run,64,10,0.23641146547179756,0.010491827094599091,0.2185175127635942,0.24476496689606475,0.24475024132744602
traditional residual PCA+hand,within_run,heldout_run,65,10,0.20110684858016215,0.011550949951300326,0.18709695609710317,0.22180400456219493,0.22037723451425825
traditional residual PCA+hand,within_run,overall,,10,0.25482696633177493,0.007599533811552526,0.24635515738190059,0.2692003037210837,0.2671069328476314
traditional residual PCA+hand,within_run,topology,pair,10,0.25034736755336223,0.00817129513781974,0.2325232619943124,0.2623276879090056,0.2597194538842867
traditional residual PCA+hand,within_run,topology,quad,10,0.27790642259610066,0.011271552314852938,0.2543843132749538,0.29174139625724427,0.2901296305751998
traditional residual PCA+hand,within_run,topology,single,10,0.2607226083342985,0.008588713102959588,0.23930001435676856,0.2685907969143724,0.26845094341101305
traditional residual PCA+hand,within_run,topology,triple,10,0.22063640286792166,0.011452759158082792,0.20262117889133138,0.23689607977824634,0.2344650438930746
traditional residual PCA+hand,within_run_topology,heldout_run,42,10,0.3515437740013484,0.006540734496480265,0.3410496229032905,0.36043227448115506,0.36013625511479597
traditional residual PCA+hand,within_run_topology,heldout_run,57,10,0.32993775574019474,0.007247779342087581,0.31848516930224247,0.3386492785669615,0.3383930905476637
traditional residual PCA+hand,within_run_topology,heldout_run,64,10,0.3195557611486993,0.004066184948068821,0.3123640280242907,0.32437903884936625,0.3242845022077351
traditional residual PCA+hand,within_run_topology,heldout_run,65,10,0.2876298457825436,0.006154835878488601,0.27824289433237975,0.294801268400847,0.2946134924341033
traditional residual PCA+hand,within_run_topology,overall,,10,0.3291053017710124,0.0032386654976535798,0.3245103716804276,0.3334694228377959,0.3332196565951245
traditional residual PCA+hand,within_run_topology,topology,pair,10,0.25068000072560187,0.0049208907721006905,0.2429559250389722,0.25961372851989395,0.2573335249268564
traditional residual PCA+hand,within_run_topology,topology,quad,10,0.2857735735956156,0.006067103397992477,0.2775375881862357,0.2946642274502796,0.2937745730041615
traditional residual PCA+hand,within_run_topology,topology,single,10,0.2843513421273297,0.004676687415724592,0.27873626614256236,0.2928108335357973,0.2915128331231527
traditional residual PCA+hand,within_run_topology,topology,triple,10,0.29013731247143343,0.009482787000875114,0.27968931011477954,0.31028796206422116,0.30490954891689126
traditional residual PCA+hand,within_topology,heldout_run,42,10,0.34245092752645634,0.005039464238044555,0.33273819892225864,0.3507361251634744,0.34820419406216735
traditional residual PCA+hand,within_topology,heldout_run,57,10,0.33028869270972927,0.004458765072971066,0.32004945054945055,0.33507302555168406,0.33496473186366477
traditional residual PCA+hand,within_topology,heldout_run,64,10,0.3253364673659843,0.008164784231851775,0.30617367918764377,0.33534694326628717,0.3350588338419426
traditional residual PCA+hand,within_topology,heldout_run,65,10,0.29687654762867766,0.004236286554593809,0.2928652688728948,0.305079205453903,0.3037139322212195
traditional residual PCA+hand,within_topology,overall,,10,0.3328983610401698,0.005105071539737311,0.3215978359711142,0.3393384992647048,0.3389593548746486
traditional residual PCA+hand,within_topology,topology,pair,10,0.26654997499227906,0.010573058678662487,0.24618468394347243,0.28109394785414576,0.27963271180520805
traditional residual PCA+hand,within_topology,topology,quad,10,0.2531186174015165,0.010743256841750556,0.24389757099577045,0.2802060462355434,0.2708229682593377
traditional residual PCA+hand,within_topology,topology,single,10,0.2828950399639071,0.004382194711864239,0.2771179872275562,0.29107323230906806,0.28902515904679876
traditional residual PCA+hand,within_topology,topology,triple,10,0.32070501980849825,0.009624163957595211,0.3028854575011479,0.3325653019210663,0.3325473580083021
