method,base_method,shuffle_mode,seed,scope,metric,value,macro_f1,train_rows,heldout_rows,stratum
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7008,overall,balanced_accuracy,0.2510581875429231,0.17597924770264123,82118.0,11998,
,traditional residual PCA+hand,within_run,7008,heldout_run,balanced_accuracy,0.2731517475501313,,,2635,42
,traditional residual PCA+hand,within_run,7008,heldout_run,balanced_accuracy,0.2575419123559367,,,2559,57
,traditional residual PCA+hand,within_run,7008,heldout_run,balanced_accuracy,0.24363041032114122,,,4034,64
,traditional residual PCA+hand,within_run,7008,heldout_run,balanced_accuracy,0.18709695609710317,,,2770,65
,traditional residual PCA+hand,within_run,7008,topology,balanced_accuracy,0.2655283800745558,,,6121,single
,traditional residual PCA+hand,within_run,7008,topology,balanced_accuracy,0.24800162136992912,,,2764,pair
,traditional residual PCA+hand,within_run,7008,topology,balanced_accuracy,0.21809962130945534,,,1920,triple
,traditional residual PCA+hand,within_run,7008,topology,balanced_accuracy,0.29174139625724427,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7009,overall,balanced_accuracy,0.24780655169935567,0.19620073653262318,82118.0,11998,
,traditional residual PCA+hand,within_run,7009,heldout_run,balanced_accuracy,0.2899107104910098,,,2635,42
,traditional residual PCA+hand,within_run,7009,heldout_run,balanced_accuracy,0.2671341240060752,,,2559,57
,traditional residual PCA+hand,within_run,7009,heldout_run,balanced_accuracy,0.2185175127635942,,,4034,64
,traditional residual PCA+hand,within_run,7009,heldout_run,balanced_accuracy,0.19492661705262176,,,2770,65
,traditional residual PCA+hand,within_run,7009,topology,balanced_accuracy,0.2656929125655042,,,6121,single
,traditional residual PCA+hand,within_run,7009,topology,balanced_accuracy,0.2325232619943124,,,2764,pair
,traditional residual PCA+hand,within_run,7009,topology,balanced_accuracy,0.23689607977824634,,,1920,triple
,traditional residual PCA+hand,within_run,7009,topology,balanced_accuracy,0.2543843132749538,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_run,7010,overall,balanced_accuracy,0.2692003037210837,0.19919430657558246,82118.0,11998,
,traditional residual PCA+hand,within_run,7010,heldout_run,balanced_accuracy,0.30421463658914694,,,2635,42
,traditional residual PCA+hand,within_run,7010,heldout_run,balanced_accuracy,0.29114633029572057,,,2559,57
,traditional residual PCA+hand,within_run,7010,heldout_run,balanced_accuracy,0.243497112775846,,,4034,64
,traditional residual PCA+hand,within_run,7010,heldout_run,balanced_accuracy,0.21863340445566898,,,2770,65
,traditional residual PCA+hand,within_run,7010,topology,balanced_accuracy,0.2685907969143724,,,6121,single
,traditional residual PCA+hand,within_run,7010,topology,balanced_accuracy,0.25403869925454986,,,2764,pair
,traditional residual PCA+hand,within_run,7010,topology,balanced_accuracy,0.23149377781119806,,,1920,triple
,traditional residual PCA+hand,within_run,7010,topology,balanced_accuracy,0.28706095700681666,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7001,overall,balanced_accuracy,0.33470793903942714,0.3164610869213925,82118.0,11998,
,traditional residual PCA+hand,within_topology,7001,heldout_run,balanced_accuracy,0.3507361251634744,,,2635,42
,traditional residual PCA+hand,within_topology,7001,heldout_run,balanced_accuracy,0.3327648977039221,,,2559,57
,traditional residual PCA+hand,within_topology,7001,heldout_run,balanced_accuracy,0.32661786516292424,,,4034,64
,traditional residual PCA+hand,within_topology,7001,heldout_run,balanced_accuracy,0.2944822258944833,,,2770,65
,traditional residual PCA+hand,within_topology,7001,topology,balanced_accuracy,0.28149450492098954,,,6121,single
,traditional residual PCA+hand,within_topology,7001,topology,balanced_accuracy,0.2631281548669663,,,2764,pair
,traditional residual PCA+hand,within_topology,7001,topology,balanced_accuracy,0.31941973102959187,,,1920,triple
,traditional residual PCA+hand,within_topology,7001,topology,balanced_accuracy,0.24711506548546044,,,1193,quad
traditional residual PCA+hand shuffled labels,traditional residual PCA+hand,within_topology,7002,overall,balanced_accuracy,0.32954563547225246,0.31126253745307797,82118.0,11998,
,traditional residual PCA+hand,within_topology,7002,heldout_run,balanced_accuracy,0.34114980594523336,,,2635,42
,traditional residual PCA+hand,within_topology,7002,heldout_run,balanced_accuracy,0.33026167024032876,,,2559,57
,traditional residual PCA+hand,within_topology,7002,heldout_run,balanced_accuracy,0.3205764703322001,,,4034,64
,traditional residual PCA+hand,within_topology,7002,heldout_run,balanced_accuracy,0.2928652688728948,,,2770,65
