heldout_run,architecture,control,size,weight_decay,fold,sigma68_ns,n_pair_residuals,pred_sigma_median_ns
60,cnn,true_waveform,8,0.001,0,1.1470932257455164,2799,1.960724949836731
60,cnn,true_waveform,8,0.001,1,1.2471454962613122,2838,2.0609461069107056
60,cnn,true_waveform,8,0.001,2,1.3164601474051874,3399,1.9290505647659302
60,cnn,true_waveform,8,0.001,-1,1.2368996231373386,0,
61,mlp,true_waveform,16,0.001,0,1.1713862535967121,2622,1.5350841283798218
61,mlp,true_waveform,16,0.001,1,1.1384244084477473,2640,1.505419909954071
61,mlp,true_waveform,16,0.001,2,1.2421162281248384,3399,1.3596820831298828
61,mlp,true_waveform,16,0.001,-1,1.1839756300564326,0,
61,mlp,true_waveform,32,0.001,0,1.1683793338560315,2622,1.5142101645469666
61,mlp,true_waveform,32,0.001,1,1.1225677606978963,2640,1.3340631127357483
61,mlp,true_waveform,32,0.001,2,1.2167988615457472,3399,1.2692644596099854
61,mlp,true_waveform,32,0.001,-1,1.169248652033225,0,
61,cnn,true_waveform,4,0.001,0,1.1955225622031376,2622,2.061531901359558
61,cnn,true_waveform,4,0.001,1,1.1386986212762513,2640,1.9087509512901306
61,cnn,true_waveform,4,0.001,2,1.2414041345626297,3399,1.8630414009094238
61,cnn,true_waveform,4,0.001,-1,1.1918751060140063,0,
61,cnn,true_waveform,8,0.001,0,1.1264710154404496,2622,1.835852324962616
61,cnn,true_waveform,8,0.001,1,1.09888145261345,2640,1.8283892273902893
61,cnn,true_waveform,8,0.001,2,1.2107664018099455,3399,1.748911738395691
61,cnn,true_waveform,8,0.001,-1,1.1453729566212818,0,
62,mlp,true_waveform,16,0.001,0,1.2926696683983179,2799,1.4220993518829346
62,mlp,true_waveform,16,0.001,1,1.2273326769431732,2841,1.5454047918319702
62,mlp,true_waveform,16,0.001,2,1.3116081261988368,3399,1.4833725690841675
62,mlp,true_waveform,16,0.001,-1,1.2772034905134426,0,
62,mlp,true_waveform,32,0.001,0,1.2844642727710034,2799,1.461383581161499
62,mlp,true_waveform,32,0.001,1,1.1971228451155567,2841,1.5168108940124512
62,mlp,true_waveform,32,0.001,2,1.2605415221595493,3399,1.4065500497817993
62,mlp,true_waveform,32,0.001,-1,1.2473762133487032,0,
62,cnn,true_waveform,4,0.001,0,1.2081305087881278,2799,1.8637689352035522
62,cnn,true_waveform,4,0.001,1,1.3868898017136906,2841,2.104891538619995
62,cnn,true_waveform,4,0.001,2,1.479283824133958,3399,2.038785219192505
62,cnn,true_waveform,4,0.001,-1,1.3581013782119253,0,
62,cnn,true_waveform,8,0.001,0,1.1725879290656103,2799,1.8164743185043335
62,cnn,true_waveform,8,0.001,1,1.2858071433353722,2841,2.0516324043273926
62,cnn,true_waveform,8,0.001,2,1.443418096926008,3399,1.8779019117355347
62,cnn,true_waveform,8,0.001,-1,1.3006043897756634,0,
63,mlp,true_waveform,16,0.001,0,1.166786715758826,2799,1.4643466472625732
63,mlp,true_waveform,16,0.001,1,1.2982812614477175,2841,1.6812536716461182
63,mlp,true_waveform,16,0.001,2,1.3912235991162132,4710,1.5663444995880127
63,mlp,true_waveform,16,0.001,-1,1.2854305254409188,0,
63,mlp,true_waveform,32,0.001,0,1.1717583560850104,2799,1.4299073219299316
63,mlp,true_waveform,32,0.001,1,1.2617740582354064,2841,1.498801827430725
63,mlp,true_waveform,32,0.001,2,1.2365760546636189,4710,1.4668942093849182
63,mlp,true_waveform,32,0.001,-1,1.2233694896613452,0,
63,cnn,true_waveform,4,0.001,0,1.2078658205354542,2799,1.8575853109359741
63,cnn,true_waveform,4,0.001,1,1.2620676613722714,2841,2.021613359451294
63,cnn,true_waveform,4,0.001,2,1.3603702891165228,4710,1.84954035282135
63,cnn,true_waveform,4,0.001,-1,1.2767679236747493,0,
63,cnn,true_waveform,8,0.001,0,1.2344795989272588,2799,1.731809377670288
63,cnn,true_waveform,8,0.001,1,1.2284273494991538,2841,1.9832066297531128
63,cnn,true_waveform,8,0.001,2,1.4165598348340689,4710,1.9249629974365234
63,cnn,true_waveform,8,0.001,-1,1.2931555944201605,0,
65,mlp,true_waveform,16,0.001,0,1.1478431356887766,3018,1.674895703792572
65,mlp,true_waveform,16,0.001,1,1.0568272087567605,3534,1.6858761310577393
65,mlp,true_waveform,16,0.001,2,1.2840604754693092,4710,1.6119244694709778
65,mlp,true_waveform,16,0.001,-1,1.1629102733049488,0,
65,mlp,true_waveform,32,0.001,0,1.2114423663035723,3018,1.4218830466270447
65,mlp,true_waveform,32,0.001,1,1.2320530476429947,3534,1.4821181297302246
65,mlp,true_waveform,32,0.001,2,1.2022262922630615,4710,1.48178368806839
65,mlp,true_waveform,32,0.001,-1,1.2152405687365428,0,
65,cnn,true_waveform,4,0.001,0,1.1538640671317986,3018,1.9060252904891968
65,cnn,true_waveform,4,0.001,1,1.2949261855601952,3534,2.028108239173889
65,cnn,true_waveform,4,0.001,2,1.1429121844954848,4710,1.9704400897026062
65,cnn,true_waveform,4,0.001,-1,1.1972341457291595,0,
65,cnn,true_waveform,8,0.001,0,1.243683393733026,3018,1.8479174971580505
65,cnn,true_waveform,8,0.001,1,1.3068384724290487,3534,1.99294912815094
65,cnn,true_waveform,8,0.001,2,1.39293467833995,4710,1.9459947347640991
65,cnn,true_waveform,8,0.001,-1,1.3144855148340084,0,
