method,architecture,control,size,weight_decay,n_features,feature_names_sha256,seq_scaler_mean_sha256,tab_scaler_mean_sha256,heldout_run,cv_sigma68_ns
cnn_run_only,cnn,run_only,8,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,a2a31af8a06e9c53a5356a355634335d86ac4dadbdef237bdd4b2ecb687d2b14,58,1.278469609376756
cnn_shuffled_target,cnn,shuffled_target,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,0374951ca49d74319fc54801cdc7014402474bfc20cbcd38e37a3701f811b274,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,58,1.278469609376756
mlp_true_waveform,mlp,true_waveform,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,59,1.265923756369781
mlp_amplitude_only,mlp,amplitude_only,32,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,f32e0bbd40a5c24423a1c6bfba4c9ecff39f168ee6a0d102c193a02cc06cfe54,59,1.265923756369781
mlp_phase_scrambled,mlp,phase_scrambled,32,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,737c372638eccdcedb31260133329bb0a56ba47604eca896b409a3ace5f39c8c,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,59,1.265923756369781
mlp_sample_permuted,mlp,sample_permuted,32,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,8b4ae06387badb9ba0868220e402f9dd2ef1ccd02c88c219f3779009d4624d06,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,59,1.265923756369781
mlp_run_only,mlp,run_only,32,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,90b41992bf9a0783201b376fca9e47e434e7fc306f178ca6fc9c83275253010b,59,1.265923756369781
mlp_shuffled_target,mlp,shuffled_target,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,59,1.265923756369781
cnn_true_waveform,cnn,true_waveform,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,59,1.3341359561352943
cnn_amplitude_only,cnn,amplitude_only,8,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,f32e0bbd40a5c24423a1c6bfba4c9ecff39f168ee6a0d102c193a02cc06cfe54,59,1.3341359561352943
cnn_phase_scrambled,cnn,phase_scrambled,8,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,d942197a6c049d1fff2cf20a201cb7fe9aadf6c6ba353c552122860b804846ac,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,59,1.3341359561352943
cnn_sample_permuted,cnn,sample_permuted,8,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,58473fce95dbb5e1f956503fd2bc756c35546924a48531b81898afc012948f16,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,59,1.3341359561352943
cnn_run_only,cnn,run_only,8,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,90b41992bf9a0783201b376fca9e47e434e7fc306f178ca6fc9c83275253010b,59,1.3341359561352943
cnn_shuffled_target,cnn,shuffled_target,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,64044ae740834c9bbe6c34fff7ca79dae151900025346daf37ee805698b5a945,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,59,1.3341359561352943
mlp_true_waveform,mlp,true_waveform,16,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,60,1.204589342665458
mlp_amplitude_only,mlp,amplitude_only,16,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,378a79a6d3c9efcecc2919e901bd586f6b007ec470b26073bb10127abab526d4,60,1.204589342665458
mlp_phase_scrambled,mlp,phase_scrambled,16,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,61f70b3ce43bfcb23c7f2ffe0c7a7a97beab13685d798472e47fd0b88dde18b0,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,60,1.204589342665458
mlp_sample_permuted,mlp,sample_permuted,16,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,1c820aeb21a62710944a618af58c62ea11ac070e81ba7ff1b60fc555df5fbc27,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,60,1.204589342665458
mlp_run_only,mlp,run_only,16,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,9e576e3c4a7283ffbd9c753d8e12258176d5e1d3be5742e8e3332fd320d3a27d,60,1.204589342665458
mlp_shuffled_target,mlp,shuffled_target,16,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,60,1.204589342665458
cnn_true_waveform,cnn,true_waveform,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,60,1.2368996231373386
cnn_amplitude_only,cnn,amplitude_only,8,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,378a79a6d3c9efcecc2919e901bd586f6b007ec470b26073bb10127abab526d4,60,1.2368996231373386
cnn_phase_scrambled,cnn,phase_scrambled,8,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,d0900ab7b761be5fa2db88131b76aae4780eb51390669c009adfbceaa7f9d16f,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,60,1.2368996231373386
cnn_sample_permuted,cnn,sample_permuted,8,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,b1277f89285d24e5bcc9ccd68a1c6cb0aced8307384c6517e6799506e220bef0,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,60,1.2368996231373386
cnn_run_only,cnn,run_only,8,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,9e576e3c4a7283ffbd9c753d8e12258176d5e1d3be5742e8e3332fd320d3a27d,60,1.2368996231373386
cnn_shuffled_target,cnn,shuffled_target,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,e9090a0a33307c6457fe9e1d971309b634df2711af0e208f324b265b79c95163,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,60,1.2368996231373386
mlp_true_waveform,mlp,true_waveform,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,61,1.169248652033225
mlp_amplitude_only,mlp,amplitude_only,32,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,c20cefd9c50bfad7474e19edbf44c4b8529c6749b8c717f8458b8d2c35dc597f,61,1.169248652033225
mlp_phase_scrambled,mlp,phase_scrambled,32,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,371b363212c1523590e6bb0835799482a3983a6d19ba72cf6c3ab499b7b4c4a6,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,61,1.169248652033225
mlp_sample_permuted,mlp,sample_permuted,32,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,5e6271a7270388c9511871d621c46e05e271d30c67eed5a56d586cd0e799b3b2,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,61,1.169248652033225
mlp_run_only,mlp,run_only,32,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,728dd98f16e15411c2a02505542d861cf8ddb81b000e32daf7c6dda00f10d7e7,61,1.169248652033225
mlp_shuffled_target,mlp,shuffled_target,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,61,1.169248652033225
cnn_true_waveform,cnn,true_waveform,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,61,1.1453729566212818
cnn_amplitude_only,cnn,amplitude_only,8,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,c20cefd9c50bfad7474e19edbf44c4b8529c6749b8c717f8458b8d2c35dc597f,61,1.1453729566212818
cnn_phase_scrambled,cnn,phase_scrambled,8,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,c6e5d9214d8046f70649f4675bca7159611053707452be81eb388716e94c8382,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,61,1.1453729566212818
cnn_sample_permuted,cnn,sample_permuted,8,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,a07b81d4ae07e4f9f6745521bc7019471b3af5b521961ec580c4666aae2f88db,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,61,1.1453729566212818
cnn_run_only,cnn,run_only,8,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,728dd98f16e15411c2a02505542d861cf8ddb81b000e32daf7c6dda00f10d7e7,61,1.1453729566212818
cnn_shuffled_target,cnn,shuffled_target,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,013994ba6e2f19cb1ded7146f300c5000f5ab3081bebc4961847fe557bd9f14f,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,61,1.1453729566212818
mlp_true_waveform,mlp,true_waveform,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,62,1.2473762133487032
mlp_amplitude_only,mlp,amplitude_only,32,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,dbe6f4e15bb1b3936e60be2b3dac94aec3514df2a8354e93873003057d77a52f,62,1.2473762133487032
mlp_phase_scrambled,mlp,phase_scrambled,32,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,7e905ed9eaac6cc9259018e2e4fc2ffa39edb6adb36716e18cdbcb311e1077b2,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,62,1.2473762133487032
mlp_sample_permuted,mlp,sample_permuted,32,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,06f1648ed5a1217b1f7e828e866b0604848fb7e14cc23af38e8dea0a96656ec5,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,62,1.2473762133487032
mlp_run_only,mlp,run_only,32,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,e422d46a69bbb98e479c958cfad3d726baccefeb89d85baa579b1a6ada9d400d,62,1.2473762133487032
mlp_shuffled_target,mlp,shuffled_target,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,62,1.2473762133487032
cnn_true_waveform,cnn,true_waveform,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,62,1.3006043897756634
cnn_amplitude_only,cnn,amplitude_only,8,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,dbe6f4e15bb1b3936e60be2b3dac94aec3514df2a8354e93873003057d77a52f,62,1.3006043897756634
cnn_phase_scrambled,cnn,phase_scrambled,8,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,3bc377d1f4da0c2b91e35d8a6acad010e5647e7b58257e1ae73a6a88163ac9bd,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,62,1.3006043897756634
cnn_sample_permuted,cnn,sample_permuted,8,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,fe648ed2b1d11a7fbb9f4ebd840c8407d10cf0f3075372162818969f0468b19f,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,62,1.3006043897756634
cnn_run_only,cnn,run_only,8,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,e422d46a69bbb98e479c958cfad3d726baccefeb89d85baa579b1a6ada9d400d,62,1.3006043897756634
cnn_shuffled_target,cnn,shuffled_target,8,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,1cadf343630db41222e929033698ae52e0398be3e9b064d9a85aa78270f981a5,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,62,1.3006043897756634
mlp_true_waveform,mlp,true_waveform,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,63,1.2233694896613452
mlp_amplitude_only,mlp,amplitude_only,32,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,e88a6c4002d142aa8760d2023671a3558ce5267c16837d855733e85fdea9d96d,63,1.2233694896613452
mlp_phase_scrambled,mlp,phase_scrambled,32,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,53bfca1e881983bb73595778bf150d99cb0b5ef283030b453fc1e02f2251049e,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,63,1.2233694896613452
mlp_sample_permuted,mlp,sample_permuted,32,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,3c85e67bd12f21a45dc44a7be982eb3ccb0845e40b7b89a7a48d946859de56c3,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,63,1.2233694896613452
mlp_run_only,mlp,run_only,32,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,099527b30e4b68e7b18f78786c49e98c2aaebf31ecaad048af99f43878b76d99,63,1.2233694896613452
mlp_shuffled_target,mlp,shuffled_target,32,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,63,1.2233694896613452
cnn_true_waveform,cnn,true_waveform,4,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,63,1.2767679236747493
cnn_amplitude_only,cnn,amplitude_only,4,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,e88a6c4002d142aa8760d2023671a3558ce5267c16837d855733e85fdea9d96d,63,1.2767679236747493
cnn_phase_scrambled,cnn,phase_scrambled,4,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,6e206adfb51376cc20127628c0141dbf97fdf2f3e4be1e912f6eabf6f85dde64,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,63,1.2767679236747493
cnn_sample_permuted,cnn,sample_permuted,4,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,7c9594a709410ff489c57723d99cc7566393c55d8b85d6aa175affd488906f42,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,63,1.2767679236747493
cnn_run_only,cnn,run_only,4,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,099527b30e4b68e7b18f78786c49e98c2aaebf31ecaad048af99f43878b76d99,63,1.2767679236747493
cnn_shuffled_target,cnn,shuffled_target,4,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,f8b12abfd04d184557b1ebb9d0d1681ed3c68f251c23121956e6699358476727,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,63,1.2767679236747493
mlp_true_waveform,mlp,true_waveform,16,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,65,1.1629102733049488
mlp_amplitude_only,mlp,amplitude_only,16,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,2b762f33a1d45129d2ff39c21189d20e4feefcdeb54c4ca7be083692be14704e,65,1.1629102733049488
mlp_phase_scrambled,mlp,phase_scrambled,16,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,52deee327383b07cca9a28a0d12fbeb8cbf5ca036d9c0be0975143b0d0250988,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,65,1.1629102733049488
mlp_sample_permuted,mlp,sample_permuted,16,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,fce9ac72a50283fe6d2aa66fb41cbb41ebaea5eb9c4bbf11abb411e16c3f2481,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,65,1.1629102733049488
mlp_run_only,mlp,run_only,16,0.001,25,81bd9c8709ed205a5a3eb3595e5419e8fd6a332a41b5d9eae52d7a3f8270cb3c,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,b731614dab65c986fd85ee350b8267c94f8d2e10d563c640d34744dce053589a,65,1.1629102733049488
mlp_shuffled_target,mlp,shuffled_target,16,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,65,1.1629102733049488
cnn_true_waveform,cnn,true_waveform,4,0.001,21,ebf137675b8eeac015ef1666c250796b9870011e4c5a09153be882c43e5b1996,a9ac1080d854c35be89c73f161660a65e96635dff19747d5dd3c87c83cc40705,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,65,1.1972341457291595
cnn_amplitude_only,cnn,amplitude_only,4,0.001,24,0cf47daf2d1ee25efd83442c7b50ece6721e3e009ccb8ca749f88f28ea486727,81c611f35bff79491538b2f7cf201c7597a661a5c549633541c62bdc8af1613f,2b762f33a1d45129d2ff39c21189d20e4feefcdeb54c4ca7be083692be14704e,65,1.1972341457291595
cnn_phase_scrambled,cnn,phase_scrambled,4,0.001,21,57956677943e46ade8e20f9258060e2c1ea1a3280aa7c12ac60e7018e10cdc72,1ef2914261021337c565e42446e9ecf8ea58c99c981f05f468f22e62fe5fa356,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,65,1.1972341457291595
cnn_sample_permuted,cnn,sample_permuted,4,0.001,21,3f166e240fcf009a2946cc52285761e6d75afe77754fb65b2912988aff2fc106,57705532ce3d060a0e1ccb083cf584dba782c27958f744cc145ecd8de7fb5da3,ab5d3ff1118f719ee016c1422fcbb65eeaa08f19e62a86167ee12cdfe0fe32ad,65,1.1972341457291595
