run,event_index,eventno,evt,stave,taxon,broad_source,amplitude_adc,q_template_rmse,width_half,area_norm,charge_score,baseline_score,pileup_score,timing_score,baseline_lowering_score,label_broad_veto_like,label_broad_charge_outlier,label_broad_downstream_risk,prop_baseline_lowering,traditional_robust_broad_veto_score,ridge_scalar_score,gradient_boosted_trees_score,mlp_scalar_nn_score,cnn1d_waveform_nn_score,hybrid_gated_cnn_tabular_score
62,12996,551063,10839,B2,unassigned_common,not_broad_rule,1812.0,0.6674868,6,1.3101547,8.109034603653775,319.16902738432486,1.1706890060721509,-5.9654246922519745,-70.53867878139101,False,False,False,False,1.0,1.0,0.33515295,0.8611293,0.112430476,0.7684684
60,16373,481829,12229,B2,unassigned_common,not_broad_rule,1393.0,0.5466289,5,2.521895,6.648758313892059,144.610818831782,0.40422804606992946,-5.924988200511448,-38.7288242538174,False,False,False,False,0.53858733,1.0,0.12000156,0.82205415,0.25827977,0.8281713
37,26830,646657,3478,B2,baseline_excursion,broad_width,8179.5,0.40952358,13,7.858916,0.21707874737376795,1540.267098340753,0.11871090253219733,-6.485834097852756,-248.21259948738702,True,False,False,False,1.0,1.0,0.29486418,1.0,0.91304576,0.9158815
57,10579,368230,4778,B2,unassigned_common,not_broad_rule,1061.5,0.44138187,6,4.5021195,4.262376386996504,84.31134493457441,0.3102002328126482,-5.8869835694162775,-25.02143139993821,False,False,False,False,0.34075406,1.0,0.12000156,0.603263,0.37826332,0.80497295
62,7491,545558,6183,B2,unassigned_common,not_broad_rule,1963.5,0.47793114,8,3.3302774,5.674571140645474,247.67300687980577,0.61469777736965,-5.953814303442583,-67.07919391826913,False,False,False,False,0.7940934,1.0,0.29486418,0.7163465,0.3747503,0.7152097
40,1541,702219,5634,B2,unassigned_common,not_broad_rule,1733.0,0.41696808,6,4.9671087,3.702014808401949,72.03561311210036,-0.04422627847316735,-5.8179236152502956,-29.48177351905763,False,False,False,False,0.2994306,1.0,0.12000156,0.49720773,0.3343105,0.90800905
62,9925,547992,8448,B2,unassigned_common,not_broad_rule,1222.5,0.45571154,6,4.237219,4.5816099742260805,76.89194658033186,0.9691556029899994,-5.864338460173522,-26.435686218195585,False,False,False,False,0.32571438,1.0,0.13687842,0.7955717,0.32691407,0.33162105
37,11375,631201,5501,B2,unassigned_common,not_broad_rule,2689.5,0.34856755,8,5.6211185,2.913863199358045,183.4614865776339,0.7662187088308977,-5.832642045914275,-51.087235588743404,False,False,False,False,0.57821,1.0,0.15503632,0.6896939,0.49756703,0.87312263
60,10910,476366,7106,B2,baseline_excursion,broad_width,11663.5,0.2985493,15,9.463026,1.716045237448648,933.4952111156078,0.36802833509427846,-6.590069310143394,151.17296118849623,True,False,True,True,1.0,1.0,1.0,1.0,1.0,1.0
64,23394,636077,8291,B4,unassigned_common,not_broad_rule,1347.0,0.39324054,6,3.2531552,5.767511633713893,138.40550384459735,0.8819708416709686,-5.90761122068467,-37.009960705473816,False,False,False,False,0.47995263,1.0,0.13687842,0.69558877,0.31081957,0.7870825
42,7189,774490,7434,B2,baseline_excursion,broad_width,10260.5,0.35527864,14,9.600995,1.8823126230524514,1117.7660866046135,1.529006323423785,-5.522550659236116,180.89407013833588,True,False,True,True,1.0,1.0,1.0,1.0,1.0,1.0
60,31158,496614,9591,B4,unassigned_common,not_broad_rule,1611.0,0.54152715,5,3.0738668,5.9835732689072,140.69877242681775,0.7415712831036451,-5.893811764495719,-40.578234400769354,False,False,False,False,0.52413017,0.99795806,0.12000156,0.7715933,0.27335274,0.80926806
37,37603,657431,13022,B2,unassigned_common,not_broad_rule,1446.0,0.5331074,5,2.626556,6.522630657118487,130.71630918656416,0.3048189514072857,-5.909856720149915,-36.727109741822346,False,False,False,False,0.49739605,0.992955,0.12000156,0.7605217,0.24098581,0.83816284
62,8234,546301,6887,B6,unassigned_common,not_broad_rule,2374.0,0.51626354,7,5.2405224,3.3725221795013236,208.82233913395388,1.8800500167373293,-5.909802295702235,-68.1235667071361,False,False,False,False,0.6901453,0.9856245,0.31685403,1.0,0.50304765,0.7662568
57,4060,361711,15058,B2,unassigned_common,not_broad_rule,1810.5,0.7028879,6,0.87931496,8.628242429925757,301.22757318224745,1.7262096499140194,-5.954306262042627,-69.18969726243783,False,False,False,False,1.0,0.9700308,0.33515295,0.9915389,0.035267483,0.76845187
40,24598,725282,10786,B2,unassigned_common,not_broad_rule,1439.5,0.6028387,5,1.4220216,7.974222992489744,167.67840280588157,0.013483430544657523,-5.924940322709439,-43.84189936597868,False,False,False,False,0.6199251,0.96403754,0.12000156,0.7453054,0.1103806,0.8302681
62,11031,549098,8992,B2,unassigned_common,not_broad_rule,1769.0,0.53997153,3,-0.2215941,9.954955297673148,8.903278025091057,-3.0475412638558774,-5.715903744210511,0.39163979582511976,False,False,False,False,0.1859642,0.9371944,0.15503632,0.0,0.0,0.70441884
62,11966,550033,9862,B2,unassigned_common,not_broad_rule,2081.5,0.41966823,5,3.0050447,6.066511296908285,147.44368002158373,-1.4193704890079937,-5.898053685380571,-55.721639839340654,False,False,False,False,0.51203805,0.9298222,0.15503632,0.042363606,0.26428917,0.7384637
62,12462,550529,10319,B6,unassigned_common,not_broad_rule,1741.5,0.6567667,5,1.7301176,7.602934523287651,219.88398758937004,0.30913032638274507,-5.935072915369302,-57.57104998629261,False,False,False,False,0.7720719,0.9195508,0.27872577,0.99569106,0.1811604,0.8369576
49,22050,118681,10447,B2,unassigned_common,not_broad_rule,2488.5,0.4646835,7,5.1099057,3.529929196342123,211.52030217186027,1.7224562789830988,-5.906816370611568,-71.03910740938979,False,False,False,False,0.685098,0.9177305,0.31685403,1.0,0.48444062,0.7721536
60,25699,491155,4538,B2,unassigned_common,not_broad_rule,2271.0,0.48565564,6,4.0779395,4.7735585804270295,185.7547551598543,1.3173601299724838,-5.890272385980002,-58.26729851220393,False,False,False,False,0.6261996,0.9103839,0.13687842,1.0,0.36736852,0.7984098
37,33582,653409,9272,B2,unassigned_common,not_broad_rule,1312.0,0.69733995,4,-0.33612806,10.092980940229463,173.88371779306624,-0.5260538550456091,-5.92996321477857,-43.16740860650209,False,False,False,False,0.6687887,0.9066717,0.12000156,0.6757111,0.0,0.8600143
40,22510,723194,8834,B2,unassigned_common,not_broad_rule,2121.0,0.52368605,6,3.4983497,5.472026179298938,188.992310805342,1.0242162062905316,-5.906082666209037,-57.96268978211773,False,False,False,False,0.6472303,0.9055485,0.13687842,1.0,0.33834866,0.800161
64,1922,614604,4659,B2,unassigned_common,not_broad_rule,2309.5,0.44195914,6,4.8283176,3.8692728727623136,133.1444759206799,0.9015457801250666,-5.857724776850576,-49.06376331031362,False,False,False,False,0.47039413,0.9036562,0.13687842,0.9088837,0.36001307,0.8694769
40,28025,728709,13971,B2,unassigned_common,not_broad_rule,2469.0,0.23212042,3,3.766707,5.148627029246675,17.941454202077434,-1.781513809149814,-5.740303616358994,14.664734577007263,False,False,False,False,0.113743216,0.90285784,1.0,0.2913192,0.33758757,0.99648255
62,9900,547967,8425,B6,unassigned_common,not_broad_rule,1931.0,0.5892554,5,2.8731227,6.225491389790898,191.01578308377177,0.4144547858230769,-5.918372073107452,-55.91745973725321,False,False,False,False,0.6721233,0.9006055,0.12000156,0.962112,0.28961375,0.83507574
60,20244,485700,15818,B2,unassigned_common,not_broad_rule,1681.0,0.65355265,5,0.9672813,8.522233625597462,198.57007958990962,-0.27551221365419876,-5.9260761220891,-53.50234766299831,False,False,False,False,0.71775717,0.86012065,0.27872577,0.8322739,0.0752796,0.8506864
57,5644,363295,135,B2,unassigned_common,not_broad_rule,1618.5,0.79167557,4,-0.862527,10.727347845296157,279.91366518278704,0.2963819128570047,-5.959221178102486,-63.98959108453763,False,False,False,False,0.9795841,0.85490566,0.29486418,0.9482126,0.0,0.83647025
62,4374,542441,3277,B2,unassigned_common,not_broad_rule,1512.5,0.875035,4,-2.2710745,12.424797887331444,279.5089707271011,-0.051773033095801294,-5.955375809368094,-63.119280427148475,False,False,False,False,1.0,0.84586096,0.29486418,0.8432527,0.0,0.83712757
64,29930,642614,14378,B2,unassigned_common,not_broad_rule,1597.5,0.7939299,4,-1.0954616,11.00805888333045,266.1540536894645,-0.1776805785936927,-5.953668138666895,-61.509205710978534,False,False,False,False,0.9443455,0.8299787,0.29486418,0.8729454,0.0,0.863661
40,14783,715466,1646,B2,unassigned_common,not_broad_rule,1337.0,0.98496807,4,-4.6910996,15.341186340631316,94.96829893430461,-0.9925804649064968,-5.880227343794916,-30.569661840794073,False,False,False,False,0.55015725,0.81814677,0.12000156,0.2608147,0.0,0.8013201
57,3574,361225,14597,B2,unassigned_common,not_broad_rule,1263.5,0.9313915,4,-3.9730906,14.475908896326024,233.77849723458792,-1.0892591235663227,-5.952193834061725,-54.80781364908204,False,False,False,False,0.90584534,0.8133129,0.27872577,0.6961294,0.0,0.9094129
64,19947,632630,5064,B2,unassigned_common,not_broad_rule,4420.5,0.5507482,3,2.8060174,6.306360427732238,25.225954404424662,0.050787554472069917,-5.307660157466546,12.01028707197034,False,False,False,False,0.21778725,0.8025317,1.0,0.761,0.21451885,1.0
42,16401,783703,16042,B2,unassigned_common,not_broad_rule,2815.5,0.63032967,2,0.7320191,8.805749623423209,126.39956832591395,-1.7305342899895242,-5.557692529467849,-13.315753058054073,False,False,False,False,0.5193598,0.80184925,0.15503632,0.059070844,0.0,0.88399094
62,26765,564832,7318,B4,unassigned_common,not_broad_rule,1077.0,0.9089567,5,-6.4716806,17.486976414955322,209.6317280453258,-0.6687698045258041,-5.967741812020864,-53.28476999865102,False,False,False,False,0.84753305,0.78527606,0.27872577,0.43537608,0.0,0.74676853
64,4183,616865,6762,B6,unassigned_common,not_broad_rule,1275.5,0.8038504,4,-3.6613092,14.100179037269255,247.67300687980577,-1.3523282384564852,-5.962081756750701,-54.76429811621258,False,False,False,False,0.90967387,0.75034064,0.29486418,0.71265143,0.0,0.9823768
40,15771,716454,2569,B2,unassigned_common,not_broad_rule,9093.5,0.41705373,5,6.231374,2.1784405245960805,0.4569130951293064,1.9158314280765822,0.0,-0.4569130951293064,False,False,False,False,0.10510177,0.7306073,0.25392535,0.4062632,0.58490795,0.9033234
49,12829,109457,1788,B2,unassigned_common,not_broad_rule,9614.5,0.4100296,6,5.9435225,2.525332092818726,4.090460089729029,0.6242408208188106,0.0,-4.090460089729029,False,False,False,False,0.10127173,0.73046416,0.8867667,0.4496173,0.55143297,0.98280066
64,17402,630085,2708,B4,unassigned_common,not_broad_rule,1171.0,0.81412834,4,-5.263023,16.030414883210884,226.7637933360313,-0.9687132880147101,-5.9643396075541135,-53.58937872873722,False,False,False,False,0.863896,0.7254477,0.27872577,0.4790593,0.0,0.87266386
42,21402,788706,4310,B2,unassigned_common,not_broad_rule,9009.5,0.41577592,5,6.062823,2.381562424151194,1.6187778227438285,1.0941841725143808,0.0,-0.348124262955662,False,False,False,False,0.10480211,0.6968671,0.25392535,0.3444842,0.5774158,0.9499973
37,27767,647594,4354,B2,unassigned_common,not_broad_rule,8595.0,0.42256632,6,6.121582,2.3107513040034107,0.26979630379063807,1.1424204254931203,0.0,-0.0870310657389155,False,False,False,False,0.10493964,0.68831205,0.009490312,0.41621992,0.59662414,0.94168025
37,47241,667073,5582,B2,unassigned_common,not_broad_rule,9486.5,0.4131032,5,5.76261,2.7433509506598575,4.438584352684691,0.35647329581524995,0.0,-4.438584352684691,False,False,False,False,0.10164691,0.68411493,1.0,0.3384516,0.54228747,1.0
37,28884,648711,5397,B2,unassigned_common,not_broad_rule,9568.5,0.41461033,4,5.7945337,2.704879400733511,6.048659068854628,0.2481068035654539,0.0,-6.048659068854628,False,False,False,False,0.10581185,0.672153,1.0,0.25718907,0.54317796,0.99561495
49,19847,116478,8412,B2,unassigned_common,not_broad_rule,9490.0,0.547343,4,4.6896734,4.036353948110485,2.967759341697019,1.1782181486538617,0.0,-1.566559183300479,False,False,False,False,0.14804879,0.6586478,0.8867667,0.31669623,0.6660866,0.9529404
62,30676,568743,10962,B2,unassigned_common,not_broad_rule,1845.0,0.3851593,7,2.1967478,7.0405953223376985,26.84473222716849,-0.9271043660029887,-3.787813593462441,-21.10503344168701,False,False,False,False,0.18360172,0.6534661,0.0076579144,0.0,0.15687922,0.65938854
58,18863,407848,8867,B2,unassigned_common,not_broad_rule,8629.5,0.40859243,5,5.6514277,2.877337379286522,0.6527329930418663,1.5510560725894185,0.0,0.6527329930418663,False,False,False,False,0.10354251,0.64515674,0.009490312,0.27032197,0.54380375,0.9579893
42,9699,777001,9762,B2,novel_broad_template_mismatch,broad_width,1346.0,0.33425963,13,10.052748,2.426722779603279,0.6744907594765952,2.4744194618109177,0.0,-0.6744907594765952,False,False,False,False,0.08367216,0.63056916,0.009490312,0.61067986,0.8149326,0.27394325
57,14431,372084,8367,B2,novel_broad_template_mismatch,broad_width,1547.5,0.35811624,13,11.375768,4.021103011800081,0.13054659860837325,2.8673601141712712,0.0,-0.13054659860837325,False,False,False,False,0.09755665,0.6069608,0.009490312,0.4028837,0.9378127,0.44488016
37,24150,643976,967,B2,unassigned_common,q_template_only,1216.5,2.2336867,3,-24.479244,39.18801179121808,244.43545123431812,0.6583621375064618,-6.106225495630629,53.95926075812761,True,False,False,True,1.0,0.5248107,1.0,0.9473194,0.0,0.76977515
57,19302,376955,12902,B2,unassigned_common,not_broad_rule,1171.0,0.48221576,7,6.6541414,1.6689604138087877,0.10878883217364438,8.527168845817545,0.0,-0.10878883217364438,False,False,False,False,0.11619972,0.5142151,0.0076579144,0.31178653,0.4377982,0.39297497
65,1248,649875,4818,B4,unassigned_common,not_broad_rule,1223.5,0.45214048,7,7.057621,1.1827244768630867,0.3698820293903909,0.69562837020819,0.0,0.3698820293903909,False,False,False,False,0.10660813,0.5099466,0.0076579144,0.18223247,0.4871255,0.3572633
58,3138,392081,10528,B2,unassigned_common,not_broad_rule,1046.0,0.14892384,8,7.537285,0.6046783630404731,1.0661305553017149,1.1926177386720358,0.0,1.0661305553017149,False,False,False,False,0.029646344,0.49243543,0.015488424,0.1359918,0.54285073,0.29579368
37,50199,670032,8375,B2,novel_broad_template_mismatch,broad_width,3306.5,0.33571205,14,12.046576,4.829498026433394,5.765808105203153,2.4064438281684453,0.0,-5.765808105203153,False,False,False,False,0.09514747,0.48773572,0.47377646,0.4033089,1.0,0.75217456
37,34578,654406,10209,B6,unassigned_common,not_broad_rule,1187.0,0.2984363,7,7.591407,0.5394556134887215,1.0791852151625523,1.1239401839837646,0.0,0.9573417231280705,False,False,False,False,0.066658504,0.4788602,0.009490312,0.19750088,0.5429829,0.32024696
49,7827,104451,14006,B2,novel_broad_template_mismatch,q_template_only,1312.0,3.8896472,4,-42.408535,60.79472006893703,315.9314717388372,1.8765406366629844,-6.006065788491879,95.49483688202504,True,True,False,True,1.0,0.476411,1.0,1.0,0.0,0.15312986
64,19059,631742,4240,B2,unassigned_common,not_broad_rule,1155.0,0.19460168,8,7.7748923,0.31833600009631147,0.47867086156403527,1.448242740369425,0.0,0.47867086156403527,False,False,False,False,0.040623795,0.47455886,0.009490312,0.3530298,0.5681517,0.09679904
58,26589,415587,16066,B2,unassigned_common,not_broad_rule,1041.5,0.11065324,8,7.5026402,0.6464288068095917,0.4569130951293064,0.677862704416042,0.0,0.4569130951293064,False,False,False,False,0.018844353,0.4566317,0.0076579144,0.13324285,0.5384318,0.2683225
40,10186,710867,13724,B2,unassigned_common,not_broad_rule,1702.0,0.7667488,3,-2.216216,12.358687606840302,108.9977067314178,-1.5555178218984216,-2.8223835970188005,28.26333859871281,False,False,False,False,0.5211336,0.45446414,0.3684831,0.55634874,0.0,0.8191961
58,15169,404151,5415,B2,novel_broad_template_mismatch,broad_width,8239.0,0.2264164,13,9.304043,1.5244534824703342,0.5004286279987642,4.605700356931205,0.0,0.5004286279987642,False,False,False,False,0.062251598,0.45250088,0.009490312,0.6647003,0.7427729,0.76755315
57,6370,364021,813,B2,unassigned_common,not_broad_rule,1115.0,0.16575873,8,7.4466367,0.7139190844201546,0.522186394433493,0.7231127876599379,0.0,0.522186394433493,False,False,False,False,0.033043776,0.45244676,0.0076579144,0.0957739,0.5341922,0.31939414
52,2540,196905,1059,B8,unassigned_common,not_broad_rule,1196.0,0.26617646,7,7.309364,0.8793474961349907,0.21757766434728876,1.2217461586868055,0.0,0.21757766434728876,False,False,False,False,0.060207106,0.45132917,0.009490312,0.15905878,0.512383,0.3069608
60,20710,486166,16254,B2,novel_broad_template_mismatch,broad_width,8119.5,0.22291194,13,8.950428,1.098309912281385,0.7397640587807818,3.2770320224521265,0.0,0.7397640587807818,False,False,False,False,0.058585916,0.45075363,0.0076579144,0.5842521,0.70186037,0.8097478
42,25978,793284,8550,B2,novel_broad_template_mismatch,broad_width,7253.5,0.22730434,13,9.993245,2.3550157962411813,0.543944160868222,4.0812898149074215,0.0,-0.543944160868222,False,False,False,False,0.06679789,0.4460576,0.009490312,0.41585872,0.8241256,1.0
52,2236,196600,785,B2,novel_broad_template_mismatch,broad_width,7852.5,0.20649204,13,10.070296,2.447870668001753,3.894640191816469,3.1430057599039674,0.0,-3.894640191816469,False,False,False,False,0.06518144,0.43810663,0.009490312,0.38904366,0.8247676,1.0
58,28243,417241,1252,B2,unassigned_common,not_broad_rule,2364.0,0.40153238,3,1.8248732,7.488743855963063,34.39902873330636,-2.281051164125687,-3.0448679459012196,6.157447901028272,False,False,False,False,0.20978552,0.43652865,0.0,0.0,0.0,0.6047621
52,9140,203505,7199,B2,unassigned_common,not_broad_rule,1145.0,0.1909241,7,7.2358074,0.9679908339008771,0.696248525911324,1.2462191809675576,0.0,0.696248525911324,False,False,False,False,0.041775845,0.43591538,0.009490312,0.10162886,0.5131193,0.3577536
62,15372,553439,13043,B2,unassigned_common,not_broad_rule,1250.5,0.17675023,8,7.9200325,0.1434266087964958,0.8050373580849685,0.9913409391645358,0.0,0.8050373580849685,False,False,False,False,0.034220606,0.4346431,0.009490312,0.107243605,0.58407533,0.36072055
65,19551,668178,5077,B2,unassigned_common,not_broad_rule,9328.5,0.41150153,5,5.9220667,2.551188578509116,0.32636649652093314,0.6169237046494241,0.0,-0.32636649652093314,False,False,False,False,0.10172498,0.43450958,0.22322717,0.4661891,0.5381076,0.9060695
40,31961,732645,1239,B2,unassigned_common,not_broad_rule,1049.5,0.15863964,7,7.292997,0.89907142748082,1.2140833670578715,1.1117454252894334,0.0,-0.021757766434728876,False,False,False,False,0.033323493,0.4310564,0.009490312,0.23767668,0.5142134,0.13965546
65,33503,682130,1662,B2,unassigned_common,not_broad_rule,1137.0,0.16171919,8,7.2691293,0.9278344405207962,0.696248525911324,0.7662974295885451,0.0,0.696248525911324,False,False,False,False,0.033008907,0.4308366,0.0076579144,0.10247084,0.51514393,0.31790262
49,10750,107376,358,B2,novel_broad_template_mismatch,broad_width,7013.5,0.18470408,13,10.052043,2.4258734622006126,6.810180894070139,1.8860967277515341,0.0,-6.810180894070139,False,False,False,False,0.06704962,0.4262452,0.009490312,0.5919893,0.8237194,0.9158318
40,1317,701995,5427,B2,unassigned_common,not_broad_rule,1051.5,0.13179402,7,7.4750357,0.6796952707864419,0.19581989791255988,0.7455708194977058,0.0,-0.19581989791255988,False,False,False,False,0.024456685,0.42609733,0.0076579144,0.15717076,0.5285047,0.16472131
62,33042,571109,13154,B2,unassigned_common,not_broad_rule,1019.0,0.112197734,7,6.9764476,1.2805471083977145,0.2828509636514754,0.6567142206516231,0.0,0.2828509636514754,False,False,False,False,0.021727704,0.4154964,0.0076579144,0.097740956,0.48097393,0.26445875
62,2127,540194,1185,B2,unassigned_common,not_broad_rule,1126.5,0.20581824,7,6.8024855,1.4901900187007728,0.4569130951293064,0.424825049609504,0.0,0.4569130951293064,False,False,False,False,0.04540519,0.41341823,0.0076579144,0.046171144,0.46672,0.33959025
65,26409,675036,11478,B2,unassigned_common,not_broad_rule,1044.0,0.15257,6,6.829502,1.457632085412345,0.8485528909544262,0.4502879527985731,0.0,0.8485528909544262,False,False,False,False,0.032001548,0.40659475,0.0076579144,0.02490506,0.46427092,0.27867925
52,6175,200540,4450,B2,novel_broad_template_mismatch,broad_width,7627.0,0.13143252,13,9.178314,1.3729370966814545,3.024329534427314,1.9580237876651931,0.0,-3.024329534427314,False,False,False,False,0.057895593,0.40595797,0.0076579144,0.59651303,0.7399077,0.8543225
58,25683,414681,15230,B2,unassigned_common,not_broad_rule,1359.5,0.19347058,6,4.8561974,3.8356748417074265,36.1527047079455,1.3749345784619753,-0.7746221600176276,12.119075904143985,False,False,False,False,0.14765622,0.40557304,0.58274454,0.0,0.37140137,0.3177274
58,30010,419008,2898,B2,unassigned_common,not_broad_rule,1027.0,0.1445671,6,6.567673,1.773163844016766,0.522186394433493,0.8373844483506631,0.0,0.522186394433493,False,False,False,False,0.032305963,0.4052228,0.009490312,0.052201193,0.43668517,0.27125496
37,7626,627450,2016,B2,unassigned_common,not_broad_rule,1016.5,0.07112863,7,7.1726513,1.0441007062611032,0.718006292346053,0.8257885763042899,0.0,0.718006292346053,False,False,False,False,0.010940003,0.4044108,0.0076579144,0.19360007,0.49565002,0.0
49,13738,110366,2656,B2,novel_broad_template_mismatch,broad_width,7389.5,0.17850691,13,8.891941,1.027826911373739,0.522186394433493,2.8463712989674157,0.0,0.522186394433493,False,False,False,False,0.056930162,0.40397382,0.0076579144,0.5840768,0.7024794,0.84987664
40,9399,710079,12984,B2,unassigned_common,not_broad_rule,8684.0,0.57163364,6,4.9518657,3.7203843140927813,0.696248525911324,1.9078684537574373,0.0,0.696248525911324,False,False,False,False,0.15001746,0.40325058,0.009490312,0.5700383,0.7762291,0.92092353
42,19914,787218,2921,B2,unassigned_common,not_broad_rule,8462.0,0.42754588,6,6.1831717,2.236529122893361,0.5395926075812761,1.658159686680362,0.0,-0.0870310657389155,False,False,False,False,0.10727273,0.40199187,0.009490312,0.53739595,0.6031536,0.88815075
65,11407,660034,13874,B2,unassigned_common,not_broad_rule,1087.5,0.108731076,7,7.2956324,0.8958953941353942,2.2932685822204237,0.8394490198233258,0.0,-0.23933543078201763,False,False,False,False,0.023703283,0.39862132,0.009490312,0.11292879,0.5143352,0.280612
58,6150,395108,13331,B2,unassigned_common,not_broad_rule,1181.0,0.11980609,7,7.628281,0.4950181547163079,0.21757766434728876,1.26797611964882,0.0,0.21757766434728876,False,False,False,False,0.022111883,0.39477274,0.009490312,0.26225108,0.54844594,0.032016844
57,10852,368503,5028,B2,unassigned_common,not_broad_rule,8866.5,0.42070583,5,5.8767266,2.605828189627231,0.5395926075812761,0.9189204516568555,0.0,0.06527329930418663,False,False,False,False,0.10506165,0.39457968,0.25392535,0.457051,0.5494955,0.8950578
37,14957,634783,8827,B2,unassigned_common,not_broad_rule,9483.0,0.05516079,8,7.383317,0.790226058180323,0.696248525911324,-0.05227076853390532,0.0,0.696248525911324,False,False,False,False,0.011587911,0.3943467,0.76865023,0.5621902,0.5564961,0.79343927
58,16592,405577,6753,B2,unassigned_common,not_broad_rule,1068.5,0.15785478,6,6.678521,1.6395802377847357,0.348124262955662,1.0380514881773808,0.0,0.348124262955662,False,False,False,False,0.035635866,0.39340088,0.009490312,0.1602618,0.44773772,0.018088654
58,28896,417894,1861,B2,novel_broad_template_mismatch,broad_width,7134.0,0.16201885,13,9.422064,1.6666813929569768,0.23933543078201763,1.660279058238459,0.0,0.23933543078201763,False,False,False,False,0.06338674,0.39256176,0.009490312,0.48023555,0.7582565,0.94111216
42,26904,794210,9407,B2,novel_broad_template_mismatch,broad_width,7179.5,0.2095478,13,9.667248,1.9621542052996317,0.13489815189531904,3.135470264138235,0.0,0.04351553286945775,False,False,False,False,0.0649607,0.39226085,0.009490312,0.6831261,0.7823122,0.781799
52,3387,197752,1862,B2,novel_broad_template_mismatch,broad_width,7038.0,0.16736597,13,9.489486,1.747931991625902,2.8328611898017,1.7806035188417704,0.0,-0.696248525911324,False,False,False,False,0.06686133,0.3922196,0.009490312,0.4817968,0.7646366,0.93214333
37,10673,630498,4854,B2,unassigned_common,not_broad_rule,8518.0,0.42854255,6,5.9688897,2.4947618380795706,0.6309752266071375,1.2198364192015596,0.0,0.6309752266071375,False,False,False,False,0.10738561,0.3909158,0.009490312,0.5092174,0.57415795,0.8904997
37,32012,651839,8318,B2,unassigned_common,not_broad_rule,1103.5,0.11547935,7,7.0231085,1.2243157454491616,0.4351553286945775,0.6044249359573279,0.0,0.4351553286945775,False,False,False,False,0.022183124,0.38979027,0.0076579144,0.08691894,0.48595873,0.28317523
42,1394,768695,2040,B2,unassigned_common,not_broad_rule,8800.0,0.4214378,5,5.8625,2.622972563584311,0.696248525911324,1.06390877844009,0.0,0.696248525911324,False,False,False,False,0.10551108,0.38947678,1.0,0.45334002,0.55163896,0.9015933
