topology,feature,threshold,train_retention,train_tail_frac,train_sigma68_ns,fold,heldout_run,method,rf_n_estimators,rf_max_depth,rf_min_samples_leaf
B2_containing,,0.5100259207198932,0.9499800764128167,0.19837647116879273,3.1443754078069652,2,45,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05543495144565047,0.5500142626224208,0.003457515774915723,1.4853666040798315,2,45,traditional_q_threshold_veto,,,
downstream_only,,0.03679386786447534,0.5503470571455739,0.00043192812715964066,1.4046896920264,2,45,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5118070435809917,0.9499857373775792,0.01781603443098789,1.7490526190451836,2,45,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027963479429065203,0.549999236303096,0.07481462967591436,1.6267055920020006,3,46,traditional_q_threshold_veto,,,
all,,0.0847833732563628,0.549999236303096,0.0020550417951067787,1.3631800287397764,3,46,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.49878448988066976,0.6000061095752318,0.10223251788305374,1.723655252584976,3,46,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030371184835653486,0.5499931734401311,0.1150186181216384,1.7143302254448645,3,46,traditional_q_threshold_veto,,,
B2_containing,,0.12978719574093997,0.5499931734401311,0.004633843607778238,1.2876389460594955,3,46,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.4964851305801124,0.5499931734401311,0.13570541994207697,1.8362656768381918,3,46,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05520024965853409,0.5500116144018583,0.0034631303319537124,1.4839156395990831,3,46,traditional_q_threshold_veto,,,
downstream_only,,0.03663634451698093,0.5500116144018583,0.000506799560773714,1.4114100644188474,3,46,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5025224513148683,0.6999767711962834,0.012344859626999403,1.5575164251740947,3,46,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027948613857666633,0.5499938770511879,0.07472863902031729,1.6262577895909687,4,47,traditional_q_threshold_veto,,,
all,,0.08448035756728019,0.5499938770511879,0.0018647369885889228,1.3616309819476777,4,47,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5149997711217972,0.9499908155767818,0.14079695783181065,2.001215502801418,4,47,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030349396401098534,0.5499954383724113,0.11482955959193829,1.712328893949766,4,47,traditional_q_threshold_veto,,,
B2_containing,,0.1277531784109944,0.5499954383724113,0.004064029194658704,1.288878320172133,4,47,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.513847421390985,0.9499817534896451,0.20047537874240715,3.310120149954866,4,47,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05520482185022145,0.5499906907466021,0.0034698713608666215,1.4830530045736738,4,47,traditional_q_threshold_veto,,,
downstream_only,,0.03934192563332153,0.5499906907466021,0.0004231550440081246,1.408342854721464,4,47,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5164584803684223,0.9499627629864085,0.016610318976921945,1.647053056559788,4,47,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.02793055786210495,0.5499953406019942,0.07426860951090027,1.6227918998670021,5,48,traditional_q_threshold_veto,,,
all,,0.08541553850497234,0.5499953406019942,0.0020049700666440753,1.3638843174999247,5,48,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5145530636044358,0.9499891280713199,0.14012686786776968,2.061599802244001,5,48,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.0302817533467378,0.5500185339634881,0.11414851943894529,1.706966333941416,5,48,traditional_q_threshold_veto,,,
B2_containing,,0.1319193363930118,0.549995366509128,0.0043807919123841615,1.2717040261097576,5,48,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5152352873395641,0.9499814660365119,0.20151201073039873,3.511242416620332,5,48,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05529531371552946,0.5499952879087739,0.003512679917751885,1.4841712053978307,5,48,traditional_q_threshold_veto,,,
downstream_only,,0.03618374704076044,0.5499952879087739,0.0004283755997258396,1.408756677078018,5,48,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5137505489369621,0.9499575911789653,0.017509920634920635,1.72871320983716,5,48,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.02784225389977344,0.5500015552583284,0.07414319647098744,1.6224514112895507,6,49,traditional_q_threshold_veto,,,
all,,0.08290333437736125,0.5500015552583284,0.002064246126003846,1.359119641450906,6,49,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5058166316802613,0.8999968894833432,0.12583811432916292,1.9637905430595362,6,49,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.0302265087668029,0.5500092824654228,0.11387705160119826,1.7059218000781051,6,49,traditional_q_threshold_veto,,,
B2_containing,,0.12476462572444222,0.5500092824654228,0.0043458081937471,1.2817403628658717,6,49,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5062569971568812,0.8999814350691544,0.18152751276365325,2.4118207838347443,6,49,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.0551947222408334,0.5499858530604546,0.003515390551316128,1.4839595764576599,6,49,traditional_q_threshold_veto,,,
downstream_only,,0.0365771812833018,0.5499858530604546,0.0005144473977535797,1.4093088483791458,6,49,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5049600017864497,0.8999811374139395,0.016190725700812158,1.7143288728505346,6,49,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027981120740051095,0.5499961056157021,0.06783357407879458,1.5990543964877606,7,50,traditional_q_threshold_veto,,,
all,,0.086850748009395,0.5499961056157021,0.0018409947035998527,1.3579417638084972,7,50,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.49773954523615693,0.6,0.10642054157904302,1.8352838351598626,7,50,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.03038674372439968,0.5499976745267662,0.10413935985793413,1.6568415248937374,7,50,traditional_q_threshold_veto,,,
B2_containing,,0.12611002065224328,0.5499976745267662,0.004059024988372585,1.271761982631702,7,50,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.4955477981613024,0.5499976745267662,0.13965582850619424,1.9093634687295484,7,50,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05535644799018948,0.5499929221912896,0.0035175017158544956,1.4830314734979977,7,50,traditional_q_threshold_veto,,,
downstream_only,,0.03925326490527493,0.5499929221912896,0.0006005490734385724,1.4087749141202757,7,50,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5079779348727188,0.899966970226018,0.016672783515964976,1.7037339355487546,7,50,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027903934997785824,0.5499938336313744,0.07321243378086723,1.6207784050092178,8,51,traditional_q_threshold_veto,,,
all,,0.0865782850542569,0.5499938336313744,0.001905989853406957,1.3642349305845938,8,51,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5093431888941509,0.9499907504470617,0.13583993249383358,2.024793787783692,8,51,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030292689269331246,0.5500068943328584,0.11248067521831781,1.701503341312241,8,51,traditional_q_threshold_veto,,,
B2_containing,,0.13858040502927887,0.5500068943328584,0.004261897798019471,1.272489026428603,8,51,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5106094830223745,0.9499931056671416,0.1960907639460061,2.985020726869392,8,51,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05526363037999522,0.5500140488901377,0.0034057045551298426,1.481250188758227,8,51,traditional_q_threshold_veto,,,
downstream_only,,0.035846547813343545,0.5500140488901377,0.00034057045551298427,1.406655406095868,8,51,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5066661046669639,0.9499859511098623,0.0163166715961747,1.7193134000749124,8,51,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027916159185265233,0.5500061376051065,0.073734133072953,1.6240554639999385,9,52,traditional_q_threshold_veto,,,
all,,0.08564228900155382,0.5500061376051065,0.0018970567722136978,1.360406868695275,9,52,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.499422485885941,0.6500030688025532,0.12135876493083424,1.950146450388897,9,52,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030332082565182543,0.5499897116989414,0.11331892251413368,1.7069953631947614,9,52,traditional_q_threshold_veto,,,
B2_containing,,0.13176833943998856,0.5499897116989414,0.004406385101429997,1.2748334448398797,9,52,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.49868163047589176,0.6499919979880656,0.16834329933169187,2.2534808749302586,9,52,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.0551982175733397,0.5500396584705828,0.0034778183051997623,1.4847930800040812,9,52,traditional_q_threshold_veto,,,
downstream_only,,0.03723747810976142,0.5499930014463678,0.00042416016287750253,1.411835205058083,9,52,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.4993895472860466,0.600009331404843,0.015241057542768274,1.7397573086998221,9,52,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027987934612110528,0.5499968926729227,0.06906779661016949,1.6027709306957711,10,53,traditional_q_threshold_veto,,,
all,,0.08687876921701977,0.5499968926729227,0.001864406779661017,1.3574517723867554,10,53,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5106178122538816,0.949987570691691,0.13217761059775943,2.014155096412261,10,53,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030400148992746047,0.5500081125559186,0.10615702305196173,1.6686094589225946,10,53,traditional_q_threshold_veto,,,
B2_containing,,0.12843651498053565,0.5500081125559186,0.004172110076277972,1.275540132997088,10,53,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5111511292914148,0.9499802980784832,0.1896547517384409,2.734416804168928,10,53,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.0553855684491728,0.5500212054097356,0.003427004797806717,1.4836445850825568,10,53,traditional_q_threshold_veto,,,
downstream_only,,0.03914530039798667,0.5500212054097356,0.0003427004797806717,1.4107392239640129,10,53,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5095925936356706,0.9500023561566373,0.017509920634920635,1.7362675997214227,10,53,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027944686523700153,0.5499992239760364,0.06961650252560883,1.6063666241254522,11,54,traditional_q_threshold_veto,,,
all,,0.0876415546519013,0.5499992239760364,0.002031774698761182,1.3606273976647962,11,54,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5133613862492306,0.9499930157843274,0.13517619957849336,2.048222386160354,11,54,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.03033886319053143,0.5499953686550574,0.10694286556355521,1.675450084702941,11,54,traditional_q_threshold_veto,,,
B2_containing,,0.13414215066499421,0.5499953686550574,0.00429455601869395,1.278755056686503,11,54,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5151556010594496,0.9499814746202297,0.1953490639625585,3.31686410141841,11,54,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05530377389346848,0.5500070598202099,0.0033373267157282217,1.4853648883234172,11,54,traditional_q_threshold_veto,,,
downstream_only,,0.04129367758675477,0.5999905869063867,0.00031377470975839345,1.4186703621706245,11,54,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5082073577039642,0.9499694074457571,0.01654776060245739,1.7279784314337703,11,54,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.02793714237574754,0.549993820294154,0.07314606741573033,1.620782955954928,12,55,traditional_q_threshold_veto,,,
all,,0.08559607371896202,0.549993820294154,0.001910112359550562,1.3643724386493163,12,55,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5013709612750913,0.699990730441231,0.08364784038491249,1.7851939949627664,12,55,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.03028836924246807,0.5499919386415459,0.11223250554880858,1.7013502353929117,12,55,traditional_q_threshold_veto,,,
B2_containing,,0.12871883627075162,0.5499919386415459,0.00402026885547971,1.2787209309278036,12,55,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5032129626623466,0.7000023032452726,0.13704264280073702,1.9034833953537644,12,55,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.055370653134269324,0.5499976537938154,0.0033273611466598414,1.4836410943634406,12,55,traditional_q_threshold_veto,,,
downstream_only,,0.03726268330417407,0.5499976537938154,0.00042658476239228736,1.406761082140592,12,55,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.49834732078111216,0.8000093848247384,0.009560678045633176,1.7153350014687123,12,55,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.028058376303955905,0.5499960824257619,0.06598666590688929,1.5943081541374955,13,56,traditional_q_threshold_veto,,,
all,,0.08570419923268606,0.5499960824257619,0.0017949740725967292,1.3608089139404864,13,56,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5093108345249208,0.949996082425762,0.13499604117181313,2.0476402840344328,13,56,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030490324530110167,0.5500035090181767,0.10156947811662626,1.64741747515259,13,56,traditional_q_threshold_veto,,,
B2_containing,,0.1277287437229397,0.5500035090181767,0.003913061970992301,1.2821886622157521,13,56,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5096700394564239,0.9499847942545676,0.1933807776601246,2.9554551313805746,13,56,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05544045923448323,0.5499810138598823,0.0035384482609821352,1.4866468000348751,13,56,traditional_q_threshold_veto,,,
downstream_only,,0.038652824924072016,0.5499810138598823,0.0005178216967290929,1.4067954626344483,13,56,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5085047026883932,0.9499715207898234,0.0174877585690017,1.7437502994655634,13,56,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027932019745179722,0.5500054463688281,0.07418305276559627,1.6216150835581327,14,57,traditional_q_threshold_veto,,,
all,,0.08515697384530507,0.5500054463688281,0.0018390154194369783,1.3589204520265572,14,57,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5077384747529656,0.8999891072623438,0.13346358669340894,2.013325946654455,14,57,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030271274964354458,0.5499976788449933,0.11390588731799958,1.7054162459465565,14,57,traditional_q_threshold_veto,,,
B2_containing,,0.1297810693429424,0.5499976788449933,0.0041780966448617856,1.2892282104719772,14,57,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5102789570787603,0.9499791096049394,0.19336868082195127,3.0064242972991586,14,57,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05536512993681492,0.5500212454558331,0.0034334763948497852,1.479000112290649,14,57,traditional_q_threshold_veto,,,
downstream_only,,0.0363598480210436,0.5500212454558331,0.00034334763948497857,1.4065241584752248,14,57,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5074009370028584,0.9500023606062037,0.01590299175032303,1.6900593658441299,14,57,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027965312413828238,0.5499945548174308,0.07422493776872596,1.6248604562589288,15,58,traditional_q_threshold_veto,,,
all,,0.0878944638608397,0.5499945548174308,0.001923512106811496,1.3641136986769387,15,58,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.49725987105303665,0.5499945548174308,0.12689522516406426,1.8456236678029652,15,58,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030368048994165953,0.5499976799220454,0.11427486712224753,1.7104440158179939,15,58,traditional_q_threshold_veto,,,
B2_containing,,0.13677423285974857,0.5499976799220454,0.00438707500210917,1.2786795861231726,15,58,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.4936199826360608,0.5499976799220454,0.13258246857335695,1.753669870009761,15,58,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.055247088992388615,0.5499881936245573,0.003262922891980079,1.4845309073380262,15,58,traditional_q_threshold_veto,,,
downstream_only,,0.041903019955620666,0.6,0.0004722550177095632,1.4212794330118217,15,58,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5088090352228688,0.8499645808736718,0.015946216246249582,1.684450008487548,15,58,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027735557456435765,0.5499935539716743,0.07973077051870207,1.6387245085931017,16,59,traditional_q_threshold_veto,,,
all,,0.07292801431729574,0.5499935539716743,0.0017077989485316278,1.3572252152805795,16,59,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5044458430399573,0.8499917122492956,0.11687467498699948,1.8759727745947672,16,59,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.02987128670173243,0.5499972619243196,0.1220192164086225,1.7534953772016173,16,59,traditional_q_threshold_veto,,,
B2_containing,,0.11596966778313353,0.5499972619243196,0.0036839747100114503,1.2615633217448,16,59,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5040270684795175,0.8499808334702371,0.164384885481429,2.179741652822254,16,59,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05538275081393808,0.549985935302391,0.0036824877250409165,1.4950596490430426,16,59,traditional_q_threshold_veto,,,
downstream_only,,0.03631625259006519,0.6,0.0005625879043600563,1.4223694630882018,16,59,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5081685669905669,0.899971870604782,0.015627930236919423,1.6874205830342253,16,59,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.02834353980545736,0.55,0.08786555511446341,1.697261470245452,17,60,traditional_q_threshold_veto,,,
all,,0.09358586691622985,0.55,0.002282651845970623,1.389228913476332,17,60,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.508309988388044,0.85,0.13537117903930132,2.0169959809938667,17,60,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.031211744629657364,0.5500107723796187,0.13739411447877392,1.899133011961026,17,60,traditional_q_threshold_veto,,,
B2_containing,,0.16190430897977323,0.5500107723796187,0.005777799539734613,1.3155559144070765,17,60,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5079439230250037,0.799983841430572,0.20215451944117152,2.795211595440093,17,60,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05419984634855345,0.5499775633834417,0.0037735849056603774,1.4887006309321604,17,60,traditional_q_threshold_veto,,,
downstream_only,,0.03184491120791622,0.550201929549024,0.0005097359567743908,1.414903477769762,17,60,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5028397200564192,0.75,0.015331687981452397,1.655267315363579,17,60,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.028147760546986623,0.5500009323313879,0.08828315703824248,1.6733773948652981,18,61,traditional_q_threshold_veto,,,
all,,0.09242217827693891,0.5500009323313879,0.0022375915378356386,1.3760049551062483,18,61,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.502939706879638,0.7999962706744486,0.15108500571055636,2.1182204729366707,18,61,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030888586845179165,0.5499917459968084,0.13741870935467734,1.889237472698937,18,61,traditional_q_threshold_veto,,,
B2_containing,,0.15925515462779097,0.5499917459968084,0.0058029014507253625,1.3026969345661148,18,61,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.501751089172386,0.7499862433280141,0.21475475989581422,3.70811393679887,18,61,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05366228580935848,0.5500202511138113,0.0025247212286976647,1.4644986761898724,18,61,traditional_q_threshold_veto,,,
downstream_only,,0.033432321295456625,0.5500202511138113,0.0003155901535872081,1.4040795377402455,18,61,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5059052855774253,0.8999594977723775,0.01498006943551498,1.6907235674700378,18,61,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.02813668400603711,0.549992667008873,0.0855971467617746,1.675278552369404,19,62,traditional_q_threshold_veto,,,
all,,0.08500487336709475,0.549992667008873,0.0023999200026665777,1.3674566192392064,19,62,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5031749267112494,0.6999890005133094,0.11282507922373831,1.9777992524647243,19,62,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.03077857081965594,0.5499959297750522,0.1325669741970497,1.8476796835291345,19,62,traditional_q_threshold_veto,,,
B2_containing,,0.1434371085777377,0.5499959297750522,0.005328333908924959,1.2960080619993692,19,62,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.502675798525009,0.6499877893251567,0.1654420973532604,2.302800573818451,19,62,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05518410154219178,0.5499858717151738,0.0036991368680641184,1.4909947469145024,19,62,traditional_q_threshold_veto,,,
downstream_only,,0.034665308352072884,0.5500988979937835,0.0004109307581672488,1.3920295205189188,19,62,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5067117325301518,0.8999717434303476,0.016514913657770802,1.7515075319986861,19,62,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.027769670320888267,0.5499932962391901,0.07526586829996648,1.6191931173986172,20,63,traditional_q_threshold_veto,,,
all,,0.08351577865745667,0.5499932962391901,0.0020416247676509126,1.3527791422251039,20,63,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5146936287750069,0.9499899443587853,0.13585844329969657,2.0437175105712564,20,63,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030045037302958023,0.5500050055060567,0.11567164179104478,1.7127620860558463,20,63,traditional_q_threshold_veto,,,
B2_containing,,0.12902926765212877,0.5500050055060567,0.004413906079359301,1.2737895558915684,20,63,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5158985826228133,0.9499949944939433,0.1972706675799568,3.19520273092738,20,63,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05540776251956945,0.5500202922077922,0.0034126544917911826,1.4754638851532815,20,63,traditional_q_threshold_veto,,,
downstream_only,,0.07785317820929334,0.75,0.0005411255411255411,1.4461550648867436,20,63,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5077992117497475,0.9499797077922078,0.01671472818541066,1.738373205474119,20,63,ml_rf_shuffled_label_control,220.0,6.0,30.0
all,q_diff_abs,0.02797114163486395,0.5499921838361732,0.07458147400733309,1.6255643284639218,21,65,traditional_q_threshold_veto,,,
all,,0.08268783995381385,0.5499921838361732,0.001733791888127789,1.3550298591264687,21,65,ml_rf_qtemplate_veto,220.0,6.0,30.0
all,,0.5052814862131123,0.9,0.13534121897417192,2.0397092984369065,21,65,ml_rf_shuffled_label_control,220.0,6.0,30.0
B2_containing,q_diff_abs,0.030372585479650143,0.55,0.11497326203208556,1.7151757698950851,21,65,traditional_q_threshold_veto,,,
B2_containing,,0.12437371102791692,0.55,0.0038197097020626434,1.2836719092932696,21,65,ml_rf_qtemplate_veto,220.0,6.0,30.0
B2_containing,,0.5053371969820877,0.9,0.19353667392883078,3.24944532952998,21,65,ml_rf_shuffled_label_control,220.0,6.0,30.0
downstream_only,q_max,0.05536509267433571,0.5499763369616659,0.0032699423457533774,1.4828652759528302,21,65,traditional_q_threshold_veto,,,
downstream_only,,0.03588868926093838,0.5499763369616659,0.00043025557180965496,1.4000110127452547,21,65,ml_rf_qtemplate_veto,220.0,6.0,30.0
downstream_only,,0.5078346053498713,0.9499763369616658,0.01748617545957256,1.7460816939042505,21,65,ml_rf_shuffled_label_control,220.0,6.0,30.0
