run_family,saturation_depth_bin,amplitude_bin,q_template_shift_bin,lowering_bin,dropout_anomaly_taxon,topology,traditional_action_band,rows,runs,mean_amp_adc,median_duplicate_residual_frac,median_q_template_shift_if_accepted,corrected_timing_tail_fraction,obs_timing_tail_fraction,oracle_accept_fraction,timing_tail_delta_if_accepted
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,central_peak,abstain,439,11,7249.096810933941,-0.019431705766170877,0.0,0.002277904328018223,0.002277904328018223,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,central_peak,abstain,424,11,7707.140330188679,-0.019318456877178935,0.0,0.0023584905660377358,0.0023584905660377358,0.0,0.0
high-knee,deep_above_knee,9-11k,0.015-0.035,1.5-3pct,regular_edge,central_peak,abstain,424,12,9352.233490566037,0.11472580640693061,-0.02461831898002842,0.009433962264150943,0.009433962264150943,0.0,0.0
high-knee,below_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,abstain,370,6,7064.218918918919,-0.028229561709676346,0.0,0.010810810810810811,0.010810810810810811,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,gt3pct,regular_edge,central_peak,abstain,320,12,8823.4234375,0.1573289324973447,-0.03345442826219697,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,1.5-3pct,regular_edge,central_peak,abstain,319,12,8743.03605015674,0.08942249781542941,-0.019293391600382237,0.009404388714733543,0.009404388714733543,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,duplicate_peak,central_peak,abstain,283,12,8525.18551236749,-0.01903499587558069,0.0,0.0035335689045936395,0.0035335689045936395,0.0,0.0
high-knee,deep_above_knee,8-9k,0.005-0.015,0.5-1.5pct,regular_edge,central_peak,abstain,212,12,8599.375,0.04439737336813489,-0.009672941213067998,0.014150943396226415,0.014150943396226415,0.0,0.0
high-knee,deep_above_knee,9-11k,lt0.005,lt0.5pct,duplicate_peak,central_peak,abstain,159,12,9292.358490566037,-0.022657852869265208,0.0,0.012578616352201259,0.012578616352201259,0.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,duplicate_peak,central_peak,abstain,138,11,8145.789855072464,-0.01875270050803876,0.0,0.0,0.0,0.0,0.0
high-knee,below_knee,7-8k,lt0.005,lt0.5pct,negative_dropout,central_peak,abstain,79,6,7080.721518987341,-0.06450232875971111,0.0,0.02531645569620253,0.02531645569620253,0.0,0.0
high-knee,deep_above_knee,9-11k,0.005-0.015,0.5-1.5pct,regular_edge,central_peak,abstain,54,10,9273.268518518518,0.04817381285233746,-0.010487091207719346,0.018518518518518517,0.018518518518518517,0.0,0.0
high-knee,below_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,central_peak,abstain,34,5,7055.176470588235,-0.02038003619112981,0.0,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,0.005-0.015,0.5-1.5pct,regular_edge,central_peak,abstain,30,11,8116.533333333334,0.030053377777482834,-0.006568313690567984,0.06666666666666667,0.06666666666666667,0.0,0.0
high-knee,deep_above_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,abstain,13,1,7913.384615384615,-0.020288545403671893,0.0,0.0,0.0,0.0,0.0
high-knee,above_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,central_peak,abstain,10,4,7910.95,0.025070031143580657,-0.005485146403358232,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,7-8k,lt0.005,lt0.5pct,negative_dropout,central_peak,abstain,9,1,7905.0,-0.06662968405278978,0.0,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.005-0.015,1.5-3pct,regular_edge,central_peak,abstain,9,4,8696.0,0.06855640808366781,-0.014858310648590112,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,late_peak,abstain,9,6,8579.277777777777,0.016580810456685666,-0.0036345203759110545,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,9-11k,0.015-0.035,1.5-3pct,regular_edge,late_peak,abstain,8,5,9368.0,0.122907714724008,-0.0263273467874649,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,9-11k,lt0.005,lt0.5pct,regular_edge,late_peak,abstain,8,5,9395.5,-0.022119354142225104,0.0,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,central_peak,abstain,6,1,7911.333333333333,0.023844472890895585,-0.005218400486841024,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.005-0.015,0.5-1.5pct,regular_edge,late_peak,abstain,6,5,8622.5,0.027999067612713174,-0.006122083924342159,0.6666666666666666,0.6666666666666666,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,gt3pct,duplicate_peak,central_peak,abstain,5,3,8656.4,0.15176774121923486,-0.032310104133203676,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,0.005-0.015,0.5-1.5pct,regular_edge,late_peak,abstain,4,3,8105.0,0.03271383295983256,-0.007144881731334929,0.5,0.5,0.0,0.0
high-knee,above_knee,8-9k,0.015-0.035,gt3pct,regular_edge,central_peak,abstain,4,3,8290.0,0.15370899339814045,-0.032709862087245634,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,early_peak,abstain,4,4,8722.875,-0.026217434055989093,0.0,0.25,0.25,0.0,0.0
high-knee,deep_above_knee,9-11k,0.015-0.035,gt3pct,duplicate_peak,central_peak,abstain,4,2,9298.25,0.14015949339455186,-0.02991255463646253,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.005-0.015,0.5-1.5pct,duplicate_peak,central_peak,abstain,3,3,8347.833333333334,0.05320991475614043,-0.011570732158549757,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,1.5-3pct,duplicate_peak,central_peak,abstain,3,3,8565.0,0.13442306255486688,-0.028723627798472262,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,negative_dropout,early_peak,abstain,3,3,8604.0,-0.10168344877843191,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
high-knee,deep_above_knee,9-11k,0.015-0.035,1.5-3pct,duplicate_peak,central_peak,abstain,3,3,9405.833333333334,0.13116103854358555,-0.028046144949859908,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,0.015-0.035,1.5-3pct,regular_edge,central_peak,abstain,2,2,8090.5,0.073281573573132,-0.01586603542852094,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,1.5-3pct,regular_edge,early_peak,abstain,2,2,8420.0,0.082154096891734,-0.01774562502093241,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,gt3pct,regular_edge,early_peak,abstain,2,2,8170.75,0.14962727362490272,-0.03186883743798807,0.5,0.5,0.0,0.0
high-knee,deep_above_knee,9-11k,lt0.005,lt0.5pct,negative_dropout,early_peak,abstain,2,1,9304.5,-0.06188457459779468,0.0,0.0,0.0,0.0,0.0
high-knee,above_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,late_peak,abstain,1,1,7931.5,0.02920775982690897,-0.006384681071035403,0.0,0.0,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,negative_dropout,early_peak,abstain,1,1,7962.5,-0.06608945156694818,0.0,0.0,0.0,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,regular_edge,early_peak,abstain,1,1,7900.0,-0.048583841320313924,0.0,1.0,1.0,0.0,0.0
high-knee,above_knee,8-9k,0.005-0.015,0.5-1.5pct,duplicate_peak,central_peak,abstain,1,1,8081.5,0.028643223158044635,-0.006262048737697312,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,0.015-0.035,1.5-3pct,duplicate_peak,central_peak,abstain,1,1,8224.0,0.08784528148923135,-0.018959550378844336,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,0.015-0.035,1.5-3pct,regular_edge,early_peak,abstain,1,1,8267.0,0.126067930088943,-0.026986476196772635,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,0.015-0.035,1.5-3pct,regular_edge,late_peak,abstain,1,1,8124.0,0.09226704226054852,-0.019894907556537333,1.0,1.0,0.0,0.0
high-knee,above_knee,8-9k,lt0.005,0.5-1.5pct,regular_edge,central_peak,abstain,1,1,8259.0,0.022752357671894447,-0.0049805882602039775,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,negative_dropout,early_peak,abstain,1,1,8012.0,-0.10781520604934403,0.0,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,7-8k,0.015-0.035,1.5-3pct,regular_edge,central_peak,abstain,1,1,7932.5,0.11619744679733789,-0.024926237949651653,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,1.5-3pct,duplicate_peak,late_peak,abstain,1,1,8824.5,0.13037929221518008,-0.027883645300825544,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,1.5-3pct,regular_edge,late_peak,abstain,1,1,8732.5,0.1164127553843323,-0.024971271782743387,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,gt3pct,regular_edge,late_peak,abstain,1,1,8681.5,0.1428754561361346,-0.030474701244933455,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,0.5-1.5pct,regular_edge,central_peak,abstain,1,1,8831.5,0.022817919295028483,-0.0049948682945466505,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,9-11k,0.005-0.015,0.5-1.5pct,regular_edge,late_peak,abstain,1,1,9138.5,0.042679360498573994,-0.009302117456336245,1.0,1.0,0.0,0.0
high-knee,deep_above_knee,9-11k,0.015-0.035,gt3pct,regular_edge,late_peak,abstain,1,1,9220.0,0.13798907402103058,-0.02946316540402416,0.0,0.0,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,correct,1273,12,7728.448153967007,0.0169400557700001,-0.003712974709696004,0.01021209740769835,0.01021209740769835,1.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,correct,546,12,7289.163003663004,0.017784511375265093,-0.003897343784406593,0.016483516483516484,0.016483516483516484,1.0,0.0
high-knee,above_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,central_peak,correct,244,12,7661.51024590164,0.02621834192793882,-0.005734955797073116,0.05327868852459016,0.05327868852459016,1.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,central_peak,correct,210,7,8104.945238095238,0.01635813658553268,-0.003585885197185723,0.023809523809523808,0.023809523809523808,1.0,0.0
high-knee,near_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,central_peak,correct,206,12,7240.76213592233,0.026988612358974984,-0.005902448950606876,0.06310679611650485,0.06310679611650485,1.0,0.0
high-knee,below_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,correct,34,6,7040.588235294118,0.017946201730170835,-0.003932637576282594,0.058823529411764705,0.058823529411764705,1.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,central_peak,correct,30,11,7709.233333333334,0.018024124838722004,-0.003949642132942133,0.0,0.0,1.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,central_peak,correct,27,8,7250.055555555556,0.017699528550853324,-0.003878792664854469,0.0,0.0,1.0,0.0
high-knee,above_knee,8-9k,0.005-0.015,0.5-1.5pct,regular_edge,central_peak,correct,23,6,8097.0,0.031157131018719048,-0.006807903580477781,0.043478260869565216,0.043478260869565216,1.0,0.0
high-knee,below_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,central_peak,correct,16,4,7057.25,0.029745120585172397,-0.006501234744035078,0.0,0.0,1.0,0.0
high-knee,near_knee,7-8k,0.015-0.035,1.5-3pct,regular_edge,central_peak,correct,16,9,7254.4375,0.11037206599190538,-0.02370620693977815,0.0625,0.0625,1.0,0.0
high-knee,near_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,late_peak,correct,14,8,7269.25,0.0370337118282096,-0.008081338152302497,0.5714285714285714,0.5714285714285714,1.0,0.0
high-knee,above_knee,7-8k,0.015-0.035,1.5-3pct,regular_edge,central_peak,correct,9,5,7652.388888888889,0.08743657639820655,-0.018873004803799276,0.0,0.0,1.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,regular_edge,late_peak,correct,8,3,7755.125,0.01821866906346637,-0.003992068680810923,0.0,0.0,1.0,0.0
high-knee,near_knee,7-8k,lt0.005,0.5-1.5pct,regular_edge,central_peak,correct,8,6,7234.75,0.02279549514950125,-0.004989984112913348,0.0,0.0,1.0,0.0
high-knee,near_knee,7-8k,0.005-0.015,0.5-1.5pct,duplicate_peak,central_peak,correct,7,5,7204.714285714285,0.03873941232598782,-0.008450648616260659,0.0,0.0,1.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,regular_edge,late_peak,correct,6,5,7201.916666666667,0.018982182596166994,-0.004158678404905303,0.0,0.0,1.0,0.0
high-knee,above_knee,7-8k,0.015-0.035,gt3pct,regular_edge,central_peak,correct,5,4,7737.8,0.15243399450859355,-0.03244734165399976,0.0,0.0,1.0,0.0
high-knee,above_knee,8-9k,0.015-0.035,gt3pct,regular_edge,central_peak,correct,5,3,8098.9,0.15320949368102138,-0.03260703306406365,0.2,0.2,1.0,0.0
high-knee,above_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,late_peak,correct,3,3,7585.0,0.029316146334498628,-0.006408222031131783,0.3333333333333333,0.3333333333333333,1.0,0.0
high-knee,above_knee,7-8k,0.015-0.035,1.5-3pct,regular_edge,late_peak,correct,3,2,7780.0,0.07865368726399631,-0.017009482327310366,1.0,1.0,1.0,0.0
high-knee,above_knee,7-8k,lt0.005,0.5-1.5pct,regular_edge,central_peak,correct,2,2,7545.0,0.02276545544325505,-0.004983441119820575,0.0,0.0,1.0,0.0
high-knee,above_knee,8-9k,0.015-0.035,1.5-3pct,regular_edge,central_peak,correct,2,1,8242.75,0.10490223547074812,-0.022528391379881885,0.0,0.0,1.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,duplicate_peak,central_peak,correct,2,2,8039.0,0.0192112643600715,-0.004208625065464322,0.0,0.0,1.0,0.0
high-knee,below_knee,7-8k,0.015-0.035,1.5-3pct,regular_edge,late_peak,correct,2,2,7037.75,0.08853117318909198,-0.01910472972852989,1.0,1.0,1.0,0.0
high-knee,below_knee,7-8k,lt0.005,lt0.5pct,regular_edge,late_peak,correct,2,2,7028.5,0.01663209179773497,-0.003645694876273864,0.0,0.0,1.0,0.0
high-knee,above_knee,7-8k,0.005-0.015,0.5-1.5pct,duplicate_peak,central_peak,correct,1,1,7139.0,0.026980438993025952,-0.005900671979983341,0.0,0.0,1.0,0.0
high-knee,above_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,early_peak,correct,1,1,7998.0,0.05070219095345854,-0.01103143209887214,0.0,0.0,1.0,0.0
high-knee,above_knee,7-8k,0.005-0.015,1.5-3pct,regular_edge,central_peak,correct,1,1,7918.0,0.06921980161592013,-0.01499993204501271,0.0,0.0,1.0,0.0
high-knee,above_knee,7-8k,0.015-0.035,1.5-3pct,regular_edge,early_peak,correct,1,1,7870.5,0.1321230626310997,-0.028246043935799547,0.0,0.0,1.0,0.0
high-knee,above_knee,7-8k,0.015-0.035,gt3pct,regular_edge,early_peak,correct,1,1,7982.5,0.1422359353785837,-0.030342433221679732,0.0,0.0,1.0,0.0
high-knee,above_knee,8-9k,0.005-0.015,0.5-1.5pct,duplicate_peak,central_peak,correct,1,1,8066.0,0.03045376204936692,-0.006655238698604737,0.0,0.0,1.0,0.0
high-knee,below_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,late_peak,correct,1,1,7053.5,0.047107961387922295,-0.010257445885110239,1.0,1.0,1.0,0.0
high-knee,below_knee,7-8k,lt0.005,0.5-1.5pct,regular_edge,central_peak,correct,1,1,7008.0,0.022836240036066477,-0.004998858677866425,0.0,0.0,1.0,0.0
high-knee,below_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,central_peak,correct,1,1,7012.5,0.01819169123713402,-0.0039862185396564165,0.0,0.0,1.0,0.0
high-knee,near_knee,7-8k,0.005-0.015,0.5-1.5pct,regular_edge,early_peak,correct,1,1,7365.0,0.03216104613514229,-0.007025720157505355,1.0,1.0,1.0,0.0
high-knee,near_knee,7-8k,0.015-0.035,1.5-3pct,regular_edge,early_peak,correct,1,1,7438.0,0.09393398121582408,-0.020247060722728416,1.0,1.0,1.0,0.0
high-knee,near_knee,7-8k,0.015-0.035,1.5-3pct,regular_edge,late_peak,correct,1,1,7378.0,0.0954542178092139,-0.02056800137180137,1.0,1.0,1.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,late_peak,correct,1,1,7418.0,0.016089731116604486,-0.003527255276079333,0.0,0.0,1.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,central_peak,pass,26303,12,8555.089153328518,0.00730665946689449,-0.0016048852856582752,0.0004182032467779341,0.0004182032467779341,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,pass,26158,12,7714.783316767337,0.004334182839660493,-0.0009526118900218261,7.645844483523205e-05,7.645844483523205e-05,0.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,pass,22463,12,7257.230245292259,0.0024886962240725213,-0.0005472135626640728,0.0002671059074923207,0.0002671059074923207,0.0,0.0
high-knee,deep_above_knee,9-11k,lt0.005,lt0.5pct,regular_edge,central_peak,pass,10216,12,9273.151967501957,0.0056829955533830665,-0.0012486978260117798,0.0011746280344557558,0.0011746280344557558,0.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,central_peak,pass,9207,11,8134.176496144238,0.006099928545857209,-0.0013401857718504662,0.0002172260236776366,0.0002172260236776366,0.0,0.0
high-knee,below_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,pass,1437,6,7060.559151009046,0.002385465479588777,-0.000524527132408692,0.0,0.0,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,central_peak,pass,685,12,7708.029197080292,-0.009578058681412748,0.0,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,duplicate_peak,central_peak,pass,661,12,8519.220877458396,-0.008499329905400812,0.0,0.0015128593040847202,0.0015128593040847202,0.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,central_peak,pass,487,12,7246.543121149897,-0.009882318682619604,0.0,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,duplicate_peak,central_peak,pass,224,11,8121.845982142857,-0.009686201558409265,0.0,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,9-11k,lt0.005,lt0.5pct,duplicate_peak,central_peak,pass,77,11,9140.623376623376,-0.010850191723719387,0.0,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,7-8k,lt0.005,lt0.5pct,regular_edge,central_peak,pass,48,1,7916.260416666667,0.008684784693004537,-0.0019070065308707806,0.0,0.0,0.0,0.0
high-knee,below_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,central_peak,pass,43,6,7067.604651162791,-0.0114457964370368,0.0,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,late_peak,pass,14,7,8518.92857142857,0.004814381993884138,-0.0010578780869402449,0.0,0.0,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,regular_edge,late_peak,pass,13,7,7672.461538461538,0.0056991186224716935,-0.0012522360357672957,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,9-11k,lt0.005,lt0.5pct,regular_edge,late_peak,pass,13,8,9364.538461538461,0.003172525514824877,-0.0006974688109899763,0.0,0.0,0.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,regular_edge,late_peak,pass,9,6,7264.222222222223,0.008375682509700631,-0.0018392610375035368,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,late_peak,pass,6,4,8139.416666666667,0.007414312403742535,-0.001628491918599817,0.0,0.0,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,late_peak,pass,2,2,7620.5,-0.001853354101454617,-0.0009923827861111345,0.0,0.0,0.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,duplicate_peak,late_peak,pass,2,2,7425.0,-0.008801447584344589,0.0,0.0,0.0,0.0,0.0
high-knee,below_knee,7-8k,lt0.005,lt0.5pct,regular_edge,late_peak,pass,1,1,7217.0,0.014283550655524937,-0.0031325375173872905,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,regular_edge,early_peak,pass,1,1,8946.5,-0.007209650742854666,0.0,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,gt0.035,gt3pct,regular_edge,central_peak,veto,1614,12,8555.267657992565,0.17419360155351993,-0.03690817538250368,0.0012391573729863693,0.0012391573729863693,0.0,0.0
high-knee,deep_above_knee,8-9k,gt0.035,gt3pct,positive_residual_outlier,central_peak,veto,652,12,8452.63726993865,0.1833186668880391,-0.038461538461538436,0.01687116564417178,0.01687116564417178,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,negative_dropout,central_peak,veto,365,12,8566.88493150685,-0.1873185512372221,0.0,0.26575342465753427,0.26575342465753427,0.0,0.0
high-knee,above_knee,7-8k,gt0.035,gt3pct,positive_residual_outlier,central_peak,veto,294,12,7817.083333333333,0.1872685239433958,-0.038461538461538436,0.017006802721088437,0.017006802721088437,0.0,0.0
high-knee,above_knee,8-9k,gt0.035,gt3pct,positive_residual_outlier,central_peak,veto,253,11,8116.01185770751,0.18301307586950558,-0.038461538461538436,0.003952569169960474,0.003952569169960474,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,negative_dropout,central_peak,veto,252,12,7690.049603174603,-0.2065651634231189,0.0,0.25793650793650796,0.25793650793650796,0.0,0.0
high-knee,above_knee,8-9k,gt0.035,gt3pct,regular_edge,central_peak,veto,252,11,8163.275793650793,0.1768368579303763,-0.03744725660146486,0.0,0.0,0.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,negative_dropout,central_peak,veto,228,12,7269.070175438596,-0.2253490057141591,0.0,0.2982456140350877,0.2982456140350877,0.0,0.0
high-knee,deep_above_knee,8-9k,0.015-0.035,gt3pct,regular_edge,central_peak,veto,173,12,8717.63294797688,0.16335776723836085,-0.034691925774578025,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,9-11k,gt0.035,gt3pct,regular_edge,central_peak,veto,159,12,9197.893081761007,0.1705082614664528,-0.0361555568708517,0.012578616352201259,0.012578616352201259,0.0,0.0
high-knee,deep_above_knee,9-11k,lt0.005,lt0.5pct,negative_dropout,central_peak,veto,130,12,9266.334615384616,-0.18201520450578845,0.0,0.2230769230769231,0.2230769230769231,0.0,0.0
high-knee,deep_above_knee,9-11k,gt0.035,gt3pct,positive_residual_outlier,central_peak,veto,113,12,9282.699115044248,0.31377249117103995,-0.03846153846153855,0.035398230088495575,0.04424778761061947,0.0,-0.008849557522123894
high-knee,near_knee,7-8k,gt0.035,gt3pct,positive_residual_outlier,central_peak,veto,107,10,7236.761682242991,0.3277590888882338,-0.03846153846153855,0.028037383177570093,0.028037383177570093,0.0,0.0
high-knee,above_knee,8-9k,lt0.005,lt0.5pct,negative_dropout,central_peak,veto,100,11,8147.575,-0.1939594013720492,0.0,0.29,0.29,0.0,0.0
high-knee,above_knee,7-8k,lt0.005,lt0.5pct,negative_dropout,early_peak,veto,80,12,7653.08125,-0.6174509901173821,0.0,0.65,0.65,0.0,0.0
high-knee,near_knee,7-8k,lt0.005,lt0.5pct,negative_dropout,early_peak,veto,73,11,7288.582191780822,-0.6418184747543108,0.0,0.589041095890411,0.589041095890411,0.0,0.0
high-knee,deep_above_knee,8-9k,lt0.005,lt0.5pct,negative_dropout,early_peak,veto,50,11,8544.46,-0.5630509855695033,0.0,0.56,0.56,0.0,0.0
high-knee,above_knee,7-8k,gt0.035,gt3pct,duplicate_peak,central_peak,veto,48,11,7870.6875,0.18225615213305138,-0.038461538461538436,0.0,0.0,0.0,0.0
high-knee,above_knee,7-8k,gt0.035,gt3pct,regular_edge,central_peak,veto,48,10,7934.770833333333,0.1780515165300244,-0.0376947788719626,0.0,0.0,0.0,0.0
high-knee,deep_above_knee,8-9k,gt0.035,gt3pct,duplicate_peak,central_peak,veto,33,6,8282.363636363636,0.17554797617093526,-0.03718446990163693,0.0,0.0,0.0,0.0
high-knee,above_knee,8-9k,gt0.035,gt3pct,duplicate_peak,central_peak,veto,31,10,8096.919354838709,0.1766484061409148,-0.03740884261772215,0.0,0.0,0.0,0.0
