heldout_run,method,train_runs,n_train_events,n_heldout_events,n_heldout_tail_events,threshold,score_auc,tail_capture_efficiency,clean_keep_efficiency,precision,veto_fraction,kept_pair_sigma68_ns,kept_tail_frac_abs_gt5ns,n_kept_pair_residuals,n_kept_events,tp,fp,tn,fn,tail_capture_efficiency_ci_low,tail_capture_efficiency_ci_high,veto_fraction_ci_low,veto_fraction_ci_high,precision_ci_low,precision_ci_high,kept_pair_sigma68_ns_ci_low,kept_pair_sigma68_ns_ci_high,kept_tail_frac_abs_gt5ns_ci_low,kept_tail_frac_abs_gt5ns_ci_high
61,ml_shuffled_label_control,58 59 60 62 63 65,2849,925,44,0.5251568311250662,0.48911361056650504,0.29545454545454547,0.7150964812712827,0.04924242424242424,0.28540540540540543,2.195669410050277,0.023701462430660614,1983,661,13.0,251.0,630.0,31.0,0.1665909090909091,0.4339827727645611,0.25513513513513514,0.3145945945945946,0.02563868613138686,0.07663572060123783,2.1110187170154795,2.330005277544295,0.015150370777258995,0.032941106880188226
62,no_veto_s02b_timewalk,58 59 60 61 63 65,2976,798,17,,,0.0,1.0,0.0,0.0,1.5953122947411922,0.011278195488721804,2394,798,,,,,,,,,,,,,,
62,traditional_proxy_threshold_veto,58 59 60 61 63 65,2976,798,17,9.684372215599723,0.6322964525118626,0.47058823529411764,0.7631241997439181,0.04145077720207254,0.24185463659147868,1.618825057484727,0.007713498622589532,1815,605,8.0,185.0,596.0,9.0,0.22714646464646465,0.6924999999999998,0.21177944862155387,0.2706766917293233,0.016040647400159293,0.06952493470961323,1.5523419246169023,1.6797349283823533,0.0032569330426198005,0.01420881866551625
62,ml_logistic_proxy_veto,58 59 60 61 63 65,2976,798,17,0.5233736771163877,0.4889658808465768,0.35294117647058826,0.7106274007682458,0.02586206896551724,0.2907268170426065,1.59453452413535,0.01060070671378092,1698,566,6.0,226.0,555.0,11.0,0.1111111111111111,0.6,0.2581453634085213,0.3233082706766917,0.0048264239973036735,0.04889819376026272,1.5347553042726818,1.6428398203349175,0.004637479871175523,0.01788939132931381
62,ml_shuffled_label_control,58 59 60 61 63 65,2976,798,17,0.5305898202071251,0.43029298787376663,0.23529411764705882,0.734955185659411,0.018957345971563982,0.2644110275689223,1.612647211007143,0.011357183418512209,1761,587,4.0,207.0,574.0,13.0,0.058823529411764705,0.45454545454545453,0.23558897243107768,0.29448621553884713,0.004545454545454545,0.03793300821942898,1.5532165318683704,1.6650270786490398,0.005299193034351736,0.018620977670993803
63,no_veto_s02b_timewalk,58 59 60 61 62 65,3409,365,13,,,0.0,1.0,0.0,0.0,1.5244074616332646,0.0182648401826484,1095,365,,,,,,,,,,,,,,
63,traditional_proxy_threshold_veto,58 59 60 61 62 65,3409,365,13,9.503572114140747,0.560423951048951,0.3076923076923077,0.6704545454545454,0.03333333333333333,0.3287671232876712,1.566043965231656,0.01904761904761905,735,245,4.0,116.0,236.0,9.0,0.06666666666666667,0.6,0.27671232876712326,0.37534246575342467,0.007510683182777087,0.06957608695652173,1.4435359512137103,1.6609131952267049,0.006774382015075212,0.03230345750154352
63,ml_logistic_proxy_veto,58 59 60 61 62 65,3409,365,13,0.5047902838079424,0.6094842657342658,0.46153846153846156,0.7585227272727273,0.06593406593406594,0.2493150684931507,1.5095048087599332,0.012165450121654502,822,274,6.0,85.0,267.0,7.0,0.17622549019607844,0.75,0.2054794520547945,0.2958904109589041,0.02172196796338673,0.11494252873563218,1.4455182622154066,1.5848457359493189,0.0036363636363636364,0.02222614840989399
63,ml_shuffled_label_control,58 59 60 61 62 65,3409,365,13,0.4955112460917199,0.5972465034965034,0.46153846153846156,0.7017045454545454,0.05405405405405406,0.3041095890410959,1.582522687504842,0.014435695538057743,762,254,6.0,105.0,247.0,7.0,0.2,0.75,0.2547945205479452,0.35342465753424657,0.018010045443673763,0.10169883866917766,1.485364753917907,1.6495420574693975,0.004308518410286382,0.025940735897599456
65,no_veto_s02b_timewalk,58 59 60 61 62 63,3711,63,0,,,0.0,1.0,0.0,0.0,1.5967737652544047,0.0,189,63,,,,,,,,,,,,,,
65,traditional_proxy_threshold_veto,58 59 60 61 62 63,3711,63,0,9.68511525384769,,0.0,0.8571428571428571,0.0,0.14285714285714285,1.52477270296257,0.0,162,54,0.0,9.0,54.0,0.0,0.0,0.0,0.06349206349206349,0.23809523809523808,0.0,0.0,1.2812512766231277,1.753175345487895,0.0,0.0
65,ml_logistic_proxy_veto,58 59 60 61 62 63,3711,63,0,0.5050583972378888,,0.0,0.6825396825396826,0.0,0.31746031746031744,1.639280980243373,0.0,129,43,0.0,20.0,43.0,0.0,0.0,0.0,0.20634920634920634,0.4444444444444444,0.0,0.0,1.3824587269710584,2.0302675550419194,0.0,0.0
65,ml_shuffled_label_control,58 59 60 61 62 63,3711,63,0,0.5134987889259179,,0.0,0.746031746031746,0.0,0.25396825396825395,1.6415133254018697,0.0,141,47,0.0,16.0,47.0,0.0,0.0,0.0,0.14285714285714285,0.36507936507936506,0.0,0.0,1.325411337915024,1.9726640459620923,0.0,0.0
