g4_entry,primary_pdg,primary_ekin_mev,primary_time_ns,truth_stave,truth_layer,pid_label,pid_name,dominant_pdg,g4_total_edep_mev,g4_dominant_edep_mev,g4_first_time_ns,g4_energy_weighted_time_ns,g4_n_sci_hits,g4_n_bstack_layers,g4_track_length_sum_mm
22034,2212,109.01205639980263,0.0,B2,0,1,deuteron,1000010020,55.897789712649626,40.19272499622943,8.48612836166429,11.862792735759953,2,1,222.9649058914771
10682,2212,142.1720154253362,0.0,B6,4,0,proton,2212,52.374751737672256,23.962015977267757,7.387111065815012,7.758400528506822,3,3,342.2794454083409
1291,2212,94.6721214649533,0.0,B2,0,0,proton,2212,25.512284170632338,25.512284170632338,9.078694776142042,9.078694776142042,1,1,109.96131784563902
1737,2212,59.608132145010984,0.0,B4,2,1,deuteron,1000010020,63.778777255832466,41.308248201893576,10.501109360078363,10.772852513549763,2,2,226.31567460727848
27719,2212,168.46024983907728,0.0,B4,2,0,proton,2212,60.32651646951951,50.59988866897334,6.987073273234621,7.252009394151976,2,2,113.92049895982491
18008,2212,64.81100250173688,0.0,B4,2,1,deuteron,1000010020,73.34431426065856,49.75137334207099,10.650643665776329,10.942610433942768,2,2,225.1711894528558
19612,2212,60.11787998749904,0.0,B4,2,1,deuteron,1000010020,62.605763535070714,39.4572911728984,10.466682904855341,10.729825295739946,2,2,226.34500637132066
5424,2212,167.26166335768343,0.0,B8,6,0,proton,2212,53.64317530635965,17.529814685078097,7.022720310059124,7.494867094205667,4,4,474.7277327781908
20807,2212,137.83808940383656,0.0,B8,6,0,proton,2212,76.68631292922264,28.07875186756046,7.46314040923911,8.049000771997594,4,4,463.8792839453342
3474,2212,62.569842072364644,0.0,B4,2,1,deuteron,1000010020,96.6248255092662,38.50516187998027,10.563989928248745,10.930136054707074,4,2,225.7219163010608
10012,2212,75.8708966971935,0.0,B2,0,1,deuteron,1000010020,62.91108597129434,35.81168268129393,10.025355133370642,10.683234558024237,2,1,219.47399861632408
1325,2212,152.22830592933943,0.0,B8,6,0,proton,2212,86.87627905941463,31.843142144070672,7.156268182607911,7.823981034497894,5,4,461.77633279164166
18902,2212,53.26165628522791,0.0,B4,2,1,deuteron,1000010020,57.069130703601026,35.256706544554945,10.287708784112592,10.539257472321502,2,2,228.0186992106418
23096,2212,149.85105802876595,0.0,B8,6,0,proton,2212,83.44575863779482,38.2553504384193,7.226576289699614,7.856575939678934,4,4,464.5951640667331
10683,2212,93.87143951167774,0.0,B2,0,1,deuteron,1000010020,88.82223187614315,64.24374548789784,8.997992824097194,11.240641937855568,2,1,219.02744473175065
28063,2212,53.570445520968406,0.0,B2,0,1,deuteron,1000010020,21.587884860918038,21.587884860918038,10.32162784979826,10.32162784979826,1,1,111.87376105129468
10483,2212,168.78702185854732,0.0,B8,6,0,proton,2212,53.84370444318145,17.5670591657366,6.966883774164391,7.4405277151623155,4,4,472.503947187481
11735,2212,164.53018195272048,0.0,B8,6,0,proton,2212,54.84421415911686,18.579404734715588,7.004068477112106,7.486394806124736,4,4,470.3044806371329
19851,2212,148.07638736288283,0.0,B8,6,0,proton,2212,81.66996564647104,36.50215178910486,7.263356777131576,7.890498949987977,4,4,464.079152806384
14755,2212,170.62553263236924,0.0,B2,0,0,proton,2212,11.041680952369552,11.041680952369552,7.007301361996473,7.007301361996473,1,1,113.62451443685059
23385,2212,164.98350995132125,0.0,B8,6,0,proton,2212,57.948397747721806,19.623700369402393,7.022341970981476,7.502532443249004,4,4,471.97185754619204
22130,2212,159.11252072584773,0.0,B8,6,0,proton,2212,70.80315402489798,28.719441541651253,7.043645458949488,7.598951351468745,4,4,464.2072445970875
3273,2212,62.35034589796318,0.0,B4,2,1,deuteron,1000010020,68.46053996011636,45.406800059530674,10.552209089388494,10.8341357616596,2,2,225.73480592733978
11611,2212,99.14317367508295,0.0,B2,0,1,deuteron,1000010020,117.58498342696845,53.106090355643545,8.831920267424856,10.69342531837229,3,2,334.5740780259632
