sideband,value,method,n,timing_pull_sigma68,pileup_miss_rate,false_split_rate,energy_fractional_sigma68,pid_balanced_accuracy
curvature_band,low_curvature,gradient_boosted_trees,227,6.089845981661087,0.7058823529411765,0.13836477987421383,0.1669023314748948,0.8519125683060109
curvature_band,low_curvature,joint_sequence_transformer,226,14.946624457710378,0.8059701492537313,0.09433962264150944,0.2622853971024151,0.4823455233291299
curvature_band,low_curvature,mlp,227,9.616584556480404,0.7941176470588235,0.1069182389937107,0.1997720483357342,0.6947697111631538
curvature_band,low_curvature,ridge,227,7.493876884444412,0.9117647058823529,0.0440251572327044,0.18268030595981333,0.734192037470726
curvature_band,low_curvature,template_residual_boosted_stack_new,226,6.91526271512418,0.6865671641791045,0.16352201257861634,0.16270574689161577,0.8523013871374527
curvature_band,mid_curvature,1d_cnn,226,7.190397123052621,0.3739130434782609,0.27927927927927926,0.11930578791273999,0.6370915032679738
curvature_band,mid_curvature,deltaE_over_E_likelihood_template,227,10.755123678592657,0.7844827586206896,0.15315315315315314,0.08738098509338199,0.7852698771816419
curvature_band,mid_curvature,gradient_boosted_trees,226,5.603597353025721,0.28695652173913044,0.34234234234234234,0.09852547496805505,0.8373366013071895
curvature_band,mid_curvature,joint_sequence_transformer,227,7.5824519634134875,0.3448275862068966,0.36936936936936937,0.1789599356917944,0.5675182481751825
curvature_band,mid_curvature,mlp,226,8.786294949963324,0.2956521739130435,0.45045045045045046,0.17112237892374693,0.694281045751634
curvature_band,mid_curvature,ridge,227,5.98515944074294,0.3448275862068966,0.35135135135135137,0.10121995598299986,0.7375565610859729
curvature_band,mid_curvature,template_residual_boosted_stack_new,227,5.2581986061764425,0.29310344827586204,0.3153153153153153,0.10894450154246138,0.8468369829683698
energy_residual_band,high_abs_energy_resid,1d_cnn,232,8.294691524957123,0.5068493150684932,0.14465408805031446,0.09742127556679092,0.6391962068186949
energy_residual_band,high_abs_energy_resid,deltaE_over_E_likelihood_template,54,9.185170865450122,0.18181818181818182,0.5625,0.33131362328383307,0.7962962962962963
energy_residual_band,high_abs_energy_resid,gradient_boosted_trees,206,6.679843106811068,0.6923076923076923,0.15584415584415584,0.30893167360356066,0.8234126984126984
energy_residual_band,high_abs_energy_resid,joint_sequence_transformer,263,12.898537972402341,0.5402298850574713,0.1875,0.3614417377244127,0.5009832272990168
energy_residual_band,high_abs_energy_resid,mlp,256,11.89018416460185,0.43529411764705883,0.29239766081871343,0.35503637712118424,0.7316849816849818
energy_residual_band,high_abs_energy_resid,ridge,224,6.6923583946150575,0.6440677966101694,0.1696969696969697,0.11099336069588403,0.7401913875598086
energy_residual_band,high_abs_energy_resid,template_residual_boosted_stack_new,201,6.682316657557322,0.6666666666666666,0.13725490196078433,0.34881895093111426,0.8122390137204216
energy_residual_band,low_abs_energy_resid,1d_cnn,202,7.878831023180917,0.29457364341085274,0.3150684931506849,0.036625278359770405,0.6726284584980238
energy_residual_band,low_abs_energy_resid,deltaE_over_E_likelihood_template,109,8.830804129718107,0.17045454545454544,0.6666666666666666,0.04125400378949931,0.8034494535519126
energy_residual_band,low_abs_energy_resid,gradient_boosted_trees,261,5.635082042049136,0.18994413407821228,0.43902439024390244,0.03908623977974081,0.869553728714034
energy_residual_band,low_abs_energy_resid,joint_sequence_transformer,149,8.291776100646835,0.2608695652173913,0.22807017543859648,0.04010973467617353,0.4971859114015976
energy_residual_band,low_abs_energy_resid,mlp,184,9.431718464589881,0.30973451327433627,0.3380281690140845,0.043098508863457605,0.6664230019493177
energy_residual_band,low_abs_energy_resid,ridge,268,6.778903163131801,0.22282608695652173,0.39285714285714285,0.03917279962240727,0.7409514249065863
energy_residual_band,low_abs_energy_resid,template_residual_boosted_stack_new,263,5.4938594083799135,0.17415730337078653,0.4823529411764706,0.044897747943905886,0.8670144927536232
energy_residual_band,mid_abs_energy_resid,1d_cnn,246,9.928007922545,0.34782608695652173,0.17592592592592593,0.04812154060406223,0.6542711572818104
energy_residual_band,mid_abs_energy_resid,deltaE_over_E_likelihood_template,65,10.74891717022222,0.05,0.44,0.1250550229465693,0.6973434535104364
energy_residual_band,mid_abs_energy_resid,gradient_boosted_trees,213,6.489209113370938,0.3119266055045872,0.33653846153846156,0.12595100373054052,0.8291284403669725
energy_residual_band,mid_abs_energy_resid,joint_sequence_transformer,268,8.360801897479632,0.2670807453416149,0.3925233644859813,0.14079924102180097,0.5447761194029851
energy_residual_band,mid_abs_energy_resid,mlp,240,9.980370804887514,0.3380281690140845,0.29591836734693877,0.14475333976225785,0.7265734265734266
energy_residual_band,mid_abs_energy_resid,ridge,188,7.0889371539493276,0.3711340206185567,0.3076923076923077,0.12396942626677654,0.7669958007036659
energy_residual_band,mid_abs_energy_resid,template_residual_boosted_stack_new,216,7.414301288186312,0.3508771929824561,0.30392156862745096,0.12321852022672057,0.8691038749033422
pedestal_drift_band,high_pedestal,1d_cnn,227,8.321873195066658,0.26126126126126126,0.2672413793103448,0.10370004114922807,0.6814829192546584
pedestal_drift_band,high_pedestal,deltaE_over_E_likelihood_template,226,7.142176796865506,0.5405405405405406,0.1826086956521739,0.07299780597137273,0.7915100250626566
pedestal_drift_band,high_pedestal,gradient_boosted_trees,227,5.360945960900491,0.1891891891891892,0.33620689655172414,0.07156304522922025,0.824223602484472
pedestal_drift_band,high_pedestal,joint_sequence_transformer,227,7.41567250114126,0.1981981981981982,0.4224137931034483,0.16400308017014703,0.48629658385093166
pedestal_drift_band,high_pedestal,mlp,227,10.12302890481909,0.25225225225225223,0.4051724137931034,0.12237859631787384,0.7296583850931677
pedestal_drift_band,high_pedestal,ridge,226,6.528453108548494,0.25225225225225223,0.34782608695652173,0.06959525938135278,0.8003602756892231
pedestal_drift_band,high_pedestal,template_residual_boosted_stack_new,227,5.9697953240139086,0.1981981981981982,0.33620689655172414,0.07474811137034704,0.8508928571428571
pedestal_drift_band,low_pedestal,1d_cnn,227,10.928325607028992,0.42727272727272725,0.1111111111111111,0.15768019543810652,0.6398680124223602
pedestal_drift_band,low_pedestal,deltaE_over_E_likelihood_template,227,7.4503296075807945,0.6363636363636364,0.09401709401709402,0.1159109444725509,0.7451475155279503
pedestal_drift_band,low_pedestal,gradient_boosted_trees,227,7.741773486117376,0.39090909090909093,0.28205128205128205,0.11070994739282498,0.8584239130434783
pedestal_drift_band,low_pedestal,joint_sequence_transformer,226,11.42199196782483,0.4090909090909091,0.15517241379310345,0.17723273369742454,0.5291353383458647
pedestal_drift_band,low_pedestal,mlp,227,10.329527013569855,0.42727272727272725,0.26495726495726496,0.20140116591236484,0.7017857142857142
pedestal_drift_band,low_pedestal,ridge,227,7.884564830274099,0.36363636363636365,0.23076923076923078,0.13954255574061086,0.7229425465838509
pedestal_drift_band,low_pedestal,template_residual_boosted_stack_new,226,7.48399482437035,0.34545454545454546,0.23275862068965517,0.11306123081476294,0.8533051378446115
pedestal_drift_band,mid_pedestal,1d_cnn,226,7.0178928066693125,0.3949579831932773,0.19626168224299065,0.13908559308499904,0.6505312868949233
pedestal_drift_band,mid_pedestal,deltaE_over_E_likelihood_template,227,6.041953606773011,0.680672268907563,0.10185185185185185,0.07274157663501755,0.782901917979105
pedestal_drift_band,mid_pedestal,gradient_boosted_trees,226,5.832508065838967,0.33613445378151263,0.21495327102803738,0.14660382025855767,0.8437622983077528
pedestal_drift_band,mid_pedestal,joint_sequence_transformer,227,8.198619344740521,0.3949579831932773,0.19444444444444445,0.21251457192368892,0.5445745511319282
pedestal_drift_band,mid_pedestal,mlp,226,9.806640998475146,0.37815126050420167,0.2336448598130841,0.1815815289351117,0.6927587563951201
pedestal_drift_band,mid_pedestal,ridge,227,6.818695436019759,0.3949579831932773,0.2037037037037037,0.16629893168864915,0.720333697177608
