support_cell,negative_rows,positive_rows,min_class_rows,matched_cell
sample_i_calib|1|0|0|0|0|0,13,0,0,False
sample_i_calib|1|0|0|0|0|1,4,0,0,False
sample_i_calib|1|0|0|0|1|0,3,0,0,False
sample_i_calib|1|0|0|0|1|1,2,0,0,False
sample_i_calib|1|1|0|0|0|0,21,7,7,True
sample_i_calib|1|1|0|0|1|0,14,0,0,False
sample_i_calib|1|1|1|0|0|0,0,1,0,False
sample_i_calib|1|2|0|0|0|0,3,15,3,True
sample_i_calib|1|2|0|0|0|1,1,0,0,False
sample_i_calib|1|2|1|0|0|0,1,7,1,False
sample_i_calib|1|2|1|0|0|1,1,5,1,False
sample_i_calib|1|3|1|0|0|0,0,16,0,False
sample_i_calib|1|3|1|0|0|1,0,11,0,False
sample_i_calib|1|3|1|0|1|0,1,0,0,False
sample_i_calib|2|0|0|0|0|0,4,0,0,False
sample_i_calib|2|0|0|0|0|1,1,0,0,False
sample_i_calib|2|0|0|0|1|0,1,0,0,False
sample_i_calib|2|0|0|0|1|1,1,0,0,False
sample_i_calib|2|1|0|0|0|0,11,8,8,True
sample_i_calib|2|1|0|0|1|0,1,0,0,False
sample_i_calib|2|2|0|0|0|0,1,1,1,False
sample_i_calib|2|2|1|0|0|0,1,3,1,False
sample_i_calib|2|3|1|0|0|0,0,4,0,False
sample_i_calib|2|3|1|0|0|1,0,1,0,False
sample_i_calib|3|0|0|0|0|0,4,0,0,False
sample_i_calib|3|1|0|0|0|0,3,5,3,True
sample_i_calib|3|1|0|0|1|0,1,0,0,False
sample_i_calib|3|2|0|0|0|0,1,2,1,False
sample_i_calib|3|2|0|0|1|0,1,0,0,False
sample_i_calib|3|2|1|0|0|0,0,2,0,False
sample_i_calib|3|3|1|0|0|0,0,2,0,False
sample_i_calib|3|3|1|0|0|1,0,1,0,False
sample_ii_analysis|0|0|0|1|0|0,821,0,0,False
sample_ii_analysis|0|0|0|1|0|1,45,0,0,False
sample_ii_analysis|0|0|0|1|1|0,32,0,0,False
sample_ii_analysis|0|0|0|1|1|1,94,0,0,False
sample_ii_analysis|0|1|0|1|0|0,143,323,143,True
sample_ii_analysis|0|1|0|1|0|1,15,0,0,False
sample_ii_analysis|0|1|0|1|1|0,107,0,0,False
sample_ii_analysis|0|1|0|1|1|1,7,0,0,False
sample_ii_analysis|0|2|0|1|0|0,1,621,1,False
sample_ii_analysis|0|2|0|1|1|0,14,0,0,False
sample_ii_analysis|0|2|1|1|0|0,0,152,0,False
sample_ii_analysis|0|2|1|1|0|1,2,4,2,False
sample_ii_analysis|0|2|1|1|1|0,2,0,0,False
sample_ii_analysis|0|3|1|1|0|0,0,134,0,False
sample_ii_analysis|0|3|1|1|0|1,0,20,0,False
sample_ii_analysis|1|0|0|0|0|0,29,0,0,False
sample_ii_analysis|1|0|0|0|0|1,18,0,0,False
sample_ii_analysis|1|0|0|0|1|0,8,0,0,False
sample_ii_analysis|1|0|0|0|1|1,11,0,0,False
sample_ii_analysis|1|1|0|0|0|0,61,147,61,True
sample_ii_analysis|1|1|0|0|1|0,60,1,1,False
sample_ii_analysis|1|1|1|0|0|0,0,4,0,False
sample_ii_analysis|1|2|0|0|0|0,2,29,2,False
sample_ii_analysis|1|2|1|0|0|0,0,14,0,False
sample_ii_analysis|1|3|1|0|0|0,0,10,0,False
sample_ii_analysis|1|3|1|0|0|1,0,1,0,False
sample_ii_analysis|2|0|0|0|0|0,24,0,0,False
sample_ii_analysis|2|0|0|0|0|1,19,0,0,False
sample_ii_analysis|2|0|0|0|1|0,15,0,0,False
sample_ii_analysis|2|0|0|0|1|1,9,0,0,False
sample_ii_analysis|2|1|0|0|0|0,28,119,28,True
sample_ii_analysis|2|1|0|0|1|0,33,0,0,False
sample_ii_analysis|2|2|0|0|0|0,3,11,3,True
sample_ii_analysis|2|2|1|0|0|0,0,4,0,False
sample_ii_analysis|2|3|1|0|0|0,0,3,0,False
sample_ii_analysis|2|3|1|0|0|1,0,3,0,False
sample_ii_analysis|3|0|0|0|0|0,22,2,2,False
sample_ii_analysis|3|0|0|0|0|1,8,0,0,False
sample_ii_analysis|3|0|0|0|1|0,16,0,0,False
sample_ii_analysis|3|0|0|0|1|1,4,0,0,False
sample_ii_analysis|3|1|0|0|0|0,12,63,12,True
sample_ii_analysis|3|1|0|0|1|0,14,0,0,False
sample_ii_analysis|3|2|0|0|0|0,0,8,0,False
sample_ii_analysis|3|2|0|0|1|0,1,0,0,False
sample_ii_analysis|3|2|1|0|0|0,0,3,0,False
sample_ii_analysis|3|3|1|0|0|0,0,3,0,False
sample_ii_analysis|3|3|1|0|0|1,0,1,0,False
sample_ii_calib|0|0|0|1|0|0,129,0,0,False
sample_ii_calib|0|0|0|1|0|1,7,0,0,False
sample_ii_calib|0|0|0|1|1|0,8,0,0,False
sample_ii_calib|0|0|0|1|1|1,16,0,0,False
sample_ii_calib|0|1|0|1|0|0,12,51,12,True
sample_ii_calib|0|1|0|1|0|1,2,0,0,False
sample_ii_calib|0|1|0|1|1|0,21,0,0,False
sample_ii_calib|0|2|0|1|0|0,2,99,2,False
sample_ii_calib|0|2|0|1|1|0,5,0,0,False
sample_ii_calib|0|2|1|1|0|0,0,19,0,False
sample_ii_calib|0|2|1|1|0|1,1,0,0,False
sample_ii_calib|0|3|1|1|0|0,0,15,0,False
sample_ii_calib|0|3|1|1|0|1,0,6,0,False
sample_ii_calib|1|0|0|0|0|0,3,0,0,False
sample_ii_calib|1|0|0|0|0|1,2,0,0,False
sample_ii_calib|1|0|0|0|1|0,1,0,0,False
sample_ii_calib|1|0|0|0|1|1,1,0,0,False
sample_ii_calib|1|1|0|0|0|0,7,13,7,True
sample_ii_calib|1|1|0|0|1|0,9,0,0,False
sample_ii_calib|1|2|0|0|0|0,1,5,1,False
sample_ii_calib|1|2|1|0|0|0,0,2,0,False
sample_ii_calib|1|3|1|0|0|0,0,2,0,False
sample_ii_calib|1|3|1|0|0|1,0,4,0,False
sample_ii_calib|2|0|0|0|0|0,5,1,1,False
sample_ii_calib|2|1|0|0|0|0,2,9,2,False
sample_ii_calib|2|1|0|0|1|0,1,1,1,False
sample_ii_calib|2|2|0|0|0|0,0,4,0,False
sample_ii_calib|2|2|1|0|0|0,0,2,0,False
sample_ii_calib|2|3|1|0|0|0,0,3,0,False
sample_ii_calib|3|0|0|0|0|0,1,0,0,False
sample_ii_calib|3|0|0|0|1|0,2,0,0,False
sample_ii_calib|3|1|0|0|0|0,1,0,0,False
sample_ii_calib|3|2|0|0|0|0,1,4,1,False
